116	137
100	90
127	148
84	78
110	77
128	213
89	49
107	130
104	74
77	47
113	112
117	119
130	130
77	91
122	175
114	140
140	172
109	143
75	54
103	161
97	93
113	220
118	108
103	152
102	0
95	106
118	162
119	159
101	89
100	111
119	135
108	115
96	98
77	110
121	201
108	87
95	155
106	168
122	139
105	124
91	70
98	118
117	86
78	90
138	149
83	26
115	161
79	54
93	78
70	46
94	146
83	16
134	186
95	102
111	171
109	151
109	90
103	78
124	98
106	105
141	205
90	143
106	119
116	134
108	180
123	141
143	220
116	96
118	173
140	194
134	176
95	76
135	206
96	116
120	161
125	187
108	138
146	176
117	170
120	126
119	98
118	146
101	126
110	138
132	220
86	61
140	205
107	206
91	59
136	194
149	182
128	185
105	111
106	97
95	98
119	197
97	94
129	163
103	102
106	103
