Mode: 21 #Games: 1000
p0_0	p0_1	p0_2	p0_3	p0_4	p0_5	p0_6	p0_7	p0_8	p0_9	p2_0	p2_1	p2_2	p2_3	p2_4	p2_5	p2_6	p2_7	p2_8	p2_9	trump	first	fp	t_t0	t_t1	t_t2	t_t3	t_t4	t_t5	t_t6	t_t7	t_t8	t_t9
3	5	10	15	17	21	23	24	27	28	0	1	8	11	13	20	25	29	32	35	0	0	55	1674	14885	249	0	434	3	0	2	2	0	
0	1	7	9	17	20	22	23	32	35	4	8	12	13	18	21	24	27	29	30	0	1	67	0	12634	1453	51685	0	28	27	0	1	0	
4	12	13	18	19	21	26	33	35	37	1	8	10	14	15	17	24	30	32	39	1	2	84	498	7366	0	1479	532	55	5	2	0	0	
1	6	12	15	20	25	27	31	35	37	2	4	9	10	22	23	26	28	30	36	0	3	76	209	0	730	58571	314	33	6	0	0	0	
1	3	6	12	14	19	32	34	36	37	4	9	10	15	17	20	22	24	26	29	2	0	77	2521	779	364	593	770	50	8	2	1	0	
1	4	5	15	16	22	27	28	29	30	9	10	12	14	19	20	23	31	33	36	0	1	53	0	600	671	7897	6	31	3	2	2	0	
1	2	4	6	16	20	26	32	33	37	0	8	9	10	14	19	23	27	34	38	2	2	44	0	12718	160	238	533	6	0	0	0	0	
4	5	8	14	23	24	25	30	32	33	1	9	10	11	12	13	21	26	35	37	3	3	31	92	173	1048	0	295	47	3	2	1	0	
4	10	11	12	14	18	21	24	33	34	0	5	7	17	19	23	27	32	38	39	0	0	44	526	0	0	0	345	15	0	1	1	0	
4	6	7	10	12	18	20	26	35	39	1	2	5	8	9	14	15	17	29	33	2	1	81	148	0	35572	13797	0	25	3	1	0	0	
2	11	12	13	15	29	31	35	36	38	1	8	10	14	19	22	25	26	30	32	2	2	39	0	1111	24741	2115	3760	100	15	2	1	0	
0	3	7	10	14	17	23	25	30	32	4	9	11	13	18	20	22	26	31	38	3	3	47	129	1768	0	185	112	4	3	0	0	0	
3	5	6	9	10	14	24	29	35	36	0	2	7	11	12	22	25	32	34	37	2	0	55	832	0	411	387	0	69	2	1	0	0	
11	13	15	18	23	27	29	30	32	36	1	7	8	9	10	17	22	33	34	38	3	1	84	342	29812	1777	204	231	19	6	2	1	0	
2	4	8	14	17	18	22	27	28	37	9	10	19	23	25	26	29	34	38	39	0	2	62	327	288	254	10349	0	47	0	1	1	0	
0	4	6	10	16	17	22	28	35	36	2	5	7	8	11	23	24	27	30	31	1	3	9	85	7090	0	137	465	0	3	1	1	0	
0	2	9	16	19	26	30	31	33	34	5	6	12	13	20	21	22	27	28	39	1	0	59	790	2406	127	213	0	57	0	1	1	0	
3	7	9	10	12	16	22	25	32	35	6	8	17	18	20	21	23	24	26	28	0	1	88	638	0	89383	0	435	18	4	1	1	0	
5	7	8	13	14	15	17	18	26	32	0	1	12	16	21	22	25	30	35	38	1	2	85	713	4829	0	9131	397	37	0	1	1	0	
1	3	4	8	9	12	13	14	18	24	5	7	11	16	17	22	23	36	37	38	1	3	95	503	1645	333	0	2009	53	36	0	2	0	
1	3	12	14	19	20	27	29	31	39	2	4	9	15	16	17	18	30	32	34	0	0	56	950	116	298	0	4326	12	0	2	0	0	
0	9	10	12	20	23	24	26	34	36	4	5	8	11	14	22	27	31	35	38	0	1	65	118	0	18742	135	0	6	0	2	0	0	
1	3	9	10	17	21	28	30	31	34	8	11	12	13	25	27	29	33	35	39	0	2	70	158	0	0	132	0	127	6	1	0	0	
3	6	11	20	21	22	26	28	36	38	2	8	9	10	13	18	25	32	33	35	3	3	63	260	0	632	0	82	22	1	1	1	0	
0	5	19	21	22	23	27	29	32	33	1	2	7	9	10	13	15	16	24	28	1	0	40	839	14651	526	1456	453	45	0	1	2	0	
0	8	15	16	21	25	31	32	34	37	1	2	3	4	5	6	7	12	23	24	2	1	0	119	0	413	538	329	20	0	1	1	0	
1	4	6	7	9	10	22	23	31	34	5	15	17	19	21	24	26	33	36	38	3	2	68	0	0	0	1675	7	44	24	1	1	0	
8	9	22	23	27	30	33	35	36	37	0	2	3	5	6	16	24	25	32	34	3	3	59	322	0	0	602	0	122	15	1	1	0	
4	13	16	18	22	23	28	31	36	38	7	8	12	14	19	21	29	32	33	34	2	0	74	1239	4782	0	106	0	3	0	1	1	0	
0	1	4	12	13	17	18	21	30	35	6	7	8	11	20	24	28	32	34	38	3	1	50	111	8176	165	0	0	6	4	1	1	0	
1	3	8	10	13	20	22	23	25	39	5	6	11	14	15	16	18	19	29	35	3	2	41	188	374	85	0	439	216	7	2	1	0	
0	6	16	18	26	29	35	36	38	39	3	4	7	13	14	21	23	25	27	31	3	3	58	66	0	235	0	727	0	8	1	1	0	
0	4	7	11	13	14	19	30	37	38	1	6	8	9	10	20	26	28	32	36	2	0	73	896	9472	542	1276	595	30	2	0	1	0	
3	4	8	13	16	23	24	32	33	37	1	2	5	15	19	20	27	29	30	34	1	1	47	141	0	112	408	633	13	5	0	1	0	
0	8	9	12	15	19	30	31	33	38	1	2	6	11	13	16	17	26	27	32	0	2	83	337	7411	0	989	6	12	5	2	1	0	
0	1	4	5	6	9	16	17	34	39	7	10	11	20	21	23	31	32	36	37	3	3	78	2162	1522	0	45809	0	115	7	1	1	0	
9	11	17	19	21	23	27	36	38	39	0	3	10	14	15	22	24	25	29	34	1	0	70	448	127	0	2158	4	0	6	1	1	0	
