Mode: 21 #Games: 100
p0_0	p0_1	p0_2	p0_3	p0_4	p0_5	p0_6	p0_7	p0_8	p0_9	p2_0	p2_1	p2_2	p2_3	p2_4	p2_5	p2_6	p2_7	p2_8	p2_9	trump	first	fp	t_t0	t_t1	t_t2	t_t3	t_t4	t_t5	t_t6	t_t7	t_t8	t_t9
2	4	16	23	24	25	26	29	38	39	0	10	13	14	19	22	28	30	31	36	1	0	63	1278	0	64256	0	1204	140	2	1	1	0	
11	16	18	20	21	28	30	33	35	36	8	17	19	22	23	29	31	32	37	38	1	1	101	461	1123	1052	9995	272	0	0	2	1	0	
0	2	5	23	24	26	27	30	37	39	1	3	7	11	15	20	28	29	31	34	1	2	67	422	848	1032	417	0	137	2	0	1	0	
0	1	16	22	26	27	29	30	33	37	3	5	7	10	12	14	23	31	34	36	0	3	34	333	3453	4930	151	174	0	0	0	1	0	
0	2	6	16	23	29	30	31	35	37	4	5	7	10	13	14	22	28	32	39	1	0	44	1384	0	45804	0	1289	46	15	2	6	0	
0	2	12	14	18	19	24	30	31	34	4	15	21	22	23	28	29	33	35	37	0	1	52	194	0	0	492	163	38	5	3	2	0	
2	3	4	13	21	23	24	27	32	35	0	1	7	10	18	20	29	30	36	38	1	2	33	0	0	591	498	322	0	6	2	1	0	
1	4	10	15	16	26	27	28	30	37	3	7	13	20	21	24	25	29	33	38	2	3	89	152	4488	1521	628	0	254	6	2	1	0	
0	5	10	14	15	18	21	28	29	33	1	6	8	17	22	23	24	31	38	39	3	0	103	1877	0	974	93815	5	0	11	2	1	0	
0	11	18	19	22	23	26	28	32	36	4	6	12	14	17	20	25	27	30	34	2	1	69	136	0	889	7882	1023	16	3	2	0	0	
0	7	13	15	27	28	30	31	33	35	2	5	6	16	17	18	24	25	32	36	2	2	16	320	176	0	5775	259	25	4	0	1	0	
10	11	13	15	19	21	23	24	31	33	1	4	5	7	12	17	26	29	36	37	1	3	74	252	224	0	762	899	189	0	2	1	0	
1	8	10	11	15	25	29	32	37	38	2	3	7	13	14	16	20	28	31	39	0	0	79	1452	0	155	25	84	0	4	2	1	0	
0	5	8	9	12	13	18	24	29	39	1	2	10	11	14	15	19	28	33	36	3	1	67	264	5717	0	31281	349	68	4	2	0	0	
3	4	8	12	20	21	24	25	34	39	0	6	7	10	11	16	22	27	33	36	2	2	47	169	0	21438	339	301	0	6	1	1	0	
