Mode: 18 #Games: 1000 Notes: u1-Half
p_0	p_1	p_2	p_3	pt_0	pt_1	pt_2	pt_3	t_0	t_1	t_2	t_3	A_0	A_1	A_2	A_3	S_0	S_1	7_2	7_3	At_02	suits_0	suits_1	suits_2	suit_3	first_0	first_1	first_2	first_3	fp_02
28	34	10	48	0	6	0	24	2	2	3	3	1	1	0	2	1	1	0	2	0	3	4	4	4	0	0	1	0	49
53	10	20	37	13	0	7	10	3	1	3	3	2	0	0	2	2	0	1	1	1	4	4	4	3	0	0	1	0	49
34	30	23	33	12	15	3	0	3	2	1	4	0	2	1	1	2	0	0	2	0	4	4	4	4	0	0	0	1	42
12	48	40	20	7	11	10	2	2	2	3	3	0	2	2	0	0	2	1	1	0	4	4	4	4	0	0	0	1	44
35	26	44	15	3	13	14	0	4	3	2	1	0	1	2	1	2	1	1	0	0	4	4	4	4	1	0	0	0	73
30	24	44	22	10	0	15	5	2	2	2	4	0	1	2	1	3	0	1	0	1	4	4	4	4	1	0	0	0	70
45	27	34	14	3	25	2	0	2	4	2	2	1	1	2	0	2	1	1	0	0	4	4	4	4	1	0	0	0	48
31	30	29	30	5	0	11	14	4	1	2	3	1	1	2	0	1	1	0	2	1	3	4	4	3	0	1	0	0	73
18	36	39	27	2	0	11	17	2	1	2	5	0	2	2	0	1	1	1	1	1	3	4	4	3	0	1	0	0	57
44	18	28	30	15	12	0	3	3	5	0	2	2	0	1	1	1	1	1	1	1	4	4	3	4	0	0	1	0	61
8	26	49	37	0	10	18	2	3	3	3	1	0	1	2	1	0	1	2	1	1	4	4	4	4	0	0	1	0	62
44	26	20	30	10	4	14	2	3	2	3	2	1	1	1	1	3	0	0	1	1	4	4	4	4	0	0	0	1	88
28	42	19	31	4	14	2	10	2	2	3	3	2	2	0	0	0	1	1	2	0	4	4	3	4	1	0	0	0	64
20	41	37	22	3	2	11	14	2	2	1	5	1	2	1	0	0	1	2	1	1	4	4	4	4	0	1	0	0	39
32	23	17	48	2	4	0	24	2	2	2	4	1	0	0	3	1	1	1	1	0	4	4	4	4	1	0	0	0	38
37	30	36	17	19	0	11	0	5	1	3	1	1	1	2	0	1	1	1	1	1	4	4	3	4	0	1	0	0	76
26	30	20	44	10	2	0	18	3	2	1	4	0	1	0	3	2	1	1	0	0	3	4	4	4	0	0	0	1	56
43	20	35	22	2	10	11	7	3	3	1	3	2	0	2	0	1	2	0	1	1	4	4	3	3	0	0	1	0	90
