Mode: 18 #Games: 1000 Notes: u1-Half
p_0	p_1	p_2	p_3	pt_0	pt_1	pt_2	pt_3	t_0	t_1	t_2	t_3	A_0	A_1	A_2	A_3	S_0	S_1	7_2	7_3	At_02	suits_0	suits_1	suits_2	suit_3	first_0	first_1	first_2	first_3	fp_02
13	23	47	37	9	11	0	10	3	2	0	5	0	1	3	0	0	0	1	3	0	4	4	3	3	0	0	0	1	41
34	31	24	31	2	4	11	13	2	1	3	4	2	1	1	0	1	1	0	2	1	4	4	4	4	0	0	1	0	41
18	38	26	38	0	17	0	13	1	3	3	3	0	1	2	1	1	1	0	2	0	4	4	4	4	0	1	0	0	53
26	19	48	27	0	2	25	3	1	3	3	3	1	1	1	1	1	0	2	1	1	4	4	4	4	1	0	0	0	81
19	23	29	49	4	0	2	24	2	2	2	4	0	1	1	2	1	1	0	2	0	4	4	4	3	0	0	0	1	39
23	24	38	35	3	11	4	12	1	2	3	4	1	1	1	1	0	1	1	2	0	4	4	4	4	1	0	0	0	58
30	34	21	35	2	15	3	10	2	3	2	3	2	1	1	0	0	1	0	3	0	4	3	4	4	0	1	0	0	72
30	43	17	30	15	3	0	12	4	2	1	3	2	1	0	1	0	2	1	1	1	4	4	4	4	1	0	0	0	30
36	22	41	21	12	4	11	3	3	3	2	2	0	0	3	1	3	1	0	0	1	4	4	4	4	0	0	1	0	96
18	46	23	33	12	7	0	11	3	4	1	2	0	2	1	1	1	1	1	1	0	4	4	4	4	0	1	0	0	45
32	26	40	22	0	23	3	4	0	5	3	2	0	1	3	0	2	1	0	1	0	3	4	4	4	0	1	0	0	43
49	34	27	10	2	11	13	4	1	4	3	2	2	2	0	0	2	1	1	0	0	4	4	4	4	0	0	1	0	83
38	22	28	32	10	15	3	2	2	3	3	2	1	1	1	1	2	0	1	1	0	4	4	4	4	0	0	0	1	84
34	27	27	32	0	5	4	21	2	3	1	4	2	0	1	1	0	2	1	1	0	4	4	4	4	0	0	0	1	75
44	40	10	26	12	11	3	4	5	2	1	2	2	2	0	0	2	1	0	1	0	3	4	4	4	1	0	0	0	93
23	27	38	32	11	0	17	2	4	0	5	1	1	2	0	1	1	0	2	1	1	4	3	4	4	0	1	0	0	93
15	37	16	52	4	24	0	2	4	3	2	1	0	2	1	1	0	1	0	3	0	4	3	4	4	1	0	0	0	55
33	25	32	30	0	2	14	14	0	2	4	4	1	1	1	1	2	0	1	1	0	3	4	4	3	0	0	1	0	87
43	31	24	22	10	14	2	4	4	2	2	2	0	2	2	0	4	0	0	0	0	4	4	4	4	0	1	0	0	98
39	17	48	16	14	3	13	0	2	3	4	1	0	1	2	1	2	0	2	0	1	4	4	4	4	0	0	1	0	76
32	17	22	49	14	2	3	11	3	2	2	3	1	1	0	2	1	0	1	2	0	4	4	4	4	0	0	0	1	53
25	35	44	16	17	0	13	0	3	2	3	2	0	2	2	0	1	1	1	1	1	4	4	4	4	0	0	0	1	63
17	30	46	27	9	0	21	0	3	2	4	1	0	2	1	1	0	0	3	1	1	4	4	4	4	0	0	1	0	34
5	39	34	42	0	6	0	24	3	2	0	5	0	0	2	2	0	3	0	1	0	4	4	3	3	0	0	0	1	14
47	21	32	20	16	0	0	14	3	1	2	4	1	1	1	1	3	0	1	0	0	4	4	3	4	1	0	0	0	104
22	9	24	65	2	4	14	10	3	3	3	1	0	0	1	3	1	0	0	3	1	4	4	4	4	0	1	0	0	82
16	23	47	34	10	0	13	7	1	2	2	5	0	1	2	1	1	0	2	1	1	4	4	3	4	0	0	1	0	37
29	23	20	48	0	10	6	14	1	4	3	2	1	1	1	1	0	1	0	3	0	4	4	4	4	0	0	1	0	49
20	40	46	14	11	4	12	3	4	1	3	2	1	2	1	0	0	1	3	0	1	4	4	4	4	0	0	0	1	88
31	15	39	35	2	4	13	11	1	3	3	3	1	1	1	1	1	0	2	1	0	4	3	4	4	0	0	0	1	80
20	52	2	46	12	3	0	15	3	2	3	2	0	1	0	3	1	3	0	0	0	4	4	4	3	1	0	0	0	31
17	26	43	34	0	14	2	14	3	4	1	2	0	1	2	1	1	1	1	1	0	4	4	4	4	1	0	0	0	58
33	43	23	21	0	2	14	14	1	2	3	4	1	2	0	1	2	1	1	0	0	4	4	4	4	0	1	0	0	60
14	53	21	32	6	10	0	14	2	3	1	4	0	3	0	1	0	2	1	1	0	4	4	4	4	0	0	1	0	16
14	35	36	35	0	25	2	3	2	4	3	1	1	1	2	0	0	1	1	2	0	4	4	4	4	0	1	0	0	75
16	34	22	48	6	0	0	24	4	0	2	4	0	2	0	2	0	1	1	2	0	4	3	4	4	0	0	0	1	42
25	36	31	28	0	15	15	0	2	3	3	2	1	1	2	0	1	1	0	2	1	3	4	4	4	0	0	1	0	90
29	33	30	28	2	10	4	14	3	3	1	3	1	1	1	1	1	1	1	1	0	4	4	4	4	0	0	0	1	55
19	28	56	17	0	0	13	17	2	1	2	5	0	1	3	0	1	1	1	1	1	3	4	4	3	1	0	0	0	72
35	42	10	33	11	13	4	2	2	2	4	2	2	1	0	1	1	2	0	1	1	4	4	4	4	1	0	0	0	66
45	21	32	22	21	0	3	6	4	1	2	3	2	1	1	0	2	0	1	1	1	4	4	4	3	1	0	0	0	70
24	27	37	32	0	0	12	18	3	1	3	3	1	1	1	1	1	1	1	1	0	4	4	4	4	0	1	0	0	70
43	27	8	42	0	25	5	0	1	4	4	1	2	1	0	1	1	1	0	2	0	4	4	3	4	0	1	0	0	75
36	40	32	12	15	10	3	2	3	2	1	4	2	1	1	0	1	2	1	0	1	4	4	4	4	0	0	1	0	58
27	23	23	47	10	4	0	16	2	2	1	5	0	1	1	2	2	0	0	2	0	4	4	4	4	1	0	0	0	54
46	22	22	30	11	6	0	13	3	3	1	3	3	0	0	1	1	1	1	1	1	4	4	4	4	0	1	0	0	60
46	20	34	20	3	10	17	0	2	3	4	1	2	0	1	1	1	2	1	0	1	4	4	4	4	0	1	0	0	68
33	24	39	24	14	6	0	10	3	2	2	3	2	1	0	1	0	0	3	1	1	4	4	4	4	0	0	1	0	65
15	34	48	23	2	14	10	4	3	4	1	2	0	2	2	0	1	0	2	1	0	4	4	4	4	0	0	0	1	64
18	44	27	31	4	5	10	11	2	3	1	4	0	2	0	2	1	1	2	0	0	4	4	4	3	0	0	1	0	37
34	29	26	31	0	0	12	18	3	2	2	3	1	2	0	1	1	0	2	1	0	4	4	4	4	0	0	0	1	71
9	27	37	47	2	14	14	0	3	3	3	1	0	1	2	1	0	1	1	2	1	4	4	4	4	1	0	0	0	68
29	44	16	31	17	11	2	0	5	1	3	1	0	3	0	1	2	0	1	1	0	4	4	4	4	0	0	1	0	83
15	39	36	30	3	4	23	0	1	2	3	4	0	1	2	1	0	2	1	1	1	4	4	4	4	1	0	0	0	73
26	48	19	27	5	0	14	11	3	1	4	2	0	2	0	2	1	2	1	0	0	4	4	4	4	0	0	0	1	38
43	17	32	28	12	0	0	18	3	3	0	4	1	1	1	1	3	0	1	0	0	4	4	3	4	0	1	0	0	80
13	35	34	38	2	13	4	11	2	3	4	1	1	0	1	2	0	2	1	1	0	4	4	3	3	0	1	0	0	80
25	29	36	30	2	15	10	3	2	4	2	2	1	2	0	1	1	0	2	1	0	3	3	4	4	0	0	0	1	82
34	26	24	36	0	6	3	21	1	4	2	3	2	0	0	2	0	2	1	1	0	4	4	4	4	1	0	0	0	21
24	38	35	23	0	21	9	0	1	3	3	3	1	2	1	0	0	1	1	2	0	4	4	3	4	0	0	1	0	42
6	25	41	48	0	4	13	13	1	3	3	3	0	0	2	2	0	1	1	2	1	4	4	4	4	1	0	0	0	60
35	39	31	15	11	10	3	6	3	3	2	2	2	1	1	0	1	2	1	0	1	3	4	4	4	0	0	0	1	56
23	38	42	17	0	0	18	12	1	1	3	5	1	2	1	0	0	1	2	1	1	4	4	4	4	0	0	1	0	62
24	13	19	64	0	3	0	27	1	2	2	5	1	0	1	2	1	0	0	3	0	4	4	4	3	0	1	0	0	20
12	29	30	49	2	3	4	21	4	2	1	3	0	0	2	2	0	2	0	2	0	4	4	4	4	0	0	0	1	45
32	35	36	17	4	15	11	0	2	3	1	4	1	1	1	1	1	1	2	0	1	4	4	4	4	0	0	1	0	59
18	53	44	5	11	0	17	2	3	0	4	3	1	2	1	0	0	2	2	0	1	3	3	4	4	1	0	0	0	55
35	33	40	12	13	0	14	3	5	1	3	1	3	1	0	0	0	1	3	0	1	4	4	4	4	0	0	0	1	95
44	25	24	27	26	0	4	0	4	3	2	1	2	1	1	0	1	1	0	2	1	4	4	4	4	1	0	0	0	95
33	31	13	43	0	23	0	7	0	5	3	2	1	1	0	2	2	1	0	1	0	3	4	4	4	0	1	0	0	27
21	32	51	16	11	2	10	7	1	2	3	4	1	2	1	0	0	0	4	0	1	3	4	4	3	1	0	0	0	81
17	37	40	26	14	14	0	2	4	3	0	3	1	0	1	2	0	2	2	0	1	4	4	3	4	0	0	1	0	44
20	42	18	40	12	4	3	11	4	3	1	2	0	1	0	3	1	2	1	0	0	4	4	4	4	0	1	0	0	34
29	24	35	32	14	0	0	16	3	4	0	3	0	2	1	1	2	0	1	1	0	4	4	3	4	0	1	0	0	49
42	23	27	28	5	4	0	21	3	2	2	3	1	0	2	1	2	1	0	1	0	4	4	4	4	0	0	1	0	74
35	42	21	22	0	14	0	16	3	3	0	4	1	3	0	0	2	0	1	1	0	3	4	3	4	0	0	1	0	41
10	61	26	23	3	25	0	2	3	4	2	1	0	3	0	1	0	2	2	0	0	4	3	4	4	0	0	0	1	10
36	13	17	54	14	3	11	2	3	4	1	2	0	0	1	3	2	1	0	1	1	4	4	4	4	0	0	0	1	55
24	43	30	23	5	15	10	0	3	2	2	3	1	3	0	0	0	0	2	2	0	4	4	4	4	1	0	0	0	69
8	16	45	51	2	4	21	3	4	2	3	1	0	0	2	2	0	1	1	2	1	4	4	4	4	1	0	0	0	49
16	35	36	33	2	10	15	3	2	1	4	3	1	1	1	1	0	2	1	1	1	4	4	4	4	0	1	0	0	69
30	29	30	31	13	13	4	0	4	3	3	0	1	1	2	0	1	1	0	2	0	4	4	4	3	0	1	0	0	47
34	21	39	26	4	12	11	3	1	3	4	2	1	0	3	0	1	1	0	2	1	4	4	4	4	0	0	1	0	105
20	52	34	14	3	10	13	4	2	2	3	3	1	2	1	0	0	2	1	1	1	4	4	3	4	0	0	0	1	56
23	37	18	42	14	0	5	11	2	2	3	3	0	2	0	2	1	1	0	2	0	4	4	3	4	0	0	0	1	56
33	39	29	19	0	5	25	0	0	4	5	1	1	2	1	0	1	1	1	1	1	3	3	4	4	0	1	0	0	109
42	33	28	17	14	0	14	2	3	1	4	2	2	1	1	0	1	1	1	1	1	4	4	4	4	0	0	1	0	104
27	28	21	44	6	11	0	13	3	3	2	2	1	1	1	1	0	1	1	2	0	4	4	4	4	0	0	1	0	52
32	27	28	33	0	0	12	18	1	2	3	4	2	0	0	2	0	2	2	0	0	4	4	4	3	1	0	0	0	22
40	40	20	20	16	3	0	11	4	1	2	3	1	1	1	1	2	2	0	0	0	4	4	4	4	0	1	0	0	56
25	22	39	34	3	11	6	10	2	2	2	4	1	2	0	1	0	0	2	2	0	4	4	4	4	0	0	0	1	33
58	4	23	35	13	0	2	15	3	3	2	2	2	0	0	2	3	0	1	0	0	3	4	4	4	0	0	1	0	101
33	15	47	25	7	2	10	11	5	2	2	1	1	0	1	2	1	0	3	0	0	4	4	3	4	1	0	0	0	93
43	24	31	22	10	3	11	6	2	2	4	2	2	1	1	0	1	1	2	0	1	4	4	4	4	1	0	0	0	83
29	38	16	37	15	0	3	12	3	1	2	4	2	1	0	1	0	2	0	2	1	4	4	4	4	0	1	0	0	41
37	38	36	9	14	11	2	3	3	2	3	2	1	3	0	0	2	0	2	0	0	4	4	4	4	0	0	0	1	66
43	29	27	21	10	4	2	14	2	1	2	5	1	0	2	1	3	1	0	0	0	4	4	4	4	0	1	0	0	94
49	16	23	32	11	3	6	10	1	4	3	2	2	0	1	1	2	1	0	1	1	4	4	4	4	1	0	0	0	41
47	17	44	12	10	2	18	0	1	3	4	2	1	1	2	0	3	0	1	0	1	4	4	4	4	0	0	1	0	103
32	32	22	34	6	21	0	3	5	4	0	1	0	2	1	1	2	1	0	1	0	3	4	3	4	0	1	0	0	68
34	22	25	39	21	6	0	3	3	4	1	2	2	1	0	1	1	0	2	1	1	4	4	4	4	0	0	0	1	39
8	47	25	40	0	16	10	4	0	3	5	2	0	2	0	2	0	1	2	1	0	3	4	4	4	0	0	1	0	31
32	29	30	29	4	5	11	10	2	3	1	4	1	1	1	1	1	1	1	1	1	4	4	3	3	1	0	0	0	33
45	9	37	29	4	0	13	13	1	1	5	3	1	0	1	2	2	0	2	0	0	4	4	3	4	0	0	1	0	78
41	39	13	27	13	4	0	13	2	1	4	3	1	2	1	0	2	1	0	1	1	4	4	3	4	0	0	0	1	75
19	19	51	31	4	2	10	14	1	5	2	2	0	0	3	1	1	1	1	1	0	4	4	4	4	0	1	0	0	66
22	46	22	30	13	0	0	17	3	1	2	4	0	2	1	1	1	2	0	1	0	4	4	4	4	0	0	0	1	29
20	37	33	30	17	11	0	2	4	3	1	2	0	1	2	1	1	2	0	1	0	3	3	3	4	0	0	1	0	80
7	21	52	40	4	12	11	3	3	5	1	1	0	0	2	2	0	1	2	1	1	4	4	4	4	0	0	0	1	53
22	37	32	29	7	12	11	0	2	3	4	1	0	1	2	1	0	2	1	1	1	4	4	3	4	0	0	0	1	31
47	16	26	31	25	0	2	3	3	2	1	4	2	1	0	1	1	0	2	1	1	4	4	4	4	1	0	0	0	68
22	31	25	42	13	4	3	10	2	3	4	1	1	1	0	2	0	1	2	1	1	4	4	4	4	1	0	0	0	40
26	37	46	11	0	11	14	5	1	2	3	4	1	1	2	0	1	2	1	0	0	4	4	4	4	0	1	0	0	80
34	28	38	20	14	0	14	2	3	1	3	3	1	1	2	0	1	1	1	1	1	4	4	4	4	0	1	0	0	84
47	15	23	35	2	4	3	21	1	3	2	4	2	0	1	1	2	0	0	2	0	4	4	4	3	1	0	0	0	54
17	34	33	36	2	10	7	11	2	1	3	4	0	0	2	2	1	2	0	1	0	3	4	4	4	0	0	1	0	64
35	37	31	17	0	15	15	0	1	2	4	3	1	3	0	0	1	0	2	1	0	4	4	4	4	0	0	1	0	87
13	55	21	31	4	10	2	14	3	1	2	4	0	3	0	1	0	2	1	1	0	4	4	4	4	1	0	0	0	71
23	14	40	43	6	3	10	11	5	1	1	3	0	0	1	3	1	0	2	1	0	4	4	4	4	0	1	0	0	44
37	19	16	48	3	4	2	21	1	4	2	3	1	1	1	1	1	0	0	3	0	4	4	4	4	0	0	0	1	33
37	29	16	38	3	23	4	0	3	3	2	2	2	1	0	1	1	1	0	2	0	4	4	4	4	0	0	0	1	29
34	23	30	33	11	4	5	10	1	1	5	3	2	0	2	0	0	1	0	3	1	4	4	3	4	0	0	1	0	106
46	31	34	9	25	0	3	2	4	1	3	2	2	2	0	0	2	0	2	0	1	4	4	3	4	1	0	0	0	79
25	56	10	29	0	21	6	3	3	2	2	3	1	2	0	1	0	3	0	1	0	4	4	4	4	0	1	0	0	0
44	17	40	19	13	15	0	2	2	3	2	3	1	1	2	0	2	0	1	1	0	4	4	4	4	1	0	0	0	73
21	40	18	41	4	3	12	11	2	3	4	1	1	2	0	1	0	1	1	2	0	4	4	3	4	0	1	0	0	88
41	7	27	45	13	0	7	10	2	2	5	1	3	0	0	1	0	0	1	3	1	4	4	4	4	0	0	0	1	54
45	20	13	42	7	0	13	10	2	1	6	1	1	1	1	1	2	0	0	2	1	4	4	3	4	0	0	1	0	72
32	35	34	19	10	0	9	11	1	3	5	1	0	2	1	1	3	0	1	0	0	4	4	3	4	0	1	0	0	81
26	36	15	43	21	6	3	0	3	3	3	1	1	1	0	2	1	1	1	1	1	4	4	3	4	0	0	1	0	23
13	42	28	37	5	11	10	4	3	2	1	4	0	3	1	0	0	0	1	3	0	4	3	4	4	0	0	0	1	30
41	20	50	9	10	6	11	3	2	3	2	3	1	0	3	0	2	1	1	0	1	4	3	4	4	0	0	0	1	71
44	17	23	36	10	4	11	5	2	2	4	2	2	0	1	1	2	0	1	1	1	3	4	4	4	0	0	1	0	98
17	21	51	31	14	0	16	0	5	0	4	1	1	0	1	2	0	1	3	0	1	4	3	4	4	1	0	0	0	66
42	43	7	28	9	11	0	10	5	2	2	1	1	2	0	1	2	1	0	1	0	4	4	4	4	1	0	0	0	37
60	2	25	33	2	0	13	15	2	3	2	3	2	0	0	2	3	0	1	0	0	4	4	4	4	0	0	0	1	86
25	37	17	41	11	0	2	17	1	2	4	3	1	0	1	2	0	3	0	1	1	4	4	4	4	0	1	0	0	36
24	30	33	33	0	10	9	11	3	2	3	2	0	1	1	2	2	1	1	0	0	4	4	3	4	0	1	0	0	63
16	24	41	39	2	3	4	21	4	2	1	3	0	0	3	1	1	1	0	2	0	4	4	4	4	1	0	0	0	77
27	16	50	27	13	4	3	10	4	3	2	1	1	0	3	0	1	0	1	2	1	4	4	4	4	0	0	1	0	110
34	32	36	18	11	4	10	5	1	1	3	5	1	1	1	1	2	1	1	0	1	4	4	4	3	0	1	0	0	78
32	17	18	53	7	10	2	11	3	2	2	3	2	0	0	2	0	1	1	2	0	3	4	4	4	1	0	0	0	57
43	39	35	3	14	10	6	0	4	1	3	2	2	0	2	0	1	3	0	0	1	4	4	4	4	0	0	1	0	108
38	28	38	16	13	10	4	3	4	2	1	3	2	0	1	1	1	2	1	0	1	4	4	4	4	0	0	0	1	67
32	33	33	22	15	10	0	5	2	2	1	5	2	1	1	0	0	2	1	1	1	4	4	4	4	0	0	1	0	53
43	37	19	21	11	2	14	3	1	3	3	3	2	2	0	0	1	1	1	1	1	4	4	4	4	0	1	0	0	68
38	25	35	22	11	7	10	2	3	4	1	2	2	1	1	0	1	0	2	1	1	4	3	4	4	0	0	0	1	64
25	18	20	57	3	0	6	21	4	0	3	3	0	1	0	3	1	0	1	2	0	4	3	4	4	0	0	0	1	55
20	20	41	39	2	0	14	14	2	2	4	2	1	1	2	0	0	0	1	3	1	4	4	4	4	0	0	1	0	77
18	47	36	19	4	13	2	11	3	3	2	2	0	2	1	1	1	1	2	0	0	4	4	4	4	1	0	0	0	72
30	26	20	44	4	11	3	12	3	2	1	4	0	1	1	2	2	0	0	2	0	4	4	4	4	0	1	0	0	40
30	42	23	25	10	15	2	3	1	2	2	5	0	2	0	2	2	1	1	0	0	4	4	4	4	0	0	0	1	13
41	18	12	49	0	3	2	25	3	2	2	3	2	1	0	1	1	0	0	3	0	4	4	4	4	1	0	0	0	79
27	10	49	34	13	2	15	0	3	3	3	1	0	0	2	2	2	0	1	1	1	4	4	4	4	0	0	1	0	83
44	18	41	17	24	2	4	0	4	2	2	2	2	0	2	0	1	1	1	1	1	4	4	4	4	1	0	0	0	74
38	19	44	19	10	4	13	3	3	3	3	1	1	1	2	0	2	0	1	1	1	4	4	4	4	0	1	0	0	79
0	38	32	50	0	11	9	10	2	3	4	1	0	1	1	2	0	1	1	2	0	4	4	4	4	0	0	1	0	41
37	37	23	23	13	11	4	2	4	1	2	3	2	1	0	1	1	2	1	0	0	4	4	4	4	0	1	0	0	82
19	27	42	32	0	2	3	25	3	1	2	4	1	1	1	1	0	1	2	1	0	4	4	4	4	0	0	0	1	52
52	28	10	30	11	14	0	5	1	4	2	3	3	0	0	1	1	2	0	1	1	4	4	4	4	1	0	0	0	28
24	50	24	22	7	23	0	0	4	4	0	2	0	3	0	1	1	1	2	0	0	3	4	3	4	0	0	0	1	59
42	24	28	26	12	0	7	11	3	2	2	3	1	2	0	1	2	0	1	1	0	4	4	4	4	0	0	1	0	59
24	40	17	39	0	12	7	11	4	2	3	1	0	1	0	3	2	2	0	0	0	4	4	4	4	0	0	0	1	38
45	10	32	33	21	4	5	0	4	2	2	2	1	0	2	1	3	0	0	1	1	4	4	4	4	1	0	0	0	87
36	22	30	32	9	0	21	0	4	0	5	1	1	0	1	2	1	2	1	0	1	4	3	4	4	0	1	0	0	81
39	27	28	26	14	11	0	5	3	2	1	4	1	1	1	1	2	0	1	1	0	4	4	4	4	0	0	1	0	63
35	29	36	20	10	0	16	4	3	2	4	1	1	1	2	0	2	1	0	1	1	4	4	4	4	1	0	0	0	91
27	49	28	16	0	13	17	0	1	5	4	0	0	4	0	0	2	0	1	1	0	4	4	4	3	0	1	0	0	52
48	18	39	15	10	5	11	4	2	4	3	1	2	0	2	0	2	1	1	0	1	4	4	4	4	0	0	0	1	101
38	36	13	33	2	3	4	21	2	2	3	3	2	1	0	1	1	2	0	1	0	4	4	4	4	0	1	0	0	72
21	25	42	32	12	0	3	15	2	2	2	4	0	1	2	1	1	1	1	1	0	4	4	4	4	1	0	0	0	64
19	50	22	29	6	0	10	14	4	2	1	3	0	2	0	2	1	2	1	0	0	4	4	4	4	0	0	1	0	47
28	45	37	10	0	14	16	0	1	3	4	2	2	2	0	0	0	1	2	1	0	4	3	4	4	1	0	0	0	71
53	29	18	20	13	6	11	0	3	5	2	0	1	1	1	1	3	1	0	0	1	4	4	4	3	0	0	0	1	41
37	39	8	36	4	23	0	3	1	4	1	4	1	1	0	2	2	2	0	0	0	4	4	4	4	0	1	0	0	60
46	18	25	31	0	0	11	19	2	1	2	5	2	1	1	0	2	0	0	2	1	4	4	4	4	0	0	1	0	48
29	35	26	30	7	11	12	0	4	2	3	1	2	2	0	0	0	1	2	1	0	4	4	4	4	0	0	1	0	78
29	13	35	43	0	0	14	16	1	2	3	4	0	0	2	2	2	1	0	1	1	4	4	4	4	0	1	0	0	69
