Mode: 18 #Games: 1000 Notes: u1-Half
p_0	p_1	p_2	p_3	pt_0	pt_1	pt_2	pt_3	t_0	t_1	t_2	t_3	A_0	A_1	A_2	A_3	S_0	S_1	7_2	7_3	At_02	suits_0	suits_1	suits_2	suit_3	first_0	first_1	first_2	first_3	fp_02
40	8	37	35	11	0	2	17	1	2	3	4	3	0	1	0	0	0	2	2	1	4	4	3	3	0	0	1	0	88
36	33	42	9	4	0	24	2	2	2	4	2	2	1	1	0	0	2	2	0	1	4	4	4	4	0	0	0	1	100
31	33	28	28	4	3	2	21	1	3	2	4	1	2	0	1	1	0	2	1	0	4	4	4	4	0	0	1	0	51
15	35	29	41	0	19	0	11	1	5	1	3	0	0	1	3	1	2	1	0	0	4	4	4	4	1	0	0	0	41
47	27	20	26	14	11	2	3	5	2	1	2	1	2	1	0	3	0	0	1	0	4	4	4	4	1	0	0	0	90
33	18	39	30	13	0	7	10	2	1	3	4	2	0	2	0	0	1	1	2	1	3	4	4	4	1	0	0	0	78
14	22	37	47	3	0	14	13	4	0	3	3	1	0	1	2	0	1	1	2	0	4	3	4	4	0	1	0	0	85
43	20	17	40	15	0	2	13	2	3	2	3	2	0	1	1	1	1	0	2	1	4	4	4	4	0	1	0	0	56
31	30	42	17	6	11	13	0	3	2	2	3	1	1	2	0	1	1	1	1	0	4	4	4	4	0	0	1	0	70
24	36	19	41	7	2	0	21	3	2	1	4	1	2	0	1	0	1	1	2	0	3	4	4	4	0	1	0	0	57
37	33	31	19	12	11	3	4	2	3	2	3	1	3	0	0	2	0	1	1	0	4	4	4	3	0	0	1	0	77
26	40	25	29	13	11	4	2	6	1	2	1	1	1	1	1	1	2	0	1	0	4	4	4	4	0	0	0	1	75
26	30	39	25	12	4	11	3	4	3	1	2	0	2	2	0	1	0	1	2	1	4	4	4	4	0	0	0	1	105
34	29	33	24	4	3	21	2	2	2	4	2	1	1	1	1	1	1	2	0	1	4	4	4	4	1	0	0	0	86
20	27	28	45	2	10	0	18	2	1	3	4	0	0	1	3	1	2	1	0	0	4	4	4	4	0	0	1	0	58
24	33	11	52	10	6	0	14	3	4	1	2	0	2	0	2	2	0	0	2	0	4	4	4	4	0	0	0	1	39
37	18	24	41	12	4	3	11	3	3	1	3	1	0	1	2	2	1	0	1	0	4	4	4	4	1	0	0	0	34
34	29	29	28	11	13	4	2	3	3	2	2	1	1	1	1	2	1	1	0	1	4	4	4	4	0	1	0	0	49
35	27	39	19	7	2	21	0	3	3	3	1	1	0	2	1	1	2	1	0	1	3	4	4	4	0	1	0	0	81
25	25	23	47	11	0	17	2	3	2	3	2	2	1	0	1	0	1	1	2	1	4	4	4	4	1	0	0	0	37
30	31	26	33	4	11	13	2	3	3	3	1	2	1	1	0	0	1	1	2	0	4	4	4	4	0	1	0	0	61
24	68	15	13	10	13	4	3	2	2	3	3	0	4	0	0	2	1	0	1	0	4	4	4	4	0	0	1	0	22
40	28	33	19	11	12	7	0	1	4	5	0	1	1	2	0	2	1	0	1	1	4	4	4	3	0	0	0	1	86
38	34	21	27	25	3	0	2	3	4	1	2	1	1	1	1	2	1	0	1	1	4	4	4	4	0	0	0	1	85
17	28	25	50	15	10	5	0	5	1	2	2	1	0	1	2	0	2	0	2	1	4	4	4	4	0	0	1	0	60
46	15	25	34	14	6	10	0	2	5	1	2	3	0	0	1	0	0	2	2	1	4	4	4	4	0	0	0	1	55
31	28	21	40	0	11	17	2	0	4	4	2	0	2	0	2	2	0	1	1	0	3	4	4	4	0	0	1	0	42
30	27	37	26	13	3	10	4	3	3	2	2	1	1	1	1	1	1	2	0	1	4	4	4	4	1	0	0	0	69
52	21	26	21	21	4	3	2	4	1	3	2	3	0	1	0	1	1	1	1	1	4	4	4	4	0	0	0	1	120
30	17	42	31	3	0	12	15	3	3	2	2	1	0	1	2	1	1	2	0	0	4	4	4	4	1	0	0	0	85
44	28	30	18	10	0	18	2	2	1	4	3	2	1	1	0	2	1	0	1	1	4	4	4	4	1	0	0	0	82
42	22	29	27	12	0	3	15	2	0	2	6	2	0	1	1	1	1	1	1	0	4	3	4	4	0	1	0	0	64
26	28	46	20	2	21	3	4	3	3	2	2	0	1	2	1	2	1	1	0	0	4	4	4	4	0	1	0	0	56
30	34	20	36	21	6	3	0	4	2	3	1	1	1	1	1	1	1	0	2	1	3	4	4	4	0	1	0	0	75
21	48	39	12	13	14	0	3	4	3	1	2	1	2	1	0	0	2	2	0	1	4	4	4	4	0	0	1	0	50
35	20	37	28	14	2	14	0	2	1	6	1	1	0	2	1	2	1	1	0	1	4	4	4	4	0	0	1	0	107
55	24	23	18	17	3	10	0	4	1	3	2	1	1	1	1	3	0	1	0	1	4	4	4	4	0	0	0	1	105
21	23	29	47	4	14	10	2	3	3	2	2	1	1	0	2	0	0	2	2	0	4	4	4	4	1	0	0	0	42
47	29	31	13	23	3	0	4	4	3	1	2	1	1	2	0	3	1	0	0	1	4	4	3	4	0	0	1	0	71
55	24	21	20	11	12	4	3	2	2	2	4	3	0	1	0	2	1	0	1	1	4	4	4	4	0	0	0	1	59
23	25	20	52	4	10	5	11	2	2	4	2	0	0	1	3	1	2	0	1	0	4	4	3	4	0	0	0	1	66
33	29	35	23	10	3	11	6	2	4	1	3	0	2	2	0	2	0	1	1	1	4	4	4	4	0	1	0	0	51
54	31	15	20	21	4	2	3	3	2	3	2	2	1	1	0	3	0	0	1	1	3	4	4	4	1	0	0	0	93
55	7	42	16	10	2	15	3	1	2	3	4	2	0	2	0	2	0	1	1	1	3	4	3	4	0	0	1	0	113
16	16	56	32	13	2	0	15	3	3	1	3	0	0	3	1	1	0	2	1	0	4	4	4	4	0	1	0	0	93
37	16	36	31	16	0	14	0	6	0	4	0	1	0	1	2	2	1	1	0	1	4	3	4	3	1	0	0	0	105
37	24	43	16	14	0	16	0	4	1	4	1	0	2	2	0	2	0	1	1	1	4	4	3	4	0	0	1	0	76
38	19	39	24	13	0	6	11	3	0	3	4	1	1	1	1	1	0	2	1	0	4	3	4	4	0	1	0	0	93
10	28	33	49	2	3	10	15	1	2	3	4	0	1	0	3	0	1	2	1	0	4	4	3	4	1	0	0	0	15
31	32	17	40	4	14	10	2	2	4	2	2	0	2	0	2	2	0	1	1	0	4	4	4	4	0	0	0	1	36
20	37	37	26	4	11	2	13	4	1	3	2	1	1	1	1	0	2	1	1	0	3	4	4	4	0	0	1	0	71
28	18	34	40	0	0	28	2	3	0	5	2	1	0	1	2	1	1	1	1	1	4	3	4	4	0	0	0	1	97
23	24	39	34	2	0	10	18	1	4	2	3	1	1	1	1	0	1	2	1	0	4	4	4	4	1	0	0	0	57
31	6	45	38	3	6	21	0	1	5	2	2	1	0	1	2	1	0	2	1	1	4	4	4	4	0	1	0	0	42
31	25	22	42	3	11	4	12	3	3	2	2	2	2	0	0	0	0	1	3	0	4	4	4	4	0	1	0	0	56
44	17	31	28	11	2	14	3	1	3	3	3	2	1	0	1	1	0	2	1	1	4	3	4	3	0	0	1	0	94
60	19	21	20	21	2	3	4	3	2	2	3	4	0	0	0	1	1	1	1	1	4	4	4	4	1	0	0	0	92
37	0	37	46	4	0	14	12	1	4	2	3	1	0	2	1	1	0	1	2	1	4	4	3	4	0	0	0	1	63
15	18	34	53	0	0	7	23	2	2	3	3	0	1	1	2	1	0	1	2	0	4	4	4	4	0	1	0	0	61
11	41	38	30	5	11	10	4	3	3	3	1	0	2	0	2	0	1	3	0	0	4	4	4	4	0	0	0	1	36
29	15	33	43	15	0	0	15	4	1	2	3	1	1	0	2	1	0	2	1	0	4	4	4	4	0	0	1	0	72
31	37	11	41	10	6	3	11	3	2	3	2	1	1	0	2	1	2	0	1	0	4	4	4	4	1	0	0	0	50
37	26	25	32	14	4	0	12	3	2	1	4	2	0	1	1	1	2	0	1	1	3	4	4	4	0	0	1	0	90
22	17	38	43	0	6	21	3	2	5	2	1	0	1	1	2	1	0	2	1	1	4	4	4	4	0	1	0	0	35
33	15	46	26	3	0	16	11	1	2	4	3	1	0	1	2	1	1	2	0	0	4	4	4	4	0	0	0	1	83
33	36	21	30	13	15	0	2	5	3	0	2	1	2	0	1	1	1	1	1	0	4	4	3	4	1	0	0	0	76
31	26	42	21	12	0	18	0	2	1	5	2	1	0	2	1	1	1	1	1	1	4	4	4	4	0	1	0	0	90
35	37	29	19	7	2	21	0	3	2	3	2	0	2	1	1	2	1	1	0	1	4	4	4	4	0	0	1	0	45
