Mode: 18 #Games: 1000 Notes: u1-Half
p_0	p_1	p_2	p_3	pt_0	pt_1	pt_2	pt_3	t_0	t_1	t_2	t_3	A_0	A_1	A_2	A_3	S_0	S_1	7_2	7_3	At_02	suits_0	suits_1	suits_2	suit_3	first_0	first_1	first_2	first_3	fp_02
41	41	20	18	4	13	3	10	4	2	1	3	1	2	1	0	2	1	0	1	0	4	4	4	4	0	0	1	0	61
14	34	32	40	4	11	3	12	4	1	2	3	0	1	2	1	1	1	0	2	0	4	4	4	4	0	0	0	1	41
37	27	28	28	27	3	0	0	6	2	1	1	1	0	1	2	2	1	1	0	1	3	4	4	4	1	0	0	0	62
7	42	31	40	3	10	13	4	2	4	3	1	0	2	1	1	0	2	1	1	1	4	4	4	4	1	0	0	0	53
27	41	25	27	10	16	0	4	3	4	2	1	0	2	1	1	2	1	1	0	0	3	4	4	4	1	0	0	0	57
40	26	34	20	11	14	5	0	2	4	3	1	3	0	1	0	0	2	1	1	1	4	4	4	4	0	1	0	0	83
28	31	55	6	10	0	17	3	3	1	4	2	0	2	2	0	2	0	2	0	1	4	4	4	4	0	1	0	0	81
34	49	15	22	3	21	4	2	2	2	2	4	1	2	1	0	1	2	0	1	0	4	4	4	4	0	0	1	0	36
28	20	26	46	4	0	0	26	3	1	1	5	1	1	1	1	1	0	1	2	0	4	4	4	4	0	1	0	0	44
34	40	32	14	11	16	3	0	1	5	3	1	1	2	0	1	1	1	2	0	1	4	3	4	4	1	0	0	0	32
45	28	28	19	15	15	0	0	3	5	1	1	2	0	1	1	1	2	1	0	1	4	4	4	4	0	0	0	1	93
25	20	38	37	0	4	24	2	1	3	5	1	1	0	2	1	1	1	1	1	1	4	4	3	4	0	1	0	0	79
27	28	35	30	2	10	4	14	3	1	1	5	1	0	2	1	1	2	0	1	0	4	4	4	4	0	0	1	0	72
37	36	20	27	4	21	3	2	2	3	3	2	1	1	0	2	1	2	1	0	0	4	4	4	4	1	0	0	0	61
39	7	43	31	12	0	18	0	2	2	5	1	1	0	2	1	2	0	1	1	1	3	4	3	4	0	0	1	0	93
29	41	26	24	11	12	4	3	2	4	1	3	1	2	0	1	1	1	1	1	1	4	3	4	4	0	0	1	0	15
27	17	40	36	14	0	6	10	2	3	2	3	1	1	1	1	0	0	2	2	1	4	4	4	4	0	0	0	1	61
27	28	35	30	11	3	16	0	2	4	3	1	1	1	1	1	1	1	1	1	1	4	3	4	4	1	0	0	0	48
45	40	18	17	10	3	11	6	1	2	3	4	2	1	1	0	2	2	0	0	1	4	4	4	3	0	0	0	1	72
12	38	31	39	3	4	2	21	3	2	3	2	0	2	0	2	0	1	2	1	0	3	4	3	4	0	1	0	0	31
35	27	36	22	0	4	11	15	0	3	2	5	0	1	3	0	2	1	0	1	1	3	4	4	3	0	1	0	0	71
31	17	12	60	0	5	10	15	2	3	2	3	2	0	0	2	0	0	1	3	0	4	4	4	4	0	0	1	0	72
36	29	30	25	0	13	0	17	2	3	1	4	1	1	1	1	2	1	1	0	0	4	4	4	4	0	0	0	1	86
31	36	26	27	3	2	14	11	2	2	3	3	1	2	0	1	1	0	2	1	0	4	4	4	4	1	0	0	0	52
43	47	14	16	17	10	3	0	3	2	1	4	1	1	1	1	1	3	0	0	1	4	4	4	4	0	0	0	1	54
17	21	59	23	11	10	3	6	2	2	2	4	1	0	2	1	0	1	3	0	1	4	4	4	4	1	0	0	0	59
8	38	41	33	4	13	2	11	2	4	2	2	0	1	1	2	0	2	2	0	0	4	4	4	4	1	0	0	0	23
17	30	38	35	3	13	4	10	2	4	2	2	0	2	1	1	1	0	1	2	0	4	4	4	4	0	1	0	0	43
27	38	33	22	24	2	0	4	5	1	1	3	1	2	0	1	1	1	2	0	1	4	4	4	4	0	0	1	0	46
28	27	37	28	11	2	4	13	3	3	2	2	1	1	2	0	1	1	0	2	1	4	4	4	3	0	1	0	0	65
18	39	24	39	11	12	4	3	2	3	3	2	1	0	0	3	0	3	1	0	1	4	4	4	4	0	1	0	0	56
21	34	20	45	2	0	13	15	2	1	4	3	1	1	0	2	0	2	1	1	0	3	4	4	3	0	0	1	0	46
20	36	37	27	0	3	11	16	3	1	1	5	1	1	1	1	0	1	2	1	1	4	4	4	4	0	0	1	0	25
34	18	41	27	12	0	14	4	3	2	2	3	0	1	2	1	2	0	1	1	1	4	4	4	4	0	0	0	1	55
36	34	23	27	17	0	0	13	4	0	1	5	1	2	1	0	1	0	1	2	1	4	3	4	3	0	0	0	1	59
45	8	24	43	0	6	3	21	0	3	4	3	2	0	1	1	1	0	0	3	0	3	4	4	4	0	0	1	0	87
12	35	53	20	4	3	13	10	2	3	3	2	0	1	3	0	0	1	1	2	1	4	4	4	4	1	0	0	0	72
