Mode: 21 #Games: 100
p0_0	p0_1	p0_2	p0_3	p0_4	p0_5	p0_6	p0_7	p0_8	p0_9	p2_0	p2_1	p2_2	p2_3	p2_4	p2_5	p2_6	p2_7	p2_8	p2_9	trump	first	fp	t_t0	t_t1	t_t2	t_t3	t_t4	t_t5	t_t6	t_t7	t_t8	t_t9
12	14	15	16	18	20	22	30	34	37	3	7	8	9	11	23	26	27	29	33	2	0	92	78	16	361	88	495	34	3	0	6	0	
5	6	8	16	17	24	26	30	31	35	0	3	4	19	22	23	25	29	33	34	1	1	18	25	13	0	24	0	10	1	0	0	0	
6	10	12	20	23	25	27	28	37	38	1	2	14	15	16	17	22	24	26	33	0	2	21	0	4153	82	52	0	5	0	1	0	0	
0	7	13	15	18	22	24	32	35	38	1	5	10	14	19	23	30	34	37	39	0	3	41	37	31	0	75	2	3	2	0	0	0	
8	11	12	15	16	20	27	32	35	38	0	2	6	7	9	13	26	29	30	34	0	0	83	156	0	0	34884	725	17	1	0	0	0	
0	1	6	7	8	18	22	24	27	29	2	17	19	20	21	26	28	30	35	39	0	1	85	402	5479	162	0	113	14	1	0	0	0	
3	9	16	20	21	25	28	37	38	39	0	7	10	12	19	22	23	29	32	36	2	2	98	18	8	0	645	0	0	0	0	0	0	
1	8	12	13	21	24	27	32	34	35	3	4	5	7	20	23	25	29	31	39	0	3	50	0	0	293	106	59	8	0	0	0	0	
0	1	3	9	13	19	28	29	32	33	6	8	20	21	22	24	31	36	37	38	3	0	99	685	44	0	13	1035	0	2	0	0	0	
3	7	8	11	17	26	31	33	34	39	5	6	10	12	13	20	21	25	36	37	1	1	60	39	23	113	121	0	79	0	0	0	0	
3	5	6	10	11	21	22	23	25	29	1	4	13	20	24	28	31	34	38	39	2	2	79	8	74	0	0	237	7	3	0	0	0	
2	5	6	8	10	20	25	27	31	37	4	7	11	15	21	22	26	29	30	36	3	3	13	9	0	37	5	30	0	0	0	0	0	
3	6	8	10	13	16	17	21	22	33	9	14	18	24	26	28	35	36	37	38	1	0	65	274	47	0	38	0	0	0	0	0	0	
3	6	7	12	18	20	25	30	31	37	0	4	14	16	17	21	22	24	34	35	2	1	23	12	42	9	0	1	0	1	0	0	0	
0	9	11	12	18	24	25	33	36	39	3	10	15	22	23	26	27	30	34	35	2	2	20	38	0	40	14	192	4	0	0	0	0	
0	1	2	7	14	15	16	25	31	36	8	11	12	18	22	28	29	32	34	35	2	3	39	0	7030	0	75	0	0	0	0	0	0	
0	1	4	12	18	23	25	32	34	37	5	6	7	11	14	15	16	19	21	28	1	0	72	161	0	4076	223	300	17	0	0	0	0	
2	7	10	18	20	22	25	26	28	36	0	1	5	11	16	24	30	32	34	35	0	1	24	0	26	4716	2722	0	8	1	0	0	0	
1	3	6	11	23	24	27	30	34	37	0	8	10	13	18	20	22	25	26	28	0	2	17	19	2767	306	32055	0	12	2	0	0	0	
2	4	5	9	12	20	21	26	33	36	0	8	11	15	16	23	24	30	34	35	1	3	21	0	41	1	0	102	0	0	0	0	0	
0	4	12	22	26	27	29	32	34	35	1	3	6	7	11	14	17	28	31	33	1	0	42	152	0	0	10	4	1	0	0	0	0	
4	6	14	15	26	28	31	34	36	37	8	9	12	16	21	27	29	30	33	38	0	1	79	6	0	381	357	7	2	0	0	0	0	
5	11	17	18	20	21	22	24	29	38	0	6	9	13	19	27	28	31	34	35	0	2	53	0	8051	30	37	119	10	1	0	0	0	
0	3	5	8	12	18	19	33	34	37	6	9	10	11	15	21	22	24	29	36	1	3	63	51	210	172	114	51	1	0	0	0	0	
3	9	11	17	18	19	25	27	28	29	4	6	8	12	13	16	23	30	38	39	0	0	85	171	138	18510	2350	0	2	0	0	0	0	
2	11	15	25	27	29	30	34	36	37	1	6	8	10	16	17	19	24	33	39	3	1	89	10	237	0	2319	228	0	0	0	0	0	
4	12	14	16	17	24	30	31	32	33	2	3	7	13	15	22	27	29	36	37	0	2	16	15	66	0	1172	0	0	0	0	0	0	
0	1	6	13	18	22	24	25	36	39	5	11	12	15	17	19	23	29	31	33	1	3	99	19	43	61	0	1	1	0	0	0	0	
