Mode: 18 #Games: 1000 Notes: u1-4Trick-5
p_0	p_1	p_2	p_3	pt_0	pt_1	pt_2	pt_3	t_0	t_1	t_2	t_3	A_0	A_1	A_2	A_3	S_0	S_1	7_2	7_3	At_02	suits_0	suits_1	suits_2	suit_3	first_0	first_1	first_2	first_3	fp_02
46	21	12	41	2	0	7	21	1	2	5	2	2	1	0	1	1	1	0	2	0	4	4	3	4	1	0	0	0	76
20	23	50	27	10	0	11	9	3	2	2	3	0	1	2	1	1	1	2	0	1	4	4	4	4	0	0	1	0	74
45	37	23	15	18	2	0	10	4	3	0	3	2	2	0	0	1	1	1	1	1	4	4	3	4	1	0	0	0	44
31	12	46	31	10	3	2	15	2	3	1	4	1	0	2	1	1	0	2	1	0	4	4	3	3	0	0	0	1	41
38	21	27	34	14	10	0	6	4	2	2	2	2	0	1	1	1	1	1	1	1	4	4	4	4	0	1	0	0	59
26	41	35	18	5	4	10	11	4	2	3	1	0	1	2	1	1	2	1	0	0	4	4	4	4	0	0	1	0	62
27	34	41	18	11	17	2	0	3	3	1	3	1	1	2	0	1	1	1	1	1	4	4	4	4	0	1	0	0	73
24	21	50	25	0	10	14	6	3	1	2	4	1	1	2	0	1	1	1	1	1	4	4	4	3	0	0	1	0	52
52	34	19	15	18	2	10	0	4	2	2	2	2	2	0	0	2	0	1	1	1	4	3	4	3	0	0	1	0	91
22	24	34	40	10	13	0	7	3	4	0	3	0	2	1	1	1	0	1	2	0	4	3	3	4	0	0	0	1	26
29	29	31	31	7	11	2	10	3	2	2	3	0	2	1	1	2	0	1	1	0	4	4	4	4	0	0	0	1	62
20	33	37	30	3	4	23	0	2	3	4	1	0	2	1	1	1	0	2	1	1	4	4	4	4	0	0	0	1	73
32	24	29	35	21	4	2	3	4	3	2	1	2	0	0	2	1	1	2	0	1	4	4	4	4	1	0	0	0	63
37	20	22	41	13	6	0	11	3	3	2	2	0	0	1	3	3	1	0	0	0	4	4	4	4	0	1	0	0	50
17	18	23	62	13	2	4	11	4	3	2	1	0	0	1	3	1	1	0	2	0	4	3	3	4	0	0	1	0	66
26	41	31	22	13	2	11	4	5	2	2	1	0	2	2	0	2	1	0	1	1	4	4	4	4	1	0	0	0	104
28	11	52	29	11	3	0	16	2	1	2	5	1	0	2	1	1	0	2	1	1	4	4	4	4	0	0	0	1	57
22	34	39	25	11	3	0	16	3	1	2	4	2	0	2	0	0	2	1	1	1	4	4	4	3	0	1	0	0	35
38	36	21	25	24	0	4	2	5	1	1	3	2	2	0	0	1	1	1	1	1	3	4	4	4	0	0	1	0	88
12	34	49	25	0	2	18	10	2	1	3	4	0	2	2	0	0	0	2	2	1	3	4	4	3	1	0	0	0	82
33	40	28	19	12	18	0	0	3	3	2	2	1	1	2	0	1	2	0	1	0	3	4	4	4	1	0	0	0	75
41	32	22	25	13	0	7	10	2	1	3	4	2	1	0	1	1	1	1	1	1	4	4	4	4	0	0	0	1	48
25	26	62	7	2	15	13	0	2	2	3	3	1	1	2	0	1	0	3	0	0	4	4	4	3	1	0	0	0	82
22	43	13	42	10	14	0	6	2	5	1	2	0	2	1	1	1	1	0	2	0	4	4	4	4	1	0	0	0	13
51	29	19	21	10	3	2	15	2	3	3	2	3	0	0	1	1	2	1	0	0	4	4	3	4	0	1	0	0	77
56	27	7	30	17	11	2	0	4	3	2	1	1	1	0	2	3	1	0	0	0	4	4	4	4	0	1	0	0	56
16	30	43	31	3	6	21	0	2	3	4	1	0	2	1	1	0	0	2	2	1	4	4	4	4	0	1	0	0	32
27	25	23	45	0	21	9	0	1	3	5	1	1	1	0	2	1	1	1	1	0	4	4	3	4	0	1	0	0	76
27	27	60	6	6	0	21	3	3	1	2	4	1	0	3	0	1	1	2	0	1	4	4	4	4	0	0	1	0	108
29	53	33	5	3	27	0	0	3	4	0	3	2	2	0	0	0	2	2	0	0	4	4	3	4	0	0	1	0	62
32	20	32	36	0	14	6	10	0	3	5	2	0	1	2	1	2	0	0	2	0	3	4	4	4	0	0	1	0	82
34	33	19	34	16	0	3	11	4	1	3	2	0	1	1	2	2	2	0	0	0	4	4	4	4	0	0	1	0	69
43	26	29	22	2	10	14	4	3	2	4	1	2	0	1	1	1	2	1	0	1	4	4	4	4	0	0	0	1	83
39	28	22	31	7	11	0	12	3	1	2	4	2	1	0	1	1	0	2	1	0	4	4	4	4	0	0	0	1	76
25	55	23	17	0	15	11	4	1	3	2	4	0	3	1	0	1	1	1	1	1	4	4	4	4	0	0	0	1	26
42	16	35	27	10	5	4	11	2	3	3	2	2	0	1	1	1	0	2	1	0	4	4	4	4	0	0	0	1	87
