Mode: 21 #Games: 100
p0_0	p0_1	p0_2	p0_3	p0_4	p0_5	p0_6	p0_7	p0_8	p0_9	p2_0	p2_1	p2_2	p2_3	p2_4	p2_5	p2_6	p2_7	p2_8	p2_9	trump	first	fp	t_t0	t_t1	t_t2	t_t3	t_t4	t_t5	t_t6	t_t7	t_t8	t_t9
7	10	11	18	24	28	30	32	33	38	0	2	4	8	9	19	20	23	25	29	2	0	78	282	21	366	0	3	19	3	2	0	0	
1	12	17	18	19	23	25	28	30	31	5	6	7	8	16	20	21	26	27	39	1	1	70	0	0	73	118	69	34	15	0	2	0	
1	4	8	13	17	21	23	30	36	39	3	6	7	9	12	14	24	25	31	34	0	2	73	36	38	0	122	39	0	3	2	1	0	
4	9	10	13	16	22	23	25	27	38	6	7	11	14	19	24	26	31	32	37	0	3	41	36	0	4739	246	56	0	8	0	1	0	
0	4	8	12	13	15	21	22	32	38	1	2	11	16	18	24	26	30	36	37	0	0	36	108	0	0	0	86	154	0	2	0	0	
1	3	11	16	23	24	25	28	30	38	2	4	10	14	15	17	21	29	34	37	2	1	81	42	21	0	340	285	12	0	2	1	0	
5	13	15	17	18	19	21	28	32	33	3	7	8	14	16	22	23	25	27	29	0	2	54	66	0	262	11471	0	235	18	2	1	0	
3	5	6	9	12	15	24	30	32	39	0	4	8	13	17	23	26	27	34	37	0	3	94	32	0	186	3857	3	30	2	3	1	0	
17	18	19	20	25	29	30	32	34	37	3	6	9	12	13	21	31	33	35	36	0	0	74	158	1406	0	131	679	115	7	8	0	0	
1	2	5	23	24	28	29	32	35	38	0	4	10	15	18	19	20	21	27	39	0	1	82	49	34	294	177	70	20	0	1	0	0	
7	10	13	15	18	21	26	27	35	36	1	3	4	5	11	25	29	30	34	38	3	2	81	0	2231	55	0	162	69	8	2	1	0	
3	8	10	11	15	17	22	24	31	32	6	7	12	14	19	21	29	36	37	38	1	3	93	118	0	31	80	0	47	0	2	1	0	
2	3	4	8	9	11	19	28	33	35	0	6	15	20	21	23	25	29	37	39	2	0	96	187	0	123	280	119	17	5	0	1	0	
3	5	6	15	22	27	28	30	32	36	0	7	8	12	17	19	24	31	37	38	3	1	69	62	1063	0	3173	0	0	9	4	1	0	
2	3	5	9	18	23	24	27	29	36	1	8	14	16	19	25	28	31	35	38	2	2	106	96	29	0	3741	20	3	1	0	1	0	
0	1	15	19	21	25	26	27	35	38	5	8	9	11	22	24	28	30	31	32	1	3	51	27	0	8448	0	1037	42	2	1	1	0	
0	2	4	13	15	23	25	31	36	39	1	5	9	12	16	21	24	26	32	34	0	0	42	225	40	25	0	90	8	0	2	1	0	
2	6	15	19	26	28	31	32	35	39	1	16	18	24	27	30	33	34	36	38	1	1	26	15	0	2694	0	146	14	1	2	0	0	
11	15	18	23	24	28	30	33	35	36	1	4	8	13	14	17	26	31	34	39	3	2	98	137	255	2716	27	64	44	3	0	1	0	
4	9	16	17	19	25	27	28	31	32	2	3	5	13	20	21	23	30	34	39	0	3	63	27	157	0	0	204	176	11	0	1	0	
2	4	8	9	19	27	28	31	33	36	0	1	15	16	23	26	30	32	37	38	3	0	87	424	24	0	69	17	8	0	2	0	0	
1	4	5	6	9	10	15	29	30	36	7	8	14	17	19	23	28	32	38	39	0	1	116	30	97	75	36	0	285	6	0	1	0	
2	6	7	12	14	19	20	28	31	36	0	1	8	22	24	25	27	30	34	39	2	2	83	69	654	73	0	420	12	0	2	1	0	
4	13	24	26	29	31	32	36	37	38	8	9	10	14	15	17	22	30	33	35	0	3	30	152	1170	0	1114	551	40	0	1	1	0	
2	3	6	8	10	11	24	26	29	33	1	14	15	17	28	30	31	32	34	36	1	0	15	197	26	0	29	0	18	0	2	0	0	
1	4	8	9	11	18	20	29	33	35	6	12	15	16	19	21	22	26	27	36	3	1	61	58	0	7094	45	0	38	0	1	1	0	
11	13	14	16	19	24	25	33	35	38	4	5	6	15	17	22	26	28	34	39	1	2	108	265	418	4413	24	0	58	2	2	1	0	
2	5	7	9	15	20	23	33	37	38	0	11	12	18	21	24	26	30	31	35	2	3	60	71	0	94	2725	51	7	3	0	1	0	
3	4	6	12	14	15	26	31	34	36	1	5	13	16	18	23	27	33	35	37	1	0	12	215	2699	141	33	63	1	2	1	0	0	
0	4	7	23	24	27	33	35	36	38	1	10	12	13	16	17	30	31	34	37	2	1	5	84	56	1550	0	28	8	2	1	1	0	
4	13	15	16	17	20	34	36	37	39	6	7	8	9	11	12	22	24	31	33	1	2	87	0	219	271	13489	2	31	14	3	1	0	
0	8	10	11	12	20	27	34	35	38	2	6	16	17	21	22	25	28	36	37	0	3	34	39	0	24	65	0	38	3	0	0	0	
3	7	10	11	12	13	14	18	23	32	5	8	15	17	19	20	25	31	35	36	0	0	72	124	0	791	21	68	0	3	1	1	0	
6	9	13	17	20	22	25	29	32	39	0	1	2	8	11	19	21	23	35	37	2	1	94	27	0	37	405	3	179	3	3	1	0	
0	8	11	21	22	23	25	26	33	34	5	13	14	16	17	24	27	28	32	39	1	2	45	0	0	57	108	57	0	10	2	1	0	
0	4	5	7	11	14	22	33	36	38	2	9	17	18	19	20	25	27	29	34	3	3	99	177	43	69	754	223	0	17	3	1	0	
0	9	14	15	16	19	22	26	30	31	1	2	4	11	13	28	29	35	36	37	3	0	84	255	0	0	139	0	28	0	1	0	0	
8	22	23	24	25	30	31	34	37	39	4	5	11	14	19	27	28	32	35	38	0	1	43	226	200	6493	27	153	88	10	4	0	0	
