Mode: 21 #Games: 100
p0_0	p0_1	p0_2	p0_3	p0_4	p0_5	p0_6	p0_7	p0_8	p0_9	p2_0	p2_1	p2_2	p2_3	p2_4	p2_5	p2_6	p2_7	p2_8	p2_9	trump	first	fp	t_t0	t_t1	t_t2	t_t3	t_t4	t_t5	t_t6	t_t7	t_t8	t_t9
0	3	4	15	16	28	29	32	38	39	5	7	8	9	10	17	19	21	26	31	0	0	117	249	331	0	21	0	10	0	2	6	0	
8	11	18	21	22	30	33	34	38	39	3	9	12	13	19	24	25	26	27	29	0	1	75	0	0	6873	405	0	180	10	1	0	0	
3	5	9	11	15	21	26	34	37	38	2	6	10	12	16	18	28	29	32	39	1	2	77	59	0	54	0	46	22	2	2	1	0	
3	8	9	12	13	15	24	30	37	39	1	7	11	21	22	28	31	33	35	38	2	3	53	39	1298	0	162	37	24	0	2	1	0	
7	8	10	15	16	23	27	33	34	37	1	6	9	14	17	22	31	32	35	38	3	0	62	126	0	70	24	0	12	0	7	3	0	
1	3	7	12	13	16	18	21	29	35	0	4	9	17	20	24	28	32	37	38	2	1	55	33	0	216	0	2	0	8	1	1	0	
6	7	10	15	26	27	29	31	37	38	1	2	8	12	17	19	22	30	32	39	2	2	51	35	0	51	484	0	70	3	0	3	0	
0	1	3	4	14	17	18	24	28	39	2	10	12	22	23	25	26	29	37	38	0	3	50	66	372	0	0	3	0	5	1	0	0	
1	7	9	13	17	23	26	30	37	38	0	2	5	6	15	16	19	24	25	35	1	0	24	273	43	0	320	70	0	4	1	1	0	
6	11	12	13	20	28	29	32	34	37	5	14	16	17	21	23	25	31	35	39	0	1	24	0	0	0	2294	0	5	3	1	0	0	
5	9	10	14	16	17	24	28	30	33	1	2	20	22	23	27	29	32	37	38	3	2	70	81	0	14721	533	77	0	5	1	0	0	
5	6	10	12	24	27	28	30	34	37	1	2	9	14	15	16	19	26	35	36	2	3	35	58	251	63	20	23	0	3	0	1	0	
2	8	9	11	13	15	23	25	28	32	1	7	12	17	19	21	31	33	36	38	3	0	44	242	1392	0	29	50	11	0	1	1	0	
7	9	10	12	14	16	19	21	27	32	1	2	3	4	15	17	22	23	33	38	3	1	32	124	0	339	0	1	65	6	1	1	0	
0	4	6	8	14	24	27	31	35	38	1	2	15	20	22	28	29	32	37	39	0	2	90	69	1098	0	40	54	5	0	3	1	0	
