Mode: 21 #Games: 100
p0_0	p0_1	p0_2	p0_3	p0_4	p0_5	p0_6	p0_7	p0_8	p0_9	p2_0	p2_1	p2_2	p2_3	p2_4	p2_5	p2_6	p2_7	p2_8	p2_9	trump	first	fp	t_t0	t_t1	t_t2	t_t3	t_t4	t_t5	t_t6	t_t7	t_t8	t_t9
1	5	7	11	19	23	25	26	28	37	2	4	6	8	12	13	15	18	22	34	1	0	40	308	83	560	0	490	107	5	2	1	0	
1	11	12	14	17	18	22	26	29	31	3	6	9	13	21	23	28	32	34	35	0	1	41	63	0	280	85	1	206	10	2	1	0	
4	11	14	19	23	26	27	32	35	37	1	3	6	10	16	21	24	25	33	39	0	2	3	46	2378	38	88	0	7	2	1	0	0	
1	2	3	13	14	18	21	31	32	35	5	8	10	19	22	25	27	30	37	38	0	3	43	20	655	0	0	0	8	7	1	0	0	
5	6	8	10	22	25	29	32	36	37	1	3	4	11	12	18	21	23	24	33	3	0	47	182	49	0	178	1	9	0	3	3	0	
0	1	7	8	17	18	35	36	38	39	3	9	16	20	21	24	28	29	31	37	3	1	91	76	0	159	962	72	8	2	0	1	0	
0	1	2	5	6	12	15	25	34	36	14	17	18	20	22	23	26	28	29	31	3	2	16	0	3051	47	105	0	156	1	0	7	0	
4	9	11	15	24	27	34	37	38	39	0	3	5	7	8	16	18	25	28	31	2	3	78	105	1266	26	0	3	0	6	1	0	0	
0	1	2	5	11	18	31	32	38	39	3	4	6	8	14	19	20	22	23	35	1	0	23	357	0	78	0	207	17	4	1	1	0	
0	2	9	11	12	18	28	30	33	35	3	4	7	8	14	24	27	32	34	39	2	1	23	26	39	62	0	202	9	6	2	0	0	
6	9	12	20	22	30	32	33	37	39	2	10	14	18	24	25	27	31	34	38	1	2	29	84	0	74	0	0	48	7	2	1	0	
5	7	8	9	10	14	15	17	20	30	3	18	19	21	22	26	27	28	29	32	3	3	29	171	105	114	1750	0	52	0	2	2	0	
