99	65
114	79
89	43
105	72
141	112
126	97
79	30
124	94
108	84
126	70
125	92
141	120
122	102
117	54
87	47
107	67
102	100
84	35
74	65
133	104
106	42
102	73
126	105
82	37
99	62
82	37
124	78
108	89
119	100
126	100
76	47
106	32
115	107
99	64
102	87
102	39
128	75
102	77
103	73
152	120
93	28
136	92
118	88
106	67
90	73
136	90
99	72
98	36
82	40
89	39
99	43
124	95
103	79
115	88
127	95
84	16
71	47
103	82
109	61
118	65
135	72
150	120
93	29
68	33
85	43
101	74
120	101
89	22
97	61
133	109
119	101
132	46
101	60
128	99
125	58
113	72
136	103
100	78
86	58
105	70
87	55
106	76
125	100
120	91
97	64
108	71
110	87
77	41
136	76
92	50
147	120
109	67
96	74
119	120
114	78
126	109
105	63
102	69
109	91
100	73
