Mode: 18 #Games: 1000 Notes: u1-2Trick-50
p_0	p_1	p_2	p_3	pt_0	pt_1	pt_2	pt_3	t_0	t_1	t_2	t_3	A_0	A_1	A_2	A_3	S_0	S_1	7_2	7_3	At_02	suits_0	suits_1	suits_2	suit_3	first_0	first_1	first_2	first_3	fp_02
31	35	29	25	0	11	16	3	2	2	4	2	1	2	0	1	1	1	2	0	0	4	4	4	4	1	0	0	0	72
24	36	35	25	16	10	0	4	5	2	1	2	1	1	1	1	0	2	2	0	1	3	4	4	4	1	0	0	0	106
65	18	20	17	21	4	3	2	4	2	3	1	3	0	0	1	3	0	1	0	1	4	4	4	4	0	0	1	0	70
40	38	11	31	10	4	2	14	3	1	3	3	0	2	0	2	4	0	0	0	0	4	4	4	3	0	0	1	0	28
24	39	49	8	7	11	10	2	2	2	2	4	1	2	1	0	0	1	3	0	0	4	4	4	4	0	1	0	0	63
20	16	54	30	0	2	28	0	2	3	4	1	0	0	3	1	1	1	1	1	1	4	4	4	4	0	0	0	1	97
21	22	36	41	4	3	12	11	4	2	2	2	1	1	1	1	0	0	2	2	0	4	4	4	4	0	1	0	0	58
39	17	27	37	14	2	14	0	4	1	4	1	2	1	0	1	1	0	1	2	1	4	4	4	4	0	0	1	0	63
26	24	44	26	0	5	14	11	3	3	3	1	1	0	1	2	1	1	2	0	0	4	4	4	4	0	0	1	0	80
17	23	33	47	0	2	18	10	0	2	6	2	0	1	2	1	0	1	0	3	1	3	4	4	4	0	0	0	1	66
28	28	34	30	11	0	19	0	2	3	4	1	2	1	0	1	0	1	2	1	1	4	4	4	4	0	0	0	1	69
22	34	20	44	5	10	0	15	3	3	2	2	1	1	1	1	0	2	0	2	0	4	3	4	4	0	0	0	1	33
35	22	42	21	11	16	3	0	2	3	2	3	2	0	2	0	1	1	1	1	1	4	4	4	4	1	0	0	0	82
26	24	23	47	0	10	0	20	2	2	1	5	0	1	1	2	2	1	0	1	0	4	4	4	4	1	0	0	0	26
24	47	17	32	0	14	6	10	2	4	3	1	1	1	0	2	0	3	0	1	0	4	4	3	4	1	0	0	0	41
42	29	37	12	11	13	2	4	3	2	2	3	2	1	1	0	1	1	2	0	1	4	4	3	4	1	0	0	0	80
37	25	14	44	12	11	0	7	3	3	2	2	1	1	0	2	2	0	1	1	0	3	3	3	4	0	1	0	0	43
24	30	28	38	0	21	6	3	3	3	3	1	1	1	0	2	1	1	1	1	0	4	4	4	4	0	0	1	0	67
20	20	39	41	2	4	14	10	3	2	2	3	0	0	2	2	1	1	1	1	1	4	4	4	4	0	1	0	0	71
12	21	45	42	3	11	2	14	2	3	3	2	0	1	1	2	0	0	3	1	0	4	4	4	4	0	1	0	0	61
23	23	34	40	10	16	4	0	3	6	1	0	0	1	1	2	2	0	1	1	0	4	4	4	3	0	1	0	0	37
25	36	35	24	0	0	19	11	3	0	4	3	2	1	0	1	0	1	2	1	0	4	3	4	4	0	0	0	1	62
31	22	23	44	21	4	3	2	2	2	3	3	1	0	1	2	1	1	0	2	1	4	4	4	4	0	0	1	0	67
19	39	23	39	0	13	3	14	3	3	2	2	1	2	1	0	0	1	0	3	0	4	4	4	4	0	0	1	0	48
9	39	40	32	4	2	13	11	3	3	3	1	0	1	1	2	0	2	2	0	0	3	4	3	4	0	0	1	0	79
21	36	46	17	4	16	10	0	1	5	2	2	1	2	1	0	0	0	3	1	0	4	3	4	4	0	0	0	1	41
42	28	20	30	0	11	9	10	1	1	6	2	1	1	1	1	2	1	0	1	0	4	4	3	4	0	0	0	1	79
22	40	36	22	0	0	13	17	1	2	3	4	1	2	0	1	0	1	3	0	0	4	4	4	4	1	0	0	0	50
21	47	14	38	0	9	10	11	1	4	2	3	1	1	0	2	0	2	1	1	0	4	4	4	4	0	0	0	1	29
19	69	18	14	0	12	11	7	1	4	2	3	0	3	1	0	1	3	0	0	1	4	4	4	4	0	1	0	0	11
34	10	34	42	11	0	19	0	2	3	4	1	2	0	1	1	1	0	1	2	1	4	4	3	4	1	0	0	0	78
37	46	16	21	2	14	3	11	2	5	2	1	1	2	0	1	2	2	0	0	0	4	4	4	4	1	0	0	0	16
28	23	30	39	10	0	16	4	3	2	3	2	0	0	2	2	2	1	0	1	1	4	4	4	4	1	0	0	0	68
25	31	32	32	18	12	0	0	4	4	1	1	1	0	1	2	0	2	1	1	1	3	3	4	4	0	1	0	0	40
28	19	21	52	2	0	0	28	1	3	1	5	1	1	1	1	0	0	1	3	0	4	3	4	4	0	0	1	0	27
22	26	22	50	14	14	0	2	4	3	1	2	0	1	1	2	1	1	0	2	0	4	4	4	4	0	1	0	0	32
39	15	39	27	10	4	3	13	2	2	3	3	1	1	1	1	2	0	1	1	0	4	4	4	3	0	1	0	0	81
26	33	33	28	11	4	15	0	3	2	4	1	1	2	1	0	1	0	1	2	1	4	4	4	4	0	0	1	0	58
35	28	36	21	10	3	6	11	2	3	3	2	1	0	2	1	1	2	0	1	0	4	4	4	3	0	0	0	1	97
