Mode: 18 #Games: 1000 Notes: u1-2Trick-50
p_0	p_1	p_2	p_3	pt_0	pt_1	pt_2	pt_3	t_0	t_1	t_2	t_3	A_0	A_1	A_2	A_3	S_0	S_1	7_2	7_3	At_02	suits_0	suits_1	suits_2	suit_3	first_0	first_1	first_2	first_3	fp_02
18	31	42	29	3	10	13	4	3	3	3	1	0	0	3	1	1	2	0	1	1	3	4	3	4	0	0	1	0	94
25	21	35	39	0	3	23	4	1	2	5	2	1	0	1	2	0	1	2	1	1	4	4	4	4	1	0	0	0	86
46	42	16	16	12	15	0	3	3	2	3	2	1	3	0	0	2	0	1	1	0	4	4	4	4	1	0	0	0	71
47	24	29	20	7	10	13	0	3	3	4	0	2	0	1	1	1	2	1	0	1	4	3	4	3	0	0	1	0	94
30	33	39	18	4	10	11	5	1	5	1	3	2	1	1	0	0	2	2	0	1	4	4	4	4	0	1	0	0	47
28	13	37	42	0	0	24	6	2	2	4	2	1	0	1	2	1	0	2	1	1	4	4	4	4	0	1	0	0	62
21	38	43	18	4	0	13	13	2	1	3	4	1	1	1	1	0	2	2	0	0	4	4	4	4	0	0	1	0	79
27	16	43	34	0	6	13	11	0	6	2	2	0	0	2	2	2	1	1	0	0	3	3	4	4	0	0	0	1	38
22	31	45	22	5	0	15	10	3	2	2	3	1	0	3	0	0	2	0	2	1	4	4	3	4	0	0	1	0	56
37	25	31	27	12	0	18	0	6	1	3	0	1	1	1	1	2	0	1	1	1	4	3	3	3	0	0	0	1	94
18	29	34	39	2	14	4	10	2	3	3	2	0	2	1	1	1	0	1	2	0	3	3	3	3	0	0	0	1	77
30	40	29	21	7	10	2	11	2	2	3	3	1	1	1	1	1	2	1	0	0	4	4	4	4	0	0	0	1	56
30	39	37	14	0	16	10	4	1	3	1	5	1	2	1	0	1	0	2	1	0	4	4	4	4	1	0	0	0	40
34	26	18	42	14	0	5	11	2	2	2	4	1	1	0	2	1	1	0	2	0	4	4	4	4	1	0	0	0	35
40	21	21	38	11	2	4	13	3	2	3	2	2	0	1	1	1	1	0	2	1	4	4	4	4	1	0	0	0	78
29	34	37	20	15	10	5	0	2	2	2	4	2	1	1	0	0	1	1	2	1	4	4	4	4	0	1	0	0	55
36	20	41	23	17	0	13	0	4	1	3	2	1	1	1	1	1	0	2	1	1	3	4	4	4	0	1	0	0	93
16	24	50	30	3	4	23	0	4	1	3	2	1	0	2	1	0	1	2	1	1	4	4	4	4	0	1	0	0	91
22	26	31	41	10	5	11	4	3	5	1	1	0	1	2	1	1	1	0	2	1	4	4	4	4	1	0	0	0	51
45	37	6	32	14	14	2	0	5	4	1	0	1	2	0	1	3	0	0	1	0	4	4	4	3	0	0	1	0	76
56	30	10	24	25	2	3	0	3	5	2	0	2	1	0	1	3	1	0	0	1	4	3	4	3	0	0	1	0	56
40	23	40	17	4	2	11	13	2	2	2	4	2	0	2	0	1	1	1	1	1	4	4	4	4	0	0	1	0	91
41	29	19	31	15	12	3	0	4	2	2	2	2	0	1	1	1	2	0	1	1	4	4	4	4	0	1	0	0	71
47	26	32	15	21	9	0	0	4	3	1	2	3	0	1	0	1	1	1	1	1	4	4	4	4	0	0	0	1	66
25	45	21	29	3	10	13	4	3	2	3	2	1	1	1	1	0	3	0	1	1	4	4	4	4	0	0	0	1	45
23	50	29	18	14	10	2	4	4	1	2	3	1	1	1	1	0	3	1	0	1	4	4	4	4	0	0	0	1	93
28	26	45	21	0	12	18	0	3	4	3	0	1	0	2	1	1	2	1	0	1	4	4	4	3	0	0	1	0	74
34	32	47	7	3	10	13	4	3	1	2	4	1	1	2	0	2	1	1	0	1	4	4	4	4	1	0	0	0	65
32	17	51	20	0	15	13	2	1	5	3	1	1	1	2	0	1	0	2	1	0	4	4	4	4	0	0	0	1	86
10	60	23	27	2	25	3	0	2	5	2	1	0	2	0	2	0	3	1	0	0	4	3	4	4	1	0	0	0	5
20	25	44	31	11	0	10	9	3	1	2	4	1	1	2	0	0	1	2	1	1	3	4	4	3	0	1	0	0	53
17	25	47	31	0	3	13	14	2	3	3	2	0	1	2	1	1	0	2	1	1	4	4	4	4	0	0	1	0	59
36	28	32	24	0	5	10	15	2	5	1	2	1	1	1	1	2	1	1	0	0	4	3	4	4	1	0	0	0	35
38	32	8	42	13	2	0	15	3	3	1	3	1	1	0	2	2	1	0	1	0	4	3	4	4	0	0	0	1	51
47	37	22	14	7	12	11	0	2	2	4	2	2	1	1	0	1	2	0	1	1	3	4	4	4	1	0	0	0	78
26	31	28	35	0	9	11	10	1	4	3	2	0	2	1	1	1	0	1	2	1	4	4	4	4	0	1	0	0	60
43	32	25	20	12	15	3	0	3	3	2	2	1	2	0	1	3	0	1	0	0	4	4	4	4	0	1	0	0	75
18	49	29	24	4	24	2	0	3	5	2	0	0	2	1	1	1	2	1	0	0	4	4	4	3	0	1	0	0	56
31	38	22	29	10	13	4	3	2	3	2	3	1	2	0	1	1	1	1	1	0	4	4	4	3	0	0	1	0	46
37	26	42	15	10	14	4	2	1	4	2	3	1	1	2	0	1	1	1	1	0	4	4	4	4	0	0	1	0	68
24	46	17	33	13	14	0	3	4	3	0	3	2	1	0	1	0	2	1	1	1	4	3	3	4	0	0	1	0	80
32	28	46	14	3	11	14	2	3	3	2	2	1	1	2	0	1	1	1	1	0	4	3	4	4	0	0	0	1	84
8	45	28	39	0	4	16	10	3	2	4	1	0	2	1	1	0	1	1	2	1	4	4	3	4	0	0	0	1	60
40	29	23	28	26	0	0	4	4	1	2	3	1	1	0	2	2	1	1	0	1	4	4	4	4	0	0	0	1	55
31	11	52	26	2	7	11	10	3	4	2	1	1	0	3	0	1	0	1	2	1	3	3	4	4	1	0	0	0	91
40	35	34	11	13	7	10	0	4	2	2	2	2	1	0	1	1	1	2	0	1	4	4	4	4	1	0	0	0	72
27	32	29	32	0	12	7	11	2	3	2	3	2	0	0	2	0	2	1	1	0	4	4	4	4	0	1	0	0	50
25	53	36	6	0	12	14	4	1	3	2	4	2	1	1	0	0	3	1	0	1	4	4	4	3	1	0	0	0	49
27	30	25	38	2	17	0	11	2	4	2	2	1	0	2	1	0	2	0	2	0	4	4	4	4	0	1	0	0	40
58	26	18	18	12	3	0	15	4	3	1	2	2	1	0	1	3	1	0	0	0	3	4	4	4	1	0	0	0	87
37	35	31	17	0	14	16	0	1	5	3	1	2	2	0	0	1	1	2	0	0	4	4	4	4	0	0	1	0	63
13	46	41	20	0	10	13	7	1	2	3	4	0	2	1	1	0	2	2	0	1	4	4	4	3	0	1	0	0	49
27	43	31	19	2	14	11	3	1	3	3	3	1	0	2	1	1	3	0	0	1	4	4	4	4	0	1	0	0	64
29	49	10	32	3	21	4	2	1	4	3	2	1	2	0	1	1	2	0	1	0	3	3	4	4	0	0	1	0	51
32	25	36	27	17	0	3	10	5	0	3	2	1	2	0	1	1	0	2	1	1	4	3	4	4	0	0	0	1	68
35	29	20	36	11	3	0	16	3	1	2	4	1	1	1	1	2	1	0	1	1	4	4	4	3	0	0	1	0	75
35	54	7	24	4	23	3	0	2	3	3	2	1	3	0	0	1	1	0	2	0	4	4	4	4	0	0	1	0	47
24	47	13	36	0	13	3	14	2	2	2	4	1	2	0	1	1	2	0	1	0	4	3	4	4	0	0	0	1	34
15	38	29	38	2	4	14	10	1	1	4	4	1	1	1	1	0	2	0	2	1	4	3	4	4	0	0	0	1	37
31	31	28	30	0	3	11	16	2	2	3	3	1	1	2	0	1	1	0	2	1	4	4	4	4	1	0	0	0	71
22	45	23	30	4	3	0	23	4	2	0	4	1	2	0	1	0	2	1	1	0	3	4	3	4	0	0	0	1	42
45	22	25	28	14	3	13	0	2	2	4	2	1	0	1	2	2	1	1	0	1	4	4	3	4	1	0	0	0	85
34	30	13	43	13	13	0	4	4	4	1	1	1	2	0	1	2	0	0	2	0	4	4	4	4	0	1	0	0	48
35	40	38	7	25	0	2	3	4	1	3	2	1	2	1	0	1	1	2	0	1	4	4	4	4	0	1	0	0	109
24	43	36	17	6	10	3	11	3	1	1	5	0	1	2	1	1	3	0	0	0	4	4	4	4	0	0	1	0	50
41	30	16	33	14	2	10	4	2	3	3	2	2	1	0	1	1	1	1	1	1	4	4	4	4	1	0	0	0	94
24	40	29	27	14	3	13	0	2	2	2	4	0	1	2	1	1	2	0	1	1	4	4	4	3	0	0	1	0	53
39	32	12	37	10	3	6	11	3	1	5	1	0	1	0	3	3	1	0	0	0	4	4	4	4	0	0	0	1	67
21	31	39	29	4	5	21	0	1	6	3	0	0	2	2	0	1	0	1	2	1	4	4	4	3	0	1	0	0	65
38	8	28	46	7	2	11	10	3	1	4	2	1	0	1	2	1	0	1	2	1	4	4	4	4	0	0	0	1	61
40	23	37	20	21	3	6	0	2	3	4	1	1	1	1	1	2	0	2	0	1	4	3	3	3	1	0	0	0	83
29	30	34	27	0	5	0	25	2	4	1	3	0	2	1	1	2	0	1	1	0	4	4	4	4	0	1	0	0	34
26	17	40	37	13	11	4	2	3	4	2	1	0	1	2	1	1	0	1	2	0	4	4	4	4	0	0	1	0	55
33	52	23	12	14	6	0	10	5	2	1	2	1	2	1	0	1	2	0	1	1	4	4	4	4	1	0	0	0	83
30	33	28	29	4	2	10	14	3	3	2	2	1	0	1	2	1	2	1	0	0	4	4	4	4	0	0	1	0	70
