Mode: 21 #Games: 100
p0_0	p0_1	p0_2	p0_3	p0_4	p0_5	p0_6	p0_7	p0_8	p0_9	p2_0	p2_1	p2_2	p2_3	p2_4	p2_5	p2_6	p2_7	p2_8	p2_9	trump	first	fp	t_t0	t_t1	t_t2	t_t3	t_t4	t_t5	t_t6	t_t7	t_t8	t_t9
4	7	10	14	15	20	25	27	28	30	0	1	8	19	21	24	33	36	37	38	0	0	77	272	44	1670	12	21	0	6	616	0	0	
4	8	10	11	12	13	25	26	29	37	1	3	7	16	19	20	28	30	32	34	2	1	78	6	356	0	0	3	0	3	0	0	0	
2	3	5	16	18	22	26	31	32	37	4	8	9	13	17	27	28	30	34	36	2	2	56	7	0	1303	0	3	3	0	0	0	0	
2	11	12	15	20	21	27	28	30	32	0	5	7	9	13	17	22	24	31	33	1	3	7	0	23	2	9	6	0	0	0	0	0	
7	9	13	15	19	20	21	24	28	39	1	11	17	18	23	26	29	30	32	33	1	0	116	11	0	0	850	1	0	0	0	5	0	
1	3	10	14	20	26	29	31	32	37	6	8	9	12	15	18	24	27	36	39	3	1	58	10	33	6	31	0	10	0	0	0	0	
2	4	6	9	11	16	19	20	32	37	0	1	7	12	14	15	22	25	28	36	2	2	19	11	0	186	80	8	0	2	0	0	0	
0	4	5	21	23	27	28	30	38	39	3	7	9	15	16	20	24	26	29	32	2	3	108	29	20	22	32	17	4	0	0	0	0	
1	8	13	16	21	25	27	31	33	39	0	6	7	9	10	15	17	30	32	35	1	0	53	21	0	34	0	121	1	0	0	0	0	
6	8	10	13	16	25	29	30	34	39	0	1	2	3	4	5	14	20	27	37	0	1	102	3	1	5	0	0	0	2	5	0	0	
2	9	10	14	22	24	26	27	32	39	3	4	6	15	17	20	21	30	35	37	3	2	51	30	0	1382	0	0	0	1	0	0	0	
1	2	3	7	12	13	21	25	26	27	10	11	15	17	23	31	32	34	36	37	0	3	4	84	258	0	0	2	0	1	0	0	0	
14	16	24	26	27	28	34	35	37	38	4	10	11	13	15	18	23	25	33	36	3	0	33	118	0	89	35	3	1	0	0	0	0	
0	1	10	12	15	17	22	24	26	32	4	5	7	8	19	23	25	29	36	38	2	1	98	0	53	1	5	1	0	0	0	0	0	
2	7	17	18	20	21	23	28	32	33	0	1	4	14	16	22	24	30	35	37	0	2	3	16	5	1	0	3	0	0	0	0	0	
3	5	9	16	23	27	31	32	35	36	4	6	10	19	20	28	30	33	34	38	1	3	41	16	24	0	56	27	10	0	0	0	0	
0	1	2	3	8	12	27	33	37	39	4	9	16	19	23	24	25	29	30	35	1	0	47	55	3	13	9	0	0	4	0	0	0	
1	6	8	9	11	13	19	23	28	35	3	17	18	22	24	26	29	33	34	37	0	1	79	20	3	0	1049	0	2	2	0	0	0	
9	10	11	14	19	26	31	37	38	39	1	12	17	20	22	24	27	32	33	34	3	2	64	3	0	54	105	77	37	1	0	0	0	
2	3	5	9	13	18	28	30	36	39	14	15	16	17	20	21	25	29	32	34	2	3	75	12	463	3	0	57	0	1	0	0	0	
0	4	8	9	15	17	19	20	30	35	5	6	16	25	28	31	36	37	38	39	2	0	76	58	2	0	0	15	5	0	0	0	0	
0	1	3	13	16	21	33	34	35	38	5	11	12	20	25	26	28	30	32	37	0	1	42	3	0	2	6	0	1	0	0	0	0	
1	2	3	8	11	15	17	24	36	37	5	13	16	19	20	25	28	31	34	39	3	2	66	0	10	7	11	0	6	0	0	0	0	
2	9	12	13	18	23	25	30	36	37	3	6	11	14	24	26	29	35	38	39	3	3	102	2	0	5	0	0	0	0	0	0	0	
0	1	5	10	13	14	18	19	27	31	4	9	11	17	23	26	30	34	36	38	0	0	57	26	0	7	689	0	14	1	0	0	0	
3	9	13	16	19	21	29	31	37	39	0	5	15	20	23	24	26	33	34	38	1	1	83	5	9	2	0	0	0	0	0	0	0	
0	3	4	10	11	12	19	31	35	38	1	6	7	8	9	20	21	33	36	39	2	2	64	5	2	6	10	0	8	1	0	0	0	
2	4	7	9	11	13	15	19	21	39	3	20	25	27	28	30	32	34	36	37	2	3	99	0	33	1052	2	57	5	0	0	0	0	
7	10	18	20	21	28	29	33	37	39	0	1	6	8	12	17	19	25	32	35	0	0	62	30	621	16	0	186	2	1	0	0	0	
2	5	7	10	13	15	25	28	36	38	0	4	6	8	12	24	26	29	34	39	0	1	52	2	0	0	20	23	1	0	0	0	0	
0	14	16	18	20	22	26	32	34	35	1	2	4	12	17	21	23	29	30	36	3	2	64	0	45	30	1	0	5	1	0	0	0	
2	4	12	16	18	21	27	30	32	34	3	6	8	9	11	15	17	31	35	38	2	3	47	13	0	3927	56	99	27	1	0	0	0	
2	12	14	18	20	21	22	24	34	37	0	1	6	9	10	13	16	17	32	35	3	0	11	58	67	12	6	2	10	0	0	0	0	
3	7	13	20	27	29	31	36	37	38	4	5	9	10	11	12	17	22	23	28	0	1	35	8	16	0	1529	612	48	2	0	0	0	
9	11	13	16	19	21	22	26	32	35	4	6	12	14	18	23	24	27	33	36	2	2	28	7	5	0	3	0	0	2	0	0	0	
1	2	7	9	14	19	22	28	38	39	0	5	8	10	13	16	17	24	29	32	0	3	120	2	0	1505	0	3	0	0	0	0	0	
3	10	15	17	20	22	25	36	37	39	2	4	5	7	12	13	16	27	29	38	1	0	27	24	65	4594	0	0	2	1	0	0	0	
0	9	10	15	16	19	22	24	27	39	3	6	8	11	18	20	21	26	29	31	3	1	69	1	0	1076	156	0	0	15	0	0	0	
1	4	8	13	25	29	30	32	33	37	0	3	6	10	20	23	24	28	31	39	1	2	0	41	14	0	2	4	3	0	0	0	0	
5	8	10	11	17	23	24	27	32	38	1	6	14	16	19	21	22	25	29	31	2	3	84	2	0	6	6	4	0	3	0	0	0	
0	7	10	12	13	16	19	22	28	35	4	6	9	11	18	20	23	37	38	39	2	0	77	60	2	0	2120	0	96	0	0	0	0	
1	2	4	5	6	9	12	25	26	32	11	14	15	20	23	29	31	35	37	39	3	1	33	0	33	23	5	0	2	4	0	0	0	
1	5	8	12	15	25	26	31	32	36	0	4	10	11	14	17	20	22	29	35	0	2	35	1	0	3	12	0	18	0	0	0	0	
2	6	8	14	16	20	27	28	30	33	3	7	9	10	11	13	15	23	37	38	0	3	75	3	4	10	0	0	11	0	0	0	0	
2	5	6	10	11	15	21	23	31	32	1	7	12	13	16	17	20	29	30	35	2	0	17	29	0	5	1	0	6	0	0	0	0	
1	3	12	13	14	16	20	23	33	37	2	5	8	11	15	18	27	32	35	39	0	1	27	12	0	18	7	0	2	1	0	0	0	
1	3	4	5	8	18	22	27	37	39	0	7	11	12	15	24	25	26	33	34	3	2	27	16	27	4	0	0	0	0	0	0	0	
1	10	21	23	26	27	29	34	35	39	0	3	5	7	17	22	24	32	36	38	0	3	4	5	807	0	0	12	1	1	0	0	0	
3	7	8	13	18	20	21	26	29	31	0	1	5	6	19	25	27	33	34	39	0	0	93	35	0	5	2	0	11	0	0	0	0	
4	11	17	18	20	22	24	26	29	35	0	2	3	6	8	10	31	34	36	39	1	1	52	0	244	0	3274	0	0	1	0	0	0	
1	2	4	7	8	13	22	24	32	35	0	5	9	12	16	20	21	25	27	28	1	2	0	18	0	40	36	0	67	0	0	0	0	
0	2	3	5	10	14	15	18	27	32	6	9	11	16	17	19	24	25	28	36	3	3	32	0	0	1131	278	97	1	1	0	0	0	
1	4	5	10	11	18	23	27	33	38	3	6	7	12	14	15	24	28	31	34	2	0	0	22	2	4	0	1	0	0	0	0	0	
3	5	12	15	16	18	21	27	33	35	0	6	7	10	11	14	17	29	30	34	3	1	34	1	0	15	39	19	2	0	0	0	0	
0	2	3	13	17	19	21	27	32	35	6	7	8	12	14	18	20	25	26	38	3	2	38	3	20	6	0	0	0	0	0	0	0	
0	4	8	10	14	15	22	25	30	31	1	2	5	13	16	19	26	36	38	39	1	3	95	9	7	5	8	11	0	0	0	0	0	
6	7	14	21	24	26	28	31	32	36	5	11	16	18	19	20	25	27	34	35	0	0	38	143	0	20	39	6	1	0	0	0	0	
6	8	9	16	19	21	31	34	37	38	0	5	11	13	15	17	24	26	30	33	2	1	54	4	17	0	473	0	34	0	0	0	0	
9	10	11	18	20	25	32	33	34	37	6	8	12	14	15	17	19	23	24	27	0	2	39	4	8	23	0	0	0	1	0	0	0	
6	7	12	17	23	26	28	30	33	38	0	2	10	11	21	22	29	34	36	37	1	3	44	11	0	5	0	1	1	0	0	0	0	
3	6	14	16	18	26	28	31	37	39	5	12	15	19	20	25	29	34	35	38	0	0	54	13	0	73	0	21	3	0	0	0	0	
5	6	14	16	24	26	27	30	33	38	1	2	3	7	8	11	13	20	28	35	2	1	32	8	5	1	1	0	1	0	0	0	0	
4	5	9	13	19	21	25	30	32	38	0	6	7	10	12	16	17	26	29	36	3	2	73	3	10	4	8	7	0	0	0	0	0	
0	5	9	16	17	20	22	29	31	37	2	3	4	8	12	15	23	24	25	28	1	3	23	0	6	0	395	0	0	1	0	0	0	
3	4	10	17	18	20	23	28	30	37	1	2	5	13	15	21	22	31	32	34	1	0	9	28	5	0	2	0	0	0	0	0	0	
