Mode: 15 #Games: 5000 Notes: u1-1Trick-500
p_0	p_1	p_2	p_3	pt_0	pt_1	pt_2	pt_3	t_0	t_1	t_2	t_3	A_0	A_1	A_2	A_3	S_0	S_1	7_2	7_3	At_02	suits_0	suits_1	suits_2	suit_3	first_0	first_1	first_2	first_3	fp_02
51	17	17	35	10	6	3	11	1	3	4	2	2	0	0	2	2	0	1	1	0	4	4	3	4	0	0	1	0	73
42	37	25	16	11	5	10	4	3	2	3	2	1	2	1	0	2	1	1	0	1	4	4	4	4	1	0	0	0	94
46	16	47	11	16	0	10	4	3	3	2	2	2	0	2	0	1	1	2	0	1	3	3	4	4	1	0	0	0	73
14	29	47	30	0	11	13	6	1	2	3	4	0	2	2	0	1	0	2	1	0	4	4	4	4	0	0	0	1	68
37	27	27	29	14	2	0	14	3	2	1	4	1	1	0	2	1	1	2	0	0	4	4	4	4	0	0	1	0	74
21	42	34	23	4	10	11	5	2	4	1	3	0	2	2	0	1	2	0	1	1	4	4	4	3	1	0	0	0	58
40	23	13	44	21	0	2	7	5	0	2	3	2	0	1	1	1	1	0	2	1	4	3	3	4	0	1	0	0	77
23	20	36	41	3	2	15	10	5	1	3	1	1	0	2	1	0	1	1	2	1	4	4	4	4	0	1	0	0	90
40	33	27	20	4	12	11	3	1	4	4	1	1	1	2	0	2	2	0	0	1	4	4	4	4	0	1	0	0	63
42	18	30	30	14	10	4	2	3	3	1	3	2	0	0	2	1	1	2	0	1	3	4	4	4	0	0	1	0	85
16	43	30	31	0	2	15	13	2	1	4	3	1	0	2	1	0	3	0	1	1	3	4	4	3	0	0	1	0	50
42	27	32	19	15	5	0	10	3	4	0	3	1	2	1	0	2	0	1	1	1	3	4	2	4	0	0	0	1	72
20	37	30	33	2	0	10	18	3	0	3	4	1	2	0	1	0	1	2	1	0	4	3	4	4	0	0	1	0	67
51	23	16	30	11	14	2	3	2	4	2	2	2	0	1	1	2	1	0	1	1	4	3	3	4	0	0	0	1	75
36	45	9	30	3	11	2	14	1	4	1	4	0	3	0	1	2	1	0	1	0	4	4	4	3	0	0	0	1	11
35	21	12	52	13	0	6	11	4	2	3	1	2	0	0	2	1	1	0	2	0	4	3	4	4	0	0	0	1	80
54	20	17	29	0	2	14	14	1	2	4	3	2	1	1	0	2	0	0	2	1	4	4	4	4	1	0	0	0	72
23	15	49	33	7	11	12	0	2	6	2	0	1	1	0	2	0	0	4	0	0	4	4	4	3	1	0	0	0	49
46	29	23	22	15	13	0	2	2	3	1	4	3	0	0	1	0	2	2	0	1	4	4	4	4	1	0	0	0	70
29	17	45	29	0	6	14	10	2	4	2	2	0	1	2	1	2	0	1	1	1	4	4	4	4	1	0	0	0	72
53	28	21	18	10	15	2	3	1	3	3	3	2	1	1	0	2	1	0	1	0	4	4	4	4	0	1	0	0	43
15	50	17	38	5	0	0	25	5	0	1	4	0	2	1	1	0	2	0	2	0	4	3	4	4	0	1	0	0	21
18	46	34	22	3	21	4	2	3	3	2	2	1	2	1	0	0	2	1	1	0	4	3	4	3	0	1	0	0	52
21	23	30	46	3	2	14	11	3	3	2	2	0	1	0	3	1	0	2	1	0	4	4	4	4	0	1	0	0	61
35	17	28	40	0	0	14	16	1	2	3	4	1	1	1	1	1	0	1	2	1	4	4	3	4	0	0	1	0	59
29	45	20	26	0	12	14	4	1	2	4	3	2	0	1	1	0	4	0	0	1	4	4	4	4	0	0	1	0	68
31	28	26	35	24	0	2	4	5	1	3	1	1	0	1	2	1	2	1	0	1	3	4	4	4	0	0	1	0	74
39	23	27	31	0	14	13	3	1	4	4	1	2	0	1	1	1	1	1	1	1	3	4	4	4	0	0	1	0	86
20	31	19	50	16	4	0	10	5	3	1	1	1	0	1	2	0	2	0	2	1	3	4	3	4	0	0	0	1	82
41	29	41	9	11	3	16	0	2	2	5	1	2	1	1	0	1	1	2	0	1	4	4	3	4	0	0	0	1	102
11	43	30	36	6	0	13	11	3	1	4	2	0	2	1	1	0	1	1	2	0	4	4	3	4	1	0	0	0	69
