-- GAME --
P0 3Hearts P1 7Hearts P2 5Hearts 
P3 3Diamonds P0 4Diamonds P1 ADiamonds P2 2Diamonds 
P1 2Hearts P2 5Diamonds P3 6Hearts P0 JHearts 
P0 4Hearts P1 QHearts P2 6Diamonds P3 7Clubs 
P1 5Clubs P2 2Spades P3 3Clubs P0 AClubs 
P2 6Spades P3 QDiamonds P0 5Spades P1 3Spades 
P2 QSpades P3 QClubs P0 ASpades P1 4Spades 
P0 2Clubs P1 7Spades P2 7Diamonds P3 KClubs 
P1 KDiamonds P2 JSpades P3 JDiamonds P0 4Clubs 
P2 KSpades P3 JClubs P0 6Clubs P1 KHearts 
-- /GAME --

