-- GAME --
P2 2Diamonds P3 4Diamonds P0 ADiamonds P1 7Diamonds 
P0 5Hearts P1 AHearts P2 4Hearts P3 JHearts 
P1 ASpades P2 2Spades P3 7Spades P0 4Clubs 
P0 JClubs P1 6Clubs P2 2Clubs P3 3Clubs 
P0 KDiamonds P1 2Hearts P2 QDiamonds P3 5Diamonds 
P0 KHearts P1 3Hearts P2 QHearts P3 6Hearts 
P0 JDiamonds P1 4Spades P2 6Diamonds P3 3Spades 
P0 3Diamonds P1 QClubs P2 5Spades P3 KSpades 
P1 JSpades P2 6Spades P3 QSpades P0 7Clubs 
P0 KClubs P1 7Hearts P2 AClubs P3 5Clubs 
-- /GAME --

