Mode: 18 #Games: 1000 Notes: u1-3Trick-50
p_0	p_1	p_2	p_3	pt_0	pt_1	pt_2	pt_3	t_0	t_1	t_2	t_3	A_0	A_1	A_2	A_3	S_0	S_1	7_2	7_3	At_02	suits_0	suits_1	suits_2	suit_3	first_0	first_1	first_2	first_3	fp_02
35	16	29	40	4	12	0	14	2	3	2	3	1	0	2	1	1	1	0	2	0	4	4	4	4	0	0	1	0	78
46	27	27	20	14	3	11	2	2	4	2	2	2	1	1	0	2	1	1	0	1	4	4	4	4	1	0	0	0	73
40	35	29	16	11	5	14	0	2	2	3	3	2	0	1	1	1	2	1	0	1	4	4	4	4	0	0	0	1	72
41	15	24	40	13	6	0	11	2	3	2	3	2	0	0	2	1	0	2	1	0	3	4	4	4	1	0	0	0	71
36	35	32	17	2	15	0	13	1	3	1	5	2	1	1	0	0	2	1	1	0	4	4	4	3	0	0	1	0	38
38	32	2	48	10	4	0	16	2	2	3	3	0	1	0	3	2	1	0	1	0	4	4	4	4	0	1	0	0	18
25	36	34	25	4	0	3	23	2	2	2	4	0	2	1	1	1	1	1	1	0	4	4	4	4	0	0	0	1	37
23	21	50	26	14	2	4	10	4	3	1	2	1	0	2	1	0	1	2	1	1	3	4	4	4	0	1	0	0	78
36	32	41	11	21	6	3	0	3	2	2	3	2	1	1	0	1	1	2	0	1	4	4	4	4	0	0	1	0	95
43	44	11	22	7	12	0	11	2	3	3	2	1	2	0	1	2	2	0	0	0	4	4	4	4	0	0	1	0	53
25	44	27	24	13	10	4	3	5	3	1	1	1	2	1	0	1	2	0	1	1	4	4	4	4	0	0	0	1	56
24	17	46	33	0	5	10	15	2	3	1	4	2	0	1	1	0	0	3	1	0	4	4	4	4	0	0	0	1	90
37	33	33	17	11	3	14	2	2	3	3	2	1	2	1	0	2	0	1	1	1	4	4	4	4	1	0	0	0	72
16	47	45	12	16	14	0	0	4	3	2	1	1	2	1	0	0	1	3	0	1	3	4	4	4	1	0	0	0	63
34	28	22	36	11	3	0	16	3	1	3	3	2	1	1	0	1	1	0	2	1	4	4	4	4	1	0	0	0	33
39	27	37	17	6	0	10	14	2	3	3	2	0	1	2	1	2	1	1	0	0	4	3	4	4	0	1	0	0	48
60	14	21	25	23	0	3	4	3	2	2	3	2	0	1	1	3	0	0	1	1	4	4	4	4	0	1	0	0	76
34	14	27	45	7	0	12	11	3	3	3	1	1	1	1	1	1	0	1	2	0	4	3	4	4	1	0	0	0	78
18	44	32	26	0	17	13	0	1	3	5	1	0	3	1	0	1	0	1	2	0	4	4	4	4	0	1	0	0	54
39	18	18	45	11	14	3	2	1	2	4	3	1	0	1	2	2	1	0	1	1	4	4	4	4	0	1	0	0	80
26	17	54	23	0	0	10	20	2	3	1	4	0	0	3	1	2	1	1	0	0	4	4	4	3	0	0	1	0	62
39	19	30	32	4	0	10	16	1	1	4	4	2	0	0	2	1	1	2	0	0	4	4	4	4	0	0	1	0	55
33	35	26	26	6	14	10	0	2	3	2	3	1	2	1	0	1	0	1	2	0	4	4	4	4	0	0	1	0	43
17	37	46	20	0	9	10	11	3	3	1	3	1	0	2	1	0	2	2	0	0	4	4	4	4	0	0	0	1	83
7	42	26	45	0	13	11	6	1	2	3	4	0	0	1	3	0	3	1	0	1	4	4	4	4	0	0	1	0	28
35	19	35	31	14	2	10	4	2	2	2	4	1	1	0	2	1	0	3	0	1	4	4	4	4	0	0	0	1	45
40	14	33	33	6	10	3	11	3	2	2	3	2	0	1	1	1	1	1	1	0	4	4	3	4	0	0	0	1	62
2	31	41	46	0	7	13	10	1	6	2	1	0	0	2	2	0	2	1	1	1	4	3	4	4	0	0	0	1	62
38	15	35	32	0	13	17	0	0	6	3	1	1	1	1	1	2	0	1	1	0	3	4	4	4	1	0	0	0	70
15	28	40	37	3	4	2	21	2	3	1	4	0	2	1	1	1	0	1	2	0	4	4	4	4	0	1	0	0	37
24	35	31	30	10	15	5	0	3	3	2	2	1	2	0	1	1	0	2	1	0	4	4	4	3	1	0	0	0	57
33	51	14	22	14	16	0	0	2	4	3	1	2	2	0	0	0	2	1	1	1	4	4	4	4	0	1	0	0	67
35	23	45	17	10	11	7	2	2	1	3	4	0	1	2	1	3	0	1	0	0	4	4	4	3	1	0	0	0	81
25	35	24	36	2	10	7	11	2	1	4	3	0	1	1	2	1	2	0	1	0	4	4	4	4	0	0	1	0	49
28	22	23	47	0	16	14	0	1	4	3	2	2	1	0	1	0	0	1	3	0	4	4	4	4	1	0	0	0	49
