Mode: 18 #Games: 1000 Notes: u1-3Trick-50
p_0	p_1	p_2	p_3	pt_0	pt_1	pt_2	pt_3	t_0	t_1	t_2	t_3	A_0	A_1	A_2	A_3	S_0	S_1	7_2	7_3	At_02	suits_0	suits_1	suits_2	suit_3	first_0	first_1	first_2	first_3	fp_02
44	20	48	8	10	7	11	2	1	3	3	3	1	1	2	0	2	0	2	0	1	4	4	4	4	0	0	1	0	96
18	41	23	38	0	17	3	10	0	5	2	3	0	1	1	2	1	2	0	1	0	3	4	4	4	0	0	1	0	11
33	36	26	25	10	13	0	7	3	3	1	3	1	2	0	1	1	1	2	0	0	4	3	4	4	0	0	0	1	58
38	32	18	32	2	24	4	0	3	5	1	1	2	1	0	1	1	1	1	1	0	4	4	4	4	0	0	0	1	50
13	34	37	36	3	4	10	13	1	3	2	4	0	0	2	2	0	2	1	1	0	4	4	3	4	1	0	0	0	41
20	15	45	40	4	0	10	16	3	1	2	4	1	0	2	1	0	1	1	2	0	4	4	4	4	0	1	0	0	39
27	30	35	28	0	2	14	14	1	1	3	5	0	1	1	2	2	1	1	0	0	3	4	4	3	1	0	0	0	54
28	21	24	47	5	4	10	11	4	3	2	1	1	0	0	3	1	1	2	0	0	4	4	4	4	0	0	1	0	72
38	37	27	18	14	14	0	2	4	3	0	3	3	0	0	1	0	2	2	0	1	3	3	3	4	0	1	0	0	27
37	36	13	34	24	4	0	2	3	2	1	4	1	0	1	2	1	2	0	1	1	4	4	4	4	0	0	0	1	46
12	35	53	20	0	4	11	15	3	2	2	3	0	1	3	0	0	1	2	1	1	4	4	4	4	1	0	0	0	63
48	11	32	29	12	4	11	3	4	3	1	2	2	0	2	0	2	0	0	2	1	4	4	4	4	0	0	1	0	94
30	24	43	23	0	0	19	11	1	1	4	4	1	1	1	1	1	0	2	1	0	4	4	4	4	0	1	0	0	65
5	38	36	41	0	13	14	3	3	4	2	1	0	2	1	1	0	1	1	2	0	4	3	4	4	0	0	0	1	41
27	17	52	24	4	5	11	10	3	3	2	2	0	0	3	1	1	1	1	1	1	4	4	4	4	0	0	1	0	73
