Mode: 18 #Games: 1000 Notes: u1-3Trick-50
p_0	p_1	p_2	p_3	pt_0	pt_1	pt_2	pt_3	t_0	t_1	t_2	t_3	A_0	A_1	A_2	A_3	S_0	S_1	7_2	7_3	At_02	suits_0	suits_1	suits_2	suit_3	first_0	first_1	first_2	first_3	fp_02
6	41	39	34	2	11	14	3	3	3	3	1	0	3	0	1	0	0	3	1	0	4	4	4	4	0	1	0	0	52
39	27	18	36	23	0	7	0	4	1	3	2	1	0	1	2	2	1	0	1	1	4	4	4	4	0	0	0	1	65
18	17	33	52	0	4	3	23	2	3	1	4	0	1	1	2	1	0	1	2	0	4	4	4	4	0	0	1	0	31
48	20	20	32	12	11	0	7	3	2	1	4	1	1	1	1	3	0	0	1	0	4	4	4	4	0	0	1	0	58
15	51	30	24	0	23	0	7	2	3	2	3	1	2	0	1	0	2	2	0	0	4	4	4	4	0	0	0	1	49
52	35	22	11	21	2	4	3	4	2	2	2	2	1	1	0	2	2	0	0	1	3	4	3	4	1	0	0	0	77
31	38	23	28	0	11	7	12	1	2	3	4	1	1	1	1	1	2	0	1	0	4	4	3	3	1	0	0	0	14
10	12	45	53	0	3	2	25	2	2	2	4	0	0	2	2	1	0	1	2	0	4	4	4	3	0	1	0	0	52
20	39	29	32	5	10	4	11	3	2	4	1	0	1	1	2	1	2	1	0	0	4	4	4	4	1	0	0	0	59
46	31	17	26	10	4	0	16	2	2	2	4	0	2	1	1	3	0	0	1	0	4	4	3	3	0	1	0	0	22
27	42	15	36	15	15	0	0	4	3	3	0	0	2	0	2	2	0	1	1	0	4	4	4	3	0	1	0	0	31
36	9	56	19	5	4	21	0	4	4	2	0	1	0	2	1	1	0	3	0	1	4	4	4	3	0	0	1	0	100
43	13	35	29	0	2	15	13	0	4	2	4	0	1	2	1	3	0	0	1	1	3	3	4	4	0	0	0	1	54
22	66	16	16	5	25	0	0	3	3	2	2	1	3	0	0	0	2	1	1	0	3	4	3	4	0	0	1	0	72
32	40	8	40	14	2	0	14	4	1	2	3	1	2	0	1	1	1	0	2	0	4	4	4	4	0	0	1	0	36
27	14	37	42	11	2	4	13	2	4	2	2	1	0	1	2	0	1	2	1	1	4	4	4	4	0	0	0	1	45
26	20	48	26	3	4	21	2	2	3	3	2	0	1	2	1	2	0	2	0	1	4	3	4	4	0	0	0	1	63
7	17	50	46	0	2	13	15	2	2	3	3	0	0	1	3	0	1	3	0	0	4	4	3	3	0	0	0	1	84
31	36	31	22	2	15	10	3	2	2	4	2	1	2	1	0	1	0	2	1	0	4	4	3	4	1	0	0	0	103
38	9	18	55	13	7	0	10	3	4	2	1	1	0	1	2	1	0	0	3	1	4	4	4	4	1	0	0	0	46
30	46	27	17	11	14	2	3	3	3	2	2	1	1	1	1	1	2	1	0	1	4	4	4	4	1	0	0	0	75
24	39	28	29	12	0	7	11	2	2	3	3	0	2	1	1	1	1	1	1	0	4	4	4	4	1	0	0	0	60
24	33	37	26	4	11	10	5	1	3	2	4	0	1	2	1	0	2	1	1	0	4	4	4	3	0	1	0	0	63
28	36	35	21	13	0	7	10	2	0	4	4	1	1	1	1	1	1	1	1	1	4	3	4	4	0	1	0	0	83
17	32	14	57	3	10	2	15	4	2	1	3	0	1	0	3	1	1	1	1	0	3	4	4	4	0	1	0	0	55
34	32	30	24	13	2	15	0	2	2	4	2	1	1	1	1	1	1	1	1	1	4	4	3	4	0	0	1	0	104
41	24	13	42	6	14	0	10	3	4	1	2	3	1	0	0	0	1	0	3	0	4	4	4	4	0	0	1	0	50
35	37	8	40	11	13	6	0	2	4	4	0	2	0	0	2	0	3	0	1	1	4	4	4	3	0	0	1	0	22
18	42	39	21	11	0	13	6	2	2	3	3	1	1	2	0	0	2	1	1	1	4	4	4	4	0	0	0	1	88
18	36	27	39	11	5	4	10	2	4	3	1	1	1	1	1	0	2	0	2	1	4	4	4	4	0	1	0	0	64
45	28	38	9	10	11	6	3	2	1	4	3	1	1	2	0	2	1	1	0	0	4	4	4	4	0	0	0	1	92
22	21	38	39	4	11	10	5	1	3	2	4	1	1	0	2	0	0	3	1	0	4	4	3	3	0	0	1	0	46
32	7	60	21	0	4	24	2	0	4	3	3	1	0	2	1	1	0	3	0	1	3	3	4	4	0	0	0	1	87
20	46	18	36	2	13	15	0	2	2	4	2	1	1	1	1	0	2	0	2	1	4	4	4	4	0	0	0	1	45
17	50	31	22	10	13	4	3	2	3	2	3	0	3	0	1	1	1	2	0	0	4	4	4	4	1	0	0	0	45
35	21	13	51	21	7	2	0	3	4	3	0	1	0	1	2	1	1	0	2	1	4	4	4	3	1	0	0	0	39
32	19	39	30	17	2	0	11	3	3	1	3	1	0	2	1	1	1	1	1	0	3	4	4	3	1	0	0	0	45
26	52	18	24	10	4	14	2	2	1	4	3	0	3	1	0	2	1	0	1	1	4	4	4	4	0	1	0	0	72
51	40	14	15	10	14	6	0	2	4	4	0	2	2	0	0	2	1	0	1	0	4	4	4	3	0	1	0	0	63
6	54	37	23	0	21	7	2	1	4	3	2	0	1	2	1	0	4	0	0	0	4	4	4	4	0	1	0	0	19
24	6	40	50	2	3	14	11	3	4	2	1	0	0	0	4	1	0	3	0	0	4	4	4	4	0	0	1	0	59
31	19	37	33	14	12	0	4	4	3	0	3	1	0	1	2	1	1	2	0	1	4	4	3	3	0	0	1	0	66
23	28	23	46	2	10	14	4	3	2	4	1	1	0	1	2	1	2	0	1	1	4	4	4	4	0	0	0	1	72
21	41	38	20	10	20	0	0	3	4	0	3	0	2	2	0	1	1	1	1	0	4	4	3	4	0	0	0	1	60
36	17	25	42	24	0	4	2	5	2	2	1	1	0	1	2	2	1	0	1	1	3	4	3	4	1	0	0	0	45
53	43	4	20	10	7	0	13	1	3	3	3	1	2	0	1	4	0	0	0	0	4	4	4	4	0	0	1	0	0
34	21	36	29	4	10	0	16	3	1	1	5	1	0	1	2	1	1	2	0	0	3	4	4	4	0	1	0	0	55
9	42	30	39	2	3	14	11	4	1	4	1	0	2	1	1	0	1	1	2	0	4	4	4	4	0	0	0	1	66
28	32	36	24	0	15	12	3	2	3	3	2	1	1	1	1	1	1	2	0	0	4	4	4	4	0	0	1	0	65
27	52	8	33	10	17	0	3	3	5	1	1	0	4	0	0	2	0	0	2	0	4	4	4	4	1	0	0	0	43
14	48	45	13	0	16	11	3	1	3	1	5	0	2	2	0	1	2	1	0	1	4	3	4	4	0	0	0	1	13
30	29	28	33	0	26	4	0	1	5	2	2	0	1	1	2	3	1	0	0	0	4	3	4	4	0	1	0	0	39
47	28	19	26	11	4	12	3	1	3	3	3	2	1	0	1	2	0	1	1	1	4	4	4	4	1	0	0	0	61
33	22	34	31	10	3	13	4	3	1	4	2	1	0	2	1	1	1	1	1	1	4	4	3	4	0	0	1	0	105
45	19	38	18	3	11	14	2	3	3	3	1	2	1	1	0	1	0	2	1	0	4	4	4	4	0	0	0	1	100
31	43	6	40	2	0	4	24	2	1	4	3	2	1	0	1	0	2	0	2	0	4	4	4	4	1	0	0	0	40
23	34	21	42	12	0	7	11	3	2	4	1	0	2	0	2	1	1	1	1	0	4	4	3	4	1	0	0	0	80
22	43	6	49	4	10	0	16	1	2	4	3	1	1	0	2	0	2	0	2	0	4	4	3	4	0	1	0	0	42
18	28	44	30	14	5	11	0	6	3	1	0	0	1	3	0	1	1	0	2	1	3	4	4	3	0	1	0	0	88
30	28	34	28	0	4	13	13	1	2	5	2	1	0	1	2	1	1	2	0	0	4	4	4	4	0	1	0	0	82
41	27	29	23	10	14	2	4	4	3	1	2	1	2	1	0	3	0	1	0	0	4	4	4	4	1	0	0	0	88
31	36	16	37	15	11	4	0	4	2	4	0	0	2	0	2	2	0	1	1	0	4	4	3	3	0	0	1	0	77
38	22	27	33	4	5	10	11	3	2	3	2	1	0	0	3	2	1	1	0	0	4	4	4	4	0	1	0	0	65
15	39	28	38	0	10	4	16	1	2	4	3	0	1	1	2	1	2	1	0	0	4	4	4	4	0	0	1	0	65
34	30	31	25	13	4	11	2	4	1	3	2	1	1	1	1	2	1	1	0	1	3	4	4	4	0	0	1	0	104
21	49	32	18	7	10	11	2	5	1	2	2	0	2	1	1	1	2	1	0	1	3	4	4	4	0	0	1	0	56
39	16	37	28	3	6	21	0	3	3	3	1	2	0	1	1	0	1	2	1	1	4	4	4	4	0	0	0	1	91
40	32	27	21	0	14	14	2	1	3	2	4	2	1	1	0	1	1	1	1	0	4	4	4	4	0	0	0	1	68
12	45	33	30	3	11	6	10	3	1	3	3	0	3	0	1	0	1	2	1	0	4	4	4	4	0	0	0	1	67
34	23	29	34	16	0	3	11	4	2	2	2	1	1	0	2	1	1	2	0	0	4	4	4	4	0	0	0	1	74
27	41	20	32	0	13	13	4	2	2	4	2	2	1	0	1	0	2	1	1	0	4	4	4	4	1	0	0	0	80
19	25	64	12	2	3	21	4	2	3	2	3	1	0	3	0	0	2	2	0	1	4	4	4	3	0	1	0	0	76
26	18	35	41	5	4	10	11	3	2	4	1	0	1	1	2	1	0	2	1	0	4	4	4	4	1	0	0	0	94
22	43	27	28	0	17	13	0	1	4	4	1	0	1	1	2	1	2	1	0	1	4	4	4	4	1	0	0	0	43
39	39	6	36	10	18	2	0	3	4	3	0	1	1	0	2	2	1	0	1	0	4	4	3	3	0	0	1	0	35
4	46	40	30	2	11	14	3	2	3	2	3	0	3	0	1	0	1	2	1	0	3	4	4	4	1	0	0	0	40
39	23	32	26	0	0	16	14	2	1	3	4	1	1	1	1	2	0	1	1	0	4	4	4	4	0	1	0	0	71
32	3	41	44	16	0	3	11	3	3	2	2	1	0	1	2	1	0	1	2	0	4	4	4	4	0	1	0	0	61
29	29	42	20	11	12	4	3	2	2	2	4	2	0	1	1	0	2	2	0	1	4	4	3	4	0	0	1	0	43
28	18	42	32	13	0	17	0	3	1	5	1	0	0	2	2	2	1	1	0	1	4	4	3	4	0	0	1	0	97
52	15	42	11	0	7	23	0	0	4	4	2	1	0	2	1	3	0	1	0	1	3	3	4	4	0	1	0	0	75
34	32	23	31	11	2	10	7	3	2	3	2	1	1	1	1	2	1	1	0	1	4	4	4	4	0	0	0	1	56
31	36	30	23	0	0	27	3	1	2	4	3	1	2	1	0	1	1	1	1	1	4	4	4	4	0	0	0	1	76
34	18	24	44	6	0	21	3	4	1	4	1	1	0	1	2	1	1	1	1	1	4	4	4	4	0	0	1	0	45
23	61	25	11	11	13	2	4	2	4	2	2	1	3	0	0	0	2	2	0	1	4	4	4	4	0	0	0	1	26
22	36	23	39	13	11	4	2	3	4	1	2	0	2	1	1	1	1	0	2	0	4	4	4	4	0	0	0	1	25
35	24	41	20	10	5	15	0	2	2	5	1	1	1	2	0	2	0	1	1	1	4	4	4	4	1	0	0	0	99
36	24	26	34	13	3	10	4	3	1	3	3	1	1	0	2	2	0	2	0	1	4	4	4	4	1	0	0	0	54
22	42	36	20	12	14	0	4	3	3	1	3	0	2	2	0	1	1	1	1	0	4	4	4	4	0	1	0	0	76
40	7	49	24	7	0	21	2	2	1	4	3	1	0	2	1	2	0	2	0	1	4	4	3	4	1	0	0	0	107
32	14	38	36	14	6	0	10	3	3	0	4	1	0	1	2	1	0	2	1	1	4	3	3	4	0	1	0	0	58
41	16	35	28	17	3	10	0	4	3	2	1	2	0	1	1	0	1	2	1	1	4	4	4	4	0	0	1	0	56
32	30	38	20	13	0	13	4	4	2	2	2	1	1	1	1	1	1	2	0	1	4	3	4	4	0	1	0	0	80
16	36	38	30	0	16	14	0	1	6	3	0	1	0	2	1	0	3	1	0	1	4	4	4	3	1	0	0	0	44
39	18	29	34	16	0	3	11	4	2	3	1	1	0	1	2	2	1	1	0	0	4	3	4	4	0	0	0	1	77
57	9	17	37	10	6	0	14	1	3	1	5	3	0	0	1	2	0	1	1	0	4	4	3	3	0	0	1	0	61
33	23	21	43	4	2	13	11	1	4	4	1	0	1	0	3	2	1	1	0	0	4	4	4	4	0	1	0	0	50
31	23	37	29	0	17	2	11	1	6	2	1	1	0	2	1	1	1	1	1	0	4	4	4	4	0	0	0	1	65
49	24	22	25	5	0	14	11	2	2	2	4	2	1	0	1	2	0	1	1	0	4	4	4	4	0	0	1	0	69
31	44	36	9	2	14	11	3	3	3	2	2	2	0	2	0	0	3	1	0	1	4	4	4	4	0	0	0	1	79
34	35	38	13	23	4	3	0	3	2	3	2	1	0	2	1	1	2	1	0	1	4	4	4	4	1	0	0	0	75
35	25	34	26	10	0	2	18	2	3	1	4	2	1	0	1	1	1	2	0	0	4	4	4	4	0	1	0	0	60
39	13	42	26	11	4	5	10	3	3	3	1	3	0	1	0	0	0	2	2	1	4	4	4	4	0	0	1	0	89
17	47	31	25	4	13	2	11	5	2	2	1	1	1	1	1	0	3	1	0	0	4	4	4	4	0	0	0	1	62
20	47	32	21	0	13	14	3	1	4	3	2	1	3	0	0	0	1	2	1	0	4	4	4	4	1	0	0	0	54
31	24	35	30	11	0	13	6	2	1	3	4	2	1	0	1	0	1	3	0	1	4	4	4	4	1	0	0	0	70
32	16	17	55	6	10	3	11	4	3	1	2	1	0	0	3	1	1	0	2	0	4	3	4	4	0	0	1	0	57
25	38	18	39	0	17	0	13	2	3	0	5	0	1	1	2	2	1	0	1	0	4	4	3	3	0	1	0	0	19
32	33	34	21	13	17	0	0	4	4	1	1	1	1	1	1	1	1	2	0	0	4	3	4	3	0	1	0	0	36
33	23	44	20	10	7	11	2	1	5	1	3	1	1	1	1	2	0	2	0	1	4	4	4	4	0	0	0	1	62
30	29	30	31	3	21	4	2	2	3	2	3	1	1	0	2	1	1	2	0	0	4	4	3	4	0	0	1	0	38
40	45	16	19	13	10	4	3	4	2	2	2	2	2	0	0	1	2	0	1	1	4	4	4	4	0	0	1	0	62
32	30	24	34	4	13	0	13	1	4	1	4	1	1	1	1	0	1	1	2	0	4	4	3	4	0	0	0	1	63
31	26	38	25	11	2	14	3	1	2	4	3	1	2	1	0	1	0	2	1	1	4	4	3	4	0	0	0	1	94
27	39	31	23	0	0	9	21	3	0	4	3	0	2	1	1	2	1	0	1	0	3	3	4	4	1	0	0	0	61
26	33	38	23	21	2	3	4	3	1	3	3	1	1	1	1	1	1	2	0	1	3	4	4	4	0	1	0	0	91
