Mode: 18 #Games: 1000 Notes: u1-Deep
p_0	p_1	p_2	p_3	pt_0	pt_1	pt_2	pt_3	t_0	t_1	t_2	t_3	A_0	A_1	A_2	A_3	S_0	S_1	7_2	7_3	At_02	suits_0	suits_1	suits_2	suit_3	first_0	first_1	first_2	first_3	fp_02
49	28	23	20	11	13	4	2	2	4	2	2	2	1	1	0	2	1	0	1	1	4	4	4	4	0	1	0	0	92
20	33	29	38	6	3	21	0	3	2	3	2	0	1	1	2	1	1	1	1	1	4	4	4	4	0	0	1	0	31
32	30	26	32	4	2	21	3	1	3	5	1	1	2	1	0	1	0	1	2	1	4	4	4	3	0	0	0	1	76
38	36	6	40	11	0	2	17	3	1	2	4	2	2	0	0	0	1	0	3	1	4	4	4	4	0	0	0	1	44
38	24	33	25	0	12	3	15	1	4	1	4	2	0	1	1	1	1	1	1	0	4	3	4	4	0	0	0	1	63
27	38	32	23	10	11	6	3	5	1	2	2	0	2	1	1	2	1	1	0	0	3	4	4	4	1	0	0	0	71
38	25	30	27	0	6	10	14	2	3	1	4	1	0	1	2	2	1	1	0	0	4	4	4	4	0	0	0	1	75
37	23	40	20	3	2	25	0	1	4	4	1	2	1	1	0	0	0	2	2	1	4	4	4	4	0	1	0	0	99
22	52	24	22	12	11	7	0	4	2	3	1	0	3	0	1	2	1	1	0	0	4	4	3	4	1	0	0	0	50
33	31	27	29	7	13	10	0	4	2	3	1	2	1	0	1	0	1	2	1	0	4	4	4	4	0	0	1	0	99
35	51	3	31	9	21	0	0	3	2	3	2	1	2	0	1	1	2	0	1	0	3	4	3	4	1	0	0	0	69
47	11	15	47	14	4	2	10	2	2	3	3	2	0	1	1	1	0	0	3	1	4	4	4	4	1	0	0	0	67
56	18	24	22	2	11	4	13	2	1	2	5	2	1	1	0	3	0	0	1	0	4	4	4	4	0	1	0	0	56
38	23	14	45	21	0	6	3	3	1	4	2	1	1	0	2	2	0	0	2	1	4	4	4	4	0	0	1	0	50
13	11	64	32	9	0	11	10	5	1	2	2	0	0	4	0	0	0	2	2	1	4	4	4	4	0	1	0	0	110
42	17	37	24	26	4	0	0	6	3	0	1	1	0	1	2	2	0	2	0	1	3	4	3	4	0	1	0	0	51
14	37	23	46	3	10	6	11	3	3	2	2	0	2	0	2	0	1	1	2	0	4	4	4	4	0	0	1	0	17
17	48	23	32	7	10	0	13	5	2	0	3	0	2	0	2	1	2	1	0	0	4	4	3	4	0	0	0	1	56
49	17	22	32	13	0	7	10	2	2	4	2	3	0	1	0	1	1	0	2	1	4	4	4	4	0	0	1	0	101
21	52	22	25	7	10	2	11	3	3	2	2	1	2	0	1	0	3	1	0	0	3	4	4	4	0	0	0	1	28
39	27	23	31	0	6	11	13	1	3	2	4	1	1	1	1	1	1	1	1	1	3	4	4	3	0	0	0	1	51
