Mode: 18 #Games: 1000 Notes: u1-Deep
p_0	p_1	p_2	p_3	pt_0	pt_1	pt_2	pt_3	t_0	t_1	t_2	t_3	A_0	A_1	A_2	A_3	S_0	S_1	7_2	7_3	At_02	suits_0	suits_1	suits_2	suit_3	first_0	first_1	first_2	first_3	fp_02
41	28	17	34	11	19	0	0	1	4	3	2	2	0	1	1	1	1	0	2	1	4	4	4	4	1	0	0	0	53
44	16	36	24	0	11	19	0	0	2	6	2	1	1	1	1	2	0	1	1	0	3	3	4	4	0	1	0	0	69
59	10	20	31	10	5	11	4	1	3	3	3	2	0	1	1	3	0	0	1	1	4	4	3	4	0	0	1	0	97
45	31	34	10	9	10	11	0	4	1	4	1	2	0	2	0	0	2	1	1	1	4	4	4	4	0	0	1	0	96
25	19	47	29	0	0	17	13	2	1	4	3	0	0	2	2	2	1	1	0	0	4	4	3	3	0	0	0	1	67
28	23	53	16	0	3	25	2	0	2	4	4	1	1	2	0	1	0	2	1	1	3	4	4	4	0	1	0	0	67
22	17	30	51	4	11	13	2	2	3	3	2	1	1	0	2	0	0	2	2	0	4	4	4	4	1	0	0	0	67
17	39	53	11	3	12	11	4	2	2	1	5	1	1	2	0	0	2	2	0	1	4	4	4	4	0	1	0	0	74
39	22	32	27	10	0	4	16	2	1	3	4	0	2	1	1	3	0	1	0	0	4	4	4	3	0	0	1	0	90
51	43	8	18	0	14	4	12	1	3	3	3	2	2	0	0	2	1	0	1	0	4	4	4	4	0	0	0	1	77
28	31	23	38	9	10	0	11	3	4	0	3	1	1	0	2	0	2	1	1	0	4	4	3	4	0	0	1	0	46
57	23	27	13	13	3	10	4	2	2	4	2	3	1	0	0	2	0	2	0	1	4	4	4	4	1	0	0	0	103
41	45	14	20	0	21	2	7	0	4	3	3	1	2	0	1	1	2	1	0	0	3	3	4	4	0	0	0	1	36
23	40	23	34	17	0	0	13	4	1	2	3	1	1	1	1	0	2	0	2	1	4	4	4	4	0	1	0	0	43
44	12	28	36	21	2	4	3	3	3	1	3	2	0	1	1	2	0	0	2	1	3	4	4	3	0	0	0	1	82
27	25	23	45	13	10	4	3	4	2	2	2	1	0	1	2	1	1	0	2	1	3	4	4	4	0	0	1	0	90
37	25	30	28	2	3	4	21	3	2	1	4	0	2	1	1	2	0	1	1	0	4	4	4	4	1	0	0	0	40
34	17	44	25	13	11	4	2	2	2	1	5	1	1	1	1	1	0	2	1	0	4	4	4	4	0	1	0	0	40
22	24	29	45	15	0	4	11	4	2	2	2	0	0	1	3	1	2	1	0	0	4	4	4	4	0	0	1	0	49
12	27	38	43	5	4	0	21	2	5	1	2	0	1	2	1	0	1	1	2	0	4	3	4	4	0	0	0	1	11
26	34	31	29	0	0	4	26	0	0	4	6	1	2	0	1	0	1	2	1	0	3	3	4	3	0	0	0	1	38
30	26	35	29	4	11	15	0	3	2	4	1	1	1	1	1	1	1	1	1	0	4	4	4	4	1	0	0	0	59
35	29	21	35	0	10	9	11	3	1	4	2	2	1	0	1	1	1	0	2	0	4	4	4	4	0	1	0	0	76
22	12	39	47	10	4	16	0	3	2	4	1	0	0	2	2	1	0	1	2	1	4	4	4	4	0	0	1	0	72
31	54	10	25	0	14	2	14	1	2	3	4	0	2	0	2	2	2	0	0	0	4	4	4	4	0	0	0	1	15
33	35	25	27	30	0	0	0	5	0	3	2	1	2	0	1	1	0	2	1	1	4	3	4	3	1	0	0	0	32
38	35	9	38	13	13	4	0	2	2	3	3	1	2	0	1	2	0	0	2	0	4	4	4	4	0	0	0	1	43
29	46	12	33	5	0	10	15	2	2	3	3	1	1	0	2	1	2	1	0	0	4	4	4	4	1	0	0	0	55
23	50	18	29	0	23	0	7	2	4	2	2	1	1	1	1	1	3	0	0	0	4	4	4	4	0	1	0	0	29
15	32	54	19	0	9	21	0	1	4	3	2	1	0	3	0	0	2	1	1	1	4	4	4	4	1	0	0	0	65
42	42	17	19	2	15	13	0	2	2	5	1	2	1	0	1	1	2	1	0	0	4	4	4	4	1	0	0	0	92
38	16	46	20	11	6	3	10	2	3	2	3	2	0	2	0	1	1	1	1	1	4	4	4	4	0	1	0	0	101
40	34	28	18	16	11	3	0	4	3	1	2	1	2	0	1	2	1	1	0	0	4	4	4	4	0	0	1	0	54
36	22	42	20	6	3	10	11	4	1	3	2	1	0	2	1	1	1	2	0	0	3	4	4	4	0	1	0	0	101
39	12	33	36	14	0	6	10	4	1	3	2	2	0	1	1	1	0	1	2	1	4	4	4	4	0	0	0	1	95
22	33	39	26	0	6	11	13	2	3	2	3	0	2	2	0	2	0	1	1	1	4	4	4	4	1	0	0	0	50
42	30	31	17	14	11	3	2	3	4	1	2	2	1	1	0	1	1	1	1	0	4	3	4	4	0	0	1	0	64
34	28	27	31	2	0	0	28	2	3	0	5	1	1	1	1	1	1	1	1	0	4	4	3	4	0	1	0	0	58
19	54	33	14	14	16	0	0	3	4	2	1	1	2	1	0	0	2	1	1	1	3	4	3	4	0	1	0	0	71
14	39	46	21	5	11	0	14	2	2	2	4	0	3	1	0	0	0	3	1	0	4	4	4	3	0	0	0	1	27
32	36	28	24	10	7	13	0	3	3	4	0	1	0	2	1	1	2	0	1	1	4	4	4	3	0	0	1	0	64
40	40	29	11	15	15	0	0	3	5	0	2	2	0	2	0	1	3	0	0	1	3	3	3	4	0	0	1	0	78
21	21	25	53	13	4	0	13	3	3	1	3	0	0	2	2	1	1	0	2	0	4	4	4	4	0	0	1	0	54
52	18	30	20	15	0	13	2	2	1	4	3	3	1	0	0	1	0	2	1	1	4	4	3	4	0	0	0	1	94
37	28	21	34	4	3	2	21	2	2	3	3	1	0	1	2	1	2	0	1	0	4	4	4	4	1	0	0	0	42
30	34	33	23	0	7	13	10	2	2	3	3	2	1	1	0	0	1	1	2	1	4	4	4	3	0	0	0	1	65
27	28	25	40	13	0	2	15	4	1	2	3	0	1	1	2	2	1	0	1	0	3	4	4	4	1	0	0	0	56
41	40	18	21	13	10	4	3	5	2	2	1	3	1	0	0	0	2	1	1	1	4	3	4	4	0	1	0	0	95
33	32	17	38	3	16	11	0	1	4	4	1	1	0	1	2	1	2	0	1	1	4	3	3	4	1	0	0	0	54
25	20	42	33	0	0	27	3	0	3	5	2	0	1	2	1	2	0	1	1	1	3	4	3	4	0	0	0	1	90
21	34	18	47	9	10	0	11	4	1	2	3	0	1	0	3	1	1	1	1	0	3	4	4	4	0	0	1	0	68
43	22	19	36	0	4	3	23	1	2	4	3	2	1	0	1	1	0	1	2	0	4	4	4	4	0	0	0	1	49
21	25	56	18	0	3	25	2	1	3	3	3	0	2	2	0	1	0	2	1	1	3	4	4	4	0	1	0	0	83
48	43	12	17	12	15	3	0	4	2	3	1	2	2	0	0	2	1	0	1	0	4	4	3	4	1	0	0	0	109
22	26	45	27	14	0	14	2	2	3	3	2	1	1	1	1	0	1	2	1	1	4	4	4	4	0	0	1	0	56
47	32	13	28	14	14	2	0	4	3	3	0	1	1	0	2	3	1	0	0	0	3	3	4	3	1	0	0	0	74
21	18	54	27	2	18	0	10	1	6	1	2	0	1	2	1	1	0	2	1	0	4	3	4	4	0	1	0	0	22
43	7	44	26	10	3	6	11	1	5	3	1	1	0	1	2	2	0	2	0	0	4	4	4	4	0	1	0	0	29
53	21	12	34	10	11	7	2	2	3	3	2	1	1	0	2	3	0	0	1	0	4	4	4	4	0	0	1	0	58
34	30	24	32	11	3	10	6	1	4	2	3	2	2	0	0	0	0	2	2	1	4	4	4	4	0	0	0	1	47
15	36	43	26	13	0	11	6	4	2	1	3	0	1	3	0	1	2	0	1	1	4	4	4	4	0	0	1	0	64
39	30	28	23	4	12	11	3	2	2	3	3	0	1	2	1	3	1	0	0	1	4	2	4	3	0	0	0	1	34
28	52	29	11	2	14	11	3	3	3	1	3	1	1	2	0	1	3	0	0	1	4	4	4	4	0	0	0	1	71
30	19	31	40	13	0	17	0	2	1	5	2	0	0	2	2	2	1	0	1	1	4	4	3	4	1	0	0	0	54
23	50	13	34	4	11	0	15	2	1	3	4	1	2	0	1	0	2	1	1	0	4	4	4	4	0	1	0	0	31
40	26	26	28	5	0	14	11	2	1	4	3	2	0	0	2	1	1	2	0	0	3	4	3	3	1	0	0	0	91
28	22	33	37	15	2	3	10	3	2	2	3	2	1	0	1	0	0	2	2	1	4	4	4	4	0	1	0	0	64
40	44	25	11	15	15	0	0	2	3	2	3	2	1	1	0	1	2	1	0	1	4	4	4	4	0	0	1	0	54
23	35	39	23	13	4	0	13	3	1	1	5	0	0	3	1	2	2	0	0	0	4	4	4	3	0	1	0	0	78
45	41	12	22	0	24	4	2	1	3	2	4	1	2	0	1	3	1	0	0	0	4	4	4	4	0	0	0	1	37
17	30	41	32	2	3	11	14	4	1	3	2	0	1	2	1	1	1	1	1	1	4	4	4	4	0	0	1	0	66
22	32	37	29	2	0	25	3	1	3	4	2	1	1	1	1	0	1	2	1	1	4	4	4	3	0	0	1	0	85
38	20	38	24	16	4	10	0	3	4	2	1	2	1	0	1	0	0	3	1	1	4	4	4	4	1	0	0	0	76
34	47	17	22	12	11	0	7	3	2	1	4	1	2	0	1	1	2	1	0	0	4	4	4	4	1	0	0	0	43
32	22	33	33	2	0	28	0	3	1	4	2	1	2	1	0	1	0	1	2	1	4	4	4	4	0	1	0	0	92
21	61	21	17	21	4	0	5	4	1	2	3	1	3	0	0	1	2	1	0	1	4	4	4	4	0	0	0	1	56
7	46	28	39	5	0	14	11	6	0	3	1	0	2	0	2	0	2	1	1	0	3	3	4	4	0	0	0	1	69
25	26	27	42	4	13	3	10	1	4	3	2	0	2	1	1	1	0	1	2	0	4	4	4	4	0	1	0	0	45
30	31	34	25	21	4	5	0	2	4	3	1	1	0	2	1	1	2	0	1	1	4	4	4	4	1	0	0	0	49
23	50	35	12	7	0	21	2	4	1	2	3	0	2	2	0	1	2	1	0	1	4	4	4	4	0	0	1	0	52
32	37	27	24	12	14	4	0	2	4	2	2	0	2	1	1	2	1	1	0	0	4	3	4	4	0	0	1	0	43
