Mode: 21 #Games: 100
p0_0	p0_1	p0_2	p0_3	p0_4	p0_5	p0_6	p0_7	p0_8	p0_9	p2_0	p2_1	p2_2	p2_3	p2_4	p2_5	p2_6	p2_7	p2_8	p2_9	trump	first	fp	t_t0	t_t1	t_t2	t_t3	t_t4	t_t5	t_t6	t_t7	t_t8	t_t9
4	6	7	19	20	23	24	27	34	37	0	1	2	9	11	18	21	30	32	36	1	0	48	914	497	72	0	355	0	3	0	0	0	
0	1	3	8	10	12	15	16	27	38	2	5	11	13	17	23	25	29	30	35	0	1	56	0	22975	1083	484	1198	66	3	1	0	0	
6	9	11	12	19	24	28	32	33	38	4	8	15	21	25	27	29	31	36	37	1	2	73	83	0	118	435	0	17	0	1	0	0	
1	6	8	10	13	20	22	25	27	33	2	3	5	16	17	19	21	23	26	35	0	3	70	157	2949	0	133	205	10	0	1	0	0	
4	13	17	18	19	24	27	30	33	36	1	7	8	15	20	29	34	37	38	39	1	0	99	1792	4318	0	0	7	0	1	1	0	0	
3	5	15	16	17	20	29	32	34	38	2	7	10	12	13	19	21	28	35	39	3	1	106	95	141	0	5829	3	0	1	1	0	0	
0	6	17	18	21	25	28	31	33	36	2	5	8	9	13	19	24	37	38	39	1	2	95	189	147	0	455	885	46	2	0	0	0	
2	4	7	14	15	17	23	31	35	38	0	8	11	12	13	18	19	28	33	37	0	3	93	0	203	1973	1219	541	0	6	7	0	0	
1	9	13	19	22	23	24	30	31	35	10	14	15	20	25	26	27	32	33	38	3	0	48	284	209	880	0	0	0	7	0	0	0	
2	8	11	15	21	23	26	30	32	37	3	5	6	9	13	18	24	27	29	38	2	1	71	295	0	192	0	2114	7	6	0	0	0	
4	5	7	13	19	22	23	31	32	35	0	2	3	14	17	24	27	28	34	38	1	2	34	240	60	61	0	5	0	2	1	0	0	
4	8	16	17	18	22	26	27	31	37	0	1	3	7	14	23	30	32	35	38	0	3	51	127	0	1011	458	0	96	1	1	0	0	
2	11	12	13	14	17	29	32	38	39	7	10	16	20	21	23	24	28	33	35	3	0	103	831	0	0	30967	1205	27	1	0	1	0	
4	5	7	10	13	19	21	25	31	32	1	6	14	18	23	24	29	33	35	37	1	1	60	0	190	127	0	365	17	1	0	0	0	
0	4	6	7	10	14	15	18	20	39	2	11	16	19	22	24	29	31	33	37	2	2	78	0	1037	943	0	6	17	1	1	0	0	
2	5	8	9	16	18	21	32	35	37	1	4	11	12	14	15	19	27	31	33	2	3	48	297	1326	0	0	869	1	0	0	0	0	
6	9	13	19	22	25	31	35	37	39	1	5	10	20	26	27	29	30	33	38	0	0	44	1141	0	1407	153	0	20	0	1	0	0	
14	17	18	21	22	26	31	35	38	39	0	1	5	8	11	23	27	29	36	37	3	1	103	207	95	10965	0	7	66	0	1	0	0	
3	5	6	10	13	14	20	22	29	39	1	9	15	21	27	28	30	31	36	38	0	2	51	156	17556	0	154	301	0	7	1	0	0	
3	5	13	15	21	22	26	27	29	36	0	10	11	16	18	20	25	31	37	38	0	3	35	0	58173	666	22199	5	297	2	0	0	0	
12	15	19	21	26	27	30	31	37	39	1	2	4	5	6	7	23	28	34	35	0	0	81	907	15306	341	1258	256	18	1	0	0	0	
4	6	8	19	20	22	23	24	34	38	0	13	15	16	18	21	26	33	35	36	1	1	57	159	2915	490	0	0	52	3	0	0	0	
4	5	6	11	13	16	19	33	35	39	8	12	15	20	21	24	27	34	36	37	1	2	70	296	9443	575	427	0	102	1	0	0	0	
2	4	9	10	15	16	23	29	36	39	3	6	7	11	12	18	22	25	26	34	0	3	53	275	2248	88	0	7	8	1	0	0	0	
0	1	13	16	17	18	21	22	31	35	5	9	11	14	24	25	26	27	29	39	0	0	25	323	0	0	957	499	5	1	0	0	0	
1	7	9	11	16	18	29	30	33	37	6	8	10	12	14	17	26	27	35	38	1	1	87	224	86	0	30215	2092	3	1	1	0	0	
2	3	5	11	18	29	30	31	35	39	8	12	13	22	25	26	27	32	33	38	1	2	32	159	201	0	743	0	6	2	0	0	0	
1	5	10	12	20	21	24	28	34	38	7	11	14	18	22	26	27	31	36	39	1	3	83	115	98	139	249	0	6	0	1	0	0	
2	8	11	14	15	17	18	23	28	36	7	9	16	26	27	29	31	32	34	39	3	0	106	971	0	0	35838	4	1	0	0	0	0	
3	9	13	20	25	26	29	30	34	37	2	17	18	19	21	24	28	32	33	36	3	1	97	0	1072	130	0	7	2	1	0	0	0	
2	11	14	15	20	24	25	31	37	39	0	3	8	9	13	19	29	30	36	38	0	2	97	377	6251	0	254	3	0	4	1	0	0	
2	4	8	21	23	25	28	29	33	39	3	12	13	15	16	17	30	32	35	37	1	3	44	740	0	2646	266547	5260	22	7	1	0	0	
0	4	7	9	16	18	20	21	29	32	2	6	17	25	27	31	36	37	38	39	0	0	80	953	0	28704	227	317	43	1	1	0	0	
3	14	15	17	23	25	30	35	38	39	1	2	4	5	6	8	16	32	33	37	0	1	70	931	16537	2836	0	0	35	3	1	0	0	
11	13	16	20	22	23	31	32	35	36	0	4	6	9	10	17	19	21	34	39	1	2	84	207	2848	1228	5040	0	1	9	0	0	0	
4	13	16	20	21	23	25	35	36	37	0	10	11	12	15	26	27	31	38	39	0	3	30	249	4448	0	165	0	29	2	0	0	0	
1	2	13	15	21	22	27	29	30	31	3	4	6	7	16	17	20	24	25	39	2	0	71	495	203	0	0	348	21	0	0	0	0	
0	3	4	10	18	27	31	34	37	38	5	13	15	17	19	21	25	28	29	32	1	1	50	319	104	0	52376	7	0	2	1	1	0	
1	4	6	13	19	22	26	27	31	39	3	10	12	18	21	28	30	33	35	37	0	2	48	176	487	192	49	0	4	0	1	0	0	
6	8	9	14	21	27	32	34	38	39	2	5	12	13	15	19	20	22	28	31	1	3	64	276	2501	0	11257	0	8	9	1	0	0	
7	10	16	19	20	21	30	33	34	36	0	1	8	13	14	18	23	26	31	38	3	0	79	686	3758	0	92316	0	60	6	0	1	0	
0	2	4	7	10	20	27	34	38	39	9	14	15	18	19	24	25	29	32	36	3	1	87	370	9751	0	7294	0	0	2	0	1	0	
2	4	8	16	19	26	30	31	32	34	5	7	12	14	15	21	25	27	28	38	3	2	42	302	0	42783	0	6	11	1	1	0	0	
1	3	8	12	15	19	22	31	32	37	0	2	4	5	6	9	16	23	27	39	0	3	99	378	10705	155	96	0	46	4	0	0	0	
3	8	9	11	17	19	22	23	25	34	6	12	16	18	26	27	28	29	30	32	0	0	80	1779	1537	0	2096	246	11	0	1	0	0	
2	3	6	8	11	17	25	32	34	38	1	9	10	14	15	19	22	26	31	35	3	1	72	149	0	0	1191	414	14	2	1	0	0	
1	4	10	19	20	25	31	36	37	39	2	3	6	9	12	16	17	21	34	35	0	2	89	138	477	0	43024	0	48	7	1	0	0	
5	8	18	25	27	28	29	30	38	39	2	4	9	11	12	13	15	21	26	33	1	3	77	0	35125	8030	0	88	0	2	1	0	0	
2	5	12	17	18	22	25	28	32	39	0	7	8	9	20	21	23	24	33	34	2	0	73	816	1504	1692	0	7	0	1	1	0	0	
4	6	8	16	21	22	23	29	35	36	0	2	9	18	20	24	27	33	37	39	2	1	85	0	154	43	79	5	29	0	0	0	0	
2	5	11	21	22	26	30	31	37	39	0	1	8	10	12	13	25	32	36	38	2	2	40	0	824	325	157	5	8	1	0	0	0	
5	7	12	14	21	22	28	31	32	34	1	2	4	6	8	16	17	23	24	36	2	3	43	253	0	137	51	14	1	0	0	0	0	
3	8	9	12	17	21	31	32	36	39	1	2	6	7	11	14	16	19	27	30	3	0	32	758	0	416	729	2	0	3	1	0	0	
2	6	7	9	20	23	27	33	35	39	0	3	11	15	17	21	22	25	31	32	1	1	31	259	449	924	392	354	6	0	1	0	0	
0	3	7	13	18	22	26	27	33	37	6	10	11	12	14	20	25	31	32	39	2	2	39	185	0	359	493	590	37	0	0	0	0	
3	6	10	13	18	20	21	23	24	37	2	4	7	11	15	27	31	33	34	36	2	3	18	0	11123	120	244	0	4	6	1	0	0	
6	7	10	16	23	28	31	32	34	35	0	3	4	8	14	18	25	30	36	37	3	0	43	541	0	23299	251	0	41	17	0	0	0	
1	2	7	14	16	18	22	25	33	37	8	9	13	15	17	19	26	31	36	38	1	1	93	659	0	401	297	0	5	0	1	1	0	
0	3	5	8	10	15	16	23	36	39	2	19	20	21	28	30	32	34	35	38	2	2	57	211	0	169204	1288	330	5	3	0	0	0	
1	2	15	18	20	21	22	35	37	39	3	5	9	14	19	23	24	26	28	36	3	3	56	0	0	0	327	0	0	2	0	0	0	
0	4	5	7	15	16	21	22	30	39	1	2	6	13	17	20	28	31	33	37	2	0	33	466	126	240	0	302	68	0	1	0	0	
1	7	8	19	22	27	28	33	34	36	3	11	12	15	20	23	26	31	35	37	3	1	55	135	109	168	0	7	0	1	0	0	0	
3	4	5	10	11	19	24	28	31	33	1	6	7	14	17	26	27	29	34	39	2	2	60	173	102	997	0	86	0	1	1	0	0	
2	3	7	8	13	17	19	27	30	38	0	1	9	11	22	29	32	34	36	39	3	3	89	403	4735	169	0	6	5	1	0	0	0	
1	2	7	10	15	24	31	32	38	39	0	6	11	12	17	18	22	26	29	37	2	0	48	955	16090	0	836	450	0	3	1	0	0	
0	2	3	5	8	13	18	23	31	38	4	7	9	15	19	20	27	29	32	39	3	1	67	102	0	1016	18996	261	0	1	0	0	0	
0	2	5	6	12	22	30	33	34	37	3	4	9	13	14	23	35	36	38	39	2	2	23	225	0	78	157	0	17	1	0	1	0	
0	2	7	10	13	22	26	34	35	36	1	5	6	12	14	17	27	28	32	39	0	3	64	131	99	0	926	8	0	3	0	0	0	
2	5	10	15	20	23	26	27	31	37	0	3	6	9	12	18	32	34	35	36	2	0	33	778	109	157	511	0	32	0	1	0	0	
5	8	9	10	17	18	20	28	34	39	0	1	3	4	12	14	19	25	29	36	2	1	99	169	0	92	483	252	2	0	0	0	0	
1	7	13	16	20	22	25	35	37	39	4	8	15	28	30	31	32	33	36	38	2	2	20	253	0	504	5122	408	3	0	1	0	0	
6	8	18	19	21	22	23	26	29	31	3	4	7	10	12	13	16	17	33	39	1	3	101	197	5879	0	0	790	0	9	0	0	0	
1	4	5	19	23	26	29	35	36	38	0	3	8	13	16	17	20	31	33	37	3	0	95	781	1454	201	2509	206	0	0	1	0	0	
1	15	16	19	27	29	30	33	36	39	2	3	4	7	8	13	17	22	25	31	1	1	93	224	5097	0	339	0	37	14	1	0	0	
3	8	14	15	20	21	23	28	35	36	1	4	5	11	19	25	31	32	33	34	2	2	62	293	386	0	417	0	0	2	1	0	0	
4	6	26	27	28	29	30	32	35	36	2	7	8	16	18	20	22	23	31	33	2	3	33	319	6153	2197	0	7	8	1	1	0	0	
3	4	7	9	12	17	21	30	35	36	0	1	2	6	13	24	26	27	29	31	0	0	105	3336	0	32527	302	376	14	1	1	0	0	
0	3	7	11	14	18	25	26	36	39	1	15	17	20	21	28	31	32	33	38	1	1	78	216	0	796	20217	0	211	1	0	0	0	
0	1	5	12	13	15	16	31	33	35	6	8	11	18	19	21	22	24	26	34	0	2	16	2259	7152	101	258	0	0	1	0	0	0	
0	2	12	19	22	27	31	36	37	38	4	6	7	8	9	15	20	24	28	30	2	3	84	237	193	144	169	332	0	8	1	0	0	
4	6	7	8	16	17	18	26	32	33	9	10	12	13	15	19	20	24	36	38	3	0	92	603	7255	0	17340	3862	0	0	0	1	0	
1	3	13	16	23	26	28	33	35	36	6	8	11	12	14	19	24	27	34	37	2	1	48	186	168	326	0	299	7	1	0	0	0	
1	7	8	18	21	25	26	31	35	37	3	4	5	6	9	12	13	16	29	38	2	2	74	0	27344	176	8200	306	0	3	0	0	0	
3	5	6	16	21	26	27	28	29	36	4	7	11	12	20	22	23	30	31	39	0	3	75	302	312	0	64897	6	26	7	1	0	0	
10	11	12	14	17	22	25	26	36	37	0	5	6	15	16	18	23	29	34	39	0	0	37	335	316	130	462	364	13	0	1	0	0	
0	8	12	13	14	18	22	26	38	39	2	6	7	11	21	23	27	28	34	35	1	1	46	54	0	9427	0	207	65	1	0	0	0	
6	8	9	17	21	28	29	30	33	38	2	4	10	11	12	13	16	19	26	34	2	2	85	204	2212	281	2995	0	15	0	1	0	0	
0	4	12	15	17	19	25	28	34	38	1	2	8	10	13	18	20	32	33	35	0	3	45	266	0	204	0	7	94	4	0	0	0	
0	1	17	19	27	30	32	34	35	37	5	7	13	15	24	28	31	33	38	39	3	0	90	1151	77	0	29753	6	4	0	0	0	0	
5	6	8	15	16	25	26	33	36	38	1	2	10	13	22	23	24	29	30	35	3	1	39	110	0	402	17647	0	31	0	1	0	0	
0	5	6	9	12	13	14	17	29	32	3	8	15	16	19	20	23	26	27	39	1	2	78	0	30691	1167	14771	3	6	1	0	0	0	
7	13	19	21	24	29	31	34	36	39	0	1	2	3	9	10	11	28	32	33	3	3	89	282	0	0	64033	466	0	2	1	0	0	
2	5	6	16	17	20	28	34	38	39	7	8	9	11	15	19	25	31	33	36	2	0	33	414	100	0	454	0	8	0	1	0	0	
8	9	11	16	18	19	21	24	28	31	2	4	6	12	14	17	22	23	29	36	2	1	72	635	6823	0	128	83	21	0	0	0	0	
3	7	9	11	12	16	24	26	28	38	4	6	17	19	20	22	25	30	35	36	3	2	35	229	2018	0	0	6	0	2	0	0	0	
0	3	5	15	21	26	28	29	35	38	2	6	10	14	17	20	23	27	33	39	0	3	59	241	0	0	20043	2673	64	0	1	0	0	
9	10	12	21	23	26	27	30	33	38	13	14	15	17	24	28	29	32	37	39	1	0	93	1270	712	128	201	273	1	0	0	0	0	
3	9	11	16	20	24	26	32	35	36	0	6	18	21	22	23	33	34	37	38	2	1	80	163	40	79	224	455	0	0	1	0	0	
5	7	9	10	16	18	20	23	34	38	1	2	3	12	14	22	26	27	28	31	2	2	51	149	5914	0	63	0	5	2	0	0	0	
6	7	9	10	11	12	15	16	24	27	5	8	18	20	23	28	33	35	37	39	2	3	80	541	907	28468	186	184	0	8	0	0	0	
