Mode: 21 #Games: 1000
p0_0	p0_1	p0_2	p0_3	p0_4	p0_5	p0_6	p0_7	p0_8	p0_9	p2_0	p2_1	p2_2	p2_3	p2_4	p2_5	p2_6	p2_7	p2_8	p2_9	trump	first	fp	t_t0	t_t1	t_t2	t_t3	t_t4	t_t5	t_t6	t_t7	t_t8	t_t9
3	11	19	24	26	29	30	32	34	38	5	6	7	10	23	25	31	33	37	39	0	0	18	1529	0	796	0	8	18	12	1	0	0	
2	4	5	7	9	10	16	17	19	39	1	12	14	18	23	24	25	33	35	36	0	1	77	1324	28049	9467	23523	1190	79	0	1	0	0	
1	11	13	23	27	31	32	34	37	39	0	4	9	15	17	21	26	29	30	33	2	2	63	0	252	0	472	5	9	2	1	0	0	
1	2	8	11	13	14	18	25	31	39	0	3	10	15	16	23	29	30	34	35	1	3	70	226	27190	145	0	5	12	0	1	0	0	
2	4	5	7	10	14	18	19	21	24	1	6	17	25	27	28	30	35	37	39	1	0	97	2894	8783	1635	0	3930	15	1	1	0	0	
0	3	4	6	8	21	27	34	35	39	2	7	12	14	16	18	19	25	29	37	1	1	96	833	1051	1071	556	44	3	1	1	0	0	
1	3	7	8	9	10	16	23	28	34	5	14	17	19	21	32	33	35	36	37	2	2	42	328	0	2086	34373	7	0	5	1	1	0	
3	5	7	19	20	23	27	32	35	38	4	11	12	13	28	30	34	36	37	39	2	3	54	306	726	603	0	6	109	4	0	6	0	
5	8	9	14	16	19	32	35	36	38	2	7	12	13	15	18	22	26	34	37	2	0	66	488	7998	1260	188699	2299	24	0	1	0	0	
2	4	13	14	15	20	32	33	36	37	0	7	11	12	16	19	24	29	38	39	3	1	72	423	163	51	753	0	3	0	0	0	0	
2	7	8	10	11	12	24	30	34	38	0	5	6	9	15	20	26	31	35	39	2	2	28	792	0	999	1459	3	0	8	1	0	0	
1	3	4	6	9	10	14	27	30	36	2	12	13	17	20	22	26	28	37	38	0	3	75	203	0	463	0	2328	27	2	1	0	0	
4	10	11	16	17	19	23	24	31	39	5	6	12	13	14	15	21	32	34	35	2	0	41	704	0	0	196	0	23	1	0	0	0	
2	6	10	13	14	15	21	30	32	37	3	5	9	12	16	17	23	24	34	38	3	1	49	144	111	108	0	5	5	0	1	0	0	
0	6	10	13	20	23	26	27	32	39	3	4	7	14	16	17	25	30	34	36	0	2	40	73	191	0	384	930	7	0	2	0	0	
3	6	13	15	18	21	25	28	30	34	7	11	14	17	19	22	23	27	29	35	0	3	73	82	152	1147	189	0	154	2	0	2	0	
0	7	8	12	23	24	29	34	38	39	3	9	13	16	20	21	26	27	31	32	0	0	107	616	0	947	200	39	0	2	0	0	0	
1	3	8	15	17	20	25	30	35	38	5	7	10	12	14	19	27	31	33	36	1	1	65	82	200	0	0	1754	17	2	1	0	0	
3	9	10	15	17	20	25	27	29	38	2	4	5	6	8	11	19	23	24	32	0	2	109	190	3095	0	31328	1101	0	9	1	0	0	
0	2	3	5	20	31	32	34	36	37	4	7	9	13	17	23	24	27	38	39	3	3	101	1306	629	476	31	1	0	0	0	0	0	
11	13	16	24	25	29	30	34	36	37	4	6	7	8	15	20	26	27	28	31	2	0	107	2165	320	4326	0	7	9	2	1	0	0	
0	3	9	12	17	21	24	30	35	37	2	4	13	14	19	27	31	32	33	36	1	1	66	59	154	0	451	293	8	2	0	0	0	
2	6	7	10	11	14	23	27	34	35	1	3	4	9	15	21	24	30	37	38	0	2	66	259	186	0	1275	6	6	0	0	0	0	
4	5	8	12	15	19	21	22	28	35	0	1	6	11	14	17	20	23	26	39	0	3	57	195	198	0	310	0	46	2	1	0	0	
9	10	13	17	21	22	24	25	28	32	6	7	11	15	16	20	29	31	33	34	1	0	48	2652	4610	0	825	5	56	3	0	0	0	
3	6	8	9	15	20	21	28	29	34	1	13	19	23	27	31	33	36	37	38	1	1	67	0	109392	25022	0	515	21	7	1	0	0	
2	3	18	20	21	24	26	30	33	36	5	6	15	17	19	23	28	34	35	39	2	2	92	80	132	0	236	103	0	1	0	0	0	
1	3	5	9	10	20	23	29	31	36	0	2	7	15	18	24	30	33	37	38	0	3	79	515	176	0	1035	808	6	0	0	0	0	
2	3	10	13	15	16	21	22	23	28	0	1	4	9	12	27	30	32	37	38	0	0	34	586	556	21387	541	0	37	2	0	0	0	
8	11	15	18	20	21	26	29	34	39	4	14	16	19	22	23	24	31	33	35	2	1	113	0	13548	13268	0	92	3	0	1	0	0	
1	3	8	13	14	25	26	30	37	39	5	6	15	19	20	23	24	32	33	34	0	2	53	107	74	254	0	163	3	0	1	0	0	
2	3	7	11	14	15	17	32	33	36	1	4	20	21	23	24	27	28	34	39	1	3	44	176	0	1257	1814	692	29	1	0	1	0	
1	2	7	10	11	18	19	24	27	38	3	6	14	17	25	30	31	32	33	39	2	0	56	623	0	0	215	0	17	0	1	0	0	
1	8	11	19	21	23	26	28	37	39	0	5	14	15	17	24	25	30	32	34	0	1	55	297	0	11838	0	7	0	2	0	1	0	
0	4	6	16	24	28	32	35	36	38	2	3	5	7	9	11	15	21	33	34	3	2	78	454	0	28414	0	8	21	0	1	0	0	
11	14	15	21	22	23	28	29	31	32	1	6	8	12	17	19	25	27	34	38	1	3	85	1008	793	13869	966	4	9	1	1	0	0	
5	8	9	10	13	14	22	26	33	39	0	3	11	19	21	24	30	31	34	36	0	0	66	452	0	14701	0	399	4	0	1	0	0	
0	4	7	12	17	24	26	27	33	37	2	14	15	16	22	23	29	31	35	36	1	1	37	172	0	200	0	144	10	1	0	0	0	
0	3	6	7	8	17	19	20	33	36	1	5	9	11	14	15	16	27	31	32	1	2	106	1535	23246	264	0	655	0	7	0	0	0	
0	1	5	6	17	18	22	25	27	29	3	10	11	14	15	16	24	31	32	36	0	3	64	177	683	541	4975	425	3	0	1	0	0	
2	11	14	19	20	22	28	29	33	37	0	5	8	9	12	23	26	27	30	36	2	0	58	924	532	517	0	6	7	4	0	1	0	
11	18	21	23	24	27	32	34	36	37	2	3	5	6	7	8	10	15	28	33	3	1	51	321	5844	501	989	648	0	9	0	0	0	
5	7	15	16	18	23	25	26	37	38	0	3	8	12	13	17	19	27	28	35	2	2	85	69	0	249	0	7	95	1	1	0	0	
0	2	4	10	14	15	19	27	28	30	1	3	7	9	11	13	23	32	33	36	0	3	85	429	0	877	12717	0	11	0	1	0	0	
2	7	11	12	14	17	24	28	31	39	1	3	4	6	8	18	20	23	26	33	0	0	78	1619	96	0	180	300	0	2	1	0	0	
0	7	8	11	16	17	19	22	30	31	10	13	15	21	25	26	27	32	35	37	0	1	19	0	610	20323	456	0	20	0	1	0	0	
1	4	11	17	18	19	24	30	34	37	2	3	6	9	12	13	16	22	28	29	2	2	91	294	8417	1032	0	1649	43	2	1	0	0	
4	8	10	17	20	21	22	31	35	39	0	2	3	5	6	9	12	16	30	32	0	3	78	0	411	0	48638	1361	9	3	1	0	0	
2	4	7	8	9	10	15	23	27	33	3	5	6	13	18	19	22	32	37	38	1	0	90	1374	0	492	89	3	8	0	1	0	0	
2	3	6	18	23	24	28	32	34	36	0	7	10	11	12	13	22	26	27	39	1	1	38	83	88	0	7330	0	22	1	0	1	0	
2	5	7	12	18	24	25	26	31	34	4	10	13	16	19	22	33	36	37	38	1	2	35	141	94	170	512	0	382	2	0	0	0	
0	1	2	6	8	9	12	28	30	39	3	11	13	19	25	26	29	33	35	37	2	3	97	0	1361	43175	616	4	4	0	0	0	0	
3	7	8	9	10	12	14	20	27	31	18	19	22	24	25	30	32	34	36	37	0	0	65	1510	263	0	5593	7	7	2	1	0	0	
1	4	6	8	13	24	27	28	29	38	0	5	10	12	16	19	20	26	32	37	1	1	28	216	9800	214	0	0	22	4	0	0	0	
3	11	12	18	21	24	30	31	34	39	4	8	9	19	20	22	27	35	36	38	2	2	86	0	771	374	0	1	0	1	0	0	0	
4	7	8	13	17	19	20	26	27	32	2	10	12	15	22	24	25	28	31	33	0	3	28	243	2014	0	9286	537	0	2	0	0	0	
3	4	6	22	23	24	26	36	37	38	7	12	15	18	20	29	30	32	34	35	1	0	53	637	749	0	1282	1391	12	0	0	0	0	
1	7	14	17	22	24	28	31	34	37	9	16	18	19	20	25	26	32	33	39	0	1	62	171	80	163	3963	0	0	11	1	0	0	
1	7	8	11	15	30	33	34	36	39	4	9	14	19	23	26	27	31	32	35	3	2	91	562	946	1882	1366	0	10	3	1	0	0	
5	6	11	14	16	24	31	35	38	39	0	1	2	13	15	18	19	20	21	25	1	3	79	149	0	3187	28172	0	56	1	0	0	0	
4	12	13	17	22	30	31	32	33	34	2	8	10	16	20	28	35	36	38	39	0	0	63	966	0	475	0	0	0	3	0	0	0	
10	12	17	18	20	21	33	34	35	38	0	8	9	11	16	19	22	23	25	28	2	1	90	491	0	0	2131	2172	15	4	0	0	0	
4	13	15	16	19	21	24	26	27	32	0	1	3	5	11	12	14	20	23	30	3	2	15	558	37934	0	3901	1542	5	1	1	0	0	
9	11	16	17	22	25	26	27	33	34	3	5	6	12	18	19	21	23	30	32	0	3	34	244	440	0	0	6	16	0	0	0	0	
4	6	9	10	13	14	15	20	22	35	0	1	2	12	18	24	31	32	36	37	0	0	31	1484	165	143	341	0	32	0	0	0	0	
3	7	9	19	21	22	23	26	27	37	0	1	2	17	30	32	33	34	35	36	1	1	36	528	7708	0	1305	512	39	1	1	0	0	
