28	35	22	35	2	4	3	1	0	2	1	1	2	1	0	1	30
36	13	49	22	2	4	2	2	2	0	2	0	0	1	2	1	89
10	41	38	31	2	2	3	3	0	2	1	1	0	1	1	2	29
47	19	36	18	3	4	1	2	3	0	0	1	1	1	2	0	71
20	16	41	43	2	2	2	4	1	0	2	1	0	0	1	3	74
28	69	6	17	4	2	1	3	0	3	0	1	1	3	0	0	52
36	34	26	24	2	3	1	4	1	2	0	1	1	1	1	1	34
29	19	41	31	3	3	3	1	1	1	1	1	1	0	2	1	56
40	43	24	13	5	1	1	3	1	2	0	1	1	1	2	0	64
40	32	11	37	2	3	3	2	2	1	0	1	1	1	0	2	60
12	36	40	32	0	2	3	5	0	0	2	2	0	3	1	0	43
47	12	31	30	3	5	2	0	1	0	2	1	3	0	0	1	45
18	40	23	39	2	2	3	3	1	0	1	2	0	3	0	1	49
21	20	45	34	2	3	3	2	1	0	1	2	1	0	3	0	70
34	22	38	26	1	4	4	1	1	1	0	2	1	0	3	0	60
19	21	51	29	1	3	3	3	0	1	1	2	1	0	3	0	61
51	15	29	25	3	3	2	2	3	1	0	0	1	0	2	1	85
34	39	26	21	2	4	3	1	1	2	1	0	1	1	1	1	78
44	16	42	18	3	4	1	2	2	1	1	0	1	0	2	1	70
24	34	43	19	1	3	2	4	1	2	1	0	0	1	2	1	39
34	21	28	37	3	2	4	1	1	0	1	2	1	1	1	1	82
35	51	10	24	3	1	4	2	1	2	0	1	1	2	0	1	37
23	32	28	37	5	1	3	1	0	1	1	2	1	1	1	1	44
38	21	19	42	2	4	0	4	2	0	0	2	1	1	1	1	38
25	41	36	18	1	2	6	1	0	3	1	0	1	0	2	1	49
13	59	14	34	1	4	3	2	1	2	0	1	0	3	0	1	18
25	29	46	20	3	0	2	5	0	2	1	1	1	0	3	0	52
11	49	22	38	3	3	1	3	1	2	1	0	0	2	0	2	34
47	28	8	37	1	2	3	4	2	1	0	1	2	1	0	1	52
49	27	29	15	3	3	2	2	2	1	1	0	2	1	1	0	92
33	8	40	39	4	1	1	4	1	0	1	2	1	0	2	1	87
13	39	41	27	1	4	2	3	0	1	2	1	0	2	1	1	28
24	26	35	35	2	2	3	3	0	1	1	2	1	1	2	0	37
22	21	47	30	2	3	3	2	1	1	2	0	0	0	2	2	82
18	36	40	26	3	3	3	1	0	1	1	2	1	1	2	0	78
25	26	30	39	3	3	1	3	2	0	1	1	0	2	1	1	33
29	33	20	38	1	3	4	2	1	2	0	1	1	0	1	2	58
39	15	30	36	5	3	2	0	1	1	1	1	1	0	1	2	88
32	29	31	28	2	1	6	1	2	1	0	1	0	1	2	1	89
33	28	36	23	3	3	2	2	1	2	0	1	1	0	3	0	46
33	33	38	16	5	3	1	1	0	1	2	1	2	1	1	0	53
33	17	37	33	2	3	3	2	1	1	1	1	1	0	2	1	69
46	33	15	26	3	2	4	1	3	1	0	0	1	1	1	1	92
35	20	29	36	1	2	4	3	0	1	2	1	3	0	0	1	78
23	25	31	41	3	2	3	2	1	0	1	2	0	1	2	1	43
34	39	17	30	3	3	3	1	1	1	0	2	1	2	1	0	64
27	57	17	19	3	3	1	3	1	2	0	1	1	2	1	0	55
21	27	29	43	4	1	2	3	1	0	1	2	0	2	1	1	56
29	18	34	39	1	3	4	2	1	0	1	2	1	1	1	1	91
51	4	21	44	4	2	2	2	2	0	0	2	1	0	1	2	92
35	41	6	38	2	3	2	3	1	2	0	1	2	1	0	1	44
30	39	35	16	4	3	0	3	1	2	1	0	1	1	1	1	77
4	32	53	31	3	3	1	3	0	1	1	2	0	1	3	0	38
20	39	22	39	4	2	2	2	0	1	0	3	1	2	1	0	40
39	29	22	30	1	5	2	2	2	1	1	0	1	1	0	2	81
38	22	36	24	2	2	3	3	2	0	1	1	1	2	1	0	118
23	25	46	26	4	1	1	4	0	0	2	2	2	1	1	0	67
22	31	29	38	3	2	1	4	1	0	2	1	0	2	0	2	48
30	36	13	41	4	1	3	2	0	2	0	2	2	1	0	1	20
24	28	29	39	3	2	2	3	0	0	2	2	2	1	0	1	49
30	29	27	34	2	3	3	2	2	1	0	1	0	1	2	1	37
24	19	37	40	2	2	3	3	0	0	2	2	2	0	1	1	96
14	41	9	56	1	3	4	2	0	2	0	2	1	1	0	2	38
30	32	17	41	2	4	1	3	0	2	1	1	2	0	0	2	28
19	30	28	43	2	3	2	3	0	1	1	2	1	1	1	1	40
23	26	24	47	2	2	2	4	1	1	0	2	0	1	1	2	32
36	20	14	50	1	1	5	3	0	0	0	4	3	1	0	0	38
28	24	37	31	3	1	4	2	1	1	1	1	1	0	2	1	53
60	10	32	18	2	2	3	3	3	0	1	0	2	1	0	1	76
17	25	46	32	4	1	4	1	0	2	2	0	0	0	2	2	78
35	22	20	43	2	4	2	2	1	0	1	2	2	1	0	1	48
32	37	22	29	4	1	2	3	1	2	0	1	1	1	1	1	77
33	27	43	17	2	2	4	2	2	0	2	0	0	2	1	1	103
42	22	35	21	2	3	3	2	2	0	2	0	1	1	1	1	90
24	29	39	28	2	2	3	3	1	1	1	1	0	1	2	1	72
28	37	34	21	3	2	1	4	0	1	2	1	2	2	0	0	31
32	24	28	36	3	3	2	2	0	1	1	2	3	0	0	1	79
