Mode: 20 #Games: 1000
p0_0	p0_1	p0_2	p0_3	p0_4	p0_5	p0_6	p0_7	p0_8	p0_9	p2_0	p2_1	p2_2	p2_3	p2_4	p2_5	p2_6	p2_7	p2_8	p2_9	trump	first	fp
4	6	9	18	19	22	26	28	31	35	10	14	20	21	23	24	30	32	36	38	2	3	90
0	3	4	21	26	30	31	32	33	36	5	8	10	11	12	15	16	22	29	35	1	2	46
2	5	7	10	27	30	34	35	37	39	1	4	13	18	22	28	29	31	32	36	1	1	43
3	6	18	22	27	29	30	31	34	35	0	9	10	12	14	21	25	28	36	38	3	0	61
7	16	17	18	25	28	29	32	35	39	1	4	10	11	12	19	21	30	33	36	0	3	61
10	12	14	16	23	26	27	30	33	39	4	8	11	17	18	20	21	28	32	34	3	0	42
1	5	7	8	9	18	25	29	32	35	2	4	19	21	23	27	30	33	37	38	1	2	43
2	4	5	16	18	20	30	33	35	39	3	8	12	13	17	21	23	25	37	38	0	1	47
2	5	10	11	19	25	26	27	33	34	1	3	6	7	16	22	23	24	31	35	2	0	59
0	1	5	15	21	30	32	33	34	36	4	7	9	14	19	25	26	31	37	39	0	3	97
2	4	6	9	12	19	20	24	35	38	0	8	14	17	18	26	29	31	36	37	3	1	81
3	7	12	14	15	22	23	28	33	34	4	6	8	9	10	19	24	25	32	37	2	1	66
0	3	8	13	20	21	23	26	27	30	1	4	5	7	12	17	18	19	22	25	1	2	51
3	5	6	9	10	11	20	32	38	39	4	13	16	17	21	22	28	29	31	37	0	0	79
0	5	8	13	14	26	27	28	37	39	1	15	16	20	22	23	25	32	35	38	1	2	38
1	7	8	12	15	20	28	32	33	35	2	5	10	13	14	16	19	23	27	30	0	3	61
1	9	11	15	18	19	24	31	35	37	7	10	12	13	20	25	26	29	32	36	3	1	80
1	2	3	15	20	23	27	32	34	37	5	8	9	10	25	26	29	30	33	39	3	3	69
0	1	5	6	9	19	20	23	37	39	2	4	7	8	13	17	18	30	33	35	2	2	54
0	3	4	15	18	27	30	31	34	38	2	7	8	9	11	14	17	24	26	28	2	0	40
10	11	19	25	29	31	33	34	37	39	1	4	5	8	12	13	14	32	35	36	1	0	95
2	4	5	9	13	20	26	30	31	33	11	12	18	22	24	25	32	34	36	39	0	3	51
2	9	15	17	22	23	28	30	33	34	4	6	7	8	14	18	19	35	36	37	1	2	71
5	8	12	16	22	26	30	31	36	39	2	3	7	10	11	14	15	20	21	28	2	0	30
2	4	10	14	17	18	26	27	32	37	0	1	6	9	20	22	24	28	31	34	1	1	52
2	7	11	12	14	15	18	19	26	29	4	5	6	8	13	25	30	37	38	39	0	1	99
1	10	17	22	24	25	33	35	37	38	0	3	5	6	16	19	29	32	34	39	1	3	90
5	11	14	23	27	28	32	35	36	37	2	3	8	12	13	19	21	24	31	38	0	2	46
0	2	4	8	16	18	19	22	24	26	5	6	9	13	15	21	28	29	35	39	2	1	109
1	5	14	15	17	23	24	26	27	34	4	6	8	10	16	25	29	30	35	39	3	2	44
0	2	4	5	7	17	22	23	27	31	1	3	9	15	16	18	21	33	34	36	3	0	65
4	6	11	16	22	25	27	31	32	37	0	2	8	13	18	24	29	35	36	39	1	3	34
1	5	6	14	16	19	20	23	33	39	0	4	7	10	17	18	21	25	32	34	1	2	55
1	3	6	8	10	12	14	19	28	37	5	7	9	20	24	29	30	32	33	38	0	0	118
2	8	15	16	17	18	21	23	25	32	1	4	5	6	20	22	28	29	37	38	0	3	76
3	11	12	13	25	26	27	32	35	39	0	16	17	19	23	24	29	31	37	38	1	1	69
1	4	5	16	19	21	25	34	37	39	3	7	13	18	24	26	29	31	33	36	1	3	67
5	8	16	17	19	20	23	28	30	38	3	6	11	13	21	25	29	31	34	37	1	2	61
1	7	10	12	14	18	20	25	36	38	4	8	13	21	23	31	32	33	34	39	3	0	48
5	13	14	15	17	19	22	24	32	38	1	3	10	12	16	23	26	27	30	37	0	1	53
3	10	15	16	18	19	23	28	33	35	0	1	4	9	14	17	22	25	27	34	3	3	46
6	7	13	15	21	25	28	31	34	38	0	2	9	12	14	23	24	29	35	37	0	1	59
2	4	14	21	22	31	34	35	36	37	5	10	11	13	15	16	19	20	23	32	0	0	34
2	8	12	17	19	25	26	27	36	38	0	1	6	16	20	22	23	24	33	39	2	2	46
0	2	10	11	14	15	17	22	29	32	4	5	7	9	19	20	28	30	31	39	0	2	95
4	5	9	14	17	22	25	26	29	32	0	2	19	20	23	24	33	34	35	37	1	0	29
7	9	16	21	23	24	25	26	34	35	1	2	11	15	17	30	33	36	37	39	3	3	56
0	10	11	18	20	24	25	27	29	31	1	4	9	14	15	26	30	32	33	39	1	3	54
1	2	6	14	16	17	30	34	35	38	0	5	18	24	26	27	31	36	37	39	2	1	48
0	5	9	13	23	25	33	34	36	38	6	7	8	10	11	12	21	24	27	35	3	1	55
4	9	12	13	22	23	26	32	33	37	3	7	14	15	20	24	25	30	35	39	2	2	48
7	11	13	16	17	22	23	28	36	38	0	1	3	5	6	20	26	30	33	35	0	0	38
3	8	13	17	19	23	27	33	35	38	0	5	6	11	15	16	18	21	25	26	2	2	43
3	6	9	10	13	17	28	34	35	37	8	11	15	21	23	24	27	31	33	39	2	0	38
2	4	6	9	17	20	25	26	28	37	0	5	13	15	16	21	29	30	35	38	0	3	80
0	14	18	24	25	28	30	31	35	38	1	2	6	7	11	12	13	27	29	37	3	1	70
4	6	7	10	14	17	19	26	28	32	1	5	8	11	16	22	31	34	35	38	3	1	91
3	16	17	18	19	20	21	22	24	38	1	9	10	14	25	31	33	34	37	39	2	3	90
8	11	13	20	21	22	27	30	35	38	0	1	6	14	17	23	24	33	34	39	2	2	42
5	6	7	12	13	21	23	24	27	34	1	3	4	15	16	29	30	31	33	37	3	2	31
0	5	13	18	19	22	26	29	35	39	1	2	3	4	7	9	12	21	24	37	1	3	88
1	2	9	12	13	19	21	28	29	30	3	5	11	14	16	22	25	27	34	36	0	3	65
0	1	2	6	8	11	12	22	28	34	4	5	9	14	24	26	27	32	36	39	3	0	23
5	8	14	19	23	24	25	30	32	34	6	7	15	17	18	22	29	36	38	39	1	0	83
6	12	13	16	17	25	29	33	34	39	2	3	5	9	11	18	19	20	23	31	0	0	69
1	10	11	13	16	17	19	25	29	31	4	5	6	21	33	34	35	36	37	38	0	0	34
4	11	12	14	16	19	24	27	37	39	5	6	8	9	13	15	22	29	30	38	0	1	106
2	3	10	15	16	18	25	26	27	29	4	9	11	12	13	17	21	24	31	36	1	1	69
0	12	13	16	18	23	25	33	34	39	1	3	4	8	11	17	20	24	27	32	1	1	70
6	15	23	25	26	27	31	32	37	39	0	3	4	9	10	19	22	24	28	33	2	2	102
1	2	4	8	10	14	24	25	26	32	3	6	11	15	20	21	23	30	31	33	0	1	24
0	1	7	9	10	11	23	24	27	38	2	6	12	13	15	22	26	28	30	33	0	2	31
