Mode: 16 #Games: 1000
p0_0	p0_1	p0_2	p0_3	p0_4	p0_5	p0_6	p0_7	p0_8	p0_9	p2_0	p2_1	p2_2	p2_3	p2_4	p2_5	p2_6	p2_7	p2_8	p2_9	trump	first	fp
2	4	5	14	18	23	26	28	30	39	0	3	6	11	15	21	24	32	33	37	0	0	65
0	1	2	18	20	30	32	33	35	38	3	5	14	16	23	25	26	28	31	37	0	2	31
7	10	19	21	22	23	26	34	37	38	5	9	11	13	14	17	25	27	28	33	1	2	78
8	11	16	17	26	29	30	31	35	36	4	9	10	12	15	18	19	22	24	28	3	0	57
1	6	7	16	26	28	29	33	36	39	0	10	11	12	14	24	30	31	35	38	2	1	82
1	5	8	9	10	12	22	28	30	39	4	11	13	15	19	20	21	33	34	38	0	1	80
1	3	5	7	8	14	31	32	35	37	2	6	13	15	17	19	20	21	27	33	2	3	52
0	7	9	11	16	20	25	28	29	35	2	3	6	8	10	12	26	30	31	36	0	3	58
1	11	12	15	21	23	27	30	32	35	2	4	6	7	14	16	29	31	33	37	2	2	25
1	9	11	16	20	25	26	32	35	36	0	2	7	8	10	15	22	24	30	38	0	2	52
0	2	3	5	12	19	23	27	30	35	1	4	7	10	18	24	25	29	33	36	3	3	32
3	5	8	14	20	21	22	26	27	38	6	10	17	24	28	29	30	31	34	39	0	0	52
5	11	12	16	19	20	24	26	27	31	0	1	2	4	6	9	22	25	33	39	3	0	52
4	5	8	12	14	17	18	22	25	28	0	7	10	16	20	21	26	32	35	36	0	3	31
4	5	10	13	15	18	21	29	32	37	2	3	8	17	20	22	26	31	34	36	2	0	42
3	8	14	16	19	21	23	28	36	37	0	2	5	11	13	29	30	31	38	39	0	1	68
4	7	9	11	12	14	18	21	22	29	13	17	20	28	30	32	34	35	36	37	2	1	61
5	7	8	13	27	28	29	30	33	35	0	2	15	16	17	19	20	21	22	32	1	0	82
1	8	9	10	15	19	24	25	30	39	2	4	7	13	26	28	29	33	37	38	1	2	95
4	5	11	13	16	17	21	30	31	38	1	3	6	10	18	19	25	28	32	37	1	1	62
4	7	11	14	15	24	28	33	35	38	2	3	5	9	21	22	23	26	30	34	2	2	62
7	9	10	12	14	18	26	29	38	39	0	2	11	20	21	27	28	30	33	36	3	1	82
3	7	11	12	15	16	22	29	37	38	1	2	6	8	14	17	19	23	34	35	1	3	82
0	6	9	12	14	18	22	31	36	39	3	4	5	7	13	15	24	28	33	34	3	2	47
4	11	12	13	14	19	23	27	34	38	0	3	5	6	7	10	20	22	25	29	2	3	91
0	12	13	17	20	23	25	33	37	39	1	9	10	16	24	29	34	35	36	38	3	0	87
4	6	10	18	19	23	26	28	34	37	1	3	7	15	16	22	29	31	36	39	1	2	85
2	3	6	7	19	22	25	34	35	37	0	1	4	10	15	18	24	30	33	36	3	3	52
3	5	6	16	17	26	27	31	32	36	0	1	13	19	24	28	29	33	35	39	3	0	69
4	9	12	21	22	30	34	35	37	38	1	2	7	8	17	19	23	25	28	36	2	3	72
5	6	13	16	21	22	23	35	38	39	0	2	7	8	9	10	15	17	19	28	3	1	67
3	6	14	17	19	28	35	36	37	39	0	1	4	5	7	9	11	13	15	27	0	0	70
5	7	19	20	24	26	30	32	34	37	2	3	4	8	9	11	14	21	25	36	3	1	61
4	10	13	15	24	26	27	30	33	37	0	1	7	11	16	22	23	34	36	38	1	0	30
3	10	14	20	23	25	30	32	35	38	5	8	16	17	19	22	26	28	33	36	3	2	63
3	7	10	13	15	16	17	25	35	38	1	6	9	21	22	24	27	29	33	39	1	1	82
2	4	5	12	15	21	22	26	30	39	1	3	6	7	9	16	18	19	34	37	3	2	94
2	3	8	9	12	16	17	20	21	26	0	6	7	10	13	23	29	37	38	39	1	1	94
7	15	16	19	28	30	31	32	33	39	2	5	6	9	11	12	18	21	24	26	3	3	71
4	8	10	14	15	16	23	27	34	38	0	2	3	9	12	18	19	26	28	32	3	2	57
3	7	9	13	15	26	27	34	36	38	1	12	14	17	18	19	28	29	33	39	1	2	111
4	7	9	17	22	29	30	31	35	37	0	2	3	5	13	16	21	23	36	39	2	3	64
1	2	5	8	11	20	28	32	38	39	0	3	9	14	17	18	21	29	31	34	0	0	87
0	7	8	11	18	20	21	22	36	37	3	13	17	19	25	26	28	30	31	32	0	0	70
5	11	16	17	19	20	21	23	28	33	4	7	10	18	26	27	29	31	34	36	0	1	42
1	2	4	10	12	14	16	17	21	24	5	11	13	19	20	22	25	28	30	34	2	3	79
0	3	12	13	14	16	19	22	29	38	1	2	6	11	15	17	30	32	33	34	2	3	25
0	13	20	26	30	31	33	34	35	37	1	5	10	12	14	18	27	28	29	38	0	1	49
3	4	8	9	16	22	26	29	31	39	1	11	15	23	24	25	30	32	33	36	0	2	68
6	8	11	20	29	30	31	34	38	39	2	4	7	15	18	19	22	23	26	32	3	0	71
1	3	5	10	22	23	33	35	37	38	0	7	8	9	15	17	21	28	34	39	2	0	57
10	12	14	16	27	28	29	30	35	36	2	3	4	8	15	18	19	25	33	34	3	2	70
11	15	20	22	23	24	27	28	31	36	0	1	2	9	10	12	14	26	30	32	0	1	23
0	2	5	9	12	18	27	32	34	39	1	10	14	21	24	29	31	33	35	38	1	1	39
0	2	5	7	11	12	13	22	24	29	14	16	17	18	19	21	23	28	30	37	1	3	79
3	7	10	12	19	20	21	22	26	27	2	5	9	11	13	17	29	31	34	38	0	2	82
0	10	11	14	15	19	25	26	27	34	1	2	4	6	13	21	24	28	36	39	0	3	60
12	15	16	17	18	27	28	32	35	39	3	8	11	23	25	26	29	31	36	37	2	2	64
12	13	15	24	25	28	29	32	33	34	3	7	11	14	17	19	23	30	36	39	1	0	85
6	15	16	17	22	24	25	30	35	39	0	1	4	9	11	18	23	32	33	37	0	3	48
5	9	15	22	26	28	29	30	34	36	6	10	11	12	13	20	23	33	37	39	0	0	64
2	4	14	15	16	24	28	30	32	36	3	5	8	12	18	20	21	23	27	38	1	3	40
2	4	6	10	19	26	27	31	37	38	0	1	3	8	9	11	12	15	17	39	2	1	68
6	16	19	23	25	27	30	34	35	38	1	8	12	17	18	22	26	28	36	39	2	2	88
0	2	4	13	15	17	24	25	35	36	5	6	7	9	16	21	29	31	33	34	1	0	24
3	6	11	12	15	17	31	34	37	38	2	4	5	14	19	21	23	26	27	33	0	1	36
2	5	7	10	13	17	21	24	27	36	15	16	18	20	23	26	28	33	37	39	0	0	28
1	7	13	18	23	24	28	30	33	36	0	2	5	9	15	16	26	32	34	35	3	1	54
7	8	11	12	15	18	20	21	23	32	4	9	14	16	28	29	30	35	37	38	3	3	98
9	10	22	23	28	32	33	36	37	39	0	5	6	8	14	16	17	20	29	38	2	1	96
5	7	9	16	18	21	22	28	31	37	11	12	14	15	17	24	27	32	33	35	2	2	58
7	8	13	15	22	23	27	33	36	39	1	2	9	21	25	26	30	31	35	37	0	2	65
0	8	12	16	19	24	28	29	32	35	2	6	7	18	21	30	33	34	38	39	1	0	93
5	8	12	17	29	30	32	34	36	38	4	10	18	19	21	23	24	31	35	37	2	3	62
1	5	11	16	17	20	24	26	35	37	3	4	7	10	13	29	30	34	38	39	0	2	60
0	2	11	12	15	16	22	31	32	34	3	4	5	6	10	13	14	17	19	36	3	3	52
1	3	4	5	6	20	24	28	38	39	7	12	15	16	19	22	23	26	32	37	0	1	53
0	5	9	10	13	15	20	22	28	29	1	2	7	16	19	24	26	27	32	37	3	0	64
0	6	7	9	14	20	24	25	35	37	1	2	3	5	11	13	27	28	30	32	0	3	59
0	2	3	9	18	20	22	31	35	38	4	5	7	11	13	15	19	24	27	37	0	0	80
8	9	10	11	13	14	26	29	32	33	1	5	15	16	24	25	27	35	37	39	1	1	72
1	3	5	16	17	18	29	34	37	39	2	4	10	12	14	20	24	31	33	38	0	1	27
4	10	14	15	22	24	25	31	33	36	6	8	12	18	20	26	27	28	29	30	3	2	35
3	5	7	11	16	18	23	25	36	39	6	8	9	14	19	22	26	31	32	37	1	0	49
1	4	17	20	22	23	29	35	36	37	2	8	10	12	13	18	21	24	30	33	3	2	66
1	13	14	16	17	22	23	28	31	39	0	2	7	8	18	20	25	34	36	38	2	2	63
3	7	16	19	22	29	30	31	36	37	2	6	8	9	10	12	15	25	33	34	0	1	78
