Mode: 17 #Games: 1000
p0_0	p0_1	p0_2	p0_3	p0_4	p0_5	p0_6	p0_7	p0_8	p0_9	p2_0	p2_1	p2_2	p2_3	p2_4	p2_5	p2_6	p2_7	p2_8	p2_9	trump	first	fp
0	3	16	17	23	24	28	31	34	39	1	4	7	14	18	19	20	32	33	35	0	0	60
0	1	4	8	12	20	27	35	36	38	2	5	7	9	21	23	25	26	31	39	3	0	41
2	3	4	12	13	19	22	27	33	38	15	17	18	20	23	24	28	29	32	35	2	2	86
0	3	9	12	13	16	20	21	25	32	1	4	5	10	11	27	30	33	34	35	3	1	27
9	11	14	19	20	21	30	33	35	37	0	5	15	22	24	26	32	36	38	39	2	2	60
2	6	10	19	20	21	24	29	30	35	0	1	5	11	12	23	32	34	37	39	2	2	56
3	4	5	8	20	21	24	27	33	37	0	2	9	11	28	29	31	32	35	38	3	1	95
1	5	9	16	18	25	29	30	37	38	0	2	3	7	12	17	21	24	31	33	3	3	59
2	7	13	14	16	24	29	31	37	39	3	4	11	18	22	23	26	27	33	35	0	3	65
1	5	8	12	17	31	32	33	34	37	10	15	18	19	22	23	25	27	30	38	2	3	29
6	10	11	12	21	22	25	31	33	37	1	2	5	8	9	16	26	27	29	30	3	0	29
0	5	9	16	21	22	23	24	26	34	6	7	8	10	11	17	20	30	32	37	0	2	36
4	10	15	21	22	26	27	31	32	35	0	1	3	5	8	19	23	25	29	37	0	0	70
1	4	5	12	20	22	24	27	31	33	3	8	13	14	18	23	25	26	28	38	1	3	80
2	8	11	12	14	16	21	30	31	35	3	7	13	19	20	22	27	32	33	39	0	1	47
3	4	6	8	10	16	30	31	37	38	7	12	22	24	25	27	33	35	36	39	0	0	52
1	8	10	17	18	20	27	32	37	38	5	6	7	11	15	26	30	34	35	36	1	1	56
4	6	9	10	11	12	14	16	17	36	5	7	8	15	18	20	24	34	35	39	0	0	51
3	4	10	13	16	17	19	20	26	31	1	5	6	7	11	12	23	29	30	32	2	2	29
5	12	15	16	18	21	23	28	34	35	0	6	8	19	26	27	30	32	37	38	1	1	71
1	4	5	16	17	19	28	32	35	36	0	2	11	13	15	21	22	27	29	34	0	3	45
3	4	10	13	18	23	24	27	34	36	0	2	8	15	26	28	33	35	37	39	0	1	43
