Mode: 15 #Games: 1000
p0_0	p0_1	p0_2	p0_3	p0_4	p0_5	p0_6	p0_7	p0_8	p0_9	p2_0	p2_1	p2_2	p2_3	p2_4	p2_5	p2_6	p2_7	p2_8	p2_9	trump	first	fp
2	8	10	11	13	18	24	25	36	39	0	1	12	14	16	21	27	29	33	35	2	0	57
6	9	13	15	16	21	27	28	37	39	5	17	20	23	24	26	31	34	35	36	2	2	81
3	9	10	11	12	17	26	30	31	36	0	7	16	18	22	25	29	32	35	39	1	0	69
10	11	13	21	22	27	29	34	36	39	2	6	7	8	15	23	25	26	30	38	2	2	85
1	2	3	8	17	23	25	28	33	38	0	4	5	6	12	15	19	29	34	36	1	1	65
0	5	7	8	20	23	25	34	35	39	1	2	3	10	15	21	26	29	30	37	1	3	59
0	1	3	7	17	19	23	24	32	33	2	5	10	11	15	16	20	25	31	39	0	3	54
0	1	2	6	8	13	19	25	27	35	7	9	10	14	23	24	28	30	36	38	1	2	64
0	3	10	16	22	29	31	32	33	39	2	4	6	8	18	19	20	25	30	35	1	1	49
0	2	9	11	14	15	26	29	30	35	1	4	5	6	16	17	21	31	33	39	3	0	37
0	5	6	7	12	18	33	34	36	39	2	3	4	13	15	20	21	30	31	37	1	3	15
0	2	5	7	8	12	13	17	25	34	1	4	9	10	15	18	20	24	30	33	1	0	84
2	4	8	13	16	19	23	26	27	36	1	12	15	18	24	25	28	31	32	38	1	2	59
0	2	5	8	11	13	15	19	22	25	3	7	9	16	17	20	32	33	38	39	0	1	88
3	4	10	13	15	17	25	31	35	36	2	5	7	9	11	16	19	29	30	32	3	1	62
3	8	12	13	22	24	31	32	34	36	2	4	6	7	10	17	20	30	33	39	1	0	36
2	3	6	8	17	19	20	21	30	38	0	4	9	15	16	22	31	32	34	37	1	2	36
5	6	8	11	14	19	20	25	26	27	1	2	12	15	23	33	35	37	38	39	2	3	49
0	6	10	11	12	18	21	27	30	32	3	8	19	22	23	31	33	37	38	39	2	2	64
