Mode: 8 #Games: 1000
p0_0	p0_1	p0_2	p0_3	p0_4	p0_5	p0_6	p0_7	p0_8	p0_9	p2_0	p2_1	p2_2	p2_3	p2_4	p2_5	p2_6	p2_7	p2_8	p2_9	trump	first	fp
5	7	8	9	14	20	24	27	28	38	1	2	3	18	22	30	33	34	37	39	0	2	70
2	3	13	15	19	20	25	26	33	37	0	7	8	10	14	22	29	32	34	36	0	0	47
0	6	8	17	19	20	22	30	32	33	1	2	4	5	12	15	18	21	24	37	2	0	32
10	12	14	17	19	26	29	32	34	39	0	4	5	8	18	21	24	30	33	35	3	2	84
2	5	12	13	14	15	16	21	30	31	0	1	7	8	17	19	25	35	37	39	0	3	98
6	10	21	22	23	24	26	31	34	38	2	8	11	17	19	20	29	33	35	39	3	1	111
0	1	15	17	18	20	25	29	32	35	2	4	6	9	10	11	14	24	28	31	0	1	90
1	6	9	13	17	18	20	22	25	38	8	11	12	16	23	27	30	34	36	37	1	3	76
6	12	17	19	20	21	22	23	27	32	2	3	7	10	13	24	25	34	35	37	1	0	39
5	7	9	10	13	18	21	28	30	36	0	3	6	8	11	16	17	22	25	32	1	2	29
2	8	9	14	22	25	29	33	35	39	0	10	23	24	26	28	30	34	36	38	3	2	107
1	7	11	13	15	20	21	22	31	39	2	3	5	8	14	16	17	18	32	36	1	0	65
2	5	9	10	17	19	21	23	27	39	0	6	11	12	16	22	32	33	34	38	0	1	64
6	7	12	20	22	25	26	27	30	36	0	1	2	10	11	15	18	28	35	38	2	3	69
4	5	7	8	15	18	20	25	35	36	1	3	6	11	12	14	26	27	32	39	3	3	85
0	6	9	11	14	19	28	30	31	39	4	7	15	20	22	24	26	27	37	38	0	1	83
5	9	12	16	17	22	27	29	33	36	4	8	10	11	15	21	31	32	38	39	1	2	59
9	17	19	23	24	28	30	31	32	35	1	2	5	8	13	20	26	27	36	37	2	0	72
0	8	12	17	20	21	23	28	29	31	1	2	3	13	14	16	26	32	35	38	0	0	56
1	2	4	5	11	22	31	34	36	37	7	14	15	18	19	21	25	32	33	35	1	2	46
5	6	9	10	16	18	27	28	33	38	0	7	8	13	20	21	25	29	32	39	0	3	120
13	20	21	22	23	25	28	32	35	37	0	3	4	6	15	18	27	29	34	36	0	1	23
3	4	6	7	11	19	22	31	36	39	2	14	17	21	23	27	29	30	35	37	2	1	86
0	8	12	17	20	28	29	30	35	36	2	5	13	19	21	22	24	26	37	39	2	3	90
1	4	7	11	13	17	20	25	26	34	0	5	12	14	19	23	27	31	33	35	2	0	55
0	3	5	6	10	11	17	29	34	35	1	8	13	14	15	22	28	31	32	36	0	2	34
3	5	6	7	10	15	25	31	38	39	2	13	16	18	20	24	26	27	28	35	0	2	77
4	8	11	12	13	15	21	24	25	31	2	3	7	14	19	29	32	34	35	39	3	0	73
3	6	8	12	18	21	23	24	25	34	0	4	7	20	30	32	33	36	38	39	2	1	49
3	7	10	17	18	22	25	35	37	38	0	1	6	8	16	19	24	28	30	31	0	3	70
3	11	14	19	22	24	31	33	34	39	0	5	9	10	13	29	35	36	37	38	3	3	105
0	1	2	10	11	18	19	20	21	31	3	6	8	9	12	24	25	29	37	39	0	1	106
3	4	7	18	24	25	26	28	32	37	0	2	5	14	17	20	21	31	33	36	0	2	43
