Mode: 14 #Games: 1000
p0_0	p0_1	p0_2	p0_3	p0_4	p0_5	p0_6	p0_7	p0_8	p0_9	p2_0	p2_1	p2_2	p2_3	p2_4	p2_5	p2_6	p2_7	p2_8	p2_9	trump	first	fp
2	4	5	6	7	15	19	26	35	36	0	10	14	23	24	25	28	30	37	38	3	2	28
1	8	23	26	28	29	31	34	35	38	0	7	11	12	13	21	22	25	30	37	2	2	69
6	8	11	12	17	19	30	32	35	36	7	10	15	21	22	24	26	28	31	38	0	0	31
18	20	27	28	29	30	33	34	35	39	0	2	12	13	15	17	19	21	32	36	1	0	84
1	5	11	14	19	21	26	30	34	36	0	2	3	9	10	13	32	35	37	39	0	3	91
1	2	7	8	10	12	19	24	29	38	3	4	9	13	17	26	32	33	36	39	1	1	92
1	8	9	16	21	23	29	34	36	39	3	10	11	14	17	22	24	25	32	37	1	1	78
7	11	15	17	20	21	26	29	36	37	1	3	4	5	8	16	19	25	30	38	1	3	78
2	3	5	11	18	21	25	29	30	39	1	7	15	16	17	20	23	28	35	36	1	2	59
0	4	7	14	17	18	28	33	35	38	1	2	3	9	10	15	20	24	32	39	2	3	20
0	6	10	15	20	21	24	26	32	39	1	7	8	12	22	27	30	33	36	38	2	0	62
0	10	17	19	21	29	30	31	33	34	2	3	6	8	18	25	28	32	35	39	3	2	93
2	6	11	15	16	17	20	26	28	39	1	5	9	13	19	22	23	25	31	36	0	1	81
0	2	4	7	13	22	26	30	31	39	1	3	6	19	21	23	29	34	37	38	1	0	69
5	8	10	12	15	18	22	25	35	38	0	1	6	13	17	26	27	28	30	31	1	0	59
0	6	13	15	17	21	26	31	35	36	1	3	9	14	19	24	27	29	37	38	0	1	49
1	6	7	9	11	13	27	29	37	39	3	5	12	17	18	23	25	28	32	35	2	2	84
2	3	7	10	20	22	24	26	28	33	4	8	11	12	13	16	17	25	27	37	2	3	91
1	6	19	24	25	26	28	30	31	35	0	2	8	11	21	27	29	32	33	34	0	1	60
0	4	10	20	21	23	24	25	27	38	1	3	6	8	12	15	26	28	32	34	3	2	10
0	6	7	9	10	18	28	32	36	38	2	5	11	14	15	21	25	26	27	35	3	0	89
3	11	16	17	19	20	26	27	29	32	5	8	9	10	12	13	18	22	23	37	2	3	90
1	9	17	21	23	24	29	34	35	37	3	14	16	19	20	25	27	28	32	36	0	3	58
0	1	4	5	23	24	27	31	37	38	11	12	15	16	20	22	26	29	30	39	3	2	88
2	5	9	13	17	18	20	25	28	29	7	8	11	15	22	30	33	35	37	39	0	1	97
2	9	11	13	14	17	21	26	30	36	3	4	5	16	28	29	31	32	34	39	0	0	69
7	11	13	14	15	21	29	31	33	38	4	6	16	17	20	23	25	32	36	39	1	0	77
0	3	9	10	23	26	27	29	30	36	7	12	13	15	22	24	33	34	35	38	2	2	67
2	5	11	12	15	16	21	28	31	36	3	4	6	14	17	20	25	29	32	34	3	1	30
2	4	14	18	26	28	29	30	34	38	0	10	12	13	17	19	20	21	23	25	0	3	41
0	5	8	11	14	18	31	33	34	36	2	7	10	12	20	26	27	29	30	32	1	1	48
2	4	9	10	12	13	16	19	27	38	0	1	6	8	25	26	29	32	34	37	3	3	73
5	6	11	15	16	18	21	22	26	33	2	7	9	13	19	27	29	35	38	39	1	2	104
1	2	5	11	16	20	30	31	33	37	0	12	13	19	21	22	24	27	34	38	0	0	52
0	9	10	13	15	17	28	32	33	34	8	11	14	19	22	23	27	30	35	37	3	0	82
2	4	6	9	13	14	20	28	29	34	3	5	7	10	15	22	27	32	37	39	3	2	72
2	3	7	9	10	15	17	32	35	39	0	5	11	13	14	16	21	30	37	38	1	1	94
0	1	2	6	21	23	26	28	38	39	3	5	11	14	15	29	32	33	35	36	0	3	88
0	7	8	15	17	18	20	33	34	39	2	9	13	16	21	28	29	32	37	38	1	3	103
5	6	11	13	14	16	20	22	25	37	0	7	17	26	27	28	31	34	36	39	2	1	76
0	3	10	16	20	27	28	30	31	36	4	6	7	12	17	22	25	29	37	39	2	2	83
