Mode: 5 #Games: 1000
p0_0	p0_1	p0_2	p0_3	p0_4	p0_5	p0_6	p0_7	p0_8	p0_9	p2_0	p2_1	p2_2	p2_3	p2_4	p2_5	p2_6	p2_7	p2_8	p2_9	trump	first	fp
2	8	10	13	14	18	20	23	26	39	1	4	9	11	12	21	27	30	32	33	3	0	42
3	7	14	17	21	24	27	32	35	39	4	9	11	16	19	20	22	25	34	38	1	0	63
0	5	10	22	23	24	28	33	34	35	4	8	12	13	14	15	20	21	29	37	1	0	64
0	4	6	11	13	14	22	25	27	32	1	7	17	19	23	30	34	36	37	39	0	0	61
2	10	15	19	20	23	28	31	36	37	4	5	9	11	12	13	17	21	35	38	1	0	69
2	9	12	14	15	18	20	24	31	32	1	3	5	11	19	21	28	30	36	37	3	1	78
3	5	10	20	22	26	28	29	31	39	4	6	8	9	16	18	21	23	36	37	3	1	67
6	7	11	13	20	25	27	31	36	39	2	3	4	5	14	15	16	29	35	38	1	2	67
3	10	13	15	21	23	24	31	32	34	1	4	6	8	18	19	22	27	28	37	1	1	43
10	12	13	15	26	28	33	34	35	38	1	6	8	18	19	22	24	29	30	31	3	1	79
5	8	9	14	25	28	31	32	38	39	0	1	7	13	22	23	26	27	33	34	3	2	74
4	12	13	18	19	21	29	32	34	37	0	6	11	16	17	20	22	23	28	30	1	3	94
4	11	14	16	22	23	25	33	36	39	12	13	18	20	21	26	28	29	32	38	1	1	91
0	6	8	16	20	22	27	31	33	34	1	2	4	18	23	28	29	32	37	38	1	2	17
0	3	6	8	14	15	22	23	34	36	1	2	9	10	12	24	27	28	32	39	3	2	23
9	17	19	20	25	26	31	33	35	39	0	4	5	14	15	23	30	32	34	38	1	3	89
0	5	6	13	16	30	31	35	37	39	2	7	12	17	20	23	24	25	27	33	2	0	45
4	12	17	24	27	29	30	31	34	39	0	3	9	10	11	13	20	22	28	35	0	2	58
1	2	3	11	12	15	21	23	27	36	0	7	13	26	28	29	31	34	37	38	2	3	58
0	3	6	8	11	13	21	22	29	38	2	4	10	20	24	28	30	31	33	39	2	3	85
0	4	7	8	10	20	23	28	38	39	2	9	11	16	25	26	27	29	31	36	2	1	103
1	12	16	20	22	25	27	29	33	36	5	10	18	21	23	26	28	32	37	38	0	0	36
3	6	8	16	21	25	33	36	37	39	0	1	4	13	15	22	28	29	31	34	1	3	41
9	13	21	25	26	29	31	37	38	39	3	4	7	8	11	12	16	18	28	35	3	0	96
0	10	11	16	18	23	24	25	35	37	4	9	21	22	26	27	29	31	32	34	2	1	85
4	9	10	13	17	18	22	27	30	32	2	6	8	11	19	21	23	24	26	29	2	2	103
1	4	5	7	11	23	30	33	35	38	6	8	10	17	19	21	22	28	31	34	2	0	55
1	3	7	8	10	11	27	33	38	39	4	6	12	14	21	22	26	30	31	36	0	3	42
3	5	8	20	24	26	27	34	35	39	1	2	6	7	9	17	25	28	33	38	2	1	99
0	1	9	10	13	14	17	26	28	34	6	8	19	23	30	31	32	35	38	39	2	1	76
3	8	9	14	15	22	24	25	28	30	0	7	11	12	13	18	19	27	31	36	0	2	68
0	3	6	8	10	15	16	24	30	35	4	9	11	12	18	20	21	29	34	39	0	0	63
4	8	12	14	22	29	30	32	33	39	3	7	10	19	21	26	27	28	31	38	0	0	98
0	1	8	11	14	25	30	31	33	37	2	6	7	13	15	17	19	23	28	32	0	3	81
2	4	9	14	19	25	26	28	33	35	7	11	12	13	21	23	24	30	32	37	0	2	47
2	10	12	16	18	20	22	23	24	25	3	7	9	14	15	21	28	29	31	32	0	2	32
0	4	13	18	23	27	30	32	36	37	3	5	6	9	16	19	20	25	29	34	1	1	64
4	6	8	11	17	21	23	30	33	36	1	5	9	14	16	18	22	34	35	38	1	0	41
3	7	13	16	21	26	28	31	34	36	11	14	15	18	23	25	29	37	38	39	2	1	96
0	1	4	9	14	17	20	33	34	38	7	8	13	16	23	26	29	31	35	39	1	3	73
0	8	10	16	17	18	22	27	36	37	4	5	9	12	20	23	24	29	34	38	3	1	72
3	6	8	9	12	16	18	23	28	33	0	5	7	11	13	19	25	26	29	34	3	3	61
1	2	4	6	12	13	20	26	34	35	0	5	10	18	23	24	28	31	37	38	0	2	21
4	12	16	17	18	19	22	33	35	37	0	5	10	11	14	25	27	28	32	34	1	2	71
6	9	16	19	23	26	32	36	37	38	2	4	7	10	18	25	30	33	35	39	1	2	66
7	8	13	14	15	27	31	35	36	37	0	1	2	9	10	12	21	22	23	33	2	3	44
2	7	12	13	15	21	26	28	30	34	0	4	9	11	18	25	33	35	37	39	2	3	62
12	13	16	17	19	20	27	34	37	39	2	4	5	24	28	29	31	33	35	36	1	0	107
3	11	13	14	22	26	27	33	34	35	0	2	7	9	20	21	24	25	32	36	0	0	34
4	11	12	21	25	27	33	34	37	39	3	6	7	15	16	17	20	29	32	38	2	0	56
5	11	12	14	17	18	19	31	33	34	0	20	21	22	26	27	28	29	35	37	3	3	52
0	4	15	19	20	23	24	26	35	37	1	6	13	14	16	17	21	27	38	39	1	1	61
0	1	4	6	13	15	17	18	22	39	2	8	12	16	24	25	26	30	36	38	3	1	60
2	4	5	17	23	24	30	34	35	38	0	1	7	13	21	22	26	27	28	32	0	0	74
10	11	12	17	19	21	25	27	29	33	3	7	15	22	28	30	31	35	37	39	3	1	96
1	6	9	10	14	18	19	28	30	35	3	4	12	17	22	34	36	37	38	39	1	0	46
0	11	13	15	18	20	24	31	34	35	2	7	16	19	21	25	28	29	33	38	3	1	82
6	10	15	20	23	25	27	28	38	39	2	3	11	12	17	21	26	31	34	37	0	2	32
0	2	4	8	11	18	20	21	26	35	1	3	5	13	14	16	25	27	30	39	0	2	41
0	8	20	22	25	28	31	32	35	37	3	4	11	12	13	15	19	26	34	36	1	2	52
7	12	13	14	16	17	24	26	34	37	1	3	5	10	15	20	21	35	36	39	3	2	23
9	10	12	14	17	20	23	26	33	39	0	11	16	19	22	27	28	29	30	31	2	1	108
1	5	7	8	16	22	34	35	38	39	0	6	9	17	18	20	21	25	28	32	1	3	65
2	7	8	11	12	20	22	26	30	35	1	6	14	16	17	24	25	32	34	39	3	3	36
1	5	6	11	14	17	22	27	33	38	4	7	10	15	19	23	24	28	30	31	1	3	44
0	4	12	15	19	27	30	32	35	37	6	7	9	10	14	21	22	28	33	36	0	2	44
0	2	7	13	16	22	23	25	28	38	1	4	17	19	21	26	31	32	36	39	2	0	39
0	7	18	20	21	22	24	26	33	37	1	4	8	13	14	15	16	23	27	28	3	3	27
0	3	8	9	14	17	27	29	30	34	2	4	12	13	15	22	23	28	33	38	2	3	70
1	3	5	15	19	25	28	34	36	37	6	7	12	14	16	18	21	26	27	35	1	0	57
3	13	14	16	17	19	21	22	28	38	5	8	11	15	20	25	26	31	32	37	2	0	35
4	12	15	16	25	26	29	31	34	35	5	7	9	14	21	22	23	27	36	37	1	1	42
4	10	11	12	15	18	20	21	27	35	3	5	14	17	24	28	29	30	31	33	0	0	58
1	5	6	12	15	22	24	27	30	32	4	7	10	14	16	18	25	29	38	39	2	0	63
3	6	8	16	21	22	23	26	31	39	2	4	7	10	17	24	32	33	35	37	1	1	34
6	11	14	16	17	21	22	30	35	38	3	5	7	8	10	13	15	23	28	36	0	2	46
0	3	6	11	14	18	26	28	29	33	7	9	12	20	21	24	25	32	36	38	2	1	82
0	3	6	8	12	13	27	34	35	37	2	9	15	17	21	23	25	26	28	33	1	1	41
0	1	5	9	10	22	23	24	26	37	2	4	7	8	25	31	33	34	35	39	0	1	95
1	8	11	12	16	17	23	30	33	37	0	3	5	6	7	15	22	26	29	34	3	3	56
3	4	6	10	11	21	23	29	33	37	0	5	14	19	20	22	24	26	27	35	3	2	21
1	5	6	10	11	12	14	24	29	35	7	8	9	16	18	20	21	23	25	31	3	2	59
14	17	20	21	22	32	35	36	37	38	6	7	9	10	13	15	23	24	26	31	3	2	66
3	4	10	12	15	18	23	25	29	37	5	8	19	21	31	32	33	34	35	38	1	2	61
2	7	8	9	18	22	28	31	35	36	3	4	12	15	17	21	32	34	37	38	0	3	88
0	5	7	9	15	19	21	22	29	33	2	3	4	6	8	10	14	16	23	30	1	0	89
3	5	13	15	16	19	24	30	35	37	1	10	12	20	22	25	26	31	33	39	1	3	76
2	5	10	11	15	19	20	30	33	39	7	16	24	25	28	31	32	35	37	38	3	3	92
0	11	12	21	24	25	26	27	31	34	10	15	16	18	23	29	33	35	38	39	2	3	88
4	5	8	9	15	20	22	23	26	28	1	2	13	18	24	29	32	35	36	37	3	1	62
2	3	6	7	18	19	23	30	34	38	5	9	10	13	15	16	20	28	31	37	2	0	64
2	9	10	16	23	24	25	26	27	35	0	1	3	5	12	13	14	18	22	37	3	2	28
2	3	4	9	11	12	14	19	28	37	1	6	7	22	25	29	31	34	35	36	1	0	60
2	5	6	8	12	17	22	37	38	39	1	4	9	10	15	16	18	25	29	34	3	0	88
1	4	7	9	12	16	24	25	28	31	0	2	5	6	13	20	29	33	37	38	2	0	97
0	4	10	11	15	17	20	21	38	39	2	7	9	12	16	18	19	22	25	35	2	1	78
0	1	3	8	10	12	22	30	32	37	4	6	17	18	20	21	23	25	26	38	3	1	40
3	4	5	6	9	14	18	24	26	29	1	2	7	11	12	16	22	25	28	34	3	3	39
4	12	19	20	22	27	28	31	33	34	3	6	8	13	14	16	17	18	30	35	1	1	79
2	4	6	8	9	21	24	28	29	39	1	3	7	10	16	22	23	25	30	31	0	1	120
3	9	11	15	17	18	23	25	31	32	4	7	14	16	19	26	28	29	35	36	1	2	94
7	8	9	13	18	23	30	31	32	37	5	6	12	19	21	26	27	28	29	33	0	0	92
0	7	8	12	14	16	17	21	28	38	1	2	6	13	18	22	26	27	32	33	0	2	61
1	7	9	11	12	17	25	28	32	39	5	8	16	18	19	21	22	26	27	33	2	3	107
0	1	2	11	15	16	17	20	23	38	3	4	5	8	9	10	21	26	30	37	2	1	43
4	5	7	8	9	14	23	26	29	31	1	2	6	15	24	25	33	34	38	39	2	2	106
14	19	20	21	23	28	30	31	33	36	6	8	16	17	18	24	29	32	34	38	0	2	40
3	8	9	11	16	26	31	35	36	38	0	1	10	17	21	23	24	25	28	37	0	3	64
3	7	13	14	19	22	27	31	32	38	2	9	17	24	25	28	29	34	35	37	0	3	60
2	7	8	12	13	19	22	23	26	30	0	3	6	9	10	14	24	28	29	31	2	0	89
5	12	16	19	20	22	25	29	32	37	3	6	11	15	23	27	28	34	36	38	3	2	65
