Mode: 5 #Games: 1000
p0_0	p0_1	p0_2	p0_3	p0_4	p0_5	p0_6	p0_7	p0_8	p0_9	p2_0	p2_1	p2_2	p2_3	p2_4	p2_5	p2_6	p2_7	p2_8	p2_9	trump	first	fp
2	3	11	18	24	27	30	31	33	37	4	6	8	13	16	19	25	28	32	39	1	2	60
4	7	15	18	20	21	24	26	27	30	2	11	14	16	23	32	35	36	37	39	2	0	51
2	4	11	17	23	33	34	36	37	39	0	5	6	7	15	16	18	19	31	35	0	2	84
0	4	10	11	12	18	23	25	34	35	1	5	9	13	14	21	22	26	27	39	0	1	59
1	11	12	15	17	19	22	30	31	37	8	9	14	16	18	21	27	29	32	34	2	3	76
5	8	9	12	13	26	29	34	35	37	2	3	10	14	15	16	18	21	25	36	2	0	59
0	1	6	9	16	20	21	23	28	33	3	5	13	14	18	26	27	34	36	37	1	3	43
0	2	7	12	15	24	28	31	37	39	4	6	8	11	17	27	29	30	32	38	3	1	90
2	3	10	11	21	22	23	26	30	31	4	5	6	7	15	20	27	28	32	39	3	2	11
0	4	6	14	15	20	30	35	37	39	5	7	9	16	21	26	27	31	32	36	2	3	53
0	4	7	16	19	22	24	26	27	38	5	8	11	13	18	25	32	36	37	39	0	0	77
0	6	11	16	17	20	21	22	24	38	4	5	9	13	18	26	28	31	37	39	0	2	64
2	4	10	12	19	24	27	30	38	39	6	8	14	18	22	26	29	31	33	37	2	0	99
0	7	14	18	28	31	34	35	36	39	3	5	6	13	22	23	24	25	26	32	0	0	60
0	2	11	14	17	22	24	27	34	36	3	5	6	13	15	19	25	26	29	31	2	1	57
1	4	12	13	23	24	32	34	35	39	2	3	5	8	10	16	19	29	33	36	1	3	97
2	6	7	14	16	17	20	24	27	31	0	8	10	13	22	23	28	29	35	38	1	1	83
0	5	6	9	16	18	19	20	21	23	1	2	10	15	22	26	29	30	34	36	3	2	84
8	11	14	15	18	20	22	31	32	34	0	4	12	13	17	29	33	35	37	39	0	2	42
0	2	4	7	8	9	13	26	35	39	5	6	15	16	22	23	24	30	32	34	2	1	47
1	3	6	7	8	16	20	29	35	39	0	10	14	18	19	22	28	30	33	36	3	3	67
0	14	20	21	22	24	35	36	37	38	1	2	6	8	12	16	18	19	29	31	0	3	59
5	8	9	11	14	19	26	35	38	39	0	15	20	21	22	25	28	29	31	32	3	2	111
2	4	10	12	13	20	21	23	32	33	3	7	11	14	15	17	18	19	25	38	0	0	21
2	4	6	12	14	21	28	29	34	37	3	7	8	13	15	19	24	26	27	38	2	3	66
5	8	9	13	23	24	26	33	34	39	3	4	10	15	21	22	25	28	29	30	1	0	55
1	14	15	19	20	21	23	34	36	39	5	7	8	9	13	17	28	29	31	38	1	1	106
0	3	5	13	15	16	22	25	26	28	1	2	4	6	9	14	27	30	32	33	0	0	80
1	4	9	13	14	16	19	26	33	38	5	6	12	20	22	23	28	32	36	37	3	0	77
1	9	15	18	23	25	26	32	33	38	0	8	10	16	19	24	27	31	37	39	0	1	98
3	10	11	19	21	23	25	27	34	38	6	7	9	13	16	20	24	30	32	35	2	1	67
0	2	8	12	16	17	19	27	29	30	5	10	11	13	18	20	21	33	36	39	2	1	83
4	8	14	22	27	29	30	32	36	39	1	7	9	10	16	18	26	28	34	35	3	2	82
0	2	5	7	9	15	19	26	33	37	1	8	11	13	16	21	22	27	31	36	1	2	74
1	2	4	5	8	13	14	21	25	29	9	10	15	20	22	23	26	32	35	39	0	2	70
2	10	11	17	27	28	30	33	38	39	0	5	6	12	15	18	19	22	26	34	0	3	63
3	5	6	13	23	25	29	30	31	37	0	7	11	14	18	21	22	27	32	33	3	3	33
7	11	13	16	17	25	28	29	33	37	0	12	15	19	22	24	27	30	32	38	2	2	82
1	4	9	20	21	28	31	32	33	34	2	3	5	6	12	13	18	25	29	35	3	0	44
2	3	4	10	13	19	25	27	30	31	8	11	21	22	23	34	35	36	37	39	1	3	35
0	8	17	20	21	25	30	31	32	37	7	9	10	11	14	15	18	27	28	35	1	0	63
1	7	8	15	20	21	28	32	33	34	6	10	13	14	17	22	23	24	29	39	3	1	57
0	10	11	17	19	23	24	32	35	39	3	4	6	8	12	15	21	22	26	37	3	0	50
4	6	21	23	26	27	28	32	34	36	2	3	7	10	11	12	14	17	22	31	0	1	23
8	13	14	23	24	25	30	31	34	38	0	1	7	11	17	19	27	29	33	39	2	2	65
1	2	5	20	23	25	29	32	34	37	0	3	8	10	17	18	22	26	31	36	3	3	57
4	5	17	18	19	20	23	24	33	34	7	9	10	16	21	22	25	29	30	31	1	0	65
2	8	9	11	12	24	31	35	37	38	0	1	10	16	20	21	27	30	33	39	1	2	66
0	1	2	5	9	15	19	32	35	39	3	8	10	17	18	22	27	33	34	38	1	3	117
3	9	10	13	14	17	22	26	28	32	4	6	7	8	12	20	29	35	38	39	2	3	96
5	12	16	17	18	19	26	28	33	36	1	2	10	13	20	21	22	24	38	39	2	0	65
8	10	11	14	15	21	23	27	37	38	3	13	20	22	25	26	28	29	32	34	0	1	22
2	8	11	12	17	20	21	25	28	31	3	4	5	6	9	18	22	24	33	35	1	1	82
0	1	3	6	10	30	35	36	37	39	5	11	12	13	20	24	25	29	31	33	1	1	43
1	5	7	8	18	19	20	24	25	27	0	10	13	14	28	34	35	36	37	39	1	0	74
1	3	4	6	8	16	23	24	28	33	0	9	10	13	20	21	30	35	37	39	2	2	84
3	4	11	15	18	25	28	30	35	37	0	1	8	10	14	17	21	23	31	33	3	1	52
3	4	5	15	18	21	28	30	31	37	0	1	2	8	10	13	14	29	32	35	2	2	54
4	17	20	23	24	27	28	29	31	38	1	2	5	6	13	14	15	18	25	35	3	3	54
4	17	18	19	23	24	25	27	29	33	2	5	8	13	15	22	28	34	36	39	2	3	92
2	5	8	9	13	17	20	22	25	36	0	6	10	14	19	24	28	32	33	34	3	0	70
