Mode: 4 #Games: 1000
p_0	p_1	p_2	p_3	pt_0	pt_1	pt_2	pt_3	t_0	t_1	t_2	t_3	A_0	A_1	A_2	A_3	S_0	S_1	S_2	S_3	At_02	suits_0	suits_1	suits_2	suit_3	first_0	first_1	first_2	first_3	fp_02
15	49	12	44	2	25	3	0	3	3	2	2	1	1	0	2	0	2	0	2	0	4	4	4	4	0	0	0	1	29
32	49	18	21	10	15	0	5	2	3	1	4	0	2	1	1	3	1	0	0	0	4	4	4	3	0	0	1	0	16
28	28	28	36	4	0	13	13	2	2	4	2	0	2	2	0	2	0	0	2	1	4	4	4	4	0	0	0	1	70
32	30	25	33	11	3	4	12	1	5	2	2	2	1	1	0	0	1	1	2	1	4	3	4	4	1	0	0	0	40
23	27	37	33	0	0	15	15	2	1	5	2	1	1	0	2	0	1	3	0	0	4	3	4	4	0	0	0	1	56
34	24	32	30	16	0	0	14	3	1	1	5	0	1	2	1	2	0	1	1	0	3	4	4	3	0	0	0	1	25
36	33	20	31	13	4	3	10	2	3	2	3	2	1	0	1	1	1	0	2	1	4	4	4	4	0	0	0	1	46
34	19	37	30	2	14	14	0	2	4	4	0	2	1	0	1	1	0	2	1	0	4	4	4	3	0	1	0	0	79
42	15	31	32	11	2	17	0	1	3	5	1	2	0	1	1	1	1	1	1	1	4	4	4	4	1	0	0	0	104
39	23	26	32	3	0	14	13	1	1	4	4	2	0	0	2	1	1	2	0	0	4	4	4	3	1	0	0	0	73
37	30	38	15	6	0	21	3	2	1	4	3	1	2	1	0	1	0	2	1	1	4	4	4	4	1	0	0	0	83
27	25	19	49	0	4	5	21	1	4	3	2	1	1	0	2	0	1	1	2	0	4	4	4	4	1	0	0	0	21
38	19	41	22	11	6	13	0	2	4	3	1	2	0	2	0	1	1	1	1	1	4	3	4	4	0	1	0	0	76
14	17	62	27	4	3	23	0	3	1	4	2	0	0	2	2	0	1	3	0	1	4	4	4	4	0	1	0	0	66
29	35	27	29	11	16	3	0	2	5	2	1	2	0	1	1	0	2	1	1	1	4	3	3	4	0	0	1	0	27
34	43	16	27	3	13	10	4	1	2	3	4	1	2	0	1	1	1	1	1	0	4	4	4	4	0	1	0	0	52
39	27	30	24	12	7	11	0	3	3	3	1	0	0	2	2	3	1	0	0	1	4	4	4	4	0	0	1	0	86
18	17	56	29	14	10	0	6	2	3	0	5	1	0	2	1	0	1	2	1	1	4	4	3	4	0	1	0	0	52
44	33	13	30	16	0	0	14	4	1	1	4	3	0	0	1	0	2	1	1	1	4	4	4	4	0	0	0	1	82
19	30	42	29	6	3	21	0	4	3	3	0	1	0	2	1	0	2	1	1	1	3	4	4	3	0	0	1	0	120
27	21	39	33	21	0	7	2	3	1	3	3	1	1	1	1	1	0	1	2	1	4	4	4	4	0	0	1	0	53
27	31	40	22	0	3	23	4	3	1	4	2	1	2	1	0	1	0	2	1	1	4	4	4	4	0	0	1	0	63
39	18	44	19	17	0	11	2	4	2	2	2	0	1	3	0	3	0	0	1	1	3	4	4	3	0	0	0	1	92
15	45	31	29	3	23	0	4	3	4	1	2	0	1	1	2	0	3	1	0	0	3	3	4	4	1	0	0	0	22
10	33	34	43	0	14	0	16	3	4	0	3	0	1	1	2	1	1	1	1	0	4	4	3	4	0	0	0	1	30
39	36	29	16	10	0	18	2	2	1	4	3	2	1	1	0	1	2	0	1	1	3	4	3	4	0	0	0	1	107
29	9	44	38	14	2	3	11	2	3	2	3	0	0	2	2	2	0	1	1	0	3	3	4	4	0	1	0	0	88
40	29	26	25	0	20	10	0	1	4	3	2	3	1	0	0	0	0	2	2	0	4	4	4	4	0	0	0	1	77
33	28	24	35	0	15	5	10	1	3	3	3	1	1	0	2	1	1	1	1	0	4	4	4	4	1	0	0	0	79
13	50	22	35	0	16	4	10	1	4	3	2	0	3	0	1	0	1	1	2	0	4	4	4	4	0	0	1	0	17
23	45	13	39	0	12	7	11	1	3	4	2	1	1	0	2	0	3	0	1	0	4	4	4	4	1	0	0	0	52
30	21	27	42	2	14	14	0	1	4	2	3	0	0	1	3	2	1	1	0	1	4	4	4	4	1	0	0	0	37
17	33	37	33	0	10	2	18	2	2	3	3	0	1	1	2	0	2	2	0	0	4	4	3	4	1	0	0	0	76
43	21	17	39	3	0	13	14	1	1	4	4	2	1	1	0	1	0	0	3	1	4	4	4	3	0	0	0	1	79
38	26	29	27	0	14	14	2	2	2	4	2	2	0	2	0	1	1	0	2	1	4	4	4	4	0	1	0	0	105
15	23	36	46	13	6	0	11	3	4	1	2	0	1	1	2	1	0	2	1	0	4	4	4	4	0	1	0	0	38
36	27	21	36	0	23	3	4	0	5	3	2	2	1	1	0	0	1	0	3	0	3	4	4	4	0	1	0	0	37
32	33	24	31	18	2	10	0	4	2	3	1	2	2	0	0	0	0	2	2	1	3	3	4	4	0	1	0	0	90
40	49	10	21	17	11	0	2	3	4	2	1	1	2	0	1	2	2	0	0	0	3	4	4	4	1	0	0	0	56
39	37	35	9	3	21	2	4	3	2	1	4	2	1	1	0	1	2	1	0	0	4	3	4	4	0	0	1	0	53
30	9	48	33	0	0	14	16	1	1	4	4	0	0	3	1	2	0	1	1	1	4	4	4	4	0	0	1	0	73
33	5	28	54	13	0	13	4	3	1	4	2	1	0	1	2	1	0	1	2	1	4	4	3	4	0	0	1	0	64
24	31	54	11	4	0	23	3	2	1	4	3	0	1	3	0	2	1	1	0	1	4	4	4	4	0	0	1	0	79
21	34	45	20	2	14	11	3	3	4	2	1	0	1	2	1	1	1	2	0	1	4	3	4	4	0	1	0	0	68
26	31	31	32	0	3	13	14	1	4	3	2	1	2	1	0	1	0	1	2	1	4	4	4	4	0	0	0	1	51
28	15	38	39	11	6	0	13	3	3	0	4	1	0	1	2	1	0	2	1	1	4	4	3	4	0	0	0	1	45
28	32	25	35	3	0	10	17	3	1	2	4	1	1	1	1	1	1	1	1	0	4	4	4	4	0	0	0	1	54
22	29	41	28	0	12	4	14	3	3	2	2	2	0	1	1	0	2	2	0	0	4	4	4	4	0	0	0	1	75
18	30	37	35	0	6	11	13	1	4	2	3	1	1	2	0	0	0	1	3	1	4	4	4	4	0	0	1	0	56
34	17	30	39	4	5	11	10	3	2	3	2	1	0	2	1	1	1	0	2	1	4	4	4	3	1	0	0	0	45
41	21	11	47	10	0	4	16	2	1	3	4	1	1	0	2	2	1	0	1	0	4	4	4	4	1	0	0	0	44
21	28	46	25	5	4	21	0	2	3	5	0	1	0	2	1	0	2	2	0	1	4	3	4	3	1	0	0	0	82
47	35	17	21	13	4	0	13	3	3	2	2	3	1	0	0	1	1	1	1	1	4	4	4	4	1	0	0	0	73
65	24	9	22	10	7	0	13	2	4	1	3	2	1	0	1	4	0	0	0	0	4	3	4	4	0	0	0	1	47
37	45	23	15	7	13	0	10	2	3	2	3	0	3	1	0	2	1	0	1	0	4	4	4	3	0	1	0	0	47
20	19	51	30	11	3	16	0	2	2	4	2	1	1	1	1	0	0	3	1	1	4	4	4	4	0	1	0	0	89
28	40	13	39	13	11	2	4	3	2	2	3	0	1	1	2	1	2	0	1	0	4	4	4	4	1	0	0	0	49
15	34	18	53	2	11	4	13	2	2	3	3	0	2	0	2	1	1	0	2	0	4	3	4	4	0	1	0	0	17
38	16	51	15	0	2	28	0	2	2	5	1	2	0	1	1	0	1	3	0	1	4	4	3	4	0	1	0	0	104
19	41	20	40	9	11	0	10	3	1	3	3	0	2	1	1	1	1	0	2	0	4	4	4	4	0	0	1	0	41
38	17	40	25	0	2	11	17	2	2	2	4	2	0	2	0	1	1	1	1	1	4	4	4	4	0	0	1	0	75
17	28	35	40	6	0	21	3	4	1	2	3	0	0	1	3	0	2	2	0	1	3	4	4	4	0	1	0	0	76
35	45	22	18	18	10	2	0	4	1	3	2	2	1	0	1	0	3	1	0	1	4	4	4	4	0	0	1	0	70
55	14	10	41	21	4	5	0	3	2	4	1	3	0	0	1	2	0	0	2	1	4	4	3	4	0	0	1	0	85
22	21	28	49	0	7	0	23	1	4	2	3	1	0	1	2	0	1	1	2	0	4	4	4	4	0	0	1	0	49
31	37	37	15	15	4	11	0	4	1	3	2	0	1	3	0	2	1	0	1	1	4	4	3	4	0	0	0	1	109
31	11	49	29	13	0	13	4	3	1	3	3	2	0	2	0	0	0	2	2	1	4	4	4	4	0	0	0	1	104
33	17	34	36	0	10	20	0	0	2	4	4	1	0	1	2	2	1	0	1	1	3	4	4	4	0	0	0	1	68
17	23	43	37	12	4	14	0	3	2	2	3	0	0	2	2	1	1	1	1	1	4	4	4	4	1	0	0	0	62
28	37	19	36	3	11	10	6	2	4	2	2	1	2	0	1	1	1	1	1	0	4	4	4	4	0	0	0	1	58
46	31	12	31	0	14	2	14	1	3	3	3	3	0	0	1	1	2	0	1	0	4	4	4	3	0	0	0	1	41
48	6	31	35	11	0	3	16	2	2	2	4	2	0	1	1	2	0	1	1	1	4	4	4	4	1	0	0	0	85
40	20	45	15	7	2	10	11	3	1	4	2	1	1	1	1	1	0	3	0	0	4	4	4	4	0	1	0	0	92
37	44	12	27	11	10	4	5	2	2	3	3	1	2	0	1	2	2	0	0	1	4	4	4	4	1	0	0	0	28
24	38	35	23	0	3	11	16	3	1	2	4	0	3	1	0	1	0	2	1	1	4	4	4	4	0	1	0	0	50
31	28	27	34	4	0	12	14	1	1	3	5	1	2	0	1	1	0	2	1	0	4	4	4	4	1	0	0	0	41
17	29	36	38	14	0	12	4	3	2	2	3	1	1	1	1	0	1	1	2	1	4	4	4	3	0	0	1	0	55
28	27	41	24	3	14	13	0	3	4	2	1	1	0	3	0	1	1	0	2	1	4	4	4	4	0	1	0	0	50
38	30	27	25	2	4	10	14	4	2	1	3	2	1	0	1	1	1	2	0	0	3	4	4	4	0	0	1	0	72
18	45	21	36	3	13	4	10	2	2	4	2	1	2	1	0	0	1	0	3	0	4	4	4	3	0	0	0	1	74
34	19	26	41	0	11	4	15	1	3	1	5	2	1	1	0	1	0	0	3	0	4	4	4	4	0	1	0	0	56
14	27	48	31	5	0	25	0	5	0	3	2	0	1	2	1	0	1	1	2	1	4	3	4	4	0	0	1	0	68
25	25	36	34	15	0	0	15	3	1	3	3	1	1	2	0	0	1	1	2	1	4	4	4	4	0	0	0	1	81
28	28	31	33	13	3	4	10	3	2	2	3	2	1	0	1	0	1	2	1	1	4	4	4	4	1	0	0	0	52
45	23	37	15	11	10	9	0	3	4	3	0	1	1	2	0	2	1	0	1	1	4	4	4	3	0	0	0	1	59
25	41	28	26	13	4	11	2	2	2	4	2	0	3	1	0	2	0	1	1	1	4	4	4	4	0	1	0	0	55
29	30	36	25	12	14	0	4	3	4	1	2	0	2	1	1	2	0	2	0	0	3	3	3	4	1	0	0	0	89
24	49	38	9	0	0	23	7	0	0	6	4	1	2	1	0	0	2	2	0	1	3	3	4	3	0	0	1	0	80
19	46	19	36	0	11	7	12	0	2	4	4	0	3	0	1	1	1	0	2	0	3	4	4	4	0	0	1	0	21
18	37	31	34	7	23	0	0	3	6	1	0	0	1	1	2	0	2	1	1	0	4	3	4	3	1	0	0	0	26
14	36	34	36	0	14	6	10	1	2	3	4	0	2	1	1	1	0	1	2	0	4	4	4	4	0	1	0	0	39
16	35	28	41	0	12	15	3	1	4	2	3	0	1	1	2	1	2	0	1	1	4	3	4	4	1	0	0	0	11
46	9	25	40	10	5	15	0	1	3	4	2	3	0	1	0	1	0	0	3	1	4	4	4	4	0	0	0	1	100
26	26	33	35	0	10	20	0	2	3	4	1	1	0	2	1	1	2	0	1	1	4	4	4	4	0	0	0	1	63
35	20	38	27	0	11	10	9	2	1	2	5	1	1	2	0	2	0	1	1	0	4	4	4	4	0	1	0	0	76
31	24	28	37	15	0	10	5	2	1	3	4	1	0	1	2	1	1	1	1	1	4	4	4	3	0	1	0	0	48
44	17	13	46	11	13	4	2	1	3	3	3	3	0	0	1	0	1	0	3	1	4	4	4	4	1	0	0	0	39
35	31	36	18	25	0	2	3	4	2	3	1	1	1	2	0	2	1	1	0	1	4	4	4	4	0	0	1	0	96
47	28	9	36	5	4	0	21	2	3	3	2	3	0	0	1	0	2	0	2	0	4	4	4	4	1	0	0	0	76
22	36	40	22	0	13	13	4	1	3	4	2	0	2	1	1	2	0	2	0	0	4	3	4	4	0	1	0	0	42
14	30	39	37	2	13	0	15	3	4	1	2	0	1	0	3	0	1	3	0	0	4	3	4	4	0	0	1	0	12
26	35	42	17	10	5	15	0	3	4	2	1	1	0	2	1	1	2	1	0	1	4	4	4	4	0	0	1	0	72
22	37	21	40	10	0	14	6	3	2	3	2	0	2	1	1	2	1	0	1	1	4	4	4	4	0	1	0	0	71
24	41	30	25	9	21	0	0	3	4	2	1	0	2	2	0	1	1	0	2	0	3	3	4	4	0	0	0	1	47
28	37	26	29	14	0	2	14	3	3	1	3	0	2	0	2	2	1	1	0	0	4	4	4	4	0	0	0	1	27
27	49	18	26	11	4	12	3	2	2	4	2	2	1	0	1	0	3	1	0	1	4	4	4	4	0	0	0	1	50
22	23	31	44	4	0	2	24	3	3	1	3	1	0	2	1	0	2	0	2	0	3	4	4	4	0	0	1	0	38
13	43	50	14	3	17	10	0	4	3	1	2	0	1	3	0	1	1	1	1	0	4	4	4	4	0	0	1	0	94
29	18	38	35	7	11	10	2	3	4	2	1	1	1	1	1	0	0	2	2	0	4	3	4	4	1	0	0	0	53
24	33	25	38	3	14	11	2	3	3	2	2	1	0	1	2	0	2	1	1	1	4	4	4	4	0	0	0	1	45
26	33	23	38	0	15	4	11	2	3	1	4	1	0	0	3	1	2	1	0	0	4	4	4	4	1	0	0	0	20
22	20	32	46	0	10	13	7	0	2	4	4	0	0	2	2	1	2	0	1	1	3	4	4	4	1	0	0	0	36
33	34	24	29	10	9	0	11	3	4	2	1	0	1	1	2	2	1	1	0	0	4	4	4	4	0	1	0	0	33
28	25	28	39	15	12	0	3	3	3	2	2	1	1	1	1	0	1	1	2	1	3	4	4	4	1	0	0	0	40
31	40	29	20	15	3	2	10	4	2	1	3	1	1	2	0	1	1	0	2	1	4	4	4	4	0	1	0	0	74
27	25	13	55	16	0	0	14	4	0	4	2	2	1	0	1	0	0	1	3	1	4	3	3	4	0	0	0	1	78
38	44	24	14	21	4	5	0	3	3	2	2	1	2	0	1	2	1	1	0	1	4	3	4	4	0	1	0	0	42
31	45	41	3	15	13	2	0	2	3	1	4	1	1	2	0	1	2	1	0	1	4	4	4	4	0	1	0	0	50
33	18	39	30	10	2	3	15	3	4	1	2	0	1	2	1	2	0	1	1	0	4	4	4	4	0	0	1	0	63
35	18	14	53	15	2	3	10	4	3	2	1	1	1	0	2	2	0	0	2	1	4	4	4	4	1	0	0	0	40
5	34	37	44	0	16	0	14	2	5	1	2	0	1	1	2	0	1	2	1	0	4	4	4	4	0	0	1	0	10
38	38	36	8	11	7	10	2	3	3	2	2	2	1	1	0	1	2	1	0	1	4	4	4	4	0	0	1	0	69
40	20	31	29	11	2	4	13	2	2	3	3	2	0	2	0	1	1	0	2	1	4	3	4	3	0	0	1	0	51
23	49	31	17	0	11	9	10	1	3	3	3	0	3	1	0	2	1	0	1	0	4	3	4	4	0	0	0	1	42
18	42	29	31	3	2	15	10	3	2	2	3	0	3	1	0	1	0	1	2	1	4	4	4	4	0	0	0	1	37
28	35	28	29	13	15	0	2	3	4	1	2	1	1	1	1	1	2	1	0	0	3	4	4	4	0	1	0	0	77
10	42	28	40	2	14	3	11	2	2	4	2	0	1	1	2	0	2	1	1	0	4	3	4	4	0	0	0	1	40
25	25	33	37	0	0	27	3	2	0	6	2	1	1	1	1	1	0	1	2	1	3	3	4	4	0	0	0	1	105
50	39	12	19	13	11	6	0	4	2	2	2	1	2	0	1	3	1	0	0	0	4	4	3	4	1	0	0	0	69
21	38	27	34	0	4	5	21	1	2	3	4	1	2	0	1	0	1	2	1	0	4	4	4	4	1	0	0	0	29
14	44	31	31	3	11	0	16	2	1	2	5	0	1	2	1	0	3	0	1	0	4	4	4	4	1	0	0	0	41
47	43	26	4	10	13	3	4	3	2	2	3	2	2	0	0	2	1	1	0	0	3	4	4	3	1	0	0	0	59
32	31	17	40	5	14	0	11	3	3	2	2	1	1	0	2	1	1	1	1	0	4	4	4	4	0	1	0	0	27
37	15	36	32	2	7	0	21	1	4	1	4	2	0	0	2	0	0	3	1	0	4	4	4	4	0	1	0	0	15
19	43	29	29	2	4	11	13	3	1	3	3	0	2	1	1	1	1	1	1	1	3	4	4	4	0	0	1	0	75
20	26	26	48	0	4	24	2	2	2	4	2	0	1	1	2	1	0	1	2	1	4	4	4	4	0	1	0	0	35
31	21	30	38	13	0	14	3	2	3	3	2	1	1	0	2	1	0	2	1	1	4	4	3	4	0	0	1	0	76
28	33	46	13	4	0	26	0	3	1	5	1	0	1	2	1	2	1	1	0	1	4	4	4	4	0	0	0	1	73
34	28	29	29	0	2	15	13	1	3	2	4	2	1	1	0	1	1	0	2	1	4	4	4	4	0	1	0	0	56
27	28	37	28	2	0	11	17	1	1	3	5	1	1	1	1	1	0	2	1	1	4	4	4	4	0	0	1	0	52
48	26	17	29	15	13	0	2	2	4	2	2	2	0	0	2	2	2	0	0	1	4	4	4	4	0	0	0	1	61
42	27	9	42	25	3	0	2	3	1	3	3	2	2	0	0	1	0	0	3	1	4	4	4	4	0	0	1	0	61
38	11	38	33	0	4	10	16	2	1	3	4	2	0	1	1	1	0	2	1	0	4	4	4	3	0	0	1	0	68
22	42	23	33	5	10	0	15	3	3	1	3	1	2	0	1	0	2	1	1	0	4	3	4	4	1	0	0	0	12
21	37	38	24	4	21	0	5	2	3	2	3	1	1	2	0	0	2	1	1	0	4	4	4	4	1	0	0	0	64
28	22	17	53	7	0	0	23	4	2	1	3	1	1	1	1	0	0	0	4	0	4	4	4	4	0	0	0	1	68
38	20	41	21	0	0	30	0	3	2	5	0	1	1	2	0	2	0	1	1	1	4	4	4	3	0	0	0	1	96
44	40	27	9	0	16	14	0	1	4	3	2	2	2	0	0	2	1	1	0	0	4	4	4	4	0	0	0	1	78
20	29	39	32	16	0	0	14	5	2	1	2	0	1	2	1	1	1	1	1	0	4	4	4	4	0	1	0	0	91
6	45	27	42	0	0	6	24	2	1	2	5	0	2	1	1	0	2	0	2	0	3	4	4	4	1	0	0	0	23
24	28	28	40	0	13	2	15	1	4	2	3	1	0	0	3	0	2	2	0	0	4	4	4	3	0	1	0	0	14
33	22	27	38	11	4	13	2	4	1	4	1	2	0	0	2	0	1	2	1	1	4	4	4	4	1	0	0	0	30
37	21	26	36	13	0	0	17	3	2	1	4	1	1	1	1	2	0	1	1	0	4	4	4	4	0	0	1	0	75
40	25	30	25	0	11	2	17	0	3	3	4	1	2	1	0	2	0	1	1	0	3	4	4	3	1	0	0	0	27
12	31	48	29	4	0	12	14	1	2	3	4	0	1	2	1	0	1	2	1	0	4	4	4	4	0	0	1	0	75
27	11	48	34	4	11	13	2	3	3	3	1	1	1	1	1	0	0	3	1	0	4	4	4	4	0	0	0	1	72
40	26	25	29	10	2	4	14	1	4	1	4	0	2	1	1	3	0	0	1	0	4	4	4	3	0	1	0	0	35
24	36	22	38	13	4	2	11	3	1	3	3	1	1	0	2	1	1	1	1	0	4	4	4	4	0	1	0	0	69
24	33	34	29	15	10	2	3	2	3	2	3	1	1	1	1	0	2	1	1	1	4	4	4	4	0	1	0	0	64
32	28	35	25	0	14	11	5	0	4	3	3	1	0	3	0	1	2	0	1	1	3	3	4	4	0	0	0	1	44
9	51	22	38	2	10	4	14	3	1	3	3	0	2	0	2	0	2	1	1	0	4	4	4	4	0	0	1	0	23
38	45	2	35	21	4	2	3	4	1	3	2	1	2	0	1	2	1	0	1	1	4	4	4	4	0	0	1	0	63
58	20	23	19	24	0	4	2	5	1	2	2	2	1	1	0	3	0	0	1	1	4	4	4	4	1	0	0	0	92
35	31	25	29	0	13	0	17	0	5	2	3	3	1	0	0	0	1	1	2	0	3	4	4	4	0	0	1	0	61
33	30	14	43	15	0	5	10	3	1	3	3	2	1	0	1	0	1	0	3	1	4	4	4	4	0	0	0	1	49
39	38	13	30	10	0	6	14	1	3	3	3	2	0	0	2	1	3	0	0	0	4	4	4	4	0	1	0	0	46
59	32	7	22	11	17	0	2	1	3	3	3	3	0	0	1	2	2	0	0	1	4	4	4	4	1	0	0	0	60
52	16	36	16	28	2	0	0	4	3	0	3	3	1	0	0	1	0	2	1	1	3	4	3	4	0	0	0	1	120
44	48	9	19	23	0	7	0	3	1	5	1	2	2	0	0	1	2	0	1	1	4	4	4	4	1	0	0	0	55
49	29	22	20	4	24	2	0	2	4	1	3	2	1	1	0	2	1	0	1	0	4	4	4	4	0	0	0	1	76
19	45	22	34	0	24	0	6	0	4	2	4	1	2	0	1	0	2	1	1	0	3	4	4	4	0	0	1	0	52
41	39	8	32	14	4	0	12	3	3	2	2	2	1	0	1	1	2	0	1	1	4	3	4	4	0	1	0	0	77
42	32	13	33	15	3	10	2	4	2	3	1	2	1	0	1	1	1	1	1	1	3	4	4	4	1	0	0	0	55
35	34	18	33	17	11	0	2	4	3	1	2	0	2	1	1	2	1	0	1	0	4	4	4	4	0	1	0	0	31
39	51	9	21	0	21	5	4	2	2	4	2	2	1	0	1	1	3	0	0	0	4	4	4	4	0	0	0	1	71
36	36	21	27	3	17	10	0	2	5	2	1	1	1	1	1	1	1	1	1	0	4	4	4	4	1	0	0	0	49
27	38	18	37	4	0	5	21	2	2	3	3	0	3	0	1	2	0	0	2	0	4	4	4	4	0	1	0	0	48
25	25	48	22	10	3	4	13	3	2	2	3	1	1	1	1	1	0	3	0	0	4	4	4	4	0	0	1	0	66
35	23	31	31	11	7	0	12	2	3	3	2	1	1	1	1	1	0	2	1	1	4	4	4	4	0	0	1	0	64
10	29	49	32	7	13	10	0	4	4	2	0	0	1	2	1	0	1	2	1	0	4	3	3	3	1	0	0	0	79
15	48	18	39	3	10	0	17	5	1	0	4	0	1	1	2	1	3	0	0	0	4	4	3	3	0	0	0	1	14
20	40	19	41	13	2	4	11	5	2	2	1	0	1	1	2	1	2	0	1	0	3	4	4	4	0	0	1	0	61
32	21	17	50	3	16	0	11	3	5	1	1	1	0	0	3	1	1	1	1	0	4	4	4	4	0	1	0	0	54
32	25	27	36	11	0	7	12	2	2	2	4	1	2	0	1	1	0	1	2	1	4	4	4	4	0	0	0	1	40
40	23	30	27	21	0	6	3	3	1	4	2	1	0	1	2	2	1	1	0	1	4	4	4	4	0	1	0	0	96
29	22	30	39	21	0	5	4	4	1	2	3	1	1	0	2	1	0	2	1	1	4	4	4	4	1	0	0	0	72
26	42	23	29	2	25	3	0	5	3	1	1	2	1	1	0	0	2	0	2	0	4	4	4	4	0	0	0	1	73
31	15	36	38	13	0	0	17	2	3	2	3	2	0	1	1	0	1	2	1	1	4	4	3	4	1	0	0	0	79
21	25	35	39	4	0	5	21	3	1	3	3	0	1	1	2	1	1	1	1	0	4	4	3	4	0	0	1	0	66
28	40	27	25	0	3	10	17	1	2	3	4	1	1	1	1	1	2	1	0	0	4	4	4	4	0	0	1	0	27
27	23	37	33	2	15	10	3	3	4	1	2	1	1	1	1	1	0	2	1	0	4	4	4	4	0	1	0	0	73
35	27	39	19	17	11	2	0	5	1	2	2	1	2	1	0	1	0	2	1	0	3	4	4	4	1	0	0	0	109
24	38	40	18	0	3	15	12	1	3	2	4	0	2	2	0	2	0	1	1	1	4	4	4	3	0	1	0	0	42
33	13	24	50	3	0	13	14	3	2	3	2	1	0	2	1	1	1	0	2	1	4	4	4	4	0	0	0	1	81
20	49	27	24	13	0	14	3	3	1	4	2	1	2	0	1	0	2	2	0	1	4	4	4	4	0	0	1	0	62
31	22	13	54	12	0	7	11	4	0	4	2	0	2	0	2	2	0	0	2	0	3	3	4	4	0	0	1	0	70
39	26	12	43	2	15	0	13	3	3	0	4	2	1	0	1	1	0	1	2	0	4	4	3	3	0	0	0	1	68
37	38	32	13	21	0	0	9	4	2	0	4	2	1	1	0	1	2	1	0	1	4	4	3	4	0	1	0	0	82
39	16	38	27	11	2	14	3	1	4	3	2	2	0	2	0	1	1	1	1	1	4	4	4	4	1	0	0	0	76
18	25	43	34	2	0	28	0	2	3	4	1	1	1	1	1	0	1	2	1	1	4	4	4	4	0	1	0	0	37
8	57	29	26	5	21	0	4	4	2	2	2	0	2	1	1	0	3	1	0	0	4	4	4	4	0	0	0	1	47
25	15	51	29	6	0	11	13	2	3	1	4	1	0	3	0	0	1	1	2	1	4	4	4	4	0	0	1	0	63
11	32	44	33	5	0	21	4	3	1	5	1	0	2	2	0	0	0	2	2	1	4	4	4	4	0	0	0	1	52
20	23	34	43	0	15	0	15	4	2	1	3	1	1	0	2	0	0	3	1	0	4	4	4	4	1	0	0	0	70
21	37	17	45	13	0	2	15	2	2	3	3	0	2	1	1	1	1	0	2	0	4	4	4	4	0	0	0	1	33
18	43	34	25	3	11	10	6	2	2	4	2	0	2	1	1	1	1	2	0	0	3	4	4	4	0	0	1	0	54
31	43	3	43	15	2	3	10	5	1	2	2	2	2	0	0	0	1	0	3	1	4	4	4	4	1	0	0	0	82
33	31	40	16	14	5	0	11	2	5	1	2	0	0	3	1	2	2	0	0	0	4	4	4	4	1	0	0	0	85
38	21	38	23	13	0	11	6	3	1	3	3	1	1	2	0	2	0	1	1	1	4	4	4	4	0	0	0	1	94
31	21	48	20	4	2	14	10	2	3	3	2	1	1	2	0	1	0	2	1	1	4	4	4	4	0	1	0	0	66
24	25	37	34	0	2	15	13	2	2	3	3	0	1	2	1	2	0	0	2	1	4	4	3	4	0	1	0	0	77
30	35	40	15	4	11	5	10	1	3	4	2	1	2	1	0	0	1	2	1	0	4	4	4	4	0	1	0	0	82
25	27	56	12	15	0	11	4	5	0	2	3	0	1	3	0	2	0	2	0	1	3	3	4	4	1	0	0	0	92
29	23	26	42	2	4	3	21	1	3	2	4	2	0	0	2	0	1	1	2	0	4	4	4	3	1	0	0	0	9
33	46	20	21	10	15	2	3	3	3	2	2	1	2	0	1	2	1	1	0	0	4	4	4	4	0	1	0	0	28
29	29	33	29	0	13	14	3	2	3	2	3	1	2	0	1	1	0	2	1	0	3	4	3	4	0	0	1	0	72
26	42	25	27	7	2	21	0	2	2	4	2	0	2	1	1	1	1	1	1	1	4	4	4	4	0	0	1	0	32
38	32	22	28	0	14	16	0	0	4	4	2	2	0	1	1	1	2	0	1	1	3	4	4	4	0	0	1	0	61
25	39	53	3	2	11	17	0	4	1	4	1	1	1	2	0	1	2	1	0	0	4	4	4	4	0	1	0	0	109
27	46	29	18	5	0	21	4	3	2	2	3	1	1	1	1	0	3	1	0	1	4	4	4	4	0	0	1	0	48
46	27	7	40	6	21	3	0	3	3	3	1	2	1	0	1	1	1	0	2	0	4	4	4	4	0	0	0	1	58
36	20	33	31	3	2	10	15	2	3	2	3	1	1	1	1	1	0	2	1	0	4	4	4	4	0	0	1	0	44
11	24	39	46	5	0	0	25	5	2	0	3	0	0	2	2	0	2	1	1	0	3	4	3	4	0	0	0	1	66
48	11	28	33	10	5	4	11	2	2	3	3	1	0	2	1	3	0	0	1	0	4	4	4	3	1	0	0	0	87
37	28	26	29	10	0	18	2	3	1	5	1	1	1	1	1	2	1	0	1	1	4	4	4	4	0	0	0	1	55
32	43	21	24	10	14	4	2	3	3	1	3	1	3	0	0	1	0	1	2	0	4	4	4	4	0	0	0	1	32
13	33	37	37	6	3	21	0	2	2	3	3	0	2	1	1	0	0	2	2	1	4	4	4	4	1	0	0	0	30
26	32	13	49	10	5	4	11	1	4	2	3	1	1	0	2	1	1	0	2	0	4	4	4	3	0	0	0	1	16
32	29	26	33	15	10	0	5	2	3	2	3	1	1	1	1	1	1	1	1	1	4	4	4	4	0	1	0	0	58
20	46	30	24	0	13	11	6	2	3	3	2	0	1	2	1	1	3	0	0	1	4	4	4	4	1	0	0	0	34
