Mode: 4 #Games: 1000
p_0	p_1	p_2	p_3	pt_0	pt_1	pt_2	pt_3	t_0	t_1	t_2	t_3	A_0	A_1	A_2	A_3	S_0	S_1	S_2	S_3	At_02	suits_0	suits_1	suits_2	suit_3	first_0	first_1	first_2	first_3	fp_02
20	38	23	39	0	4	10	16	3	1	1	5	0	1	1	2	1	1	1	1	0	4	4	4	3	0	0	1	0	29
51	26	29	14	12	14	0	4	2	3	1	4	2	1	1	0	2	1	0	1	0	4	4	4	3	0	0	0	1	80
42	19	22	37	10	3	2	15	2	2	3	3	2	0	1	1	1	1	0	2	0	3	4	3	4	0	1	0	0	77
41	23	20	36	13	2	4	11	4	2	2	2	2	0	1	1	1	1	0	2	0	4	4	4	4	1	0	0	0	71
21	59	20	20	0	27	0	3	1	7	1	1	0	3	0	1	1	2	1	0	0	4	3	4	4	1	0	0	0	0
7	30	43	40	3	10	17	0	4	2	3	1	0	0	2	2	0	2	1	1	1	4	4	4	4	0	0	0	1	69
33	30	22	35	14	3	11	2	2	2	2	4	0	2	1	1	2	0	0	2	1	4	4	4	4	1	0	0	0	43
33	14	37	36	17	3	10	0	3	4	2	1	2	0	1	1	0	0	2	2	1	4	4	4	4	0	0	1	0	48
12	34	33	41	5	0	4	21	2	2	3	3	0	1	2	1	0	1	0	3	0	4	4	3	4	1	0	0	0	69
45	19	40	16	21	3	2	4	3	3	1	3	2	1	1	0	2	0	2	0	1	4	4	4	4	0	1	0	0	76
48	40	15	17	0	27	3	0	1	4	2	3	1	2	0	1	2	1	1	0	0	4	4	4	4	0	1	0	0	67
25	26	41	28	11	4	3	12	3	2	2	3	1	1	1	1	1	0	2	1	1	4	4	4	4	0	1	0	0	75
28	27	30	35	2	21	3	4	3	4	2	1	0	1	2	1	2	1	0	1	0	4	4	4	4	0	0	0	1	67
29	31	15	45	0	4	10	16	1	2	3	4	1	1	0	2	1	1	1	1	0	4	4	3	4	0	1	0	0	32
50	25	22	23	15	4	0	11	6	1	1	2	2	1	0	1	2	0	2	0	0	3	4	4	4	0	0	1	0	95
37	28	13	42	11	4	2	13	2	3	3	2	1	1	0	2	2	1	0	1	1	3	4	4	4	0	0	1	0	51
50	20	22	28	15	2	3	10	2	2	2	4	3	0	0	1	1	1	1	1	1	4	4	4	4	1	0	0	0	67
38	25	43	14	0	15	15	0	1	5	3	1	2	0	2	0	0	2	1	1	1	4	3	4	4	0	0	1	0	61
36	39	28	17	13	0	14	3	4	1	3	2	2	1	1	0	1	2	1	0	1	3	4	4	4	0	0	1	0	81
29	17	45	29	2	0	14	14	3	2	3	2	1	1	2	0	1	0	1	2	1	4	3	3	4	0	0	0	1	79
11	28	34	47	0	5	0	25	0	4	2	4	0	1	1	2	0	1	2	1	0	3	4	4	4	0	1	0	0	32
24	24	28	44	10	2	4	14	1	3	3	3	1	0	0	3	1	1	2	0	0	4	4	3	4	0	0	0	1	46
44	35	21	20	14	3	11	2	2	1	4	3	1	1	1	1	2	1	1	0	1	4	4	4	4	1	0	0	0	85
25	37	19	39	10	13	3	4	3	3	3	1	1	2	0	1	1	0	1	2	0	4	4	4	4	0	0	0	1	60
