Mode: 5 #Games: 1000
p0_0	p0_1	p0_2	p0_3	p0_4	p0_5	p0_6	p0_7	p0_8	p0_9	p2_0	p2_1	p2_2	p2_3	p2_4	p2_5	p2_6	p2_7	p2_8	p2_9	trump	first	fp
0	1	2	15	20	24	25	28	30	31	3	5	7	9	10	16	26	34	36	39	0	2	53
4	16	18	26	27	28	35	37	38	39	2	8	9	14	15	21	31	32	33	34	1	0	67
0	4	7	14	17	23	25	28	37	38	1	6	9	12	15	16	20	33	34	39	1	0	69
4	7	9	15	17	25	33	36	37	38	0	6	8	13	16	19	23	24	35	39	2	3	45
3	6	9	10	12	13	15	26	30	31	4	7	8	20	21	22	29	33	34	38	2	1	54
4	5	17	20	24	31	32	34	35	38	2	7	8	11	14	23	25	27	30	33	0	1	58
7	11	17	20	25	29	31	36	37	38	0	5	6	8	10	14	15	19	21	35	3	0	71
0	4	12	20	23	24	31	33	36	39	6	7	13	19	22	26	27	29	34	37	1	2	18
2	12	17	20	23	25	29	33	35	39	3	4	8	9	10	11	18	21	24	31	3	1	72
0	6	8	19	22	24	28	30	31	38	1	4	12	14	16	21	29	32	36	37	0	3	84
2	11	17	18	21	25	27	29	31	35	1	3	6	7	10	20	22	24	32	39	3	2	52
10	14	16	17	18	22	23	26	31	35	2	6	8	11	12	15	19	32	34	37	0	2	61
3	12	13	20	21	23	28	34	35	36	4	5	6	14	19	22	24	30	31	39	0	0	24
9	11	13	16	17	18	26	27	34	39	2	4	5	7	14	28	29	33	35	37	2	3	100
2	4	5	6	16	17	18	20	28	33	3	7	12	13	14	21	23	25	35	36	0	1	63
2	6	8	17	20	24	26	28	29	30	5	7	12	13	15	19	31	33	36	37	2	2	67
0	7	9	16	17	18	21	32	35	38	3	4	5	11	12	15	19	26	31	37	2	3	37
0	1	3	4	10	23	24	25	27	29	2	9	17	18	20	30	32	36	38	39	0	3	79
2	9	10	19	22	24	31	33	34	37	0	3	4	8	14	15	17	25	32	35	1	0	51
9	12	15	21	22	26	27	31	36	38	0	7	10	19	23	25	29	34	35	37	3	2	84
2	3	6	8	18	21	25	27	31	32	1	11	13	17	19	20	22	34	37	38	1	0	91
0	4	7	12	13	15	18	24	34	37	2	3	9	17	19	20	25	28	31	38	1	0	65
1	4	11	19	21	28	32	35	37	38	0	5	8	10	12	13	16	24	26	34	0	1	64
2	5	6	13	16	19	21	23	27	37	0	12	17	26	28	29	33	34	36	38	3	3	91
3	10	17	21	24	29	31	33	36	39	0	2	4	11	12	16	20	26	28	37	0	1	71
1	3	8	13	18	21	24	26	31	33	0	4	16	19	20	23	34	36	37	38	2	1	64
8	11	12	14	16	17	22	23	30	33	0	2	4	9	21	25	28	29	38	39	0	0	90
0	3	5	7	8	9	18	29	31	37	1	6	13	16	19	23	24	25	26	35	3	2	59
1	2	5	13	16	18	20	24	29	39	3	8	10	14	26	30	33	34	35	37	0	2	59
5	16	18	20	21	26	27	30	31	34	0	2	3	7	8	9	13	14	25	35	0	2	52
0	4	6	15	18	22	23	25	30	36	1	2	12	14	16	20	26	28	29	31	3	3	32
0	8	9	14	15	23	24	28	37	38	3	4	7	10	12	16	17	18	27	29	3	1	25
4	10	17	25	28	29	32	33	36	39	1	2	11	12	14	16	19	22	23	38	0	0	59
1	4	7	18	19	23	25	29	35	39	0	8	16	22	24	28	30	33	36	38	0	3	93
2	9	10	11	14	23	26	31	33	36	0	4	6	13	16	17	29	32	38	39	3	2	73
9	10	13	15	22	23	29	30	33	35	1	6	8	14	16	18	26	27	28	32	2	1	73
0	4	5	7	8	24	34	36	37	38	2	10	11	13	17	19	22	28	32	35	1	3	64
0	4	21	23	28	29	33	34	37	38	5	13	15	17	19	22	27	30	36	39	0	3	88
0	4	5	7	13	14	16	18	22	33	6	9	11	12	23	28	31	32	36	39	2	2	62
0	1	11	17	19	20	26	31	32	34	2	4	9	13	18	27	28	30	36	39	0	0	68
1	5	10	12	13	17	18	19	20	27	0	2	3	21	24	25	26	31	35	36	3	0	39
1	2	4	7	11	12	18	24	37	39	5	6	17	20	22	25	30	31	32	38	2	1	31
6	9	10	13	18	21	25	26	28	38	2	8	12	14	17	20	30	32	36	37	1	3	62
0	11	13	15	21	22	26	30	32	34	1	5	6	12	14	24	28	33	35	36	3	1	35
0	1	14	17	18	19	21	24	28	37	2	4	6	11	15	22	26	29	32	39	2	0	82
4	8	11	17	20	21	26	27	38	39	0	1	5	15	22	29	31	32	34	37	2	1	77
0	6	7	13	24	28	31	35	37	39	8	10	19	20	25	30	32	34	36	38	3	2	99
1	6	7	9	13	14	27	31	38	39	0	8	11	12	15	22	25	32	36	37	1	2	61
2	7	10	23	24	25	27	29	30	32	1	4	13	16	22	31	35	36	37	38	3	0	84
6	7	12	19	21	24	28	31	32	38	0	2	8	11	13	18	20	23	25	39	1	3	67
1	2	11	13	23	25	28	32	35	37	7	8	15	16	21	22	27	33	38	39	1	3	37
1	3	7	11	19	23	27	28	30	31	0	4	8	12	13	15	17	18	22	26	0	2	88
1	10	12	18	23	25	28	30	32	37	0	7	13	14	16	19	20	22	24	27	3	1	23
5	6	7	10	17	21	24	26	37	39	2	4	8	11	18	27	28	32	34	36	1	0	29
2	7	10	13	16	19	20	31	37	38	4	5	6	11	17	24	27	29	30	32	3	0	85
11	16	17	19	20	28	34	36	37	38	0	8	9	10	18	25	29	32	35	39	3	3	120
1	6	7	8	19	26	27	32	37	38	2	11	14	16	23	28	29	31	33	36	2	1	84
4	6	12	15	17	29	32	33	37	39	0	5	9	18	19	21	26	31	35	38	2	2	64
6	12	13	16	21	25	33	34	35	38	0	3	9	11	19	22	23	29	36	39	2	1	86
3	7	17	18	20	23	24	26	30	35	8	10	15	22	27	29	33	36	38	39	3	0	81
