Mode: 5 (N=200,HP) #Games: 100
p0_0	p0_1	p0_2	p0_3	p0_4	p0_5	p0_6	p0_7	p0_8	p0_9	p2_0	p2_1	p2_2	p2_3	p2_4	p2_5	p2_6	p2_7	p2_8	p2_9	trump	first	fp	t_t0	t_t1	t_t2	t_t3	t_t4	t_t5	t_t6	t_t7	t_t8	t_t9
32	21	12	39	5	37	29	9	25	24	2	20	15	10	13	28	3	7	30	4	2	2	84	335	208	0	899	0	0	459	304	201	0	
32	21	12	39	5	37	29	9	25	24	2	20	15	10	13	28	3	7	30	4	3	0	49	1104	207	560	375	235	0	438	260	169	0	
4	9	13	38	26	21	37	14	11	30	35	34	31	17	29	24	18	36	32	27	3	3	75	236	385	250	231	0	387	299	0	0	0	
6	18	37	5	7	11	12	36	16	27	24	38	15	4	28	31	33	9	30	10	0	1	66	324	214	252	0	498	292	0	253	0	0	
36	19	14	20	39	35	4	32	23	13	27	29	16	6	33	10	12	9	5	37	2	0	79	1010	314	241	238	221	0	0	263	180	0	
6	32	27	13	18	29	10	0	21	30	16	19	4	31	36	23	22	33	37	9	3	2	79	212	0	199	0	568	488	197	179	0	0	
13	10	4	5	32	14	9	26	21	11	17	25	16	2	37	8	34	27	12	24	1	3	50	323	209	0	232	219	0	199	0	0	0	
31	37	6	19	27	22	13	20	2	34	29	16	30	25	32	9	4	3	5	17	3	1	47	337	207	294	194	182	0	343	175	0	0	
26	29	8	23	21	37	11	16	24	9	1	34	32	14	27	22	0	20	2	38	1	2	34	0	839	0	612	507	375	284	185	171	0	
24	6	13	11	37	21	14	26	19	16	2	1	22	28	34	3	18	31	39	12	0	0	34	978	323	0	735	605	215	372	263	172	0	
38	23	0	2	31	18	24	32	29	16	1	37	4	12	28	35	17	39	6	22	3	1	99	211	207	205	0	184	0	161	0	167	0	
30	35	19	11	1	21	23	38	36	3	24	12	25	28	29	6	26	5	4	0	2	3	66	447	361	237	0	581	455	0	249	163	0	
2	16	23	24	37	22	33	8	36	7	25	35	38	39	17	21	14	32	10	19	3	2	92	0	754	242	0	405	208	0	0	0	0	
32	16	39	36	27	9	26	5	7	38	29	21	3	0	25	12	8	13	24	18	1	0	61	1099	368	0	738	0	487	0	264	168	0	
25	19	8	0	15	29	32	17	39	21	20	28	34	1	12	27	36	35	31	14	2	3	90	215	0	852	731	217	0	365	252	0	0	
15	14	12	37	26	6	35	36	31	10	39	7	4	24	0	5	29	13	27	3	1	1	54	0	933	386	320	314	209	0	265	182	0	
14	17	9	29	30	25	2	15	31	16	12	21	7	33	3	11	23	13	18	20	0	0	18	951	0	707	394	327	208	352	0	171	0	
30	22	6	9	32	7	1	34	23	12	29	13	37	28	5	18	27	39	36	3	3	2	107	0	865	0	0	532	484	358	181	0	0	
23	26	15	11	16	25	3	4	14	35	19	9	27	32	31	36	20	24	0	5	2	1	67	0	826	0	0	314	477	364	280	0	0	
3	10	5	8	14	31	12	37	11	19	26	23	6	38	28	13	1	27	35	34	2	3	29	340	220	590	464	444	462	190	0	0	0	
15	22	11	38	19	33	14	36	27	16	25	7	28	18	35	12	32	29	39	3	3	2	100	591	467	862	704	0	462	369	265	0	0	
7	15	20	4	27	36	13	39	25	5	26	21	0	3	16	33	1	12	14	30	0	0	45	1100	0	299	194	0	454	366	178	172	0	
31	18	5	22	3	0	12	9	29	20	19	15	32	8	6	26	16	11	30	21	1	3	30	328	205	0	716	583	0	274	259	160	0	
2	14	15	28	9	8	18	6	29	26	7	37	0	31	3	22	1	25	32	20	0	1	71	378	1017	861	234	0	287	197	0	174	0	
22	15	39	38	9	28	29	17	36	4	37	25	32	30	14	6	10	2	19	27	3	0	116	1100	210	0	722	0	477	0	263	173	0	
