Mode: 12 #Games: 1000
p0_0	p0_1	p0_2	p0_3	p0_4	p0_5	p0_6	p0_7	p0_8	p0_9	p2_0	p2_1	p2_2	p2_3	p2_4	p2_5	p2_6	p2_7	p2_8	p2_9	trump	first	fp
8	9	10	16	18	19	21	22	23	30	1	2	4	7	26	27	33	35	38	39	1	0	92
1	3	14	15	20	23	29	34	35	39	4	16	18	21	25	27	30	32	37	38	0	0	52
2	6	7	8	9	12	13	32	35	36	0	3	4	5	14	16	17	26	31	33	0	2	62
0	3	4	15	19	24	30	31	35	38	5	6	8	18	21	26	27	32	33	36	3	2	59
1	3	8	10	15	17	28	34	36	37	0	2	4	7	16	20	21	24	30	38	1	1	25
0	3	6	8	15	17	24	29	30	33	1	2	5	9	11	14	21	27	31	34	0	3	69
0	4	8	17	27	29	31	33	34	36	7	10	11	12	16	18	19	25	26	30	0	3	56
0	7	14	17	19	28	31	34	38	39	1	5	6	10	16	20	23	25	29	30	3	1	85
1	4	5	8	10	11	21	24	34	39	2	3	9	18	19	22	27	28	33	37	3	2	87
2	9	11	13	17	21	25	30	31	37	0	1	3	4	5	7	10	22	24	26	0	0	79
3	9	19	25	28	29	31	34	36	38	0	5	8	15	16	18	24	26	27	32	3	0	80
0	15	22	24	28	30	32	33	35	37	3	6	8	9	13	18	20	21	23	27	3	2	53
0	1	14	19	22	23	27	28	31	33	3	4	6	7	15	26	29	32	34	39	2	3	86
1	6	7	11	17	20	26	27	29	38	0	9	14	16	22	24	28	34	37	39	3	1	92
1	5	10	12	15	18	19	25	35	36	0	3	9	13	14	23	24	29	30	37	0	1	71
10	13	15	18	22	27	31	34	37	39	0	1	5	6	8	23	24	29	32	33	3	3	99
4	9	12	15	21	25	28	30	32	33	5	6	8	11	14	26	29	34	38	39	3	0	78
2	4	8	11	12	14	15	17	21	25	1	6	7	9	10	19	28	32	35	37	3	2	40
1	4	7	8	9	19	22	23	30	39	3	5	6	11	12	13	18	24	33	34	3	2	70
5	7	9	17	18	20	24	35	37	39	1	10	14	16	22	26	27	28	29	36	2	0	120
2	7	12	13	19	20	21	22	29	37	1	3	8	14	17	18	23	25	26	35	2	3	102
2	15	20	24	25	29	30	32	36	37	3	4	5	7	9	17	19	26	35	39	0	1	97
11	12	15	16	20	21	28	30	34	38	6	8	14	19	26	27	32	33	36	37	1	3	73
0	2	6	9	15	17	19	23	24	27	3	4	7	16	25	29	31	32	33	39	0	1	87
5	6	9	10	15	16	27	28	31	35	0	1	4	14	17	19	21	23	24	29	0	0	95
3	12	14	20	21	26	27	33	34	37	6	7	9	10	11	18	25	29	30	31	0	2	67
2	11	14	18	19	20	24	30	31	36	1	8	16	21	22	23	26	27	34	37	0	0	28
0	1	5	6	8	28	29	36	38	39	2	4	10	12	14	18	19	23	30	34	1	2	96
7	8	20	21	24	26	31	35	36	37	2	10	12	14	19	22	23	32	33	39	0	1	35
0	2	3	6	9	15	16	30	32	33	1	7	10	14	17	22	23	28	34	38	3	3	26
5	19	21	27	29	30	32	33	34	37	8	10	11	15	16	20	24	28	36	39	1	1	87
0	2	4	6	14	23	24	27	28	39	1	3	5	10	15	18	25	32	34	35	3	3	47
6	11	15	19	21	23	30	31	35	39	0	2	8	9	12	16	20	22	32	36	3	2	79
0	1	9	10	12	14	16	30	33	38	6	7	8	11	15	17	23	25	32	36	0	0	78
1	6	7	12	14	18	25	30	32	37	11	15	21	22	23	24	28	31	34	38	2	2	63
6	9	11	15	21	23	32	34	35	36	3	12	13	14	16	22	24	25	27	38	2	0	48
2	7	8	9	23	24	29	33	35	39	3	4	6	10	14	16	17	26	27	37	3	3	66
3	6	14	23	25	31	33	34	35	36	0	5	10	12	17	20	28	30	32	38	0	1	31
0	13	14	17	21	22	26	29	33	35	1	2	9	10	11	19	20	32	34	37	3	3	71
0	8	12	15	16	17	22	31	33	38	3	5	23	25	26	28	29	34	36	39	0	1	81
0	5	7	8	15	16	26	27	34	35	3	4	10	11	14	17	19	31	36	39	0	0	58
1	7	9	11	15	22	26	31	36	37	2	3	10	16	17	20	21	24	32	33	2	2	35
