Mode: 4 #Games: 1000
p0_0	p0_1	p0_2	p0_3	p0_4	p0_5	p0_6	p0_7	p0_8	p0_9	p2_0	p2_1	p2_2	p2_3	p2_4	p2_5	p2_6	p2_7	p2_8	p2_9	trump	first	fp
3	5	10	12	24	25	33	34	36	39	8	11	13	14	16	18	19	22	27	37	2	2	56
2	8	11	14	24	28	31	34	38	39	0	1	4	12	15	17	22	26	35	37	0	3	52
9	10	12	16	17	22	26	31	35	36	2	3	4	11	14	21	23	24	28	38	2	3	55
0	3	6	9	17	20	24	27	37	39	5	12	16	19	21	23	28	32	35	36	2	2	73
5	6	8	13	14	17	26	33	37	39	4	10	12	18	21	30	31	34	36	38	0	3	29
3	4	8	18	20	21	24	25	28	35	0	1	6	10	12	13	15	16	22	27	1	0	28
4	6	8	11	13	25	27	33	34	37	1	9	16	18	21	23	26	29	32	35	1	0	28
1	3	5	11	19	24	25	27	31	33	0	6	9	13	17	26	29	34	36	39	0	3	110
2	9	14	17	20	21	31	33	36	38	0	1	3	10	11	18	22	26	35	39	2	0	27
3	6	9	21	22	24	26	27	33	38	2	4	8	11	12	13	30	31	37	39	2	0	99
1	5	6	7	10	16	24	34	36	39	18	20	22	25	28	29	30	32	35	38	2	1	75
2	9	11	15	18	19	21	29	34	37	0	3	7	12	16	17	20	23	26	33	1	0	72
4	7	11	12	15	16	20	25	36	38	9	14	17	19	22	27	29	33	35	37	1	1	63
4	6	9	13	20	29	30	33	34	37	3	8	11	17	23	24	25	28	31	38	1	1	42
2	5	8	18	23	25	27	29	31	37	7	10	19	21	24	32	33	35	36	39	3	1	72
0	7	12	15	20	25	26	28	32	33	3	13	14	17	18	22	23	29	30	36	0	2	11
0	13	16	18	19	20	22	24	31	36	5	11	12	14	17	23	28	34	35	39	2	2	55
2	8	10	11	14	21	24	26	30	35	5	9	15	16	17	20	25	27	38	39	2	2	66
4	10	13	16	17	20	24	26	29	35	11	14	15	18	19	21	25	31	33	37	0	1	44
2	7	9	14	20	24	31	33	35	36	1	8	17	18	22	26	29	30	37	38	3	2	92
7	9	16	18	19	27	28	31	32	38	2	4	6	8	11	13	24	35	37	39	0	3	92
5	6	7	12	15	16	18	28	33	39	17	19	21	22	23	27	34	35	36	37	1	3	69
9	15	19	20	23	24	26	30	31	39	2	3	4	10	16	17	28	29	32	37	0	3	35
9	14	19	23	25	26	28	29	30	33	0	2	5	10	16	18	21	27	36	39	3	2	54
5	10	18	19	20	23	26	30	31	38	0	2	6	8	11	14	17	21	24	34	1	0	50
0	6	7	12	21	22	31	35	36	37	10	13	14	16	17	18	23	25	33	39	2	3	41
6	11	15	20	22	23	32	33	35	39	10	13	16	17	21	27	30	34	36	37	3	0	46
7	12	15	16	20	21	22	23	34	37	2	8	10	24	26	30	32	35	36	38	1	3	20
0	4	8	9	12	18	19	31	32	37	1	5	6	15	16	20	28	30	34	38	1	1	83
5	9	13	16	19	21	25	27	37	38	2	10	18	22	26	29	30	32	34	39	2	0	92
0	1	5	11	13	18	30	33	36	38	2	10	16	20	27	31	32	34	37	39	1	0	54
0	6	10	16	23	24	25	31	33	39	1	2	4	7	12	15	18	28	37	38	2	1	50
2	16	20	21	22	28	29	32	33	34	0	5	7	9	17	25	35	36	38	39	1	2	82
2	6	12	16	19	20	27	28	32	33	3	10	14	15	22	24	31	35	38	39	0	0	58
0	2	10	13	17	20	25	26	30	36	3	11	12	14	19	24	27	32	38	39	0	2	53
0	4	14	16	18	21	23	24	25	32	6	8	9	12	22	26	31	35	36	37	0	1	41
2	12	14	20	22	27	29	30	33	35	1	3	5	8	10	11	15	21	23	34	2	1	60
3	5	6	10	13	15	20	23	35	36	0	9	11	24	25	26	32	33	37	39	2	1	59
3	4	7	15	18	19	23	24	31	39	9	10	12	13	16	20	22	25	29	33	3	3	85
3	4	5	7	8	9	11	19	23	32	12	13	15	18	21	22	26	27	28	38	2	3	36
7	11	13	17	22	27	30	32	34	36	3	4	9	12	14	15	19	21	25	33	3	2	47
0	1	10	11	13	15	24	28	35	37	2	7	16	22	23	25	31	32	33	38	3	2	71
1	9	11	12	15	28	31	35	37	38	0	2	4	6	8	10	23	27	33	39	3	2	104
6	9	20	21	25	27	29	30	33	39	2	3	4	12	16	18	22	24	26	31	3	0	38
0	7	8	11	14	16	19	25	29	37	2	9	10	13	17	24	26	31	32	33	1	0	91
1	5	6	11	13	28	29	34	35	36	0	3	7	16	18	21	25	26	27	37	0	3	54
1	6	9	12	15	29	31	33	36	38	3	5	8	16	20	23	27	28	35	39	3	3	120
0	1	8	17	20	21	28	34	36	38	2	5	13	19	22	23	27	29	32	37	0	1	63
0	4	7	8	13	16	34	37	38	39	6	9	20	21	25	26	28	30	32	35	0	3	120
9	13	21	22	23	29	31	32	35	36	3	4	6	8	11	16	25	30	33	37	1	1	52
4	6	8	13	15	16	17	32	36	38	3	7	11	14	18	19	26	28	37	39	0	0	101
4	6	15	18	21	26	28	34	35	39	0	2	7	11	13	16	17	20	22	30	2	0	27
0	6	8	13	16	25	29	33	38	39	3	5	7	11	22	26	30	31	34	36	1	0	30
0	4	13	15	17	24	27	33	36	38	9	11	14	16	19	21	26	30	35	37	2	2	40
3	4	9	10	15	19	20	25	29	35	0	2	5	7	11	13	18	21	22	27	0	2	66
2	6	11	14	15	24	28	31	32	39	0	4	8	13	16	26	27	29	35	37	3	1	60
4	6	9	11	12	19	24	34	37	39	0	1	3	13	15	23	26	28	31	35	0	3	76
0	7	12	15	17	22	24	34	35	39	1	3	5	8	18	23	29	31	33	36	0	1	74
1	6	8	12	14	31	32	34	37	39	4	5	10	16	19	23	25	29	33	38	2	3	81
2	4	11	14	17	19	30	32	33	39	0	1	8	9	10	12	16	23	27	34	0	1	106
5	6	12	13	18	21	22	24	27	33	1	2	4	15	16	25	30	36	37	38	1	2	29
4	5	11	12	22	23	25	30	31	39	2	6	9	13	14	15	24	26	34	35	0	0	18
0	9	10	11	13	14	23	25	31	33	5	7	12	15	21	24	26	37	38	39	0	2	27
0	1	4	5	10	14	18	21	27	30	6	11	16	24	26	29	31	32	35	37	2	0	14
2	8	12	13	18	26	27	30	31	39	4	15	19	22	23	28	29	32	33	34	3	3	64
0	1	6	9	11	20	23	29	31	36	2	5	8	10	12	16	17	24	37	38	3	1	56
2	4	12	13	22	24	28	31	32	34	5	7	8	9	16	18	21	30	35	38	0	2	66
3	5	12	13	15	19	29	30	35	36	1	7	9	14	16	22	24	26	34	37	1	3	70
0	6	7	8	9	12	13	19	28	39	1	5	11	15	18	21	25	27	32	35	0	0	86
0	4	6	8	16	17	19	20	33	36	2	5	7	12	15	22	25	29	32	39	0	2	105
2	6	7	9	20	27	32	34	37	39	3	4	11	19	22	23	25	26	29	33	1	1	41
0	1	9	14	21	23	27	29	34	39	6	8	15	20	22	24	31	33	35	38	2	3	105
2	5	6	9	14	15	19	22	33	38	8	13	17	20	25	26	27	28	31	36	3	3	52
1	8	10	14	15	18	26	32	35	39	0	2	5	7	20	21	22	28	31	34	1	1	37
0	1	5	6	8	13	21	30	32	33	3	7	17	19	26	27	28	29	37	39	0	2	83
1	2	4	9	16	18	21	22	27	33	0	3	10	12	15	20	23	26	28	37	2	0	73
3	10	12	14	15	20	27	37	38	39	4	11	16	17	18	19	22	30	32	34	2	0	16
0	6	9	10	15	25	26	31	33	37	5	7	11	13	19	21	27	29	34	39	1	3	88
2	4	5	9	15	19	27	32	33	35	0	1	11	12	20	22	23	25	37	39	0	2	56
1	2	10	15	17	20	24	26	27	32	4	5	7	8	11	19	25	28	31	38	3	0	25
2	3	9	18	20	23	32	33	34	37	0	8	10	15	17	24	26	29	36	38	3	1	63
0	1	6	7	9	10	14	18	20	23	2	11	12	13	22	27	28	30	32	37	3	3	47
1	11	12	15	20	21	22	24	33	34	0	3	6	9	17	18	19	28	31	36	1	0	76
1	12	16	17	23	26	31	32	38	39	7	9	14	18	21	24	27	30	36	37	3	1	69
15	16	17	20	21	23	25	28	29	33	1	3	12	13	18	22	24	30	35	39	3	1	35
4	10	11	18	22	23	25	28	29	37	3	5	7	15	17	19	26	30	36	39	3	0	91
1	13	19	26	27	29	31	35	37	39	2	9	12	21	22	30	32	33	36	38	2	2	55
0	2	3	5	7	13	20	32	34	39	1	4	6	10	11	12	16	17	26	33	0	1	69
0	12	17	19	24	25	28	33	34	36	1	8	9	10	11	16	20	30	38	39	0	2	76
0	1	2	14	17	18	22	23	33	39	4	8	11	12	24	27	28	30	36	37	3	1	49
0	1	6	22	23	26	28	31	34	39	8	9	13	14	18	20	21	24	29	32	3	2	71
0	5	12	13	18	25	29	30	36	37	2	3	4	6	11	20	23	32	35	39	2	2	58
3	6	13	17	20	22	23	24	30	35	2	7	14	16	18	19	21	25	33	37	2	3	28
3	6	11	12	13	19	22	23	31	37	2	8	15	18	24	25	26	28	36	39	0	2	58
3	9	11	12	15	20	29	32	34	35	0	2	4	5	6	17	19	22	25	27	0	3	93
0	5	6	8	13	20	24	27	29	37	2	7	12	15	18	19	22	26	36	39	3	3	46
3	7	11	14	19	21	26	28	33	37	0	4	18	22	23	25	31	32	34	38	1	3	34
1	5	9	22	24	25	26	30	31	32	6	12	13	17	20	23	27	29	37	39	1	3	94
5	7	11	13	17	18	23	26	27	37	2	4	9	12	16	22	32	33	34	35	1	0	46
3	7	12	13	18	21	23	28	29	37	0	10	15	17	19	20	25	27	31	33	3	0	26
1	8	9	13	16	22	25	34	35	38	5	6	7	12	14	24	28	30	32	37	1	0	29
5	10	12	15	18	19	22	27	28	38	1	3	13	16	21	23	26	33	35	39	2	0	81
1	4	6	8	9	17	22	33	34	35	2	3	5	12	16	21	26	27	28	39	3	0	36
1	4	6	13	18	23	24	33	35	39	2	3	10	20	22	25	26	27	30	31	3	1	39
3	4	6	16	17	18	24	27	32	36	0	1	9	11	12	14	26	28	33	39	3	1	65
0	2	6	21	23	25	29	32	35	36	1	5	9	10	12	17	18	30	38	39	0	1	73
2	5	9	10	14	15	16	25	28	35	0	4	6	8	11	13	21	23	27	34	2	1	58
7	10	21	27	29	31	34	36	38	39	3	4	8	11	15	18	19	20	35	37	1	1	97
0	3	14	15	17	23	24	27	35	36	7	11	16	20	22	26	29	30	31	33	2	2	52
0	6	14	17	20	24	27	33	37	39	2	5	10	18	21	28	30	31	34	38	1	2	10
5	13	14	19	20	22	25	33	37	39	1	2	7	17	23	24	29	32	34	38	2	2	79
2	7	12	14	16	25	31	33	35	38	0	4	5	9	23	27	28	32	37	39	1	2	35
2	3	6	7	8	10	15	25	28	32	1	4	5	9	11	19	26	27	35	36	2	3	48
2	7	10	11	13	14	15	23	27	34	0	5	6	16	25	28	30	31	32	33	2	0	19
1	4	5	7	15	21	24	26	33	36	3	8	10	17	18	19	30	34	37	38	3	2	29
2	3	4	7	8	14	17	21	22	31	5	10	11	13	15	27	32	33	34	39	0	3	17
7	9	10	12	16	18	26	28	29	31	0	2	4	5	8	17	19	24	32	39	0	3	120
1	2	3	4	5	8	19	24	27	30	6	7	12	14	18	20	28	31	35	36	0	3	75
14	17	19	20	21	22	27	28	35	39	1	3	5	8	25	29	30	33	34	38	1	1	88
6	7	10	11	13	14	20	30	31	33	1	4	9	12	18	19	21	26	27	39	3	0	60
0	4	12	13	18	21	26	29	31	34	5	7	9	10	16	23	27	35	36	39	0	3	54
1	3	10	13	18	19	24	25	32	34	4	5	11	20	21	22	26	33	38	39	3	0	56
0	5	6	11	14	27	28	31	33	38	9	10	16	22	25	26	29	32	35	37	1	2	53
1	5	7	11	12	13	14	16	26	33	15	18	24	27	29	30	31	34	38	39	2	1	53
0	12	22	23	24	25	31	33	36	38	5	6	7	9	15	17	26	28	30	34	0	0	47
0	3	10	13	14	19	22	23	33	37	1	6	16	18	24	25	26	27	32	39	2	0	70
3	7	10	22	23	25	26	30	31	35	1	8	9	13	15	18	19	29	33	37	1	1	75
1	3	7	11	12	19	21	33	34	39	2	8	10	14	15	20	23	24	26	29	2	3	72
0	1	4	8	10	16	18	21	25	32	5	6	7	9	12	23	26	29	31	37	2	2	24
8	9	15	17	18	26	28	32	33	35	3	5	13	14	20	22	23	30	34	36	1	1	36
1	7	14	17	21	25	26	30	35	37	4	5	6	20	24	27	29	32	34	39	2	1	39
2	9	10	12	13	19	20	21	24	33	0	1	5	8	11	14	25	27	29	37	2	0	97
7	12	13	17	18	21	22	23	30	33	0	2	3	6	8	9	14	16	20	26	2	2	62
2	3	4	18	20	24	25	29	37	39	0	8	14	17	19	22	23	31	33	34	1	3	73
