Mode: 18 #Games: 200
p0_0	p0_1	p0_2	p0_3	p0_4	p0_5	p0_6	p0_7	p0_8	p0_9	p2_0	p2_1	p2_2	p2_3	p2_4	p2_5	p2_6	p2_7	p2_8	p2_9	trump	first	fp
1	2	9	11	15	20	24	33	37	39	4	8	16	17	21	22	28	35	36	38	1	2	67
3	10	11	15	19	23	24	27	34	39	9	13	14	17	20	21	31	32	35	36	0	0	34
0	10	14	20	24	26	27	28	33	35	2	3	9	11	17	19	34	37	38	39	2	2	109
3	4	8	20	22	24	25	28	32	35	1	9	10	12	13	15	30	31	34	38	2	3	95
2	7	8	12	18	20	30	33	36	37	0	9	15	16	17	19	27	34	38	39	3	0	105
4	6	9	11	15	17	20	25	31	35	0	2	3	8	10	24	30	32	33	38	0	3	35
0	3	10	17	22	23	27	30	37	38	2	9	12	14	15	19	20	21	26	34	0	1	55
0	3	6	7	11	12	13	15	16	21	4	5	20	22	23	24	26	31	34	39	1	1	45
4	5	17	18	20	22	26	29	31	32	6	8	11	28	33	35	36	37	38	39	1	2	48
1	5	15	19	23	25	28	35	36	37	4	8	9	12	14	20	21	22	27	29	3	0	79
1	6	11	21	22	25	28	30	32	33	5	7	8	14	16	19	34	36	37	39	1	2	70
0	3	8	15	18	23	28	32	33	34	1	2	4	9	12	21	24	26	27	36	1	1	46
1	5	15	21	22	27	28	31	33	38	2	6	10	12	13	18	26	29	32	37	2	3	64
7	9	12	13	16	19	24	25	33	39	1	3	15	17	22	23	27	30	31	34	1	3	62
3	4	6	8	10	13	20	25	29	32	14	15	17	18	26	27	34	36	37	38	0	2	60
2	4	8	14	21	26	27	29	30	35	0	3	5	10	12	18	23	32	33	39	0	3	70
0	1	5	7	13	14	18	23	28	37	4	8	10	15	16	25	32	34	38	39	1	0	63
1	9	10	11	15	16	17	27	36	38	3	5	13	18	25	28	31	32	35	37	2	0	39
5	6	12	13	19	23	32	33	38	39	0	4	15	20	22	26	28	31	34	35	2	1	81
3	9	11	16	23	24	28	32	33	39	0	7	13	18	20	22	31	35	36	38	3	1	83
6	14	16	17	19	20	22	31	33	35	2	3	4	9	12	15	25	27	28	36	2	0	64
1	3	10	14	15	19	26	30	31	34	2	6	12	18	20	24	32	33	36	37	1	2	41
0	1	6	10	11	18	32	36	37	38	2	4	9	13	15	22	24	25	28	31	1	1	86
4	11	14	18	26	27	31	33	34	37	0	6	15	17	20	25	29	35	38	39	2	2	47
4	7	9	14	16	19	28	31	34	37	1	2	8	15	26	29	33	36	38	39	0	2	110
5	6	17	19	20	22	26	28	33	36	7	10	14	15	18	21	30	32	34	37	3	0	40
1	3	6	15	18	23	27	28	34	39	4	10	11	12	17	22	24	26	30	37	1	3	73
0	2	4	8	14	15	18	19	22	32	6	10	20	24	31	34	35	36	37	39	0	3	89
3	7	9	20	26	29	32	36	37	39	0	2	4	12	14	21	22	23	25	35	2	1	89
1	2	6	10	12	13	16	22	30	37	4	9	14	15	17	20	21	25	31	35	2	2	22
5	6	7	10	16	19	21	34	35	38	1	8	11	12	15	20	22	28	29	30	2	3	76
1	6	7	9	12	24	26	29	30	38	0	4	15	19	20	21	25	28	36	39	3	0	96
1	3	8	10	24	25	31	34	35	38	6	11	12	13	14	18	19	29	33	39	3	0	94
0	3	5	9	16	18	19	21	37	39	1	4	6	7	15	17	24	25	32	35	2	3	84
0	4	16	19	22	23	26	27	33	37	1	7	14	15	18	21	31	32	34	36	1	1	34
3	5	8	10	19	24	35	36	38	39	0	1	6	9	16	28	29	31	33	37	1	0	100
3	5	7	8	10	23	32	35	38	39	0	12	13	14	15	18	20	21	27	28	1	0	76
