Mode: 11 #Games: 10000
p0_0	p0_1	p0_2	p0_3	p0_4	p0_5	p0_6	p0_7	p0_8	p0_9	p2_0	p2_1	p2_2	p2_3	p2_4	p2_5	p2_6	p2_7	p2_8	p2_9	trump	first	fp
2	3	7	12	13	19	20	24	25	39	4	6	15	16	22	23	27	30	31	35	3	0	39
1	2	5	10	11	15	21	23	24	38	0	7	16	17	18	19	22	25	29	34	0	0	30
9	10	11	12	13	18	30	31	32	35	1	3	5	21	22	23	27	28	29	33	3	0	53
4	6	13	15	16	17	20	31	35	38	2	8	9	11	22	24	28	32	33	34	0	0	49
2	5	15	18	20	23	27	35	38	39	0	6	13	16	19	24	28	30	31	36	2	1	49
1	9	12	16	22	24	25	29	35	36	11	14	18	19	26	28	32	34	37	39	1	1	77
2	6	12	14	17	18	20	22	23	36	3	5	7	8	10	26	27	28	34	39	1	1	83
2	5	11	14	22	23	24	26	35	38	3	6	7	8	12	16	25	28	30	34	3	2	22
4	8	9	10	12	18	20	22	23	30	0	5	6	14	21	24	25	32	33	36	1	2	21
1	4	9	11	16	25	30	31	33	36	5	7	13	21	23	24	26	27	29	38	1	2	31
3	7	11	13	19	20	21	22	27	38	2	8	25	26	30	31	33	34	35	36	3	3	55
0	6	14	15	16	17	18	25	37	39	2	5	11	19	20	26	27	29	33	36	3	3	45
7	8	9	15	17	19	21	23	30	34	16	20	24	25	26	29	32	35	36	37	2	3	70
0	4	6	12	17	20	26	28	36	39	5	15	22	25	27	30	31	32	33	37	2	0	48
5	8	11	22	26	30	32	33	37	39	2	7	14	18	19	24	29	31	35	38	3	0	80
5	22	26	27	29	31	32	34	36	38	2	4	7	10	13	17	18	21	24	39	2	0	69
0	1	8	11	19	24	29	30	32	36	13	14	15	21	26	28	33	35	37	38	0	1	57
4	5	7	9	12	14	15	17	18	32	16	19	23	24	29	31	35	36	37	38	3	1	94
6	7	11	14	20	27	29	33	34	36	2	4	5	12	15	17	23	31	32	39	3	1	50
0	7	13	19	22	23	26	31	32	36	4	8	9	10	12	24	28	33	38	39	3	1	95
3	4	6	7	11	18	28	30	31	39	1	9	10	20	22	32	33	34	36	37	3	2	63
2	3	6	10	12	15	17	26	32	33	5	14	18	19	20	24	27	31	34	39	0	2	11
8	11	12	14	16	18	21	28	30	32	3	22	24	25	27	29	31	34	36	37	0	2	48
6	8	11	12	15	19	24	29	30	33	0	1	13	14	16	20	21	28	31	34	1	2	65
3	4	13	15	19	21	23	24	36	39	2	7	8	10	14	16	20	28	30	33	3	3	49
8	10	15	19	20	22	23	24	35	37	0	3	5	7	14	16	18	31	36	39	0	3	85
1	2	4	8	9	18	19	20	24	37	14	16	17	21	26	27	28	29	33	36	0	3	113
4	7	9	12	18	27	29	33	36	37	0	5	14	17	19	20	31	32	34	38	1	3	60
1	3	5	6	10	15	17	19	34	38	0	12	13	16	20	22	25	27	30	35	3	0	53
3	9	11	15	24	25	27	33	35	36	4	8	10	12	14	16	19	22	28	39	2	0	91
3	4	14	15	18	19	29	33	35	38	2	5	8	9	10	25	27	28	30	32	2	0	92
1	4	8	9	11	22	25	26	28	34	5	6	12	13	15	17	18	24	29	30	2	0	81
5	13	15	18	24	25	29	35	38	39	2	3	12	19	21	26	27	32	34	36	0	1	72
1	8	10	14	16	19	20	22	34	36	3	6	17	18	24	29	31	35	37	38	3	1	70
1	4	12	13	14	16	17	32	33	38	0	5	10	25	27	28	30	34	35	39	0	1	53
9	10	13	15	16	19	25	27	36	37	1	4	6	7	14	17	24	26	30	34	2	1	43
2	7	8	9	11	14	20	22	31	38	3	15	21	23	26	27	30	32	36	39	1	2	49
1	2	7	11	17	19	27	28	32	39	0	10	13	16	18	20	25	29	33	35	2	2	91
0	8	10	14	16	17	19	24	33	37	3	4	5	13	15	22	23	27	34	38	1	2	91
1	3	4	5	6	14	27	30	31	34	7	12	15	16	18	21	22	24	32	33	3	2	3
3	6	7	15	18	19	20	30	36	37	0	1	9	13	16	17	23	25	27	29	1	3	66
0	2	4	5	6	7	15	25	26	32	8	9	16	17	21	24	28	35	36	37	0	3	91
0	4	9	18	19	24	25	28	32	39	5	10	11	15	21	23	27	29	31	34	0	3	47
0	8	15	16	17	26	27	31	36	39	4	5	13	21	22	24	25	33	34	38	1	3	45
4	9	10	12	16	18	25	26	31	39	2	3	5	14	15	17	21	23	24	35	1	0	60
7	11	24	26	27	31	32	36	38	39	0	9	12	16	17	20	22	33	34	35	0	0	88
1	2	3	13	20	22	24	25	28	38	6	8	9	15	19	21	27	31	32	39	0	0	81
0	7	8	12	17	24	26	35	38	39	1	2	4	6	11	14	15	16	19	30	0	0	60
8	10	12	14	28	30	32	33	34	36	2	3	5	15	21	22	24	25	26	27	1	1	9
1	5	9	12	15	16	23	26	32	33	2	3	6	10	13	18	29	31	34	37	3	1	36
1	8	10	13	19	23	24	28	32	34	5	9	12	14	17	22	30	33	37	39	0	1	76
0	2	8	10	11	16	23	27	29	30	6	7	12	18	24	26	32	33	35	38	2	2	69
0	3	14	20	22	24	30	32	37	38	8	9	12	15	21	28	33	34	35	36	3	2	72
