Mode: 11 #Games: 1000
p0_0	p0_1	p0_2	p0_3	p0_4	p0_5	p0_6	p0_7	p0_8	p0_9	p2_0	p2_1	p2_2	p2_3	p2_4	p2_5	p2_6	p2_7	p2_8	p2_9	trump	first	fp
0	7	16	17	19	25	29	30	32	37	1	3	5	6	11	15	22	28	33	35	2	0	43
3	7	9	12	14	15	18	20	22	30	0	4	8	11	13	19	21	23	27	28	3	0	24
7	10	12	17	18	20	21	26	37	38	2	5	8	9	14	16	23	25	27	39	0	1	66
7	9	10	12	13	20	21	23	31	34	1	2	3	15	17	24	26	27	36	38	3	1	22
0	2	9	11	23	24	27	32	35	36	1	3	5	7	13	15	19	22	28	34	2	2	47
2	3	4	7	11	23	29	30	32	36	5	10	12	15	20	24	27	33	34	39	2	2	49
0	1	10	13	17	22	28	29	31	32	4	7	15	19	21	23	30	33	34	39	2	3	46
2	8	27	29	30	32	33	34	35	39	1	3	5	7	10	18	19	22	24	38	0	3	82
6	7	11	13	15	24	29	33	35	37	5	8	10	16	23	26	28	30	31	34	2	0	44
1	5	9	11	25	28	33	36	37	39	0	3	6	13	15	24	29	30	31	34	3	0	79
1	9	11	13	16	18	26	32	33	39	0	3	7	15	19	20	22	24	25	29	0	1	58
1	3	7	9	20	22	23	27	28	33	2	6	8	11	14	16	24	32	35	37	0	1	89
0	12	13	17	19	24	25	30	36	39	2	5	6	9	21	27	31	33	34	38	3	2	100
5	8	9	10	14	23	27	31	38	39	0	6	12	13	16	17	21	24	28	37	3	2	68
14	18	20	23	24	29	30	31	36	38	2	3	4	10	15	17	21	22	28	33	3	3	57
1	2	10	14	21	24	26	36	37	38	0	3	9	11	17	19	23	29	31	32	2	3	60
0	4	5	8	18	21	27	33	35	39	1	6	10	12	13	22	31	32	37	38	2	0	32
6	7	11	15	16	22	30	35	38	39	0	3	10	13	17	18	21	24	28	36	1	0	71
9	11	13	14	15	16	28	31	35	39	0	5	6	8	18	19	21	25	34	36	3	1	56
0	5	7	18	21	23	24	25	38	39	8	10	15	17	19	22	28	29	30	34	2	1	94
2	4	6	16	17	19	27	28	34	39	9	10	13	15	18	22	23	29	31	38	2	2	90
6	13	17	19	23	24	27	28	29	32	0	1	3	5	16	21	30	31	35	37	2	2	76
2	12	17	24	25	26	27	36	37	38	4	7	11	18	19	20	23	29	31	34	3	3	64
1	11	14	15	20	27	29	32	35	39	0	16	17	18	23	25	28	33	34	38	2	3	87
0	5	10	17	18	24	28	29	32	37	1	3	6	8	13	14	15	22	31	36	0	0	66
0	2	6	8	18	19	25	26	30	38	1	3	14	24	28	29	33	35	36	37	1	0	74
2	7	11	16	25	26	31	33	34	35	6	8	12	14	15	17	27	28	32	39	1	1	53
5	10	13	18	19	23	29	30	35	37	0	3	4	9	11	20	21	24	28	34	3	1	73
1	7	11	14	15	24	29	31	36	37	2	6	10	18	19	20	32	33	34	35	0	2	43
5	6	8	10	20	21	26	31	33	34	7	9	12	15	22	23	24	29	38	39	1	2	73
1	8	10	11	15	16	17	28	30	38	3	4	5	12	19	25	26	29	31	34	1	3	98
8	11	16	17	18	20	24	30	32	34	1	3	6	9	12	25	28	31	33	35	1	3	55
1	7	10	11	18	19	21	30	31	38	0	3	4	6	9	22	27	28	33	37	1	0	60
1	5	11	15	26	27	32	33	34	35	0	14	16	18	19	21	22	28	29	36	1	0	74
1	4	13	14	17	18	20	22	31	36	3	11	19	25	26	27	29	33	34	39	3	1	50
6	11	12	14	17	18	19	29	33	34	0	3	4	7	13	15	24	27	32	37	0	1	79
6	12	19	21	23	24	25	29	33	34	11	14	15	16	18	28	30	31	36	37	2	2	73
11	16	17	18	19	21	23	26	29	38	1	5	7	10	12	20	25	30	35	39	1	2	81
2	7	15	17	19	26	30	31	35	38	1	4	6	9	11	12	13	23	29	34	3	3	77
2	4	5	6	7	8	17	26	32	37	0	3	11	12	13	14	23	27	28	29	3	3	44
5	7	9	11	16	23	24	26	27	34	1	2	3	14	18	21	22	29	32	37	1	0	39
6	13	15	16	20	25	27	30	36	37	0	4	5	8	17	18	19	21	23	33	1	0	46
3	5	7	8	10	11	14	17	21	28	0	2	6	15	16	25	27	29	35	38	0	1	68
4	5	9	15	17	20	22	23	30	38	7	8	10	11	12	14	25	29	34	35	1	1	63
2	4	5	8	11	15	23	28	34	39	6	7	12	17	18	25	31	35	36	38	0	2	89
0	13	14	18	19	21	23	25	33	35	4	10	20	28	29	30	32	34	37	39	2	2	75
0	3	4	14	15	27	31	34	36	39	1	2	7	12	16	17	18	25	29	35	0	3	79
7	9	14	16	21	25	27	29	33	34	4	12	15	17	18	22	28	30	36	39	1	3	78
2	4	5	6	9	15	16	25	30	36	1	3	10	14	18	22	23	24	28	29	3	0	62
0	5	6	11	19	20	25	32	35	37	1	4	8	10	14	17	18	21	29	39	2	0	84
2	4	8	9	10	14	15	17	32	37	0	3	6	18	19	20	25	31	34	38	3	1	80
0	1	3	6	10	11	21	34	35	36	4	8	9	12	13	14	19	20	26	27	2	1	65
1	2	10	14	19	21	22	25	27	30	4	8	12	17	23	24	28	33	34	37	0	2	21
2	6	15	17	21	23	26	27	32	39	1	3	7	11	14	16	35	36	37	38	0	2	43
5	7	9	18	22	26	27	30	34	38	1	13	15	19	21	24	28	29	33	35	2	3	103
5	7	11	13	16	19	21	23	30	38	1	3	4	22	25	26	28	29	35	36	3	3	64
5	14	21	22	24	25	26	29	32	34	2	3	4	10	11	13	19	27	33	36	2	0	80
1	3	6	13	14	17	24	25	28	38	2	7	9	10	12	20	26	30	31	37	2	0	64
5	7	14	15	16	17	25	27	30	35	3	4	6	12	13	18	34	36	37	39	0	1	75
1	5	8	16	21	23	27	32	35	38	2	9	18	20	24	29	30	33	36	37	3	1	66
1	3	4	11	12	14	15	23	26	29	5	6	9	13	18	21	27	34	35	39	3	2	46
0	1	7	9	10	11	14	32	38	39	3	8	12	17	18	19	23	25	26	35	1	2	87
2	3	5	7	9	10	11	18	20	39	6	12	14	15	16	22	23	32	37	38	2	2	35
2	4	10	14	17	18	22	27	31	33	1	3	11	12	20	21	25	36	38	39	3	3	54
3	4	5	12	18	19	26	29	37	38	2	8	9	10	20	22	24	25	27	32	3	3	77
2	9	28	29	30	32	33	34	35	38	1	3	5	8	11	19	21	36	37	39	1	3	79
3	9	10	11	13	18	19	24	28	33	0	2	16	17	26	29	31	32	36	38	0	0	64
2	7	8	12	13	15	24	26	28	35	9	10	16	18	23	32	33	34	37	39	0	0	79
6	9	13	17	20	22	23	25	34	35	7	8	11	12	21	28	31	37	38	39	3	0	69
3	6	7	10	12	23	28	32	34	37	1	4	8	9	11	17	19	30	33	35	1	1	46
1	2	9	10	13	19	20	25	33	39	4	11	16	17	21	22	26	28	29	36	2	1	91
