Mode: 4 #Games: 10
p0_0	p0_1	p0_2	p0_3	p0_4	p0_5	p0_6	p0_7	p0_8	p0_9	p2_0	p2_1	p2_2	p2_3	p2_4	p2_5	p2_6	p2_7	p2_8	p2_9	trump	first	fp
2	7	12	16	20	24	27	30	36	37	0	9	10	11	14	19	21	25	28	33	3	0	30
8	10	13	19	25	30	33	35	38	39	0	3	5	11	12	14	23	26	27	36	0	2	80
0	1	2	13	16	21	30	32	35	37	4	6	12	17	18	19	20	22	27	38	1	0	43
2	3	6	9	14	17	18	26	32	37	8	10	15	22	25	28	29	30	31	34	0	0	78
1	3	4	11	13	18	19	31	36	39	6	9	15	20	21	22	25	26	30	33	1	1	75
10	16	19	22	23	25	30	35	36	37	2	4	12	18	20	21	26	29	32	38	1	2	45
8	9	14	18	22	24	25	28	29	30	0	4	7	13	17	19	26	31	37	39	3	3	99
2	4	6	12	18	22	24	33	37	39	8	9	11	14	15	17	20	26	28	35	1	1	78
8	9	11	14	16	24	29	30	31	38	1	5	6	17	19	23	32	34	35	39	1	3	85
0	1	4	5	11	28	30	32	33	35	3	8	10	15	18	19	31	37	38	39	1	1	82
