Mode: 13 #Games: 1000
p0_0	p0_1	p0_2	p0_3	p0_4	p0_5	p0_6	p0_7	p0_8	p0_9	p2_0	p2_1	p2_2	p2_3	p2_4	p2_5	p2_6	p2_7	p2_8	p2_9	trump	first	fp
3	6	7	10	11	15	23	26	28	30	2	4	5	12	17	19	25	27	34	36	3	2	32
0	16	19	20	26	27	28	31	35	37	3	7	10	12	14	21	25	33	38	39	0	0	73
1	2	6	8	15	17	19	21	22	26	0	10	13	18	20	27	28	31	32	36	0	1	98
1	9	13	16	18	21	23	26	30	38	2	3	4	5	7	8	14	20	24	37	0	2	86
5	10	13	19	22	28	30	33	36	39	2	4	6	16	17	18	21	23	25	37	0	3	61
4	13	14	15	16	24	26	33	38	39	0	7	9	12	18	19	21	27	29	37	2	2	81
6	7	10	13	17	21	27	30	34	38	2	4	9	11	19	22	26	32	36	39	2	3	77
3	4	6	10	11	13	17	25	29	38	9	12	14	22	24	33	34	35	36	37	0	0	39
5	13	16	21	24	25	26	30	31	36	1	2	8	10	23	27	32	34	35	37	0	0	28
1	4	12	16	17	25	26	32	35	37	0	5	7	9	10	11	29	31	33	38	1	1	44
2	3	4	8	15	20	24	27	28	37	1	5	7	12	13	17	18	21	32	35	3	3	15
2	6	11	19	24	25	27	28	31	33	1	3	5	7	8	9	21	30	32	35	2	0	87
0	3	10	19	20	21	22	26	32	37	2	8	11	13	15	17	25	31	36	39	2	2	61
5	9	19	21	23	29	32	35	37	38	3	6	7	8	13	15	22	26	33	39	0	1	103
2	7	23	25	27	28	30	32	35	38	0	1	3	6	10	12	13	16	22	39	0	1	57
1	5	9	12	16	23	25	29	34	36	0	6	7	8	17	19	30	32	33	37	2	3	58
7	12	17	18	19	21	22	23	33	39	0	4	11	16	25	26	30	31	34	35	3	2	72
7	8	12	19	20	24	27	28	29	36	9	15	17	21	23	25	26	33	34	39	2	0	120
6	7	9	15	23	24	25	31	32	35	2	4	10	13	16	17	26	30	33	37	2	2	69
1	5	6	7	10	25	27	29	32	39	2	14	16	19	20	28	34	35	36	37	2	3	98
0	2	5	7	18	19	25	28	36	37	9	15	16	26	27	31	34	35	38	39	2	0	69
4	7	12	13	14	15	17	21	22	25	2	3	6	8	16	18	19	26	34	35	1	3	105
0	10	13	17	18	22	26	32	35	36	1	3	4	11	14	19	25	29	30	39	0	1	54
6	11	13	14	15	17	20	24	25	37	1	3	4	9	16	22	23	29	30	39	2	2	62
0	3	9	12	13	14	16	20	29	39	5	11	15	21	23	26	27	32	36	37	2	0	62
0	5	6	16	18	23	24	25	26	39	2	4	7	8	9	13	14	15	20	28	0	0	105
10	12	15	18	23	27	29	34	35	38	1	6	9	14	22	25	26	28	31	33	1	1	57
1	2	3	7	13	16	23	31	34	38	5	8	14	17	18	22	27	32	33	36	3	2	28
1	4	7	8	13	24	25	27	29	39	0	3	5	15	18	20	22	26	33	37	2	1	96
2	3	5	6	9	21	25	26	28	29	11	16	19	20	27	32	36	37	38	39	3	3	110
8	12	15	17	19	20	21	26	33	39	5	7	9	16	18	22	25	30	35	37	3	2	74
12	16	17	18	19	22	28	30	32	37	0	1	4	6	9	15	26	29	31	35	1	1	89
1	8	14	15	17	18	26	27	28	31	7	9	16	21	24	25	30	33	36	39	0	2	62
2	15	16	19	20	23	27	35	36	37	5	6	11	12	18	21	28	29	30	39	2	3	85
6	8	13	16	17	22	26	35	37	39	5	7	9	14	15	24	27	32	33	38	0	3	95
1	2	11	13	22	23	24	25	31	32	0	4	6	18	20	26	29	34	37	39	0	3	25
8	13	17	21	24	29	34	35	37	38	2	7	14	15	18	22	23	26	30	31	2	0	55
1	9	10	13	14	22	29	31	35	36	2	3	6	7	11	17	24	33	38	39	2	0	37
2	4	9	10	12	14	17	27	33	34	19	20	21	22	23	25	26	28	31	39	0	0	47
7	10	11	26	28	30	33	34	36	38	3	4	6	9	12	13	19	20	29	37	3	0	45
7	8	9	12	17	18	25	26	30	34	4	6	10	11	14	16	20	36	37	38	0	1	71
0	1	9	14	20	24	26	27	28	38	5	10	12	30	31	32	34	35	37	39	2	1	84
1	9	10	14	19	20	21	26	32	34	2	3	4	16	18	25	27	31	37	38	3	1	68
0	1	6	8	12	17	18	25	27	28	2	3	9	11	23	24	29	37	38	39	3	1	113
3	5	12	13	17	20	22	28	30	38	1	2	6	14	16	23	25	26	32	34	1	2	21
1	4	9	12	14	18	28	31	37	38	3	5	10	11	16	22	24	33	36	39	0	2	51
1	3	14	18	19	33	35	36	37	38	2	5	12	13	21	22	23	25	30	34	3	2	61
1	14	17	19	28	32	33	37	38	39	0	3	8	11	21	25	29	30	34	35	3	2	105
7	8	10	11	12	17	25	29	32	38	1	4	5	9	14	15	22	24	36	37	1	3	78
7	8	10	11	23	26	30	33	36	38	1	5	16	18	22	27	29	31	35	39	3	3	106
2	3	11	12	13	15	17	19	35	38	0	6	7	14	16	18	22	30	31	39	0	3	94
9	10	20	26	28	31	32	34	35	39	3	7	12	15	17	19	21	24	36	38	1	0	91
0	5	8	14	17	23	35	36	38	39	2	6	16	20	21	22	27	30	33	37	3	3	79
1	2	3	6	16	18	19	21	30	31	0	7	10	11	13	14	17	29	37	39	2	0	42
2	8	22	27	29	34	35	37	38	39	5	6	9	12	16	20	23	24	25	33	3	0	102
0	1	6	11	24	27	32	34	35	36	2	5	10	15	17	18	21	26	31	33	0	1	31
7	9	14	17	20	23	24	28	30	33	3	6	12	13	16	21	22	29	31	36	2	1	68
2	5	6	11	15	18	19	24	25	28	9	13	23	26	27	29	30	32	37	38	1	1	65
0	2	8	19	26	29	35	37	38	39	1	5	6	12	17	24	25	28	31	32	0	0	41
3	6	8	13	23	24	26	27	37	39	1	2	4	5	9	10	11	21	35	36	1	2	44
2	8	12	13	18	23	25	33	34	39	7	9	16	17	20	22	26	30	31	38	3	2	77
4	5	6	18	20	21	30	35	36	39	1	7	9	14	15	17	19	27	29	37	2	2	92
6	10	12	15	17	19	24	28	31	36	5	8	9	14	16	20	21	22	33	34	0	1	74
9	10	11	13	22	25	26	28	31	33	0	2	3	5	7	14	17	20	21	24	0	3	90
1	2	4	5	8	9	11	16	20	23	7	19	21	24	25	27	28	33	35	36	0	2	89
1	12	16	18	23	24	27	32	33	39	5	7	19	22	25	28	31	35	36	38	1	3	68
4	7	8	11	15	17	19	20	28	33	0	2	5	9	23	29	30	34	35	38	2	3	67
7	8	12	13	16	17	25	27	31	34	2	14	18	19	21	23	24	30	35	39	1	3	79
6	7	8	12	14	15	17	25	28	31	2	3	13	20	22	23	24	32	37	38	1	0	57
2	3	5	13	14	24	26	27	31	34	6	8	10	16	19	28	35	36	37	38	1	0	62
1	3	7	10	14	16	28	30	31	33	0	2	4	20	21	24	25	26	29	37	3	0	43
3	4	6	10	17	25	27	28	34	37	0	9	11	14	15	18	20	23	24	38	0	1	54
4	10	12	14	25	29	31	34	36	39	2	3	13	15	18	22	23	28	33	35	0	0	58
0	3	8	9	10	15	22	27	36	38	1	4	13	14	20	23	25	26	32	33	1	2	16
0	2	3	9	11	32	36	37	38	39	8	12	14	16	19	21	26	27	29	33	2	1	96
3	6	9	13	23	26	27	29	31	39	0	4	5	15	18	19	21	25	32	35	1	1	72
5	6	10	13	17	18	21	23	36	39	12	15	16	22	25	28	30	31	34	35	2	1	20
9	13	16	18	19	24	30	31	32	33	1	7	8	15	17	21	22	25	26	27	3	3	53
5	10	11	15	17	20	22	25	27	34	0	2	4	9	12	18	24	29	31	39	1	2	67
4	12	13	15	16	17	21	24	27	28	2	5	6	7	9	14	23	29	33	34	3	0	37
7	17	19	20	21	25	30	33	34	39	1	3	4	11	13	14	22	24	29	38	2	2	86
0	2	8	11	24	25	26	31	34	37	5	9	10	14	18	21	23	30	33	35	2	3	52
3	11	14	24	26	27	29	33	35	36	2	4	7	8	10	20	21	30	38	39	3	2	87
2	7	9	15	19	20	23	25	27	35	5	6	8	11	13	14	17	29	32	39	0	3	96
7	9	17	19	26	27	28	36	37	38	0	10	14	20	22	29	30	31	33	34	2	1	92
10	15	16	20	23	25	28	29	35	38	0	2	6	7	9	12	13	22	27	31	0	3	55
2	4	10	11	23	28	30	33	36	39	8	12	13	16	18	19	20	21	24	38	3	0	88
1	2	4	7	13	19	22	27	34	37	0	9	17	18	21	23	24	25	29	31	0	0	70
1	10	12	13	20	24	26	28	29	36	4	14	16	17	23	30	31	32	35	39	0	2	15
0	7	12	13	18	20	21	22	34	37	1	8	9	15	16	25	29	30	32	33	3	3	57
7	12	19	20	21	23	24	25	32	36	2	6	10	11	13	14	15	22	27	39	2	1	64
8	9	10	13	14	16	25	30	35	39	0	1	4	7	11	15	17	24	31	32	1	1	46
2	4	6	9	11	17	30	31	33	34	1	3	7	14	18	20	26	35	36	38	3	0	95
9	11	15	17	21	29	31	34	36	39	2	3	5	7	8	26	27	30	32	38	0	0	94
0	1	4	5	7	8	11	15	28	32	9	17	19	24	29	30	33	34	36	38	2	1	69
9	10	11	13	18	19	22	30	31	38	0	14	21	23	27	29	33	36	37	39	1	2	83
0	18	19	20	22	25	28	31	36	38	4	5	12	13	15	17	21	27	35	37	3	2	75
0	1	2	11	13	16	21	32	36	38	5	22	23	27	29	30	31	33	34	39	1	1	40
1	5	12	14	17	26	28	31	35	36	0	6	11	13	15	18	22	25	37	38	0	3	18
7	8	12	14	17	19	22	24	36	38	2	4	16	20	23	27	31	32	35	37	1	2	38
0	8	10	18	21	28	30	31	32	35	3	4	19	22	23	24	27	33	34	38	2	3	68
1	5	9	12	13	14	15	22	24	31	2	3	23	26	27	32	34	36	38	39	3	2	70
2	7	13	14	16	17	22	23	24	25	1	3	5	15	18	26	29	37	38	39	0	0	69
0	9	12	15	21	23	24	25	30	32	1	2	3	7	8	14	17	35	36	37	2	3	28
0	2	3	16	18	19	20	21	31	33	9	10	14	22	23	24	26	27	29	32	3	0	54
1	7	9	15	17	23	25	27	29	34	0	2	3	4	10	14	16	26	36	38	1	3	42
8	13	15	16	17	20	21	24	26	34	5	10	19	25	27	28	33	35	38	39	3	1	58
3	9	10	14	16	19	22	26	32	33	0	1	4	5	6	18	24	29	30	37	3	1	75
0	7	9	19	24	29	30	31	33	34	1	5	8	15	18	21	25	27	38	39	0	2	102
4	6	12	14	16	18	20	31	37	39	0	1	5	9	21	22	27	28	30	32	2	0	44
6	7	11	14	15	16	27	31	33	37	0	3	10	17	18	19	25	35	36	39	3	0	65
0	3	4	5	7	8	14	32	38	39	2	9	10	17	19	24	25	26	34	35	2	2	49
6	8	11	12	13	16	20	27	28	37	3	4	5	9	18	22	25	30	31	39	1	1	79
3	8	9	10	14	21	26	27	31	35	7	12	17	18	19	22	25	28	33	34	0	2	70
0	12	13	17	23	25	27	33	36	39	1	5	7	8	10	18	19	20	28	29	1	3	88
1	6	8	11	21	23	27	28	33	36	0	3	7	9	13	16	20	24	26	37	0	1	42
1	9	20	22	24	27	30	31	34	39	0	2	6	7	15	17	18	26	29	33	3	3	96
2	3	6	10	11	24	28	34	35	36	0	7	9	13	15	16	17	19	32	37	0	0	67
0	6	7	9	19	21	28	30	33	34	1	2	11	12	13	18	22	25	26	35	1	3	70
3	10	14	15	19	20	22	25	28	35	0	6	9	11	12	21	23	26	27	31	2	0	82
0	3	11	16	19	22	23	25	27	29	1	8	13	14	17	20	24	32	33	35	1	2	81
8	13	18	20	22	27	33	37	38	39	1	5	9	10	15	19	24	28	31	32	3	0	115
3	5	8	14	18	21	22	23	32	37	2	7	13	25	27	33	34	36	38	39	3	1	79
2	3	5	15	19	21	22	33	36	37	8	9	10	14	16	17	24	26	28	29	2	2	120
6	7	8	9	17	25	26	33	36	39	1	3	13	15	16	18	24	28	29	30	0	1	80
2	8	10	15	19	20	25	30	35	39	0	3	5	7	14	16	17	29	34	37	1	3	92
0	3	4	5	13	19	25	28	31	32	1	11	12	16	20	22	29	30	34	35	0	3	60
6	10	14	15	18	20	28	31	35	37	5	8	11	16	17	21	24	25	34	36	2	0	58
7	12	17	24	25	26	27	28	36	39	2	5	8	10	14	18	32	33	35	37	2	1	60
0	3	9	12	16	19	25	31	35	38	2	5	11	14	20	28	30	32	36	39	2	2	85
2	8	10	13	15	20	28	31	34	39	0	4	7	11	21	22	25	26	33	38	0	0	60
6	16	24	27	28	29	30	33	37	38	1	2	4	5	21	22	26	31	34	39	1	3	29
3	4	5	12	22	31	32	35	37	39	0	1	2	6	9	16	17	20	25	28	0	1	84
3	4	7	9	22	28	32	34	36	37	1	8	13	14	15	16	21	25	30	39	3	2	104
5	8	14	17	19	20	21	27	31	36	2	4	6	12	13	22	28	33	37	38	3	3	54
1	2	4	7	13	27	28	31	38	39	3	11	12	18	19	23	24	25	32	35	3	0	50
1	9	12	13	15	17	18	27	28	38	6	11	14	16	25	26	30	31	35	37	2	1	52
3	7	13	19	20	26	31	35	36	38	9	10	15	16	18	21	27	33	34	37	2	0	51
8	9	10	17	19	24	25	27	30	39	1	4	13	15	16	22	28	29	31	37	0	2	87
5	7	16	17	18	20	25	27	28	36	0	1	4	8	11	15	19	26	32	37	1	1	54
0	11	12	13	17	23	25	29	33	36	1	4	6	10	18	20	30	32	35	39	3	1	66
7	11	12	16	21	22	28	30	35	37	1	3	8	13	19	25	29	31	33	36	2	2	56
6	8	12	13	20	26	31	34	36	37	2	4	9	11	15	17	19	22	23	30	3	2	68
1	6	11	14	16	17	18	27	33	37	3	5	9	13	21	23	28	32	35	39	0	2	80
1	2	4	7	10	11	12	31	32	34	8	9	13	14	20	24	26	36	37	38	0	3	88
1	8	10	12	15	17	18	25	26	32	0	2	11	14	23	24	28	29	33	38	0	3	63
0	3	6	22	23	24	25	26	29	39	8	9	15	16	17	20	27	28	32	38	3	3	67
0	2	3	4	11	13	18	29	32	36	1	6	10	24	25	28	31	33	34	35	2	3	40
2	3	13	18	19	20	22	26	29	39	5	9	10	17	21	23	27	32	35	37	2	0	114
9	13	14	15	17	20	27	30	36	38	1	3	5	10	12	16	24	31	34	37	0	0	32
6	11	13	15	21	26	29	34	35	39	1	2	12	22	23	24	25	30	31	37	1	0	45
0	6	9	13	16	22	26	27	33	36	5	14	18	19	24	28	31	32	34	39	1	1	82
1	2	13	14	15	16	26	28	30	32	4	5	7	11	12	17	22	23	33	35	3	2	12
0	3	4	10	11	14	16	18	36	37	5	6	13	15	19	22	26	30	31	35	1	0	73
0	4	11	17	23	25	29	33	35	38	1	5	6	7	8	16	18	19	32	34	0	1	82
1	6	7	14	20	23	27	28	29	34	10	12	13	15	25	26	31	32	35	36	0	1	47
2	4	9	10	11	12	22	26	29	34	7	15	16	17	18	25	30	35	36	38	3	1	57
3	7	10	11	13	15	23	26	27	39	0	1	8	9	12	19	22	31	34	36	3	2	80
4	6	12	15	25	27	29	32	34	39	2	10	14	18	19	21	26	28	35	37	2	2	91
