Mode: 21 #Games: 100
p0_0	p0_1	p0_2	p0_3	p0_4	p0_5	p0_6	p0_7	p0_8	p0_9	p2_0	p2_1	p2_2	p2_3	p2_4	p2_5	p2_6	p2_7	p2_8	p2_9	trump	first	fp	t_t0	t_t1	t_t2	t_t3	t_t4	t_t5	t_t6	t_t7	t_t8	t_t9
2	3	7	15	16	18	22	31	36	38	0	4	5	6	9	13	14	26	27	29	3	0	53	463	7871	0	59	108	0	1	5	0	0	
2	10	25	26	28	30	35	36	37	38	0	1	6	15	16	20	22	24	31	39	3	1	70	158	0	623	445	1	85	4	1	1	0	
1	5	7	23	27	28	29	30	34	36	0	10	12	13	20	24	25	31	35	37	2	2	30	181	212	761	0	3	10	4	0	1	0	
0	3	7	8	18	20	25	32	36	38	2	14	21	22	24	26	27	31	34	35	2	3	53	0	33944	322	209	839	13	0	1	0	0	
1	10	11	19	25	26	27	28	37	39	4	6	9	14	17	18	21	22	24	35	0	0	73	441	217	437	72	2	1	0	1	0	0	
0	12	21	23	28	31	34	35	37	39	5	11	14	16	20	24	26	30	32	33	1	1	2	0	345	0	289	634	54	2	0	0	0	
7	8	16	24	27	30	31	32	34	37	0	1	4	5	15	20	28	29	35	38	3	2	77	103	0	9280	0	321	12	2	1	0	0	
2	5	6	9	13	19	29	30	34	36	10	12	14	16	17	20	24	32	33	37	1	3	84	92	279	210	459	0	759	0	1	0	0	
5	11	12	24	25	28	30	31	35	36	1	2	13	21	23	26	32	33	34	39	1	0	0	465	0	0	34	245	5	1	0	0	0	
0	1	5	13	16	17	22	27	29	35	7	10	11	14	15	26	34	37	38	39	2	1	28	60	0	5210	0	3	11	0	0	0	0	
0	5	13	14	21	22	26	30	35	39	1	4	6	7	10	19	23	24	29	37	3	2	82	31	0	303	1230	0	0	0	1	0	0	
0	1	12	15	17	21	25	26	35	39	2	5	6	8	11	16	18	23	31	36	2	3	31	35	42	116	0	330	1	0	0	0	0	
0	1	6	7	8	11	16	20	25	35	3	10	12	15	18	21	27	28	29	31	3	0	4	638	0	472	240	387	10	0	0	0	0	
3	12	17	22	26	28	30	31	37	39	9	14	16	19	20	21	23	29	35	36	3	1	81	0	52	0	207	39	5	1	2	0	0	
3	11	13	15	16	18	27	31	32	39	0	2	4	6	9	10	20	36	37	38	0	2	49	0	163	178	141	300	22	0	0	0	0	
4	5	9	11	18	26	28	30	34	38	0	1	6	7	12	16	17	20	21	32	0	3	41	58	35	0	211	3	0	4	0	0	0	
1	9	12	14	28	29	30	32	33	37	3	8	10	17	24	27	34	35	36	38	1	0	75	957	40	0	2397	0	7	2	0	0	0	
0	11	21	22	23	29	30	35	36	38	7	8	10	13	14	16	17	27	28	32	1	1	94	110	105	0	0	415	20	4	1	0	0	
1	3	8	9	11	13	16	18	24	25	0	4	5	22	27	29	31	34	35	39	0	2	63	1004	437	149	0	4	13	2	0	0	0	
6	8	16	17	24	26	31	34	35	37	1	4	5	7	14	18	25	28	33	39	3	3	68	30	0	4583	0	143	1	0	1	0	0	
9	11	12	16	18	19	25	27	30	38	0	13	14	15	29	31	32	34	35	39	0	0	56	1005	0	12538	25924	395	79	2	1	0	0	
2	8	9	10	24	25	29	30	32	36	1	6	12	14	15	19	21	28	34	39	2	1	113	0	338	113	2018	151	17	1	0	0	0	
4	6	8	9	14	15	16	32	33	34	2	10	11	18	19	22	24	26	28	30	1	2	96	113	2136	350	20654	203	0	5	0	0	0	
0	3	9	13	24	25	29	32	34	38	4	5	7	11	14	20	28	30	33	36	0	3	80	144	3052	0	165	74	0	3	1	0	0	
10	12	13	20	21	23	31	33	36	37	0	4	6	7	8	16	24	26	27	35	1	0	7	393	76	229	31	172	36	0	0	0	0	
4	5	7	13	15	24	30	32	36	38	2	8	14	16	19	20	21	25	33	39	2	1	71	114	3111	141	0	0	46	6	1	1	0	
0	4	15	18	22	31	34	36	37	38	2	6	7	13	14	19	20	25	30	39	2	2	50	167	3086	56	0	4	0	4	0	0	0	
1	7	13	26	32	33	36	37	38	39	4	8	12	14	19	22	25	27	28	30	1	3	29	288	8721	8442	0	410	0	3	0	0	0	
3	4	14	15	19	20	26	29	30	35	2	5	6	7	24	31	33	34	38	39	0	0	69	231	0	555	17351	179	50	4	1	0	0	
3	5	6	7	8	17	19	21	23	39	0	4	10	12	20	22	26	33	34	35	1	1	31	0	14284	0	459	1002	49	1	1	0	0	
1	3	6	14	15	16	19	27	28	34	2	7	8	13	18	20	23	25	26	39	1	2	75	148	0	275	5128	1	0	3	0	0	0	
2	3	4	9	10	11	16	22	23	34	0	6	13	14	15	20	27	29	30	39	3	3	64	228	0	617	0	167	4	0	0	0	0	
0	1	2	9	10	11	23	28	37	39	3	4	6	14	16	20	24	29	34	35	2	0	95	157	0	1749	0	203	46	4	1	0	0	
1	5	7	12	13	15	17	22	29	34	0	6	9	10	28	30	32	35	37	39	3	1	82	79	1097	45	2356	0	5	0	0	0	0	
3	4	6	9	10	11	18	23	32	37	2	13	14	24	28	29	30	31	36	39	1	2	88	0	99	295	127	83	0	0	1	0	0	
6	13	14	15	16	20	21	24	34	36	2	3	7	10	17	22	27	28	30	31	2	3	45	102	0	58	56	4	1	0	0	0	0	
3	4	7	8	12	16	18	19	23	33	0	5	6	22	24	25	26	28	35	38	2	0	42	741	0	2426	614	501	0	0	1	0	0	
1	2	3	4	7	8	13	18	21	37	0	6	12	15	16	25	26	27	32	33	3	1	2	127	0	157	117	0	1	1	0	0	0	
2	5	11	13	14	17	27	28	36	37	0	9	10	15	22	24	26	31	32	33	2	2	48	51	0	197	238	0	5	0	1	0	0	
2	3	4	7	9	20	26	29	35	39	1	5	12	13	15	22	24	31	34	36	0	3	91	45	2835	2679	147	308	34	8	0	0	0	
6	7	14	19	22	28	29	31	37	39	3	4	5	11	16	17	21	25	30	38	0	0	86	328	130	4248	0	0	17	5	0	1	0	
10	13	17	22	25	28	29	30	33	37	2	8	9	11	14	15	16	19	21	26	0	1	59	524	2179	1961	557	2	43	3	0	0	0	
1	5	6	7	11	12	18	31	33	38	0	2	3	4	9	13	15	21	35	37	2	2	14	659	185	312	0	4	5	1	1	0	0	
3	8	13	17	19	21	27	28	29	34	4	7	9	10	12	15	26	33	38	39	0	3	108	0	33076	2098	0	212	0	2	0	0	0	
7	12	13	21	22	23	30	35	36	39	1	2	4	6	9	15	17	26	29	37	1	0	62	473	31301	0	285	3	16	2	0	2	0	
0	1	9	10	11	14	22	27	29	31	7	15	16	20	23	28	32	34	35	38	3	1	78	37	0	239	294	400	3	1	0	0	0	
1	4	7	14	15	17	23	25	30	31	2	3	5	9	10	19	21	22	24	38	1	2	25	87	117	4465	0	884	22	0	0	0	0	
0	9	15	17	18	21	23	29	32	36	7	8	11	16	24	25	26	30	35	39	1	3	81	84	0	8396	27	44	0	1	0	0	0	
0	4	6	7	8	9	11	29	30	34	2	3	17	18	20	23	24	32	36	37	1	0	55	686	20229	10593	226	0	12	0	1	0	0	
2	4	5	6	8	10	11	25	26	35	15	16	17	19	22	27	28	32	34	36	3	1	46	220	235	0	5557	2	0	0	0	0	0	
7	8	12	14	18	22	26	29	33	37	0	1	11	21	23	24	30	31	32	35	3	2	65	49	0	15414	0	106	38	1	0	0	0	
0	5	8	11	15	23	24	25	34	38	2	3	10	18	28	29	31	35	36	39	3	3	99	82	0	108	0	38	6	0	1	0	0	
0	1	15	17	20	21	22	23	25	39	2	3	11	13	14	18	19	28	31	35	0	0	42	399	3987	89	470	0	0	2	0	0	0	
0	1	2	13	19	24	28	34	35	37	3	4	15	17	25	27	29	31	32	33	1	1	31	42	0	45	65	105	0	0	1	0	0	
3	7	9	10	17	18	21	24	27	33	4	8	12	20	25	28	30	35	36	37	0	2	53	131	107	0	330	1197	0	5	0	0	0	
5	7	8	11	12	16	21	26	29	34	1	6	10	14	23	24	31	36	38	39	1	3	45	0	10232	235	158	0	154	0	1	0	0	
0	3	6	7	16	27	34	36	38	39	8	12	13	19	20	25	26	32	33	37	1	0	63	1094	36135	530	907	972	12	3	1	0	0	
3	8	9	11	12	15	24	30	31	35	0	6	13	14	16	23	26	36	37	39	3	1	58	0	2319	0	0	118	10	0	1	0	0	
0	2	6	10	16	18	19	24	30	34	7	13	15	17	25	28	29	37	38	39	2	2	66	276	238	93	0	38	0	0	1	1	0	
1	7	18	22	29	31	32	34	38	39	3	5	6	8	10	14	16	27	28	36	3	3	94	99	0	12480	0	351	0	15	0	0	0	
0	12	14	15	19	20	30	31	32	33	2	4	10	21	28	29	34	35	37	38	3	0	102	202	266	193	0	80	0	3	0	0	0	
2	12	15	19	20	22	23	25	36	39	1	7	10	14	16	21	26	27	33	34	1	1	48	189	3321	0	56	66	3	0	0	1	0	
3	5	6	7	8	17	25	26	29	31	0	10	11	16	21	22	27	30	33	34	1	2	4	0	0	622	263	97	32	1	0	0	0	
0	9	10	16	17	18	31	32	33	39	4	7	11	13	14	22	28	30	37	38	1	3	90	66	0	17650	84	163	14	2	1	0	0	
1	4	5	9	10	22	27	29	30	39	2	7	11	13	14	21	23	35	36	38	0	0	88	346	79	2777	107	0	66	1	1	0	0	
7	8	10	13	22	24	25	27	35	38	0	3	4	6	9	12	20	23	29	32	0	1	115	33	0	8331	0	86	0	9	1	0	0	
1	4	5	7	17	18	20	28	29	38	0	9	13	14	16	21	23	24	31	35	2	2	71	121	45	0	13516	0	60	2	1	0	0	
0	2	11	14	15	20	30	34	35	39	3	4	10	19	23	24	31	32	37	38	3	3	85	108	1820	436	131	0	53	8	1	0	0	
3	9	11	12	13	16	20	26	28	38	4	7	10	14	15	21	25	27	29	33	1	0	69	202	71	0	336	3	22	2	0	0	0	
2	7	9	10	13	16	23	25	27	29	3	5	8	12	14	15	20	22	34	39	0	1	89	361	2388	511	328	86	4	2	1	0	0	
1	13	15	19	22	25	32	34	36	39	2	3	5	11	17	21	23	26	28	33	2	2	65	78	0	834	35099	1	0	2	1	0	0	
0	7	9	12	14	22	32	33	34	36	4	5	15	17	23	24	27	28	30	35	1	3	42	190	44	0	0	287	13	1	1	0	0	
0	8	10	20	24	25	29	32	33	39	3	5	11	14	15	18	27	28	36	37	3	0	86	471	0	792	14238	268	8	1	0	0	0	
2	5	6	9	11	13	18	19	33	37	0	3	10	14	16	20	21	29	31	32	3	1	71	570	14296	172	0	401	0	2	1	0	0	
1	3	9	11	18	20	25	31	37	39	4	5	8	21	22	23	26	29	35	36	2	2	73	50	168	0	589	170	5	0	0	0	0	
0	2	3	10	17	19	28	30	31	36	7	11	15	20	25	27	33	34	38	39	2	3	39	45	42	0	162	288	0	2	1	0	0	
3	4	5	6	8	11	12	16	25	39	2	7	14	15	19	20	24	27	29	35	0	0	81	705	0	611	0	3	275	8	0	0	0	
5	13	17	22	24	25	27	31	32	33	1	2	16	18	20	23	28	30	36	39	0	1	19	46	0	0	2116	501	5	2	0	0	0	
4	5	6	7	8	15	28	34	35	37	9	10	12	13	18	20	26	27	29	33	3	2	78	0	572	12320	0	5	0	9	1	0	0	
9	10	12	13	23	25	27	31	32	36	7	8	16	18	19	22	26	28	35	37	0	3	64	0	7624	37	232	149	0	3	0	0	0	
4	6	8	9	11	21	23	29	31	33	3	12	14	15	18	28	32	35	36	37	3	0	58	557	0	598	343	304	204	0	1	0	0	
0	17	20	21	23	24	25	27	34	38	2	6	7	12	13	14	30	31	33	37	3	1	18	0	209	480	10296	0	3	1	0	0	0	
1	10	11	15	19	22	26	30	32	35	2	5	7	12	14	16	18	20	29	36	2	2	20	106	0	145	0	290	41	0	0	0	0	
1	3	10	13	15	16	22	29	30	32	0	9	11	12	25	35	36	37	38	39	2	3	31	240	0	314	1518	879	0	2	1	1	0	
0	1	10	15	18	22	23	26	38	39	3	6	13	16	19	20	29	32	33	37	1	0	88	153	0	151	2014	0	19	1	0	0	0	
1	2	5	12	19	24	34	36	38	39	3	7	10	14	17	18	27	29	30	32	0	1	82	101	0	232	0	3	21	1	0	0	0	
1	3	5	6	16	22	23	29	31	36	2	8	13	14	17	26	27	30	37	39	0	2	79	172	64	93	0	66	0	0	1	0	0	
12	13	14	15	18	24	29	31	32	35	4	5	8	9	19	21	22	34	36	38	0	3	75	277	407	346	595	395	1	0	1	0	0	
5	7	8	10	16	19	20	22	28	36	0	1	6	13	17	18	30	33	34	37	1	0	48	717	87	0	2365	4	10	0	1	0	0	
1	4	6	9	10	16	19	23	25	27	2	8	15	18	29	31	32	33	35	37	3	1	90	407	285	235	0	3	18	0	1	1	0	
