Mode: 21 #Games: 100
p0_0	p0_1	p0_2	p0_3	p0_4	p0_5	p0_6	p0_7	p0_8	p0_9	p2_0	p2_1	p2_2	p2_3	p2_4	p2_5	p2_6	p2_7	p2_8	p2_9	trump	first	fp	t_t0	t_t1	t_t2	t_t3	t_t4	t_t5	t_t6	t_t7	t_t8	t_t9
0	2	4	5	14	17	18	19	32	34	6	8	9	13	21	29	30	33	36	38	0	0	103	1317	61	15	234	417	43	2	1	0	0	
2	13	14	20	21	22	28	36	38	39	3	8	17	19	27	30	31	32	33	35	0	1	90	0	190	399	100	226	4	2	0	0	0	
6	8	13	14	20	21	23	28	35	37	10	12	17	18	19	30	31	32	36	38	0	2	16	0	109	0	12827	0	25	1	1	0	0	
1	2	12	14	15	20	23	25	30	35	11	13	16	18	19	22	27	28	33	39	0	3	11	0	0	373	0	233	244	1	0	0	0	
6	12	13	21	22	25	29	31	38	39	3	4	8	14	15	16	18	19	24	34	1	0	90	563	4125	0	5899	0	0	4	1	0	0	
0	5	9	14	20	22	25	30	31	37	2	7	15	16	19	23	24	26	33	35	3	1	39	0	383	479	51	0	3	0	0	0	0	
2	6	16	17	20	25	27	35	37	39	10	11	12	18	21	22	24	26	28	29	3	2	69	76	231	50284	0	4	21	0	1	0	0	
2	4	7	8	10	14	32	35	37	39	0	1	13	17	22	23	24	25	28	31	3	3	61	325	263	7092	2845	193	0	4	0	0	0	
6	7	15	19	20	28	29	35	36	38	0	12	21	22	24	25	26	27	34	39	2	0	106	578	708	180	80	0	15	0	0	0	0	
0	5	6	7	9	14	25	35	36	37	10	11	12	19	20	26	27	31	32	34	0	1	91	0	10911	4993	835	0	10	0	1	1	0	
3	4	10	15	17	21	24	33	36	37	0	2	5	13	16	22	25	26	38	39	3	2	33	0	59	48	92	70	0	4	1	0	0	
1	7	16	23	26	28	31	33	34	35	3	4	6	8	13	24	27	29	32	37	0	3	96	0	13850	407	58548	984	11	2	0	0	0	
1	6	7	15	19	20	24	32	35	38	3	5	9	10	12	16	21	23	28	36	2	0	84	404	140	51	0	4	3	0	0	0	0	
4	7	8	17	24	26	27	32	33	38	9	10	11	13	18	23	25	28	34	37	1	1	72	101	0	5510	1267	455	13	0	1	0	0	
4	6	7	12	18	23	24	34	36	39	2	3	8	10	11	13	17	20	25	38	3	2	69	0	0	121	209	0	29	12	1	1	0	
0	6	7	8	10	11	19	22	29	32	5	9	23	24	27	28	33	34	36	38	3	3	77	123	674	535	9561	0	15	0	0	0	0	
5	7	9	14	17	20	22	25	26	38	2	10	15	18	28	31	34	35	36	37	2	0	45	393	0	8780	327	6	1	0	0	0	0	
0	2	8	16	17	20	23	24	26	29	4	9	10	12	18	19	22	25	33	36	1	1	89	323	0	50579	159	2300	16	5	0	0	0	
5	10	14	15	21	22	27	29	33	38	4	13	16	18	20	24	28	30	36	39	3	2	63	106	5564	0	116	0	43	1	0	0	0	
7	8	14	15	22	26	27	28	29	37	0	1	3	5	11	16	18	21	31	39	2	3	70	104	140	2009	4513	0	29	1	0	0	0	
