132	165
103	89
112	176
154	197
134	133
113	194
102	72
96	111
92	122
146	214
107	147
95	157
127	187
90	103
103	88
113	140
98	151
128	136
93	111
94	151
79	58
97	154
93	80
96	132
105	116
131	220
132	178
99	126
112	96
134	153
95	89
106	55
134	170
112	115
124	149
114	157
121	121
106	94
94	107
93	63
101	57
167	220
134	161
109	100
118	166
95	125
108	169
108	142
137	208
140	220
110	165
61	54
128	154
111	168
114	137
96	88
110	95
105	69
113	142
90	94
118	78
87	88
106	143
115	129
140	182
114	127
137	178
93	130
119	165
134	220
103	100
113	180
105	115
144	206
133	185
125	104
74	52
68	24
97	102
79	88
125	101
143	216
92	101
112	105
93	102
129	136
105	107
113	134
108	105
97	108
116	172
162	220
105	162
111	97
126	167
101	134
102	96
119	124
96	63
115	159
