Mode: 22 #Games: 100
p0_0	p0_1	p0_2	p0_3	p0_4	p0_5	p0_6	p0_7	p0_8	p0_9	p2_0	p2_1	p2_2	p2_3	p2_4	p2_5	p2_6	p2_7	p2_8	p2_9	trump	first	fp	t_t0	t_t1	t_t2	t_t3	t_t4	t_t5	t_t6	t_t7	t_t8	t_t9
1	7	11	17	25	27	29	30	36	38	2	3	10	12	19	21	23	24	32	39	3	2	98	132	1065	0	3339	0	34	33	0	36	0	
1	7	11	17	25	27	29	30	36	38	2	3	10	12	19	21	23	24	32	39	2	0	90	578	0	3484	2223	6	0	8	4	1	0	
3	4	11	13	17	22	26	29	30	35	2	10	14	23	24	28	32	33	38	39	3	3	69	293	0	17237	0	4096	57	18	14	2	0	
3	7	10	12	16	22	29	32	36	37	0	2	8	17	18	19	20	26	30	38	1	1	50	433	177	0	82	128	0	31	5	3	0	
0	9	11	15	16	20	26	33	38	39	4	6	13	17	18	21	23	31	32	35	2	2	61	86	0	12659	175	962	17	5	7	0	0	
2	12	14	15	17	19	20	25	35	38	3	6	7	11	13	16	18	23	27	31	1	0	90	2162	683	0	65226	0	920	12	1977	1	0	
4	7	8	9	13	15	20	31	33	38	0	2	3	12	16	19	21	23	27	34	2	1	71	242	0	693	296	0	119	15	0	1	0	
12	16	17	20	24	25	27	29	30	38	0	2	4	5	18	26	28	33	34	36	0	2	41	519	16186	669	945	438	3	0	2	0	0	
9	12	13	16	21	25	27	28	32	37	0	2	5	20	23	26	31	33	38	39	2	3	90	541	10723	203	0	0	155	5	1	0	0	
0	2	7	14	16	19	25	27	28	36	4	6	18	20	21	23	26	31	34	37	0	3	36	156	145	91	334	0	36	1	0	0	0	
1	5	7	10	14	17	24	29	36	37	0	3	6	11	12	19	20	26	27	30	3	0	70	515	0	695	681	310	0	4	0	0	0	
1	4	11	12	13	23	25	29	32	35	2	5	6	7	15	16	20	22	31	37	0	1	20	103	0	231	534	178	11	0	1	0	0	
0	1	6	12	14	15	17	30	33	39	2	3	4	8	16	18	24	25	32	38	3	2	40	601	0	621	396	0	81	8	4	3	0	
