Mode: 22 #Games: 1000
p0_0	p0_1	p0_2	p0_3	p0_4	p0_5	p0_6	p0_7	p0_8	p0_9	p2_0	p2_1	p2_2	p2_3	p2_4	p2_5	p2_6	p2_7	p2_8	p2_9	trump	first	fp	t_t0	t_t1	t_t2	t_t3	t_t4	t_t5	t_t6	t_t7	t_t8	t_t9
5	7	15	18	22	25	28	32	34	35	9	12	14	21	23	27	31	33	36	38	1	1	64	108	0	105	935	0	68	2	1	0	0	
0	10	13	19	21	22	29	32	36	38	1	4	5	12	14	15	18	24	31	33	1	1	79	101	214	0	1050	7	60	4	2	0	0	
3	5	10	12	19	22	25	26	33	37	1	6	8	9	11	17	20	21	31	35	3	2	16	56	0	596	0	378	12	1	0	1	0	
3	4	5	7	10	14	18	22	36	37	11	13	16	23	24	25	26	28	33	34	2	2	71	0	660	0	6190	423	0	22	5	11	0	
1	11	20	23	27	29	30	34	38	39	0	3	8	10	17	18	22	24	25	33	0	3	26	795	0	720	806	2768	167	3	5	5	0	
2	3	4	8	9	13	18	21	33	37	5	6	12	17	20	24	28	29	30	39	1	3	88	0	1539	1633	836	161	0	9	780	2	0	
4	8	11	12	17	22	24	26	37	39	0	2	9	13	18	21	23	31	32	36	0	0	55	1709	0	11741	307	0	1358	0	2	2	0	
0	1	16	18	20	26	29	30	34	39	3	7	11	13	14	15	22	27	28	36	0	1	16	69	232	0	0	2295	191	8	0	7	0	
10	11	13	16	21	22	25	29	33	34	0	1	5	24	30	31	32	35	36	39	0	2	26	1646	413	1809	3117	4248	173	3	1	0	0	
0	1	2	5	8	12	21	25	28	36	7	10	18	19	20	22	24	34	37	38	2	0	75	1295	17916	224	4096	0	258	0	12	11	0	
0	6	7	9	25	27	29	33	35	36	1	2	3	8	11	12	13	17	31	38	2	3	58	761	197	0	3376	2485	214	362	0	154	0	
1	2	5	12	16	25	26	27	31	39	3	8	9	11	13	15	19	23	35	37	0	0	99	1231	0	178	182	101	9	0	1	0	0	
0	4	10	13	15	25	33	35	37	38	2	6	7	12	14	18	22	23	26	27	0	1	70	793	0	37238	5478	0	65	10	4	4	0	
3	15	18	22	23	29	31	32	36	38	0	4	14	19	20	21	25	26	30	37	1	2	78	195	10346	0	1540	55	0	0	0	7360	0	
5	14	18	20	22	26	27	30	36	37	6	9	12	16	21	23	32	35	38	39	2	3	73	713	1720	0	512	185	38	4	0	0	0	
0	1	3	7	11	18	25	27	31	39	2	5	6	8	12	13	16	19	34	36	2	0	57	1072	0	23414	0	1868	18	2	1	1	0	
1	2	3	6	16	17	28	32	36	38	5	7	13	21	24	27	29	30	31	34	0	1	82	0	13846	0	65843	2191	120	3055	9	692	0	
0	3	5	16	19	21	25	26	30	35	6	8	9	11	12	18	20	29	31	34	0	1	71	104	1319	0	169	0	32	0	18	7	0	
6	8	15	16	20	21	24	30	31	37	2	3	11	13	17	18	19	23	35	38	2	2	49	64	0	452	7261	0	58	0	2	0	0	
4	5	12	14	19	21	23	25	30	35	3	6	9	10	11	24	28	32	37	39	1	2	68	194	0	419	6947	414	0	2327	2	0	0	
1	9	11	16	17	22	31	32	34	39	4	6	7	14	15	18	23	30	37	38	2	3	39	143	10506	379	386	0	148	10	2	1	0	
2	4	9	12	16	18	20	26	28	33	0	6	13	14	22	23	25	34	35	36	3	0	42	1329	277	0	509	9	40	0	15	29	0	
1	5	6	11	12	13	30	31	37	39	0	3	4	7	23	24	25	26	27	36	3	1	47	862	493	0	0	1392	12	698	2	0	0	
3	4	7	10	11	16	19	21	34	36	0	1	2	9	12	15	18	26	37	39	2	2	54	210	222	2138	0	2185	7	0	1	1	0	
3	4	8	18	20	31	34	35	36	39	0	10	13	14	16	23	27	30	32	38	2	3	4	0	3797	793	1067	0	0	1879	0	0	0	
0	4	7	8	14	18	22	33	37	38	3	5	12	13	19	23	26	30	31	36	1	3	69	384	24510	0	92031	7862	208	0	3	2	0	
4	6	9	18	20	23	30	32	35	36	2	11	14	16	17	19	26	29	37	38	1	0	111	464	397	1115	1519	0	1979	1	0	0	0	
12	14	21	23	26	27	28	33	35	36	2	5	6	7	8	9	13	17	32	39	2	1	87	1285	0	4168	918	35	237	28	20	0	0	
3	7	10	26	27	33	35	36	37	38	0	1	9	11	15	16	17	25	28	32	3	2	80	752	371	0	1871	9	20	11	0	0	0	
9	10	13	14	16	18	24	27	30	34	1	3	5	17	21	23	29	31	36	37	1	0	82	2721	39197	0	104	0	2316	17	8	5	0	
