Mode: 22 #Games: 100
p0_0	p0_1	p0_2	p0_3	p0_4	p0_5	p0_6	p0_7	p0_8	p0_9	p2_0	p2_1	p2_2	p2_3	p2_4	p2_5	p2_6	p2_7	p2_8	p2_9	trump	first	fp	t_t0	t_t1	t_t2	t_t3	t_t4	t_t5	t_t6	t_t7	t_t8	t_t9
0	5	6	15	17	18	26	27	30	38	4	7	8	9	13	22	28	32	33	37	2	0	68	853	1443	147	0	7	20	0	2	1	0	
4	6	8	12	13	19	24	26	35	37	2	3	5	9	16	17	18	21	25	27	2	1	37	74	83	101	87	0	312	21	2	4	0	
0	5	6	11	14	15	20	25	27	33	2	7	8	9	17	22	23	30	31	39	0	2	105	0	770	45899	604	137	17	0	1	1	0	
3	4	8	16	20	24	27	29	36	39	5	6	7	9	11	13	14	23	25	37	1	3	41	0	791	83	0	149	0	17	1	4	0	
1	3	4	6	15	20	22	28	32	35	5	7	8	12	21	26	27	29	34	38	1	0	36	1117	140	0	556	433	1	0	1	0	0	
3	6	14	16	21	27	28	31	32	38	2	9	10	11	15	23	24	25	34	36	0	1	34	56	0	7016	0	102	64	0	1	0	0	
0	5	6	15	17	18	26	27	30	38	4	7	8	9	13	22	28	32	33	37	3	2	58	588	2050	0	995	6	19	1	0	0	0	
11	15	17	19	20	21	22	24	26	34	2	5	7	8	12	18	27	28	30	38	2	2	100	1246	1120	3377	788	243	60	8	4	3	0	
3	5	8	17	18	19	27	33	34	36	0	1	4	6	22	24	29	30	32	37	0	3	65	197	6398	747	1284	0	0	3	1	3	0	
3	8	19	20	22	25	26	30	31	35	9	12	13	23	29	32	34	36	37	39	0	3	53	281	2045	442	0	13	119	17	1	2	0	
1	2	3	9	12	22	23	27	30	33	0	13	18	20	21	24	32	34	37	39	1	0	52	1409	0	3475	0	623	23	0	11	3	0	
7	13	16	19	20	22	23	26	28	29	1	8	9	18	24	25	30	33	34	36	2	0	116	2322	54702	490	1424	1092	30	9	18	4	0	
8	9	10	11	12	17	19	20	33	34	0	5	6	7	13	16	18	23	29	38	0	1	115	0	81	0	13533	2760	9	742	0	1	0	
3	4	5	13	14	23	25	26	30	31	6	7	12	16	21	22	24	34	37	38	3	2	22	0	6	70	0	627	13	1	0	0	0	
1	4	8	11	13	18	19	20	23	25	0	5	16	17	26	30	32	34	35	37	2	3	41	853	256	8555	0	389	11	2	0	0	0	
0	2	6	7	15	18	21	24	34	36	1	8	16	22	29	30	33	35	37	39	0	0	81	1251	8289	72	0	2314	34	0	1	2	0	
0	1	4	9	15	17	30	32	36	38	5	6	14	20	23	24	34	35	37	39	0	1	93	662	339	204	0	128	0	2	2	1	0	
