Mode: 22 #Games: 100
p0_0	p0_1	p0_2	p0_3	p0_4	p0_5	p0_6	p0_7	p0_8	p0_9	p2_0	p2_1	p2_2	p2_3	p2_4	p2_5	p2_6	p2_7	p2_8	p2_9	trump	first	fp	t_t0	t_t1	t_t2	t_t3	t_t4	t_t5	t_t6	t_t7	t_t8	t_t9
0	2	3	5	11	18	20	25	28	29	8	9	10	14	22	30	31	33	34	36	3	0	62	4035	2978	2995	30439	844	783	6	6	4	0	
0	6	14	19	21	22	23	34	38	39	1	4	13	15	16	17	28	32	33	36	2	1	19	143	0	0	0	152	0	14	6	0	0	
1	3	13	18	21	29	33	34	38	39	0	2	6	10	11	14	15	17	20	31	1	2	66	227	0	527	0	2411	0	47	6	3	0	
1	3	9	20	21	25	27	31	33	37	2	8	10	11	15	16	22	23	26	36	0	3	63	461	861	1672	1033	5	0	9	1	0	0	
2	7	11	12	13	30	33	34	38	39	1	3	9	19	20	21	24	25	36	37	2	0	55	1155	825	0	0	662	14	4	1	0	0	
0	2	3	5	11	18	20	25	28	29	8	9	10	14	22	30	31	33	34	36	0	2	67	1034	777	149443	32510	0	3	2	1	1	0	
2	7	8	12	30	33	35	36	37	39	10	13	15	17	22	25	26	27	29	32	2	1	73	1780	2180	1833	3263	2059	22	3	2	1	0	
1	2	10	11	12	23	25	33	37	38	3	5	6	8	9	17	18	22	30	34	1	2	20	0	0	0	0	3507	116	23	4	3	0	
10	19	21	24	27	28	35	36	38	39	4	6	7	12	13	15	20	23	29	34	0	3	29	314	13276	515	683	0	14	7	1	0	0	
4	5	15	16	20	24	25	27	29	35	2	6	9	10	11	12	18	21	26	34	2	3	88	242	0	1475	19712	970	0	80	1	1	0	
5	15	17	18	26	30	31	32	35	39	2	4	7	8	9	16	21	23	27	38	1	0	64	1112	702	1265	607	10	0	6	3	5	0	
4	5	16	22	25	28	30	32	35	38	2	3	12	13	18	21	24	36	37	39	3	0	79	2209	13869	0	410	0	0	6	1	0	0	
0	2	9	13	17	20	21	25	27	28	3	5	10	22	23	26	31	32	35	36	3	1	22	115	0	2086	409	3488	1234	8	1	0	0	
3	4	9	12	13	20	22	26	27	29	5	7	14	15	17	19	23	24	25	36	3	1	67	1724	881	2388	4067	1039	38	12	6	10	0	
2	9	13	18	21	25	27	33	34	38	10	15	17	19	22	24	26	32	37	39	1	2	98	82	0	40388	316	0	426	9	1	3	0	
12	13	15	16	17	20	21	34	35	36	2	4	6	8	27	28	31	32	37	38	3	2	62	0	0	562	2699	712	84	16	3	0	0	
4	6	8	10	16	19	26	27	35	38	1	17	18	22	24	25	31	33	34	37	1	3	56	185	322	0	10014	0	87	0	2	3	0	
10	11	17	19	25	26	27	29	32	33	6	12	13	14	15	16	20	24	31	38	3	0	27	1409	10369	0	0	1439	19	3	0	0	0	
0	4	9	12	13	18	26	29	31	37	1	8	10	19	22	24	27	32	38	39	1	3	91	75	299	23241	0	15	0	27	7	30	0	
0	2	5	15	19	20	29	31	34	36	6	9	14	16	17	24	26	28	35	37	0	0	95	1369	115	66	111	77	0	9	1	0	0	
4	6	11	23	24	26	28	30	31	34	1	7	8	10	12	20	21	27	38	39	2	1	105	157	0	399	516	211	4	1	0	2	0	
2	11	13	14	16	20	28	29	31	33	3	5	6	7	8	21	24	25	32	37	2	2	49	252	289	0	12130	125	0	6	1	1	0	
12	14	15	19	21	22	26	31	35	37	0	3	4	5	16	23	24	27	29	30	0	1	71	484	1168	744	638	0	2847	1902	2	4	0	
1	4	6	7	10	15	16	29	36	39	0	12	18	21	22	23	24	31	35	38	3	2	77	0	109640	7022	6723	7115	4331	0	1030	8	0	
5	7	15	18	21	28	33	34	36	39	2	8	9	14	17	25	26	27	30	38	3	3	120	67	0	12534	0	12	69	1	0	567	0	
9	11	12	16	17	19	22	24	30	39	6	13	20	23	25	32	34	35	36	38	0	0	31	1318	379	0	2833	292	0	22	0	8	0	
3	4	6	13	14	16	22	29	31	38	9	18	21	23	26	28	32	34	36	39	3	1	80	100	0	13222	66	62	0	0	0	0	0	
3	6	11	13	14	18	25	27	29	32	0	5	7	9	16	17	20	22	30	34	3	3	24	129	1751	7660	1347	1287	6	0	0	0	0	
1	2	13	14	16	22	27	30	31	37	6	7	10	12	19	20	29	33	35	38	1	0	64	126	96	179	0	0	0	4	3	0	0	
1	2	3	6	9	13	29	30	36	38	11	15	19	20	25	26	27	28	34	37	0	1	116	474	11735	634	222	0	113	0	18	6	0	
0	2	4	11	13	26	29	31	32	33	1	8	12	17	19	25	30	37	38	39	1	2	88	190	0	404	317	0	0	2	0	0	0	
6	8	9	10	11	12	19	20	24	35	4	5	14	17	25	27	28	29	31	36	0	3	66	270	1489	0	6326	0	14	3	0	0	0	
4	11	13	14	22	25	26	27	29	39	0	1	2	5	6	30	31	32	33	38	1	2	55	0	1068	54271	59864	11	60	0	4	5	0	
0	2	4	13	17	22	28	29	34	38	1	7	9	14	18	20	25	33	35	36	1	3	56	173	0	13020	97	0	82	5	0	4	0	
0	2	8	10	25	29	30	31	32	34	4	5	9	11	12	14	15	17	20	24	3	0	41	778	58	0	0	1296	9	1	1	0	0	
3	9	10	11	13	18	21	25	28	39	0	5	7	8	15	17	19	23	26	27	2	0	104	2429	126	52	4383	255	0	17	0	3	0	
0	8	9	10	11	12	13	14	20	21	1	3	17	19	25	27	28	33	35	38	2	1	66	418	1748	0	0	0	0	0	0	0	0	
4	15	16	18	20	24	28	36	37	38	1	3	6	10	14	17	25	27	31	39	1	2	65	276	11775	0	354	34	0	13	13	0	0	
2	6	7	15	17	18	24	28	31	36	1	3	5	10	16	19	25	26	27	38	2	3	80	464	393	595	0	13	1440	28	0	2	0	
2	3	8	18	22	24	25	27	32	35	1	11	13	17	19	30	33	34	36	38	0	1	42	594	3216	0	220	301	24	9	0	0	0	
7	12	13	17	23	25	27	29	36	37	1	4	8	14	16	24	26	30	35	39	2	0	80	904	21494	0	2199	220	0	17	22	2	0	
0	8	9	18	19	20	28	33	38	39	2	3	6	10	11	13	17	23	25	32	0	1	107	35	115	121	0	49	0	16	0	5	0	
4	11	16	17	19	20	23	33	34	39	0	5	6	15	21	24	26	30	31	35	0	2	67	0	20431	5312	567	238	0	0	3	1	0	
1	8	9	14	15	17	27	29	33	36	3	11	18	21	23	24	25	31	37	39	3	2	67	409	160	0	22633	358	15	0	2	0	0	
4	9	12	13	15	30	31	33	36	39	0	7	8	11	16	17	23	25	32	35	2	3	28	520	20941	450	1155	1417	42	7	12	3051	0	
3	8	9	12	19	27	28	30	31	33	0	4	5	15	16	23	24	26	38	39	3	0	72	381	0	20	63	0	66	34	0	21	0	
2	10	14	16	20	32	33	34	38	39	1	3	6	7	11	13	19	21	28	36	2	1	24	267	6443	580	0	459	33	4	0	3	0	
4	6	10	14	16	20	22	26	34	39	0	5	17	18	21	23	27	33	35	38	1	2	72	552	342	0	219	155	9	0	3	0	0	
4	7	8	18	19	24	25	28	29	31	9	10	14	15	23	32	33	34	35	39	1	3	86	220	0	796	49713	0	4	6	1	3	0	
0	5	7	10	13	14	15	20	21	27	1	2	8	9	16	22	25	26	30	36	0	3	104	618	455	250	827	140	0	7	0	2	0	
2	6	14	17	20	25	27	37	38	39	4	7	8	15	18	21	23	24	31	34	1	0	49	1287	0	362	1888	0	69	0	2	1	0	
4	6	7	12	17	18	27	30	33	34	3	8	11	14	16	21	24	26	35	39	3	0	45	867	2719	0	17453	218	24	0	3	0	0	
4	6	9	14	19	29	30	33	35	38	2	10	11	12	13	17	20	23	25	39	0	1	80	387	0	20603	0	21	15	0	9	18	0	
4	6	9	10	11	16	19	24	30	36	3	5	7	8	20	22	27	29	37	39	2	1	70	304	6322	354	918	0	0	60	114	45	0	
5	10	11	18	19	20	21	29	30	35	0	1	2	3	13	15	17	24	37	39	0	2	87	831	0	4604	461	133	0	0	15	56	0	
6	15	16	21	23	26	27	28	33	36	0	2	3	7	8	10	17	25	31	32	0	3	44	490	0	820	1119	295	17	0	9	5	0	
4	7	10	12	14	20	24	30	33	34	0	8	9	13	17	21	22	23	29	35	0	0	65	371	0	1934	314	539	39	0	7	18	0	
4	7	15	16	18	23	25	26	34	37	0	5	10	12	17	19	20	32	35	38	2	1	34	326	6649	0	763	0	14	0	7	4	0	
1	9	11	16	17	19	20	26	28	34	7	8	13	18	23	27	30	31	36	37	1	2	94	136	0	207	189	0	2216	4	1	1	0	
1	4	5	13	22	28	29	30	31	32	11	14	17	18	19	20	24	34	36	37	3	2	68	0	228	452	15881	0	15	9	0	0	0	
2	6	11	16	21	24	25	26	34	38	0	7	9	14	23	28	29	31	33	37	0	3	61	73	0	751	231	54	9	0	1	0	0	
9	12	13	14	20	26	27	32	36	39	1	5	8	16	17	24	29	30	31	34	3	0	71	345	69	0	0	0	22	0	546	0	0	
1	2	5	12	20	22	26	28	29	31	7	8	9	11	13	16	32	33	36	37	3	3	62	852	0	6618	360	7	0	7	3	1	0	
2	5	19	20	23	30	31	34	35	39	3	13	15	17	24	28	29	36	37	38	3	1	99	0	32257	0	1867	0	23	10	610	1	0	
3	7	15	18	20	22	24	25	28	31	0	2	10	13	19	21	26	32	33	39	3	0	66	1923	0	1107	20459	719	0	8	11	5	0	
5	6	17	19	23	29	31	32	36	37	3	4	7	14	15	22	33	34	38	39	2	2	51	87	81	0	8061	0	51	102	6	86	0	
2	3	5	15	16	17	18	25	28	36	0	1	8	22	23	24	26	29	32	33	3	3	17	0	37770	182	0	88	6	1	0	1	0	
0	2	6	9	13	17	18	28	30	33	1	4	10	11	15	16	20	23	25	37	2	0	47	1216	14491	0	1860	0	38	1	1	0	0	
4	10	14	16	25	26	28	31	36	38	3	6	7	12	13	18	19	23	24	33	1	1	93	0	733	139	349	270	0	46	2	1	0	
3	7	14	15	17	20	27	32	35	36	0	4	8	12	16	19	21	26	30	38	0	2	50	121	1902	100	0	764	100	545	2	0	0	
4	5	6	15	21	24	28	30	37	39	1	3	11	20	22	23	25	26	29	38	2	1	86	229	1327	1927	0	727	29	0	1	0	0	
16	18	19	20	26	30	31	32	34	37	6	10	13	15	21	23	27	28	33	36	2	2	85	342	262	99	0	7	0	0	2	0	0	
0	5	7	9	21	22	24	33	35	36	2	6	11	12	13	16	17	23	26	27	0	3	71	587	2617	2655	1775	872	15	6	2	0	0	
3	4	14	18	22	25	26	35	37	39	0	1	8	10	11	17	30	33	34	38	3	0	76	724	0	2022	731	10	0	7	6	0	0	
5	10	14	15	16	17	18	26	37	39	0	3	4	7	8	13	23	25	27	38	1	3	109	0	136388	0	23832	1946	70	9	21	8	0	
1	18	19	21	22	29	34	36	37	38	3	4	6	7	8	14	15	25	30	31	1	1	79	169	4615	10756	331	0	0	2	2	0	0	
1	3	9	20	24	29	32	34	37	38	2	12	17	21	22	25	26	28	31	39	3	2	104	2281	1219	1247	1150	1128	0	14	4	3	0	
7	9	10	14	17	20	24	36	37	39	0	1	4	5	12	16	21	26	33	38	3	3	62	106	0	2554	333	7	33	9	3	0	0	
4	8	10	16	19	27	30	34	35	36	3	5	9	11	18	23	24	28	29	38	3	0	77	1867	5132	786	0	1869	10	3	1	1	0	
0	1	5	8	13	16	18	20	29	33	2	4	10	17	19	22	28	30	37	39	2	1	87	262	3061	0	328	204	63	0	1	0	0	
0	5	9	17	20	22	25	29	32	38	6	7	15	19	21	23	24	28	34	37	1	2	64	381	0	574	4422	1200	0	0	0	0	0	
6	16	18	19	20	21	27	29	34	38	1	2	8	10	13	23	24	28	32	39	1	3	62	218	2519	0	17445	0	10	5	0	0	0	
0	10	12	13	17	19	21	26	32	37	1	2	3	8	11	15	20	23	30	39	0	0	61	897	243	0	0	977	4	0	1	1	0	
4	7	10	13	21	24	27	28	38	39	3	8	9	11	16	17	18	26	33	35	3	1	86	50	0	1285	11832	7	42	1	1	0	0	
