Mode: 18 #Games: 1000 Notes: u1-2Trick-500
p_0	p_1	p_2	p_3	pt_0	pt_1	pt_2	pt_3	t_0	t_1	t_2	t_3	A_0	A_1	A_2	A_3	S_0	S_1	7_2	7_3	At_02	suits_0	suits_1	suits_2	suit_3	first_0	first_1	first_2	first_3	fp_02
29	15	48	28	11	10	2	7	1	5	1	3	2	0	2	0	0	1	2	1	1	4	3	4	4	0	0	1	0	55
24	28	27	41	2	11	0	17	3	2	0	5	1	1	1	1	0	1	1	2	0	4	4	3	4	0	0	1	0	39
44	15	17	44	11	7	10	2	2	5	2	1	2	0	0	2	2	0	1	1	1	3	4	4	4	1	0	0	0	96
18	42	44	16	4	11	2	13	2	1	2	5	0	1	3	0	1	2	0	1	0	4	4	4	4	0	0	0	1	53
24	16	39	41	14	2	4	10	3	2	4	1	1	0	1	2	0	1	2	1	1	4	4	3	4	0	0	0	1	65
32	36	16	36	15	0	0	15	4	0	1	5	2	1	0	1	0	1	1	2	1	3	3	4	3	1	0	0	0	59
21	36	34	29	2	18	10	0	3	4	2	1	1	2	1	0	0	0	2	2	0	4	4	4	4	0	1	0	0	63
26	51	16	27	0	11	13	6	2	1	4	3	1	2	0	1	1	1	1	1	0	3	4	3	4	0	1	0	0	72
45	23	31	21	24	6	0	0	3	4	1	2	2	0	1	1	1	1	2	0	1	4	3	4	4	1	0	0	0	72
49	16	41	14	21	0	4	5	3	2	2	3	2	1	1	0	2	0	2	0	1	4	4	4	4	1	0	0	0	104
25	47	15	33	9	21	0	0	3	3	3	1	0	2	1	1	1	2	0	1	0	4	4	4	4	0	0	1	0	54
27	50	30	13	11	0	19	0	2	1	5	2	2	1	0	1	0	3	1	0	1	4	4	3	3	0	0	1	0	48
31	50	17	22	2	15	0	13	3	2	3	2	2	2	0	0	0	2	1	1	0	4	4	4	4	0	1	0	0	61
22	28	32	38	2	14	14	0	3	4	2	1	1	1	1	1	0	1	1	2	0	4	4	4	4	0	1	0	0	54
40	30	13	37	4	14	0	12	1	2	4	3	2	1	0	1	1	0	1	2	0	4	4	4	4	0	0	0	1	71
44	38	12	26	2	24	4	0	2	4	1	3	2	1	0	1	1	2	0	1	0	4	4	4	4	0	0	1	0	67
26	17	37	40	0	10	4	16	0	3	3	4	1	0	1	2	0	1	2	1	0	3	4	4	4	0	0	0	1	63
22	16	44	38	4	0	24	2	1	4	4	1	0	1	2	1	1	0	1	2	1	4	4	3	4	0	0	1	0	64
22	39	37	22	3	2	21	4	2	3	3	2	1	1	1	1	0	2	2	0	1	4	3	3	4	0	0	0	1	43
31	26	35	28	11	7	2	10	1	4	2	3	1	1	1	1	1	0	2	1	1	4	3	4	3	1	0	0	0	45
19	33	16	52	2	10	4	14	3	3	1	3	1	1	0	2	0	2	0	2	0	4	4	4	4	0	0	0	1	13
23	55	8	34	3	16	0	11	2	3	1	4	0	2	0	2	2	2	0	0	0	4	4	4	4	1	0	0	0	0
23	24	29	44	3	0	6	21	3	2	3	2	1	2	0	1	0	0	2	2	0	4	4	4	4	0	1	0	0	62
15	25	41	39	4	5	0	21	3	3	1	3	0	0	2	2	0	2	1	1	0	4	4	4	4	1	0	0	0	20
29	49	30	12	4	13	13	0	1	2	4	3	1	2	1	0	1	2	1	0	0	4	4	3	4	1	0	0	0	78
42	20	31	27	10	2	14	4	1	3	3	3	1	1	1	1	2	0	1	1	1	4	4	4	4	0	1	0	0	62
19	24	49	28	4	11	12	3	4	1	2	3	0	1	2	1	1	1	1	1	0	4	4	4	4	0	0	1	0	68
26	47	20	27	0	17	0	13	2	4	2	2	0	3	1	0	2	0	0	2	0	3	4	4	4	0	1	0	0	28
32	28	29	31	0	14	14	2	2	3	4	1	1	1	1	1	1	1	1	1	0	4	4	3	4	0	1	0	0	69
20	32	34	34	10	5	4	11	3	4	2	1	0	2	1	1	1	0	1	2	0	3	4	4	4	0	0	1	0	46
36	24	33	27	9	0	0	21	4	2	2	2	0	1	2	1	2	1	0	1	0	4	4	4	4	0	0	1	0	75
24	27	41	28	4	21	5	0	3	3	2	2	0	1	2	1	1	1	1	1	0	4	4	3	4	0	0	0	1	47
21	48	19	32	0	14	6	10	2	4	3	1	1	2	1	0	0	2	0	2	0	4	4	4	4	0	0	1	0	45
28	20	44	28	4	0	23	3	2	1	4	3	1	1	2	0	1	0	1	2	1	4	4	4	4	0	0	0	1	76
46	6	32	36	13	0	2	15	3	2	2	3	1	0	1	2	3	0	1	0	0	4	4	4	3	0	0	0	1	92
33	44	34	9	3	16	11	0	2	5	3	0	1	1	2	0	1	2	1	0	1	4	4	4	3	0	0	0	1	52
47	30	19	24	0	21	2	7	2	3	1	4	3	1	0	0	1	1	1	1	0	4	3	4	4	1	0	0	0	61
40	20	38	22	25	5	0	0	4	3	1	2	2	0	1	1	1	1	2	0	1	3	4	4	4	1	0	0	0	46
24	16	47	33	3	10	11	6	2	4	2	2	1	0	2	1	0	1	2	1	1	3	4	4	4	0	1	0	0	80
35	20	39	26	5	11	14	0	2	4	3	1	0	1	2	1	2	0	1	1	0	4	4	4	4	1	0	0	0	85
39	10	47	24	10	0	15	5	3	2	2	3	0	0	3	1	3	1	0	0	1	4	4	4	4	1	0	0	0	103
52	43	5	20	4	23	0	3	2	3	4	1	2	1	0	1	2	2	0	0	0	4	4	4	4	0	1	0	0	65
41	41	18	20	3	2	14	11	1	2	4	3	1	2	0	1	2	1	1	0	0	4	4	4	4	0	1	0	0	66
44	18	32	26	10	3	4	13	2	3	2	3	1	0	1	2	2	1	1	0	0	4	4	4	4	0	0	1	0	49
35	30	46	9	13	0	17	0	3	2	4	1	1	1	2	0	2	1	1	0	1	4	4	4	4	0	0	1	0	99
20	21	35	44	0	3	6	21	2	3	3	2	1	0	1	2	0	1	1	2	0	4	4	4	4	0	1	0	0	44
41	21	34	24	0	4	12	14	2	2	2	4	3	0	0	1	0	1	3	0	0	4	4	4	4	0	0	1	0	85
25	40	35	20	4	13	10	3	2	4	2	2	1	2	1	0	0	1	2	1	0	4	4	4	4	0	0	1	0	71
