Mode: 21 #Games: 100
p0_0	p0_1	p0_2	p0_3	p0_4	p0_5	p0_6	p0_7	p0_8	p0_9	p2_0	p2_1	p2_2	p2_3	p2_4	p2_5	p2_6	p2_7	p2_8	p2_9	trump	first	fp	t_t0	t_t1	t_t2	t_t3	t_t4	t_t5	t_t6	t_t7	t_t8	t_t9
0	1	11	19	24	25	28	32	34	35	7	12	13	16	23	27	30	31	37	38	1	0	33	156	0	18	21	343	16	0	0	0	0	
0	4	5	10	19	25	26	27	38	39	2	3	11	13	15	22	31	32	35	36	3	1	69	86	912	0	387	0	49	2	0	0	0	
0	5	16	17	20	25	26	27	35	37	1	3	4	13	15	21	29	30	34	39	3	2	23	52	15	0	32	0	7	0	1	0	0	
5	9	11	13	21	26	27	29	34	35	0	2	4	7	8	10	15	20	22	31	0	3	84	84	0	140	201	38	47	10	0	2	0	
1	7	14	18	19	28	30	31	32	33	0	3	4	10	21	23	27	29	37	38	1	0	87	32	0	12	43	0	4	0	0	0	0	
3	10	14	18	20	22	23	25	29	34	1	2	6	7	12	28	31	32	37	39	3	1	71	0	7459	62	310	246	18	2	1	0	0	
2	9	11	14	17	26	28	33	37	39	1	3	4	12	16	20	21	27	31	32	0	2	23	18	124	24	0	18	0	1	0	0	0	
2	6	8	17	18	22	23	24	25	38	0	4	5	12	13	14	16	30	33	34	0	3	34	21	11	0	77	1	81	1	0	0	0	
3	6	7	10	18	25	26	29	32	37	0	4	11	13	17	23	24	28	31	38	1	0	98	64	562	0	27	0	38	2	0	0	0	
0	3	7	12	21	31	32	34	36	38	1	2	4	10	13	15	16	19	26	28	1	1	84	0	197	0	221	186	41	2	1	6	0	
6	8	10	11	15	20	22	24	27	28	2	18	23	25	32	34	35	36	37	39	1	2	5	96	43	41	101	2	0	0	0	0	0	
0	11	13	23	25	26	31	33	36	37	1	6	12	14	22	28	29	32	38	39	1	3	40	119	0	78	7513	18	7	2	1	0	0	
