Mode: 21 #Games: 100
p0_0	p0_1	p0_2	p0_3	p0_4	p0_5	p0_6	p0_7	p0_8	p0_9	p2_0	p2_1	p2_2	p2_3	p2_4	p2_5	p2_6	p2_7	p2_8	p2_9	trump	first	fp	t_t0	t_t1	t_t2	t_t3	t_t4	t_t5	t_t6	t_t7	t_t8	t_t9
2	5	6	10	16	22	24	25	27	32	4	7	8	13	14	18	19	21	33	35	1	0	50	192	0	67	0	421	0	2	1	0	0	
0	4	9	13	15	18	21	24	34	38	10	14	22	23	25	28	29	30	31	35	2	1	86	20	18	12	0	1	25	0	1	0	0	
3	11	12	13	19	26	27	31	32	33	1	7	14	16	17	21	24	34	36	38	0	2	40	12	0	148	0	0	0	0	1	7	0	
8	11	15	18	23	25	29	30	33	39	1	12	13	14	19	21	31	34	37	38	3	3	80	6	18	94	0	6	0	1	0	0	0	
5	10	11	16	17	26	32	36	37	39	0	3	9	12	14	19	21	22	33	34	2	0	54	129	0	0	1500	298	152	1	0	0	0	
0	1	2	5	6	11	13	36	38	39	8	9	12	15	17	23	28	30	35	37	2	1	57	51	1228	0	924	33	6	1	1	0	0	
2	4	6	19	25	27	28	31	34	38	3	8	9	12	23	29	35	36	37	39	3	2	100	22	178	27	4	0	0	1	0	0	0	
5	6	13	15	18	21	29	31	35	37	2	3	4	7	10	11	12	14	25	27	2	3	22	12	44	0	27	0	4	0	1	1	0	
1	3	11	15	18	22	23	27	37	39	0	13	20	26	28	29	30	34	35	38	0	0	19	116	0	36	0	1	13	1	0	0	0	
3	4	6	7	9	15	19	24	31	39	13	17	21	23	25	32	33	34	37	38	0	1	85	16	0	3927	1100	2	1	0	1	0	0	
0	4	6	11	25	28	33	35	38	39	5	12	18	19	20	27	29	30	34	37	3	2	100	48	169	38	0	1	0	4	0	0	0	
1	10	12	16	17	20	24	30	33	39	3	4	5	18	25	26	27	29	34	38	1	3	73	0	36	0	57	375	72	2	0	0	0	
2	5	12	13	14	17	22	24	37	39	4	10	16	19	20	27	28	29	35	38	0	0	71	40	0	34	0	0	3	0	0	0	0	
2	3	7	11	12	20	23	25	31	39	6	9	10	18	26	29	30	32	35	36	3	1	89	26	58	58	0	9	2	0	0	0	0	
2	7	10	12	14	24	25	26	32	37	1	4	8	11	13	20	21	22	35	38	2	2	54	26	16	16	0	32	4	0	0	0	0	
1	2	6	9	12	29	30	32	33	34	3	7	10	11	15	18	23	36	37	38	2	3	17	0	3827	26	0	82	16	1	0	0	0	
2	6	10	14	17	19	28	30	31	35	4	5	8	9	20	23	27	33	37	39	2	0	67	90	0	144	3521	262	11	5	1	0	0	
0	3	5	12	13	14	18	21	35	36	2	7	8	10	26	27	28	31	34	39	2	1	66	26	0	1480	61	0	15	0	1	0	0	
2	3	10	16	24	26	32	35	36	39	8	12	13	20	21	23	30	31	34	37	1	2	31	17	0	5014	202	119	45	6	0	0	0	
2	4	20	21	22	23	26	30	31	32	0	1	6	9	10	17	18	35	36	38	2	3	30	58	51	1975	0	0	0	0	0	0	0	
0	1	2	6	11	13	14	15	17	39	5	8	12	18	19	26	27	28	29	35	0	0	90	343	97	113	3993	50	13	2	1	0	0	
1	3	6	8	12	14	22	24	27	33	0	7	11	13	18	20	29	32	35	37	3	1	47	0	2413	118	70	14	0	0	1	0	0	
2	3	8	11	12	14	21	28	29	32	1	4	5	7	10	16	18	19	26	31	0	2	68	19	0	0	84	25	0	2	0	0	0	
2	3	7	8	16	18	20	24	26	30	5	10	15	22	23	27	29	32	35	39	2	3	76	0	52	33	225	0	8	1	0	0	0	
1	5	12	13	26	27	28	29	30	38	4	6	10	14	15	16	24	32	33	39	0	0	54	113	0	18	0	1	15	1	0	0	0	
