Mode: 18 #Games: 1000 Notes: u2-3Trick-50
p_0	p_1	p_2	p_3	pt_0	pt_1	pt_2	pt_3	t_0	t_1	t_2	t_3	A_0	A_1	A_2	A_3	S_0	S_1	7_2	7_3	At_02	suits_0	suits_1	suits_2	suit_3	first_0	first_1	first_2	first_3	fp_02
46	39	23	12	11	14	2	3	2	5	2	1	2	1	1	0	2	2	0	0	1	4	4	4	4	0	0	1	0	38
21	44	22	33	4	0	3	23	1	1	2	6	1	1	1	1	0	2	0	2	0	4	4	4	3	0	0	1	0	31
51	24	33	12	21	0	7	2	3	2	2	3	2	1	1	0	2	1	1	0	1	4	4	3	4	1	0	0	0	118
26	24	22	48	13	0	15	2	3	0	6	1	1	2	1	0	1	0	0	3	1	4	3	4	4	1	0	0	0	67
28	11	48	33	11	6	13	0	2	4	2	2	2	0	1	1	0	0	3	1	1	4	4	4	4	0	0	0	1	77
53	30	19	18	15	0	12	3	3	1	4	2	3	0	0	1	1	2	1	0	1	4	4	4	4	0	1	0	0	72
33	22	23	42	4	0	0	26	2	4	0	4	1	0	1	2	0	2	1	1	0	4	4	3	4	0	1	0	0	32
18	46	28	28	13	13	4	0	3	4	1	2	0	4	0	0	1	0	1	2	0	3	4	4	4	0	0	1	0	13
38	29	20	33	2	21	4	3	2	4	2	2	2	1	0	1	1	1	1	1	0	4	4	4	4	0	0	1	0	60
27	15	33	45	13	0	4	13	3	2	2	3	1	1	1	1	1	0	1	2	1	4	4	4	4	0	0	0	1	36
26	28	32	34	5	4	11	10	3	3	1	3	0	0	2	2	1	2	0	1	1	4	4	4	4	0	0	0	1	49
20	55	16	29	14	14	2	0	4	2	3	1	0	2	0	2	1	2	1	0	0	4	4	4	4	1	0	0	0	34
24	32	16	48	2	18	0	10	1	4	4	1	0	1	1	2	1	1	0	2	0	4	4	4	4	1	0	0	0	39
51	25	31	13	21	6	3	0	2	4	1	3	3	0	1	0	1	1	1	1	1	3	4	4	4	0	0	0	1	74
33	15	41	31	0	0	16	14	3	0	4	3	3	0	1	0	0	0	2	2	1	4	3	3	4	0	1	0	0	104
31	9	51	29	6	3	10	11	2	5	1	2	1	0	2	1	1	0	2	1	0	4	4	4	4	1	0	0	0	66
57	11	18	34	10	7	11	2	3	3	3	1	2	0	1	1	3	0	0	1	1	4	4	4	4	0	1	0	0	93
28	20	35	37	5	0	0	25	3	2	1	4	1	0	2	1	1	1	1	1	0	3	4	4	4	0	0	1	0	46
43	42	26	9	3	15	10	2	3	4	2	1	3	1	0	0	0	2	2	0	0	4	4	4	4	0	0	1	0	88
44	19	27	30	15	0	5	10	3	2	2	3	1	1	2	0	2	0	0	2	1	3	4	4	4	0	1	0	0	76
33	44	26	17	4	14	12	0	3	3	4	0	2	2	0	0	0	1	2	1	0	4	4	3	3	0	0	0	1	88
18	39	27	36	10	11	7	2	3	3	2	2	0	3	0	1	1	0	1	2	0	4	4	4	4	0	0	1	0	71
31	28	22	39	17	0	0	13	4	1	2	3	2	2	0	0	0	0	1	3	1	4	4	4	3	0	0	0	1	60
46	21	36	17	25	3	2	0	3	3	2	2	1	0	2	1	2	1	1	0	1	4	4	4	4	0	0	0	1	90
30	32	25	33	11	7	10	2	3	4	1	2	2	1	0	1	0	1	2	1	1	4	4	4	4	1	0	0	0	50
27	27	19	47	3	2	4	21	2	2	4	2	0	1	1	2	2	0	0	2	0	4	4	4	4	1	0	0	0	44
31	52	4	33	2	15	0	13	3	2	2	3	1	2	0	1	1	2	0	1	0	4	4	4	4	1	0	0	0	45
26	33	35	26	6	10	14	0	2	3	4	1	1	1	2	0	0	2	0	2	1	4	4	4	4	1	0	0	0	76
13	51	20	36	2	14	3	11	4	2	2	2	0	1	1	2	0	3	0	1	0	4	4	4	4	0	1	0	0	35
