Mode: 18 #Games: 1000 Notes: u2-3Trick-50
p_0	p_1	p_2	p_3	pt_0	pt_1	pt_2	pt_3	t_0	t_1	t_2	t_3	A_0	A_1	A_2	A_3	S_0	S_1	7_2	7_3	At_02	suits_0	suits_1	suits_2	suit_3	first_0	first_1	first_2	first_3	fp_02
32	14	50	24	16	0	14	0	4	2	3	1	0	0	3	1	2	1	1	0	1	4	4	4	4	0	0	1	0	98
13	46	4	57	4	12	0	14	3	2	3	2	0	1	0	3	0	3	0	1	0	4	4	4	4	0	0	1	0	38
32	42	21	25	4	13	13	0	3	2	3	2	2	0	1	1	0	3	0	1	1	4	4	4	4	0	0	0	1	63
27	22	40	31	3	10	13	4	2	3	3	2	1	0	2	1	1	2	1	0	1	4	4	4	4	1	0	0	0	95
56	26	20	18	14	10	0	6	4	1	2	3	4	0	0	0	0	2	1	1	1	4	4	4	4	0	0	0	1	71
6	34	61	19	0	12	14	4	2	2	3	3	0	0	4	0	0	2	1	1	1	4	4	4	4	0	1	0	0	55
29	21	37	33	0	4	26	0	4	2	4	0	1	0	2	1	1	1	1	1	1	4	4	3	3	1	0	0	0	104
21	19	52	28	2	0	21	7	4	0	3	3	0	1	2	1	1	0	3	0	1	4	3	4	4	0	0	1	0	70
11	45	52	12	0	14	10	6	3	2	1	4	0	2	2	0	0	1	3	0	0	4	4	4	4	0	1	0	0	75
24	31	32	33	3	2	10	15	2	2	3	3	0	2	0	2	1	0	3	0	0	4	4	4	4	1	0	0	0	68
40	33	37	10	0	0	30	0	2	3	5	0	2	1	1	0	1	2	1	0	1	4	4	3	3	0	1	0	0	94
28	16	18	58	4	3	2	21	3	4	1	2	0	1	0	3	1	0	1	2	0	4	4	4	4	0	0	1	0	51
30	18	29	43	0	12	3	15	3	3	2	2	0	0	1	3	2	1	1	0	0	4	4	4	4	0	0	1	0	38
22	41	43	14	6	0	13	11	4	0	3	3	1	1	1	1	0	2	2	0	0	3	3	4	4	0	0	0	1	92
51	27	16	26	11	9	0	10	2	4	0	4	3	0	0	1	1	1	1	1	1	4	4	3	4	0	0	0	1	47
25	41	36	18	0	17	13	0	2	4	3	1	1	2	1	0	1	1	1	1	0	4	3	4	4	0	0	0	1	85
40	9	19	52	0	6	0	24	1	3	0	6	2	0	0	2	1	0	1	2	0	3	3	3	4	1	0	0	0	26
24	33	30	33	0	17	0	13	0	5	2	3	1	1	1	1	0	1	1	2	0	3	3	4	4	1	0	0	0	39
33	12	49	26	13	4	13	0	3	3	2	2	0	0	2	2	2	0	2	0	1	4	4	4	4	0	1	0	0	76
40	26	27	27	3	10	6	11	3	2	3	2	1	0	1	2	2	2	0	0	0	4	4	4	4	1	0	0	0	66
40	16	24	40	14	3	2	11	4	1	3	2	1	0	1	2	2	1	0	1	0	3	4	4	4	0	1	0	0	104
42	41	4	33	15	2	0	13	2	2	3	3	2	1	0	1	1	2	0	1	1	4	3	4	4	1	0	0	0	38
47	14	27	32	18	2	10	0	4	2	3	1	2	0	0	2	1	0	2	1	1	3	4	4	4	0	1	0	0	75
33	29	33	25	0	5	0	25	1	3	1	5	2	0	1	1	0	2	1	1	0	4	4	4	4	0	0	1	0	68
37	42	16	25	0	21	3	6	1	3	3	3	2	2	0	0	1	1	1	1	0	4	4	4	4	0	0	1	0	43
48	38	13	21	13	6	11	0	2	3	4	1	0	2	1	1	4	0	0	0	1	4	4	4	4	0	0	1	0	72
23	22	44	31	0	3	23	4	1	3	4	2	0	0	2	2	1	1	2	0	1	4	4	3	4	0	1	0	0	97
26	19	36	39	6	0	13	11	3	1	4	2	1	0	1	2	0	1	2	1	0	4	4	4	4	0	0	0	1	75
31	23	18	48	3	15	12	0	2	4	3	1	1	1	0	2	1	0	1	2	0	4	4	4	4	0	0	1	0	51
45	18	23	34	4	2	14	10	2	3	3	2	2	0	1	1	1	1	0	2	1	4	3	4	4	0	0	0	1	52
21	46	27	26	0	0	11	19	1	2	1	6	0	2	2	0	1	2	0	1	1	4	4	4	2	0	0	0	1	23
20	21	20	59	0	2	7	21	1	2	5	2	0	1	1	2	1	0	0	3	0	4	4	4	4	1	0	0	0	83
22	30	28	40	5	4	0	21	2	2	4	2	0	1	1	2	1	1	1	1	0	4	4	4	4	1	0	0	0	34
44	48	25	3	3	11	16	0	1	2	5	2	2	2	0	0	1	2	1	0	0	4	4	3	4	0	1	0	0	66
44	17	19	40	10	0	16	4	4	0	5	1	1	0	1	2	3	1	0	0	1	4	3	3	4	0	0	0	1	66
53	30	24	13	3	10	4	13	1	3	2	4	1	1	1	1	3	1	0	0	0	4	4	4	4	1	0	0	0	71
31	41	25	23	14	3	11	2	4	3	1	2	1	1	2	0	1	2	0	1	1	3	3	4	4	0	0	1	0	53
11	28	49	32	2	14	14	0	4	3	2	1	0	0	3	1	0	2	1	1	1	4	4	4	4	0	1	0	0	78
9	27	45	39	2	4	14	10	5	1	3	1	0	1	2	1	0	0	2	2	1	4	4	4	4	0	0	0	1	91
31	33	14	42	10	15	2	3	3	3	3	1	0	2	0	2	2	0	1	1	0	4	4	4	4	0	0	1	0	51
27	36	27	30	2	15	0	13	1	3	1	5	1	1	1	1	1	1	1	1	0	4	4	4	4	0	1	0	0	28
18	45	33	24	0	7	13	10	2	2	4	2	0	2	1	1	1	1	1	1	1	4	4	4	4	1	0	0	0	22
50	10	39	21	10	5	15	0	2	4	4	0	2	0	2	0	2	0	1	1	1	4	4	4	3	0	1	0	0	101
22	27	38	33	3	12	0	15	1	5	0	4	1	1	1	1	0	1	2	1	0	4	3	3	4	0	0	1	0	28
9	54	29	28	3	11	14	2	4	1	3	2	0	4	0	0	0	1	2	1	0	4	4	3	4	0	0	1	0	72
