Mode: 15 #Games: 5000 Notes: u2-1Trick-500
p_0	p_1	p_2	p_3	pt_0	pt_1	pt_2	pt_3	t_0	t_1	t_2	t_3	A_0	A_1	A_2	A_3	S_0	S_1	7_2	7_3	At_02	suits_0	suits_1	suits_2	suit_3	first_0	first_1	first_2	first_3	fp_02
37	30	31	22	10	9	11	0	3	3	3	1	0	1	2	1	3	1	0	0	1	4	4	4	4	0	0	1	0	63
31	31	13	45	15	4	0	11	3	3	1	3	0	1	0	3	2	1	0	1	0	4	4	4	4	0	0	1	0	34
27	26	29	38	10	2	11	7	5	1	1	3	1	1	1	1	1	0	1	2	1	3	4	4	4	1	0	0	0	72
20	59	20	21	0	23	4	3	3	4	2	1	0	3	1	0	1	2	0	1	0	4	3	4	4	1	0	0	0	21
38	26	36	20	7	21	2	0	3	3	3	1	2	1	1	0	0	1	2	1	0	4	4	4	4	0	1	0	0	93
37	29	33	21	10	0	18	2	4	1	4	1	0	2	1	1	3	0	1	0	1	4	4	4	4	0	0	0	1	42
22	19	38	41	7	0	0	23	4	1	2	3	1	0	2	1	0	1	1	2	0	3	4	3	3	0	0	0	1	87
46	23	32	19	6	13	0	11	2	2	1	5	1	0	2	1	2	2	0	0	0	4	4	3	4	0	1	0	0	62
38	27	28	27	14	14	0	2	3	4	2	1	1	1	1	1	1	1	1	1	0	3	4	4	4	0	0	1	0	63
39	10	28	43	10	5	15	0	2	5	3	0	2	0	1	1	1	0	0	3	1	4	4	4	3	1	0	0	0	48
17	41	30	32	4	10	11	5	2	3	2	3	1	0	1	2	0	3	1	0	1	4	3	4	4	1	0	0	0	39
35	33	17	35	11	10	6	3	2	1	4	3	1	1	1	1	1	2	0	1	1	4	4	4	4	0	0	1	0	52
29	30	32	29	10	5	4	11	1	3	3	3	0	1	1	2	2	1	1	0	0	4	3	4	4	0	1	0	0	54
29	20	35	36	4	0	3	23	2	2	1	5	1	1	1	1	1	0	1	2	0	4	4	4	3	0	0	0	1	56
36	20	36	28	18	0	10	2	5	2	1	2	1	1	1	1	1	0	2	1	1	4	3	4	4	1	0	0	0	79
25	36	23	36	11	3	0	16	2	1	1	6	2	1	1	0	0	1	0	3	1	4	4	4	4	0	0	1	0	46
33	24	31	32	2	10	15	3	3	2	4	1	2	0	1	1	0	2	1	1	1	4	4	4	4	0	1	0	0	95
19	35	31	35	15	0	0	15	2	1	1	6	1	1	1	1	0	1	2	1	1	4	4	4	4	0	0	0	1	25
27	48	18	27	0	13	6	11	2	3	2	3	1	1	0	2	1	2	1	0	0	4	4	4	4	0	1	0	0	33
24	22	35	39	13	6	0	11	4	3	1	2	0	0	2	2	1	1	1	1	0	4	4	4	4	0	0	0	1	43
12	37	47	24	10	5	11	4	3	3	2	2	0	0	3	1	1	2	1	0	1	4	4	4	4	1	0	0	0	75
17	57	19	27	0	2	14	14	3	2	3	2	0	3	1	0	1	1	0	2	1	3	4	4	3	0	0	1	0	55
8	45	37	30	4	0	11	15	2	1	3	4	0	2	2	0	0	1	1	2	1	4	4	4	3	0	1	0	0	16
37	38	22	23	24	0	6	0	5	0	3	2	2	2	0	0	1	1	1	1	1	4	3	4	4	1	0	0	0	77
34	19	29	38	14	5	0	11	3	4	1	2	0	1	1	2	2	0	1	1	0	3	4	3	4	0	0	1	0	49
36	40	2	42	4	10	2	14	2	2	4	2	2	1	0	1	1	2	0	1	0	4	4	4	4	0	0	0	1	65
