Mode: 21 #Games: 100
p0_0	p0_1	p0_2	p0_3	p0_4	p0_5	p0_6	p0_7	p0_8	p0_9	p2_0	p2_1	p2_2	p2_3	p2_4	p2_5	p2_6	p2_7	p2_8	p2_9	trump	first	fp	t_t0	t_t1	t_t2	t_t3	t_t4	t_t5	t_t6	t_t7	t_t8	t_t9
6	8	14	15	20	21	24	30	34	39	0	1	3	4	5	9	12	22	26	28	0	0	93	1272	224	131	187	0	485	12	1	1	0	
1	3	6	14	25	27	28	29	34	35	0	4	5	8	9	16	18	19	20	33	1	1	26	434	0	1769	0	1393	127	0	5	0	0	
7	8	16	17	18	19	28	32	34	37	9	21	23	24	26	27	33	35	36	38	2	2	72	317	775	0	0	5015	62	3	5	0	0	
7	10	11	14	15	16	19	25	33	36	2	4	5	8	17	22	24	27	29	35	1	3	85	631	0	33904	241195	4159	192	42	2	1	0	
9	15	22	23	26	27	28	30	31	32	8	10	11	12	16	17	20	24	29	34	3	0	23	2007	0	1700	70009	16	35	8	1	1	0	
1	3	5	6	9	13	21	23	24	28	12	15	16	22	27	29	30	32	34	37	1	1	63	2185	1550	633	2316	15	346	3	1	1	0	
12	16	19	20	22	23	27	30	36	38	3	7	13	14	17	25	28	31	32	35	0	2	32	817	29599	0	1921	1573	33	3	2	1	0	
2	4	8	9	10	24	31	33	35	38	1	13	19	23	26	28	29	30	32	36	1	3	47	1783	0	113415	422	0	27	3	1	0	0	
0	2	3	9	12	18	22	23	26	34	1	4	11	14	25	27	28	30	36	37	1	0	78	1909	0	0	33529	785	0	10	2	0	0	
0	6	7	20	22	26	27	30	32	39	1	8	12	18	23	25	28	29	34	38	0	1	56	834	2624	468	0	14	0	6	2	0	0	
4	8	9	11	23	25	26	33	35	39	5	6	17	18	21	24	28	31	34	37	2	2	70	372	6637	0	603	235	0	0	3	1	0	
1	3	11	12	15	16	20	23	30	35	2	6	7	14	18	26	29	36	37	39	3	3	54	315	316	0	813	0	10	0	0	1	0	
1	10	11	14	15	17	19	22	31	36	2	6	20	21	25	27	28	34	35	39	1	0	89	3513	3266	5338	218999	2788	178	4	2	1	0	
0	2	3	6	7	8	9	18	22	39	1	4	12	15	26	27	31	33	34	38	1	1	32	0	427105	3009	0	13	29	6	2	1	0	
0	6	8	13	14	17	28	30	36	37	3	9	18	19	22	24	25	29	32	39	3	2	100	408	8723	762	4085	0	98	3	1	0	0	
17	22	23	26	30	35	36	37	38	39	2	5	10	11	13	25	28	29	31	33	2	3	120	0	313693	2060	0	13	203	9	2	1	0	
7	10	13	14	16	20	21	24	26	31	4	8	9	11	18	19	22	28	32	34	1	0	60	3838	472	0	1931	905	238	0	2	1	0	
8	13	16	24	26	27	29	31	34	38	0	1	3	5	6	7	12	15	18	35	1	1	42	1163	51696	489	0	122	51	15	1	1	0	
1	5	11	14	15	16	22	30	32	39	4	6	8	9	12	17	19	25	33	34	3	2	85	557	278	0	654	0	13	0	1	1	0	
1	9	15	16	17	23	28	30	32	37	10	12	13	19	25	27	31	34	38	39	3	3	88	227	0	1007	340	268	0	16	0	1	0	
1	3	10	13	14	15	16	23	25	29	5	9	17	19	20	27	30	31	33	38	3	0	77	2409	13591	444	0	1776	43	3	3	0	0	
0	2	4	11	16	19	22	30	31	34	1	3	5	9	20	21	24	28	32	35	2	1	75	697	1265	1513	0	3302	90	0	3	0	0	
1	3	7	12	23	25	31	33	36	39	2	6	8	9	14	16	24	28	35	38	3	2	80	446	0	608	280	0	28	7	2	1	0	
0	4	5	7	21	28	30	34	37	38	9	11	14	16	19	20	24	27	31	39	1	3	85	1088	788	0	3029	2877	63	6	2	1	0	
0	14	16	17	23	26	31	32	37	39	4	9	10	13	15	25	27	29	36	38	0	0	55	1679	1093	496	5382	236	15	0	2	0	0	
7	14	17	19	22	23	29	31	36	39	3	8	9	11	13	16	18	32	34	37	1	1	104	0	29900	0	1123	14	27	0	1	1	0	
2	4	5	12	13	14	17	21	28	29	0	3	9	18	20	23	25	31	32	35	3	2	39	921	10586	305	662	336	23	1	0	1	0	
5	6	11	16	18	20	28	29	32	37	3	8	23	24	25	26	27	31	34	38	3	3	96	180	0	446	0	13	473	8	2	0	0	
1	7	10	15	19	23	24	29	30	34	0	2	8	11	16	18	21	22	35	37	0	0	62	1324	7747	238	0	408	0	2	1	0	0	
1	2	5	7	16	19	24	25	29	37	0	12	15	18	20	33	35	36	38	39	3	1	114	269	4190	0	1447	13	0	6	1	1	0	
0	12	18	20	22	23	26	27	32	37	4	5	8	9	10	16	21	24	29	33	2	2	82	1573	377	635	0	0	23	13	2	0	0	
2	4	13	15	23	24	27	30	31	33	3	9	10	14	16	18	20	21	28	29	0	3	17	163	0	204	0	559	6	8	0	1	0	
13	15	16	17	18	26	27	29	30	32	2	6	7	8	11	22	24	33	35	39	0	0	73	3818	12478	720	0	4854	29	5	2	1	0	
3	7	8	13	14	16	17	20	23	32	1	2	4	10	26	31	33	35	38	39	2	1	18	391	11791	297	685	192	0	5	1	0	0	
4	5	6	8	12	13	14	17	25	26	11	18	19	22	23	24	27	32	38	39	2	2	84	441	0	166	334	191	0	4	0	0	0	
2	10	12	13	17	20	22	26	27	39	1	5	6	7	9	11	14	24	25	36	3	3	14	0	155319	2273	1034	457	39	2	1	0	0	
6	14	17	22	23	24	32	34	35	37	1	5	9	13	19	20	21	28	29	38	0	0	42	1491	0	0	0	1680	0	6	2	1	0	
6	9	10	11	13	19	26	27	30	32	1	16	18	20	23	31	34	35	36	38	0	1	30	276	0	68905	0	2893	151	4	1	1	0	
0	3	6	8	9	13	17	20	21	30	1	7	11	12	15	26	31	32	36	38	3	2	33	515	0	0	838	1343	0	0	2	1	0	
6	11	13	14	17	19	23	29	37	38	1	7	15	18	21	24	26	31	32	39	3	3	86	1066	1000	35423	583	0	69	5	0	1	0	
3	5	15	17	22	28	29	30	35	36	1	4	6	10	12	21	25	27	31	37	0	0	47	1710	0	1662	25215	639	18	0	2	1	0	
0	3	5	8	17	27	28	30	33	38	4	6	10	12	13	21	23	32	34	39	3	1	81	302	17196	147	457	0	16	3	1	0	0	
0	1	4	6	17	20	22	30	31	39	5	10	11	14	15	28	32	33	35	37	1	2	19	0	35759	9481	414	456	125	2	1	1	0	
0	2	6	14	17	23	29	30	31	39	5	16	18	21	26	28	32	33	37	38	2	3	32	359	0	27748	0	1282	10	0	2	1	0	
0	1	10	11	16	17	22	25	28	35	2	3	7	9	18	20	29	36	37	39	3	0	80	1257	0	0	953	1263	35	3	0	1	0	
5	8	9	21	22	23	24	36	37	38	0	7	13	18	25	29	30	32	34	39	2	1	109	597	1062	0	0	0	5	3	0	0	0	
0	10	17	18	20	21	28	29	31	36	1	5	6	11	12	15	19	34	37	39	2	2	47	361	12549	2946	48128	0	0	5	1	1	0	
2	4	9	12	16	19	21	26	29	37	7	10	11	20	22	25	30	33	36	38	0	3	47	240	15424	824	13735	0	29	10	1	0	0	
4	5	16	20	24	25	28	31	36	38	2	3	14	15	21	22	23	27	34	39	2	0	91	2233	11677	174	0	1168	46	3	1	2	0	
4	8	11	19	23	24	34	35	38	39	0	5	6	9	20	21	22	27	28	29	0	1	60	1222	228	0	498172	4275	40	6	1	1	0	
0	8	12	13	23	24	30	32	33	39	1	5	7	10	11	18	21	22	25	27	1	2	53	0	0	111	0	7	498	0	0	0	0	
15	18	20	22	25	26	27	31	32	36	1	2	5	9	10	24	28	29	30	38	1	3	50	834	715	240	0	11	65	6	1	1	0	
4	6	8	15	17	21	22	23	25	27	11	12	16	18	20	30	31	34	35	37	2	0	54	1927	3076	0	13784	6910	336	4	1	1	0	
5	8	10	14	21	33	34	37	38	39	1	4	12	13	18	19	20	22	24	35	2	1	40	552	551	0	112688	3098	62	4	1	2	0	
0	3	5	7	15	18	22	29	33	39	1	4	6	10	20	26	27	28	30	37	0	2	89	150	0	113973	1084	1227	82	12	0	0	0	
1	9	11	13	14	16	20	28	29	31	4	5	7	18	26	30	32	33	37	39	1	3	79	459	4824	0	14898	0	3	5	1	1	0	
0	7	10	11	12	15	17	22	26	33	3	14	18	19	34	35	36	37	38	39	3	0	75	1155	1610	22354	0	574	0	0	2	1	0	
1	2	10	12	15	19	22	24	27	37	0	3	17	20	23	29	30	31	32	34	2	1	20	525	8273	0	0	1181	36	3	1	1	0	
12	14	16	17	18	19	20	21	26	36	2	3	6	9	13	15	27	32	33	37	2	2	66	1585	110033	38417	14443	1710	8	0	2	1	0	
6	8	13	14	16	19	25	27	34	38	1	4	5	7	9	10	18	21	22	26	2	3	79	295	0	18699	0	1502	96	4	1	1	0	
1	4	8	9	10	18	24	25	30	32	0	5	14	16	19	21	27	31	36	37	3	0	57	1868	0	1077	750	0	20	18	2	0	0	
4	6	7	9	11	13	17	18	31	33	12	15	16	22	23	29	34	35	38	39	0	1	76	286	0	2227	1640	3414	219	12	0	1	0	
0	5	14	15	16	19	21	23	27	34	3	6	7	13	24	29	30	33	35	36	1	2	46	0	75936	0	2406	1434	212	7	0	1	0	
6	11	13	14	17	19	28	31	33	36	0	5	8	9	12	15	21	22	23	24	3	3	63	0	82107	120160	20391	0	54	4	2	1	0	
0	7	11	18	19	22	30	33	35	37	4	5	6	12	15	20	21	23	25	29	3	0	28	1158	14362	1690	138	0	32	18	2	1	0	
2	3	7	11	13	16	22	27	28	30	0	4	8	9	15	17	18	25	36	38	1	1	56	154	0	435	233	0	0	4	1	1	0	
0	5	9	10	13	15	18	24	31	32	6	7	8	14	19	20	27	28	34	38	2	2	89	525	15692	0	8381	0	10	3	1	1	0	
