104	84
107	160
127	154
104	80
101	130
139	153
108	159
80	91
96	97
102	77
79	68
106	67
92	87
107	123
121	157
79	46
80	133
92	114
114	147
109	140
120	163
63	46
129	99
98	61
123	153
106	121
116	136
93	69
114	162
82	29
90	75
102	96
112	108
99	107
125	132
124	160
98	77
142	188
72	72
115	123
98	77
139	187
114	137
55	3
112	99
104	119
98	123
124	179
105	82
92	91
135	169
111	120
116	190
152	220
103	117
117	119
117	193
93	54
93	174
107	123
87	74
126	192
136	142
79	53
79	62
103	61
105	86
96	137
107	120
88	40
143	220
110	129
94	111
94	87
157	180
115	143
138	178
132	175
110	70
76	51
101	138
134	172
116	105
90	111
121	82
76	91
111	107
142	185
136	157
124	155
133	204
147	203
105	116
93	136
86	116
112	69
126	130
90	111
152	220
136	116
